doc_id,parte,capit,sent_num
1092,2,10,33
1093,2,10,34
1094,2,10,35
1095,2,10,36
1096,2,10,37
1097,2,10,38
1098,2,10,39
1099,2,10,40
1100,2,10,41
1101,2,10,42
1102,2,10,43
1103,2,11,0
1104,2,11,1
1105,2,11,2
1106,2,11,3
1107,2,11,4
1108,2,11,5
1109,2,11,6
1110,2,11,7
1111,2,11,8
1112,2,11,9
1113,2,11,10
1114,2,11,11
1115,2,11,12
1116,2,11,13
1117,2,11,14
1118,2,11,15
1119,2,11,16
1120,2,11,17
1121,2,11,18
1122,2,11,19
1123,2,11,20
1124,2,11,21
1125,2,11,22
1126,2,11,23
1127,2,11,24
1128,2,11,25
1129,2,11,26
1130,2,11,27
1131,2,11,28
1132,2,11,29
1133,2,11,30
1134,2,11,31
1135,2,11,32
1136,2,11,33
1137,2,11,34
1138,2,11,35
1139,2,11,36
1140,2,11,37
1141,2,11,38
1142,2,11,39
1143,2,11,40
1144,2,11,41
1145,2,11,42
1146,2,11,43
1147,2,11,44
1148,2,11,45
1149,2,11,46
1150,2,11,47
1151,2,12,0
1152,2,12,1
1153,2,12,2
1154,2,12,3
1155,2,12,4
1156,2,12,5
1157,2,12,6
1158,2,12,7
1159,2,12,8
1160,2,12,9
1161,2,12,10
1162,2,12,11
1163,2,12,12
1164,2,12,13
1165,2,12,14
1166,2,12,15
1167,2,12,16
1168,2,12,17
1169,2,12,18
1170,2,12,19
1171,2,12,20
1172,2,12,21
1173,2,12,22
1174,2,12,23
1175,2,12,24
1176,2,12,25
1177,2,12,26
1178,2,12,27
1179,2,12,28
1180,2,12,29
1181,2,12,30
1182,2,13,0
1183,2,13,1
1184,2,13,2
1185,2,13,3
1186,2,13,4
1187,2,13,5
1188,2,13,6
1189,2,13,7
1190,2,13,8
1191,2,13,9
1192,2,13,10
1193,2,13,11
1194,2,13,12
1195,2,13,13
1196,2,13,14
1197,2,13,15
1198,2,13,16
1199,2,13,17
1200,2,13,18
1201,2,13,19
1202,2,13,20
1203,2,13,21
1204,2,13,22
1205,2,13,23
1206,2,13,24
1207,2,13,25
1208,2,13,26
1209,2,13,27
1210,2,13,28
1211,2,13,29
1212,2,13,30
1213,2,13,31
1214,2,13,32
1215,2,13,33
1216,2,13,34
1217,2,13,35
1218,2,13,36
1219,2,13,37
1220,2,13,38
1221,2,13,39
1222,2,13,40
1223,2,13,41
1224,2,13,42
1225,2,13,43
1226,2,13,44
1227,2,13,45
1228,2,13,46
1229,2,13,47
1230,2,13,48
1231,2,13,49
1232,2,13,50
1233,2,13,51
1234,2,13,52
1235,2,13,53
1236,2,13,54
1237,2,13,55
1238,2,13,56
1239,2,13,57
1240,2,13,58
1241,2,13,59
1242,2,13,60
1243,2,13,61
1244,2,13,62
1245,2,13,63
1246,2,13,64
1247,2,13,65
1248,2,13,66
1249,2,13,67
1250,2,13,68
1251,2,13,69
1252,2,13,70
1253,2,13,71
1254,2,13,72
1255,2,13,73
1256,2,13,74
1257,2,13,75
1258,2,13,76
1259,2,13,77
1260,2,13,78
1261,2,13,79
1262,2,13,80
1263,2,13,81
1264,2,13,82
1265,2,13,83
1266,2,13,84
1267,2,13,85
1268,2,13,86
1269,2,13,87
1270,2,13,88
1271,2,13,89
1272,2,13,90
1273,2,13,91
1274,2,13,92
1275,2,13,93
1276,2,13,94
1277,2,13,95
1278,2,14,0
1279,2,14,1
1280,2,14,2
1281,2,14,3
1282,2,14,4
1283,2,14,5
1284,2,14,6
1285,2,14,7
1286,2,14,8
1287,2,14,9
1288,2,14,10
1289,2,14,11
1290,2,14,12
1291,2,14,13
1292,2,14,14
1293,2,14,15
1294,2,14,16
1295,2,14,17
1296,2,14,18
1297,2,14,19
1298,2,14,20
1299,2,14,21
1300,2,14,22
1301,2,14,23
1302,2,14,24
1303,2,14,25
1304,2,14,26
1305,2,14,27
1306,2,14,28
1307,2,14,29
1308,2,14,30
1309,2,14,31
1310,2,14,32
1311,2,14,33
1312,2,14,34
1313,2,14,35
1314,2,14,36
1315,2,14,37
1316,2,14,38
1317,2,14,39
1318,2,14,40
1319,2,14,41
1320,2,14,42
1321,2,14,43
1322,2,14,44
1323,2,14,45
1324,2,14,46
1325,2,14,47
1326,2,14,48
1327,2,14,49
1328,2,14,50
1329,2,14,51
1330,2,14,52
1331,2,14,53
1332,2,14,54
1333,2,14,55
1334,2,14,56
1335,2,14,57
1336,2,14,58
1337,2,14,59
1338,3,1,0
1339,3,1,1
1340,3,1,2
1341,3,1,3
1342,3,1,4
1343,3,1,5
1344,3,1,6
1345,3,1,7
1346,3,1,8
1347,3,1,9
1348,3,1,10
1349,3,1,11
1350,3,1,12
1351,3,1,13
1352,3,1,14
1353,3,1,15
1354,3,1,16
1355,3,1,17
1356,3,1,18
1357,3,2,0
1358,3,2,1
1359,3,2,2
1360,3,2,3
1361,3,2,4
1362,3,2,5
1363,3,2,6
1364,3,2,7
1365,3,2,8
1366,3,2,9
1367,3,2,10
1368,3,2,11
1369,3,2,12
1370,3,2,13
1371,3,2,14
1372,3,2,15
1373,3,2,16
1374,3,2,17
1375,3,2,18
1376,3,2,19
1377,3,2,20
1378,3,2,21
1379,3,2,22
1380,3,2,23
1381,3,2,24
1382,3,2,25
1383,3,2,26
1384,3,2,27
1385,3,2,28
1386,3,2,29
1387,3,2,30
1388,3,2,31
1389,3,2,32
1390,3,2,33
1391,3,2,34
1392,3,2,35
1393,3,2,36
1394,3,2,37
1395,3,3,0
1396,3,3,1
1397,3,3,2
1398,3,3,3
1399,3,3,4
1400,3,3,5
1401,3,3,6
1402,3,3,7
1403,3,3,8
1404,3,3,9
1405,3,3,10
1406,3,3,11
1407,3,3,12
