chunk,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
21,0.0379287020001946,0.04458492848750983,0.07797015131311733,0.053794111490887524,0.08575509201809725,0.12847823899738756,0.07052887004595244,0.07614699957859151,0.10407021991085139,0.18892542307373847,0.18053327066232325,0.16982870308569137,0.08729683446600414,0.09369043311046676,0.11851265603288878,0.07270155460648682,0.13389994624392887,0.07969245924022847,0.17584482926294084,0.18412811263480286,1.0000000000000002,0.5418602975189326,0.10291180982556201,0.12013469002560662,0.09234223743386247,0.12822977547604864,0.09458551861361264,0.14066688527007584,0.06032937297284768,0.0363243486839771,0.03807401055901803,0.03735670104935447,0.05417033272571676,0.0602652216688427,0.02016199814248169,0.017401717555254045,0.0459417367843928,0.08370972791643011,0.06817495134858588,0.06237389805602673,0.0522269242272134,0.07280444781126896,0.04908830929007441,0.0215382817144134,0.0482981299664271,0.03002898063871605,0.04491293402236341,0.04608180011802897,0.06712191543285564
22,0.042729250174062094,0.03387460003792132,0.043593337218362116,0.034631959996498235,0.07559887047286373,0.1076196242429133,0.05761738168456031,0.09571700781767918,0.09398409184336158,0.171167343826755,0.17342470878940086,0.3026769417239992,0.0681363023513064,0.05833232420315525,0.03902352750022318,0.034459677487914626,0.028017884592514565,0.054585500317187535,0.08218272568696026,0.05479820598023248,0.5418602975189326,1.0,0.19380321345346618,0.18057271398462954,0.11105436237806612,0.1345816241537263,0.10826411181877083,0.06787288221720288,0.037523092634070804,0.02925280288119493,0.034105916625197304,0.042035601297687616,0.04389186836408958,0.047218830273877126,0.022976586356665427,0.025967753816874682,0.029371475649122094,0.04466879645878459,0.047204842558002794,0.06761442340106659,0.042399157735369813,0.0597090502835215,0.044495560054546954,0.031572595297549466,0.07472383750473081,0.027615362613217204,0.047945437459460186,0.03828255779757129,0.09160211351239544
23,0.023982413756251413,0.03975130614641609,0.022827526494671815,0.039237474786240574,0.09559087162851343,0.08357762293782502,0.09662689762455454,0.17817022422252324,0.11210256362491787,0.11694424752069159,0.12304240074802418,0.14305736726174004,0.061161943293847026,0.060305763723170924,0.048428004791388445,0.03891706195082622,0.03329068020509372,0.06431922236871135,0.12839803609504657,0.09476775582721221,0.10291180982556201,0.19380321345346618,0.9999999999999994,0.3825876902954642,0.22022439186694182,0.21067735057926676,0.09048161862892098,0.07832445417319428,0.04978934015100887,0.02465610764583712,0.016939787157835073,0.030849406851443634,0.03371536511613553,0.025868533125333073,0.021371685051241412,0.04745648677152506,0.04082572059053173,0.043494093442931765,0.038437707938103596,0.04817475338613751,0.03421920968261679,0.04348824813247506,0.028789150383432924,0.030825630462629563,0.048851567212434575,0.058642486646936894,0.03311880650297551,0.048805902465621206,0.03422039260743314
24,0.06114087930260641,0.06798913100876283,0.03877883246968443,0.09019127526614226,0.11308209892962752,0.10098193437388137,0.06039628642903321,0.1322952075817996,0.1407592638885758,0.16284942134638333,0.15470311521415822,0.27416337742820707,0.12813083442710066,0.09213719198069215,0.11531106586329351,0.10165451708819982,0.08317354283817714,0.12143075388165153,0.16645958646201076,0.07897761305121447,0.12013469002560662,0.18057271398462954,0.3825876902954642,1.0000000000000002,0.2494504271375733,0.21313077773978037,0.16861118046647494,0.10785895357208697,0.07466190285580208,0.057332849074852595,0.041730262543035634,0.16320775166279794,0.12291371516949873,0.0849085516991846,0.07605252243235935,0.11272227544158542,0.07729309411730098,0.09003832840992006,0.0395298102190213,0.08617214711744979,0.0603864095612877,0.05242035389655807,0.05788627205063429,0.0541269992023693,0.09570480274780171,0.07446671890843708,0.06829611255955279,0.0773685802688987,0.11780387542553611
25,0.07691397750841132,0.060369732724939,0.07199145448660652,0.07093955350984361,0.0760307625802851,0.07548521249612254,0.039638617342637815,0.0769838121909353,0.09906956025254969,0.1797506351640321,0.18629231934982501,0.16965481624331272,0.14677941968892452,0.08032262452208837,0.12046044387452894,0.08916626024012031,0.07052015538812387,0.12008361412414824,0.20403317791762918,0.11267664515333164,0.09234223743386247,0.11105436237806612,0.22022439186694182,0.2494504271375733,1.0000000000000007,0.15507376800206127,0.10535454164670646,0.1062250306359197,0.07869865114397556,0.08831658377923816,0.06435574375103006,0.03168921067271472,0.03844350788537952,0.051599695206604526,0.039626827905799966,0.042117926778277824,0.03405182042437156,0.04200632473840545,0.05315873911105244,0.057822576930716074,0.045899239196836084,0.05903111238398081,0.04181247686031645,0.039745068984370024,0.0773709418285082,0.03650712786856068,0.03406007940572984,0.06817463513387942,0.03530092905677817
26,0.049333800257020666,0.06204634244473238,0.05850925579145772,0.08407214593189981,0.09314549004208544,0.08007067721033179,0.07559956498543952,0.12643647940503186,0.10554897341172043,0.11650643698352202,0.14109018735723172,0.12927402120971232,0.09662345628690464,0.11302963997455977,0.04238445583294656,0.05868524036252016,0.036508264346940066,0.07478740722835027,0.10220798064855782,0.10018833457959803,0.12822977547604864,0.1345816241537263,0.21067735057926676,0.21313077773978037,0.15507376800206127,1.0,0.3489431742222363,0.12369752502980538,0.062294821027564125,0.07614270113553258,0.07103371943811607,0.04049981012846659,0.051015379044784794,0.0654865944738279,0.04122963982567388,0.05957902202098706,0.0702186359945471,0.11296312485851476,0.10408528265582229,0.05474913122930349,0.062038502887239305,0.06782053513997027,0.05292079370229591,0.06391493684226465,0.11766040907761309,0.05076802486840771,0.07895411450993602,0.1102711515001814,0.04666232654576831
27,0.051864448172933286,0.04147860183520081,0.02623712312495479,0.08148739562821773,0.07843137471773105,0.1321645837802825,0.04388736276901569,0.08781720241297276,0.11619992807947235,0.14120470093854537,0.17587060088226408,0.12744692897620064,0.1203598455047121,0.18698156864455318,0.05703542852564635,0.054809443181703915,0.06844942086332194,0.08034602904050002,0.09747888871034938,0.09842171880629415,0.09458551861361264,0.10826411181877083,0.09048161862892098,0.16861118046647494,0.10535454164670646,0.3489431742222363,1.0,0.14503699926263847,0.040472788878106784,0.06425423220415445,0.05732770709945511,0.060892403932277774,0.06636020347250794,0.03417634450474236,0.03581515334148012,0.0323006724250227,0.06409146348995445,0.05685439475118939,0.09498607282594566,0.08903366646978471,0.0292461327412132,0.06447631477335507,0.04820276910593529,0.12038119751101536,0.21682616364274465,0.07888083142748639,0.13825526050459847,0.12480839138706021,0.14557578264558146
28,0.07071392724349619,0.06865040457734925,0.12387511674948125,0.0645355022361002,0.08426899560731241,0.12040425444388318,0.03134291852498811,0.06851906818266089,0.07639425299969504,0.13015762565567007,0.1342592370844372,0.11619369990856707,0.12935868448617058,0.12054602232973373,0.18408038363933857,0.07428431185187975,0.14416730521857257,0.09711992156227649,0.137890875599867,0.0690083749828968,0.14066688527007584,0.06787288221720288,0.07832445417319428,0.10785895357208697,0.1062250306359197,0.12369752502980538,0.14503699926263847,0.9999999999999997,0.25748828959920694,0.05440991186743659,0.07178407406692691,0.04186088385040676,0.039851732130974676,0.0856791092349216,0.0648743152907277,0.039153977294789095,0.05555124049622348,0.05387594703176408,0.01874172156554437,0.05871250371217719,0.019903299668465817,0.11001374255336273,0.08779578513225289,0.06635151943753086,0.10679585560920206,0.04780887024420808,0.06905111130310736,0.063000163696836,0.06723370374121296
29,0.2601664653151571,0.3491339714765258,0.22900129647455406,0.1415712091765291,0.11271242063045621,0.07851221222308795,0.05441064562424409,0.07358709730712715,0.07599073576039414,0.11091374013713565,0.07803663639116988,0.06309938394701396,0.0850566178014842,0.11194655596839828,0.14046616634923492,0.057727930594822535,0.05466536417101657,0.10110235348818415,0.09891456124641992,0.03843594407824032,0.06032937297284768,0.037523092634070804,0.04978934015100887,0.07466190285580208,0.07869865114397556,0.062294821027564125,0.040472788878106784,0.25748828959920694,1.0000000000000002,0.2665894295742388,0.20935482921139353,0.07724571411048285,0.08637900835290621,0.10064225077455308,0.08898803784610126,0.08533375191552237,0.09125358107507561,0.06477768764499826,0.027221494414492817,0.0731703128458833,0.08356318119783882,0.15208861708864937,0.08413475495899549,0.03969242449493607,0.04762886073554367,0.037474634348922266,0.046242659347979206,0.10314967956802952,0.03246338990247232
30,0.3106480654535185,0.29104671703440593,0.22539843922251065,0.1274508048757414,0.11041602240087924,0.08174555947469515,0.027535425074617904,0.027129662563730016,0.11941008413214772,0.10041694197613524,0.036065055378285554,0.023453585278523644,0.08679910978914798,0.10376475510040581,0.0910575770096367,0.07044188831341532,0.07592566009401748,0.06028205162465082,0.06261203253783401,0.03477120709350508,0.0363243486839771,0.02925280288119493,0.02465610764583712,0.057332849074852595,0.08831658377923816,0.07614270113553258,0.06425423220415445,0.05440991186743659,0.2665894295742388,0.9999999999999994,0.39735109775421207,0.21515045936847735,0.23508599449680745,0.2249444859501082,0.22299358390713872,0.19529166094850126,0.12386257233936436,0.14353078558979826,0.11236819878107869,0.13389288845988634,0.20081846959905625,0.24661711552890186,0.16390158944653543,0.07585503267848595,0.07675192719221559,0.06326102242098378,0.0476086993404697,0.18802680522108264,0.05252475228584874
31,0.26528529657239497,0.22765463000005673,0.19618116771680585,0.14349962047548576,0.12593910932574054,0.08910685543791703,0.041651107314254934,0.04067241877936782,0.14636947552754143,0.09511384989264114,0.0697939695695762,0.049908662233040225,0.047767868100029164,0.04764612802208571,0.07060497279992572,0.06002578857493113,0.058182684767350716,0.05447425867438966,0.07106361353373754,0.05047982126473675,0.03807401055901803,0.034105916625197304,0.016939787157835073,0.041730262543035634,0.06435574375103006,0.07103371943811607,0.05732770709945511,0.07178407406692691,0.20935482921139353,0.39735109775421207,1.0000000000000004,0.3490437916980362,0.39044656028678654,0.33096974469657087,0.4237664371548425,0.366993898728007,0.16866287646588288,0.22188211581992429,0.16668876176901468,0.2154935276968292,0.29720044316403915,0.37613794835832187,0.2840006091591712,0.1499154292019171,0.14855652260052174,0.11717311877528072,0.11980139825428603,0.2780794732135224,0.12445315322327404
