term_str,n,p,i,h,dh
ajilatal,1,3.8074931465123364e-05,14.680799034572981,0.0005589704170946155,0.0
ajk'ix,2,7.614986293024673e-05,13.680799034572981,0.0010417909712589844,1.0
ajk'ixb',19,0.0007234236978373438,10.432871521129396,0.007547386494877342,3.6421498816369042
ajk'ot,3,0.00011422479439537009,13.095836533851825,0.0014958692355146008,1.5849625007211559
ajk'uwa'l,1,3.8074931465123364e-05,14.680799034572981,0.0005589704170946155,0.0
ajkab',1,3.8074931465123364e-05,14.680799034572981,0.0005589704170946155,0.0
ajkaj,1,3.8074931465123364e-05,14.680799034572981,0.0005589704170946155,0.0
ajkajb',17,0.0006472738349070972,10.59333619332264,0.0068567893423120965,3.4104172527605194
ajkun,1,3.8074931465123364e-05,14.680799034572981,0.0005589704170946155,0.0
ajlab'al,12,0.00045689917758148037,11.095836533851825,0.005069678586895443,2.396240625180289
ajlatz'ab',1,3.8074931465123364e-05,14.680799034572981,0.0005589704170946155,0.0
ajloq',2,7.614986293024673e-05,13.680799034572981,0.0010417909712589844,0.0
ajmak,1,3.8074931465123364e-05,14.680799034572981,0.0005589704170946155,0.0
ajmewa,1,3.8074931465123364e-05,14.680799034572981,0.0005589704170946155,0.0
ajmoken,1,3.8074931465123364e-05,14.680799034572981,0.0005589704170946155,0.0
ajmoxwach,1,3.8074931465123364e-05,14.680799034572981,0.0005589704170946155,0.0
ajmuqulik,1,3.8074931465123364e-05,14.680799034572981,0.0005589704170946155,0.0
ajna'oj,3,0.00011422479439537009,13.095836533851825,0.0014958692355146008,1.5849625007211559
ajnim,3,0.00011422479439537009,13.095836533851825,0.0014958692355146008,1.5849625007211559
ajoxb'al,1,3.8074931465123364e-05,14.680799034572981,0.0005589704170946155,0.0
ajpatan,1,3.8074931465123364e-05,14.680799034572981,0.0005589704170946155,0.0
ajpop,38,0.0014468473956746877,9.432871521129396,0.013647925594079997,2.667457607891745
ajpopol,2,7.614986293024673e-05,13.680799034572981,0.0010417909712589844,1.0
ajposotz'il,1,3.8074931465123364e-05,14.680799034572981,0.0005589704170946155,0.0
ajpoxa,1,3.8074931465123364e-05,14.680799034572981,0.0005589704170946155,0.0
ajpu,144,0.005482790130977765,7.510874033130668,0.04118054602386599,4.643287895385558
ajq'ij,3,0.00011422479439537009,13.095836533851825,0.0014958692355146008,0.0
ajq'ol,1,3.8074931465123364e-05,14.680799034572981,0.0005589704170946155,0.0
ajq'ukumatz,1,3.8074931465123364e-05,14.680799034572981,0.0005589704170946155,0.0
ajraxalaq,2,7.614986293024673e-05,13.680799034572981,0.0010417909712589844,1.0
ajraxatzel,2,7.614986293024673e-05,13.680799034572981,0.0010417909712589844,1.0
ajsu',5,0.0001903746573256168,12.358870939685618,0.0023528158200741734,1.5219280948873624
ajtojil,1,3.8074931465123364e-05,14.680799034572981,0.0005589704170946155,0.0
ajtoltekat,1,3.8074931465123364e-05,14.680799034572981,0.0005589704170946155,0.0
ajtukur,1,3.8074931465123364e-05,14.680799034572981,0.0005589704170946155,0.0
ajtz'alam,1,3.8074931465123364e-05,14.680799034572981,0.0005589704170946155,0.0
ajtz'aq,8,0.0003045994517209869,11.680799034572981,0.0035579649815939635,1.9056390622295662
ajtz'ib',2,7.614986293024673e-05,13.680799034572981,0.0010417909712589844,1.0
ajtz'ib'ab',2,7.614986293024673e-05,13.680799034572981,0.0010417909712589844,1.0
ajtz'ite',1,3.8074931465123364e-05,14.680799034572981,0.0005589704170946155,0.0
ajtza,1,3.8074931465123364e-05,14.680799034572981,0.0005589704170946155,0.0
