doc_id,doc_str
514,ta xb'anatajik winaq rumal ajtz'aq ajb'it
515,wa'e uxe' uch'akatajik
516,uyiqoxik chi puch uq'ij Wuqub' Kaqix
517,kumal e ka'ib' k'ajolab' Jun Ajpu ub'i' jun
518,Xb'alanq'e
519,xa wi e kab'awil
520,xraj ub'an uk'u'x kaj
521,xcha' k'u ri k'ajolab'
522,ma wi utz ta chuxoq
523,ma wi chik'ase' winaq waral chuwach ulew
524,keje k'ut chiqatij uwub'axik chuwi' recha'
525,chiqawub'aj wi chi ri'
526,chiqakoj wi uyab'
527,ta k'isoq uq'inomal uxit upuwaq
528,uk'uwal uyamanik
529,ri kukakab'ej
530,keje k'ut chub'ano ronojel winaq.
531,Ma wi are chiwinaqir wi q'aq'al
532,ri xa puwaq
533,ta chuxoq
534,xecha' ri k'ajolab'
535,jujun chi ub' kitelen kikab'ichal
536,are k'u ri Wuqub' Kaqix
537,e ka'ib' uk'ajol
538,are nab'e al ri Sipakna
539,ukab' al chi k'ut ri Kab'raqan
540,Chimalmat k'ut ub'i' kichuch
541,rixoqil ri Wuqub' Kaqix
542,are k'u ri Sipakna are chirecha'j ri nimaq juyub'.
543,"Ri chi Q'aq', Jun Ajpu, Pekul Ya', Xkanul, Makamob', Julisnab'"
544,chucha'xik ub'i' juyub'
545,xk'olik
546,ta chisaqirik
547,xa jun aq'ab' chiwinaqirik rumal ri Sipakna
548,are ri chi k'u ri Kab'raqan
549,chisilab' juyub'
550,rumal chineb'owik
551,rumal xa wi keje nimarisab'al kib'
552,xkib'ano uk'ajol Wuqub' Kaqix
553,ix
554,in q'ij
555,xcha' Wuqub' Kaqix
556,in wa' in b'anol ulew
557,xcha' ri Sipakna
558,in chi k'ut kiyow
559,chinwulij ronojel ulew
560,xcha' ri Kab'raqan
561,xa wi uk'ajol Wuqub' Kaqix
562,xa wi chi ri' xkik'am wi kinimal
563,chi rij kiqajaw
564,are k'ut itzel xkil ri k'ajolab'
565,maja' chib'antajoq qanab'e chuch qanab'e qajaw
566,keje k'ut xno'jix wi kikamik kisachik
567,kumal k'ajolab'.
568,Wa'e k'ute uwub'axik Wuqub' Kaqix
569,kumal ka'ib' k'ajolab'
570,xchiqab'ij kich'akatajik chi kijujunal ri nimarisay rib'
