para_num,C,B,D,A
86,8.648356317893026e-16,4.9894347343589685e-39,0.019510055298036448,2.969610009008948e-23
87,6.867900817557083e-15,2.4818555833075597e-38,0.02361926803599871,2.367873239889385e-22
88,6.867900817557083e-15,2.4818555833075597e-38,0.02361926803599871,2.367873239889385e-22
89,1.6352144803707342e-15,5.909179960259475e-39,0.016720965953698607,5.637793429090258e-23
90,1.378901223428176e-31,4.436032279821036e-51,0.014565246552979822,1.0266360244775643e-32
91,1.3789012234281757e-31,4.436032279821036e-51,0.014565246552979822,1.0266360244775643e-32
92,1.3789012234281757e-31,4.436032279821036e-51,0.014565246552979822,1.0266360244775643e-32
93,1.3789012234281757e-31,4.436032279821036e-51,0.014565246552979824,1.0266360244775643e-32
94,1.3789012234281757e-31,4.436032279821036e-51,0.014565246552979822,1.0266360244775643e-32
95,1.3789012234281757e-31,4.436032279821036e-51,0.014565246552979822,1.0266360244775643e-32
96,1.3789012234281757e-31,4.436032279821036e-51,0.014565246552979822,1.0266360244775643e-32
97,1.3789012234281757e-31,4.436032279821036e-51,0.014565246552979822,1.0266360244775643e-32
98,1.3789012234281757e-31,4.436032279821036e-51,0.014565246552979822,1.0266360244775643e-32
99,1.3789012234281757e-31,4.436032279821036e-51,0.014565246552979822,1.0266360244775643e-32
100,1.3789012234281757e-31,4.4360322798210365e-51,0.014565246552979824,1.0266360244775642e-32
101,1.3789012234281755e-31,4.436032279821036e-51,0.01456524655297982,1.0266360244775645e-32
102,1.3789012234281757e-31,4.436032279821036e-51,0.014565246552979822,1.0266360244775643e-32
103,1.3789012234281757e-31,4.436032279821036e-51,0.014565246552979822,1.0266360244775643e-32
104,1.3789012234281757e-31,4.436032279821036e-51,0.014565246552979822,1.0266360244775643e-32
105,1.3789012234281757e-31,4.436032279821036e-51,0.014565246552979822,1.0266360244775643e-32
106,1.3789012234281757e-31,4.4360322798210365e-51,0.014565246552979824,1.0266360244775642e-32
107,1.3789012234281757e-31,4.436032279821036e-51,0.014565246552979822,1.0266360244775643e-32
108,1.3789012234281757e-31,4.436032279821036e-51,0.01456524655297982,1.0266360244775643e-32
