chap_num,C,B,E,D,A,F
40,0.019809267274147866,0.0031355622459774105,2.4760694020698802e-11,1.4664315059248156e-07,0.00011212153018586417,0.0006958582093041162
41,0.019826833238025813,7.668788987667224e-06,2.9553174664007192e-08,4.1644845888216085e-09,0.0027493487023311407,0.0002675573844786275
42,0.017020582615396542,0.004113675096498307,0.00046033205890902255,1.0250496298940033e-08,0.0003671455054309966,1.887203487174593e-08
43,0.018435372101002517,0.0012871036554151466,2.6543778064848014e-05,0.0015268232767051055,7.309304572392595e-06,6.249588321126383e-06
44,0.0137839025406355,9.579633683959309e-18,1.8934011556822757e-08,0.0060180490780613605,2.696499382552129e-08,0.0014429364110340674
45,0.019821733698161904,1.2800200603278081e-05,1.5454191994311558e-07,6.6563446979308205e-06,7.58977921970653e-11,0.0005401169229824346
46,0.020506814084472677,2.131021550146587e-07,1.6091696907719534e-10,4.587549303303364e-12,0.0003954112490930919,0.0004696419228827102
47,0.001171995147569022,0.015205730124172718,1.8043809413456247e-09,0.002107457145026694,0.00229802989358775,1.1270036474620135e-05
48,5.337061437493232e-07,0.0204319208854002,0.0005319286706774007,3.770175572867398e-15,0.0006073971715983085,1.9952676377744566e-13
49,1.604899734479851e-09,0.01824485145387025,4.221926679374738e-15,2.5884827115380786e-18,7.945878475073716e-20,5.842438031284533e-12
50,0.017451501190786,3.2369011831526136e-21,4.2300458728827237e-10,0.001117985149363538,4.96075417252287e-13,8.442212549024476e-10
51,0.014417255283474458,9.235244316525679e-10,4.2404337406836423e-07,0.0026433715622684413,0.002269537546560567,0.001028655422260584
52,0.00010039090257993618,1.7204907945943838e-14,3.140863603003573e-18,0.016780827363955506,0.002207438215614279,2.2999483569794665e-26
53,0.007273283803015334,5.005179512653285e-07,0.013006339290249557,0.00019873661833586328,0.00111574715479068,2.4603431965351575e-06
54,0.005618848813987278,4.797013535914045e-25,7.264628180487712e-08,0.00103138037914594,0.016344320746966675,0.0017632553131251125
55,3.9728730032535105e-13,4.563699513590114e-23,1.6645342557502763e-16,0.0023272519873404293,0.0008511447492296835,0.010613035277563946
56,2.579123768925286e-13,1.4026614274219896e-27,4.79125513462552e-18,0.020544862592915703,8.370061224685043e-06,3.59390304235576e-15
57,1.8185000754655232e-05,0.018361652307232218,0.0025454860488410298,3.425887526059483e-08,2.965190779327279e-14,0.0011675168340285107
58,2.376572015914649e-09,0.017950829055274987,7.00724076047154e-06,3.905451429348226e-06,7.061443593064842e-08,1.030512325832687e-17
59,0.0001795726560508655,0.017308723871328986,0.0005056614181143065,3.5138101213278933e-15,0.0010540066516772566,5.775413518830914e-24
60,7.966831230267598e-10,0.018011271053072084,1.6654585927220883e-16,2.2921411100982993e-18,2.4743767174625983e-16,9.633947192774159e-11
61,2.4203949936930544e-09,0.017361366054496376,2.351722284636402e-22,5.106157468328393e-32,1.63803536437962e-28,1.4719481376517109e-08
62,9.680126295229378e-18,0.016636318254540497,5.8733668470422e-24,9.730562975984241e-24,5.595391736505503e-35,1.909945268527696e-09
63,1.1343732119349431e-07,0.015092015052403818,1.0615994815644846e-17,1.1424208919824242e-10,6.548126353376214e-27,1.6596003013242462e-12
64,1.340977733558171e-10,0.018051207343422564,9.490160917493381e-05,1.328933840120292e-16,8.01761143502382e-17,5.982385566181557e-15
65,3.6765826740784157e-10,0.01697823324065213,6.278435085130205e-15,1.807667042722937e-10,6.351286803128211e-18,0.002235338349460313
66,9.095826484109133e-07,0.018252149986758975,2.193112064074037e-07,6.3165251147197605e-21,1.1558840308146497e-16,0.0004911961928732155
67,0.009189659112524012,4.914829664413725e-07,2.7020209852135848e-08,0.000470274702762685,0.01402091537182033,1.3756388249780309e-07
68,0.009658732928066027,1.1462917105604458e-11,0.00018528807272026197,0.00864343076633321,0.00036653629288570315,5.859924286452066e-22
69,0.0006021768780383658,1.7099968801122725e-22,0.0024752379051452174,0.01803761569779665,6.133318595518794e-09,1.2977277574957579e-17
70,2.6874457949552663e-15,4.1261270151063016e-19,2.178362998935879e-10,0.019712625532040975,1.0895988807837571e-06,3.251598337653614e-13
71,0.0001348751525632513,0.001643304566934946,1.453254382899943e-14,8.445274084857848e-15,2.66770848765373e-25,0.022777625083188504
72,0.016590781881642647,1.5511223926317253e-08,7.681221357919453e-16,6.064155555214297e-12,4.879702903558377e-08,1.125492160194687e-05
73,0.0005782267593854622,0.0037105423262579805,0.010652918368048053,0.0028523697483185577,4.800584493744754e-08,0.0016748895745316407
74,0.005566713561125472,3.3940146687404665e-05,0.011005631341607014,0.00425359451713401,0.000739588764789305,2.9493335221170557e-13
75,1.019675352113295e-19,4.09549233500376e-33,0.018302242433646455,8.507809289210206e-13,7.238442153535936e-19,1.2433239621835765e-17
76,6.229084334670906e-10,9.853288225612681e-09,8.789072006699567e-09,0.01953960560820291,0.000206758666274276,7.380883539877167e-25
77,1.238264276424716e-18,8.842597916541842e-39,3.277918780162188e-37,0.015409507184057257,7.861809131613306e-14,3.135703268543135e-44
78,4.789430882107765e-15,1.8040196752679644e-29,6.982745573206762e-24,0.01974704314847988,4.242104112729257e-40,8.642089608658177e-21
