chap_num,D,C,E,F,B,A
61,1.0832538440250168e-10,0.01769463461706307,0.0014790453969707527,2.124198934120579e-06,8.076602811987199e-10,1.4452104100193045e-19
62,1.1701624618837295e-10,0.017640322625759278,0.001597708064922561,2.2946217712420006e-06,8.724582407218222e-10,1.561157551090065e-19
63,1.1701624618837295e-10,0.017640322625759278,0.001597708064922561,2.2946217712420006e-06,8.724582407218222e-10,1.561157551090065e-19
64,1.1701624618837295e-10,0.017640322625759278,0.001597708064922561,2.2946217712420006e-06,8.724582407218222e-10,1.561157551090065e-19
65,1.1701624618837295e-10,0.017640322625759278,0.001597708064922561,2.2946217712420006e-06,8.724582407218222e-10,1.561157551090065e-19
66,1.0128968920091894e-10,0.01526952755760484,0.0013829819240787544,0.0027600925658383996,7.552030329803544e-10,1.3513436670317847e-19
67,1.2918122886749654e-19,1.5217129110612335e-28,6.083070253200678e-25,0.020522181019152295,6.920558658801752e-20,6.995402520916858e-28
68,1.2918122886749654e-19,1.5217129110612335e-28,6.083070253200678e-25,0.020522181019152295,6.920558658801752e-20,6.995402520916858e-28
69,1.2918122886749654e-19,1.5217129110612335e-28,6.083070253200678e-25,0.020522181019152295,6.920558658801752e-20,6.995402520916858e-28
70,1.2918122886749654e-19,1.5217129110612337e-28,6.083070253200678e-25,0.020522181019152295,6.920558658801752e-20,6.995402520916858e-28
71,8.258135367421722e-18,8.10997500107308e-18,2.6261683094846685e-25,0.0202583508774925,8.798976886742029e-17,6.876586448966616e-10
72,1.418623729379096e-17,1.4024236246286144e-17,1.0519614965683641e-26,0.020065950730517892,1.5210651152200102e-16,1.1891389667208646e-09
73,1.418623729379096e-17,1.4024236246286144e-17,1.0519614965683641e-26,0.020065950730517892,1.5210651152200102e-16,1.1891389667208646e-09
74,1.418623729379096e-17,1.4024236246286144e-17,1.0519614965683641e-26,0.020065950730517892,1.5210651152200102e-16,1.1891389667208646e-09
75,1.418623729379096e-17,1.4024236246286144e-17,1.0519614965683641e-26,0.020065950730517892,1.5210651152200102e-16,1.1891389667208646e-09
76,1.418623729379096e-17,1.4024236246286144e-17,1.0519614965683641e-26,0.020065950730517892,1.5210651152200102e-16,1.1891389667208646e-09
77,1.7093771957510294e-18,1.6335047900503748e-18,4.022599607017602e-25,0.01943806861941288,2.421755967794404e-12,1.3850766373771692e-10
78,6.451782591296785e-20,9.598281599073415e-36,4.539041863454231e-25,0.019355293164251126,2.741002779088932e-12,3.887743117045735e-22
79,6.451782591296785e-20,9.598281599073415e-36,4.539041863454231e-25,0.019355293164251126,2.7410027790889324e-12,3.887743117045735e-22
80,6.451782591296785e-20,9.598281599073415e-36,4.539041863454231e-25,0.019355293164251126,2.741002779088932e-12,3.887743117045735e-22
81,6.451782591296785e-20,9.598281599073415e-36,4.539041863454231e-25,0.019355293164251126,2.7410027790889316e-12,3.887743117045735e-22
82,6.451782591296785e-20,9.598281599073415e-36,4.539041863454231e-25,0.019355293164251126,2.741002779088932e-12,3.887743117045735e-22
83,6.451782591296785e-20,9.598281599073415e-36,4.539041863454231e-25,0.019355293164251126,2.741002779088932e-12,3.8877431170457353e-22
84,6.451782591296785e-20,9.598281599073415e-36,4.539041863454231e-25,0.019355293164251126,2.741002779088932e-12,3.8877431170457353e-22
85,6.451782591296785e-20,9.598281599073415e-36,4.539041863454231e-25,0.019355293164251126,2.7410027790889316e-12,3.887743117045735e-22
86,1.1947810450051226e-21,2.3865839526921802e-26,1.7920008803888032e-24,0.0003584313904179446,0.019333446389128397,1.2059060623582668e-23
87,6.613534127736848e-27,2.4316138385739226e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
88,6.613534127736848e-27,2.4316138385739226e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
89,6.613534127736848e-27,2.4316138385739226e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
90,6.613534127736848e-27,2.4316138385739226e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
91,6.613534127736848e-27,2.4316138385739226e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
92,6.613534127736848e-27,2.4316138385739223e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
93,6.613534127736848e-27,2.4316138385739226e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
94,6.613534127736848e-27,2.4316138385739226e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
95,6.613534127736848e-27,2.4316138385739226e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
96,6.613534127736848e-27,2.4316138385739226e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
97,6.613534127736848e-27,2.4316138385739226e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
98,6.613534127736848e-27,2.431613838573923e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
99,6.613534127736848e-27,2.4316138385739223e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
100,6.613534127736848e-27,2.431613838573923e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
101,6.613534127736848e-27,2.4316138385739226e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
102,6.613534127736848e-27,2.4316138385739223e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
103,6.613534127736848e-27,2.4316138385739226e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
104,6.613534127736848e-27,2.4316138385739226e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
105,6.613534127736848e-27,2.4316138385739226e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
106,6.613534127736848e-27,2.4316138385739226e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
107,6.613534127736848e-27,2.431613838573923e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
108,6.613534127736848e-27,2.4316138385739223e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
109,6.613534127736848e-27,2.4316138385739226e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
110,6.613534127736848e-27,2.4316138385739226e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
111,6.613534127736848e-27,2.4316138385739226e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
112,6.613534127736848e-27,2.4316138385739226e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
113,6.613534127736848e-27,2.4316138385739226e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
114,6.613534127736848e-27,2.431613838573923e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
