doc_id,A,B,C,D,E
31,1.378846476029615,1.404509269183265,1.408101981398056,1.4122425090506647,1.4109169079527164
32,1.3668505716111456,1.4041558628298734,1.4083788483545672,1.4096529251776488,1.407721303912896
33,1.383082071132897,1.4096820586652261,1.409351797398781,1.412144671255753,1.4119366948108265
34,1.3741008025041483,1.4098342650037605,1.39932561112585,1.4122700907765393,1.4115271177616444
35,1.3753233353065233,1.402409734202882,1.399679761177471,1.4056046813104048,1.4113676053839905
36,1.3797825606368144,1.4067576775927644,1.4027552558107967,1.4074711137716962,1.409701057497633
37,1.373869640742851,1.4050741468580281,1.4063233819474479,1.4092961048170956,1.4109562882983235
38,1.3769296094792873,1.4070864790531554,1.4049105405303695,1.4120180003394627,1.4095326094730463
39,1.3788816234944397,1.4091268405498918,1.4065342727022863,1.4100735292942215,1.4091081488659825
40,1.3742090456315346,1.4027756567780394,1.4037828889111181,1.4046829976325712,1.411606506703398
41,1.3756688781321817,1.4012745671217903,1.3979875184118349,1.401639483586236,1.410928719006356
42,1.3803112521291578,1.4128638688787039,1.409844206937476,1.4102765685038898,1.4121601126713637
43,1.377434395440803,1.406771539252521,1.402311677379123,1.4103990299776237,1.4066647560526317
44,1.3785386283072807,1.4115077239663056,1.4035561031582506,1.4142135623730951,1.4096919063513116
45,1.3723116616930113,1.3861941451841442,1.3812981893070992,1.4090836113571148,1.4034175728738043
46,1.3739768559927488,1.4120931297555845,1.406678037099859,1.4065994280039742,1.409011420153149
47,1.370121690659596,1.3931721586305215,1.4054407891169816,1.413125140777497,1.402668938307303
48,1.3777994707143013,1.4108127228062632,1.407068978423299,1.4071578985384994,1.3969697950807902
49,1.373703505812923,1.4085332471003282,1.407720893994363,1.4111494795138018,1.4075764315021484
50,1.3710059448314529,1.4105430340871006,1.4090242749373583,1.4029499029668084,1.407673443971224
51,1.3706978454783438,1.4068418860228895,1.412591723610062,1.4068115164521426,1.4122158615225215
52,1.3779332239100304,1.4121779289612717,1.4120502598118914,1.4128633165302802,1.4074141121133639
53,1.369719289666057,1.412019824153773,1.4018815846502748,1.409632852480837,1.408466608586918
54,1.3768874725156965,1.3952689208346574,1.4044426693751426,1.4079575458847347,1.4106083170786479
55,1.377481859975638,1.4100870333152975,1.40084648666693,1.4111259658398,1.407210162074709
56,1.3747129503952638,1.4098911841966009,1.4066123787339415,1.4011228795267743,1.4028353969656622
57,1.3749905661860067,1.4114570396907216,1.4099092288728041,1.4094328740312545,1.4076066777358585
58,1.380569956063024,1.411099185531079,1.4073509529732144,1.3833469706406039,1.4093994536533723
59,1.373945090470535,1.4108905074039133,1.4113897280071501,1.383975937541294,1.4079581454484025
60,1.3781762392402823,1.4094402413247256,1.4114628937869178,1.3981852781178699,1.4087401246757543
61,1.4049821687172817,1.4132834492146877,1.3872120642969172,0.7816969075033781,1.3991514037164243
62,1.4083918254375842,1.4098190984051868,1.4106925023691457,0.7208348725382706,1.412047117223789
63,1.4017032984877311,1.4042449706733724,1.4062669468256204,0.7851974403516927,1.4051416145832953
64,1.3780991690159232,1.406612199268534,1.4078277973411815,1.3811361468872934,1.406489641329773
65,1.378027149825277,1.4097681781870972,1.41270728645678,1.3385291941177841,1.4079322203836047
66,1.3787736090168765,1.399187989879023,1.4121246440897877,1.3869307361742547,1.402056465590595
67,1.3784141764496425,1.4131699245616054,1.4075004430207538,1.41059556470526,1.4101295577172055
68,1.3739070921343288,1.4121683289578137,1.4084028541946265,1.39849906118393,1.3965970982918927
69,1.4082229806574809,1.4126266709468804,1.407196734118649,1.4017347033453005,1.2303062551031962
70,1.4071545032697528,1.4056378431977703,1.406252603801439,1.3820229927991627,1.2393784340160812
71,1.4081689626128076,1.4136171085867733,1.4119423377044422,1.4020052921688624,1.2191528002508443
72,1.4096173884591003,1.4082819190305487,1.4091899653362243,1.41030304444707,1.230072887564818
73,1.4085096644253523,1.408013965132775,1.402012090882969,1.4107700748992567,1.2324744496397793
74,1.4074161803930618,1.4083269046368168,1.3999871500882153,1.4040328874782144,1.228121047118348
75,1.4084178591131187,1.4130475131321485,1.412030978356968,1.4110558860278157,1.2064180497972343
76,1.4064367608357065,1.4127617239550383,1.4068571787155413,1.3996508528037808,1.2534622431997209
77,1.4022699266926786,1.408721444924762,1.4059328939223217,1.4108364723612985,1.217099401124587
78,1.4097308248580431,1.4142135623730954,1.4131914664648442,1.4132880615490084,1.19968202463982
79,1.41104473170987,1.413728054123317,1.412634530769605,1.4142135623730951,1.1827511505744466
