para_num,term_str,n
5,quevchaxic,1
5,queεumal,1
5,qui,3
5,quib,2
5,quihilabal,1
5,quixnohintah,1
5,quizizil,1
5,racan,1
5,rach,1
5,raxa,2
5,ri,11
5,roxchic,1
5,rumal,1
5,ruq,1
5,rutzinic,1
5,rÿ,3
5,ta,23
5,tac,1
5,tacah,2
5,tah,1
5,tahic,1
5,tepeu,3
5,tzac,1
5,tzih,1
5,tzucul,1
5,tzucuquic,1
5,tzuquic,1
5,tzutz,1
5,u,1
5,uaxoc,1
5,v,10
5,va,1
5,vach,1
5,varal,2
5,vbana,1
5,vbe,1
5,vbi,1
5,vcab,1
5,vcalaibal,1
5,vi,6
5,vinac,3
5,vinaquirem,1
5,vinaquiric,5
5,vinaquiroc,1
5,vlaquel,1
5,vleu,5
5,vleuh,3
5,vlew,1
5,vnaohixic,2
5,vqux,5
5,vtz,1
5,vtzih,1
5,xa,4
5,xaqui,1
5,xaquitzih,1
5,xatulic,1
5,xbanatah,1
5,xbiniheic,1
5,xcalah,2
5,xchobochox,1
5,xchutzinic,1
5,xcolo,2
5,xcutuniheic,1
5,xe,3
5,xecha,1
5,xenaohinic,1
5,xeqha,2
5,xeqohe,1
5,xerico,1
5,xeul,1
5,xnaohixic,1
5,xol,1
5,xpe,1
5,xqhau,1
5,xqohe,1
5,xquibizoh,1
5,xquicot,1
5,xquicuch,1
5,xquinaohih,1
5,xquinohih,2
5,xquiquxlaah,1
5,xtape,1
5,xul,1
5,xuxic,1
5,xvinaquir,2
5,xvinaquiric,1
5,xvinaquiric;,1
5,zac,2
5,zaquiroc,1
6,alom,2
6,at,1
6,balam,1
6,beyaa,1
6,caam,4
6,cacha,1
6,cahcah,1
6,canti,1
6,cat,1
6,cate,1
6,catvar,1
6,chahal,3
6,che,2
6,chic,2
6,chicop,1
6,chilolinic,1
6,chiqohe,1
6,chiri,1
6,chitzininic,1
6,chuti,1
6,chuvi,2
6,chuxic,1
6,chuεab,2
6,cochoch,2
6,cu,1
6,cumatz,1
6,cut,4
6,huyub,2
6,huzu,1
6,ibinibal,1
6,ivib,1
6,ixix,1
6,ma,1
6,nima,1
6,on,1
6,pa,6
6,puch,1
6,qaholom,2
6,qoh,1
6,qohe,1
6,quechelah,1
6,queh,4
6,quehe,1
6,quibanoh,1
6,quichelah,1
6,quieh,2
6,quim,1
6,quipoco,1
6,quixhain,1
6,quixochochin,1
6,quixpoc,1
6,quixquiritah,1
6,re,2
6,ri,4
6,rochoch,1
6,ronohel,3
6,ta,5
6,tziquin,8
6,v,2
6,varabal,1
6,varal,1
6,vchicopil,1
6,vi,8
6,vleu,1
6,vtz,1
6,vvinaquil,1
6,vxeche,1
6,xa,2
6,xeqha,1
6,xevqhaxic,2
6,xqhitzihoh,1
6,xquibano,1
6,xquichic,1
6,xquinohih,2
6,xucamo,1
6,xutzininaca,1
6,xuyao,1
6,xvinaquir,1
6,yacalibal,1
6,ychacabal,1
6,zacul,1
6,zivan,1
6,zochoh,1
6,zquizipah,1
7,ah,6
7,ahpu,2
7,alom,4
7,are,2
7,balam,1
7,benac,1
7,bi,2
7,bil,1
7,bit,6
7,bitol,5
7,bixic,1
7,ca,7
7,caban,1
7,cabana,1
7,cabi,1
7,cabÿh,1
7,caculha,2
7,cah,3
7,calaixic,1
