para_id,H,G,I,A,B,C,D,E,F
21,1.725341702758783e-15,3.450327776981767e-36,1.3614432188086146e-21,6.44440731051652e-05,0.018820128646031647,9.233875747437167e-42,3.306106328227721e-32,6.397001725361487e-33,6.279404916282418e-44
22,1.1387255238207968e-15,2.1667900212728575e-27,8.985525244136856e-22,4.253308824940903e-05,0.017378857050398388,2.9370440614466383e-22,2.18249437720027e-32,2.430905763220915e-27,8.542878462777908e-42
23,2.4037679203792853e-40,6.3729118205754144e-27,6.793920655008149e-48,2.3322581303520174e-37,0.014581094541227933,8.63836488660776e-22,1.3652957940420753e-35,7.14971041529346e-27,2.500421879508954e-41
24,1.577472710102384e-40,4.1822598280687404e-27,9.135412519038493e-46,1.5305444022016926e-37,0.016284003793161552,5.668926956836532e-22,8.95975537929898e-36,4.6919974600363324e-27,1.6427710881158838e-41
25,3.593739097107115e-48,1.060241923620166e-31,2.6446043388334552e-45,1.2096527134689413e-45,0.019535012365034823,5.529491144930583e-35,5.0353392293162034e-42,7.447047180522869e-44,5.437759092750188e-44
26,3.593739097107115e-48,1.060241923620166e-31,2.644604338833455e-45,1.2096527134689413e-45,0.019535012365034823,5.529491144930583e-35,5.0353392293162034e-42,7.447047180522869e-44,5.437759092750188e-44
27,1.3275379501236173e-48,4.0327606107251154e-28,9.769247371063882e-46,4.545602963867308e-46,0.01667040369761169,2.1596498536351416e-35,1.8738282967673438e-42,2.750961458476733e-44,2.3608927223937725e-44
28,1.733211104561057e-38,1.8913379382891968e-26,3.995151285452966e-66,8.817688705475747e-48,0.015516005450796826,2.3841443406451023e-33,5.329726427051237e-44,4.156223798655457e-43,2.0261068241690108e-42
29,5.825283247464352e-36,5.353316074348388e-26,7.821046224790714e-48,1.0004491655693821e-29,0.017402439053679736,6.911681285646014e-33,2.018088781229363e-43,1.5449749630240986e-37,2.160588657380082e-38
30,3.308255581931381e-35,3.7953439616240665e-34,4.4803421944872515e-47,5.731144505618889e-29,0.020097142716002936,4.937212185704872e-37,5.298511706641296e-43,8.85043037002482e-37,1.2373726452944253e-37
31,3.094125633705614e-31,9.90079288711394e-27,5.968027474689638e-41,0.001954514302281197,0.007134214200692647,0.009087589007845846,4.6928629712678904e-27,1.6757491099941545e-28,4.2964329544477634e-39
32,3.2054132167325e-31,1.02569365024945e-26,6.182704560817243e-41,0.002024820572147427,0.006667921808055586,0.009414480698775552,4.8616709918170955e-27,1.7360278546396122e-28,1.6398032554209584e-46
33,3.2054132167325e-31,1.0256936502494501e-26,6.182704560817243e-41,0.002024820572147427,0.006667921808055586,0.009414480698775552,4.8616709918170955e-27,1.7360278546396122e-28,1.6398032554209584e-46
34,2.8921021504353414e-32,3.029709743051504e-22,1.3066230922040358e-36,0.00018269057793811374,0.000601617005238098,0.0008494268299647116,0.018042851905739784,1.5663409214793496e-29,1.9155367554765888e-43
35,3.302452926635215e-47,3.3301666528385928e-22,1.4361994160214006e-36,3.220423409709523e-33,2.216539350799343e-40,3.9905772703347178e-25,0.01983222564845778,4.5852243708989694e-45,2.105344717680341e-43
36,3.302452926635215e-47,3.3301666528385928e-22,1.4361994160214006e-36,3.220423409709523e-33,2.216539350799343e-40,3.990577270334718e-25,0.01983222564845778,4.58522437089897e-45,2.105344717680341e-43
37,3.3024529266352145e-47,3.3301666528385928e-22,1.4361994160214006e-36,3.220423409709523e-33,2.216539350799343e-40,3.9905772703347178e-25,0.01983222564845778,4.58522437089897e-45,2.105344717680341e-43
38,3.302452926635215e-47,3.3301666528385928e-22,1.4361994160214006e-36,3.220423409709523e-33,2.216539350799343e-40,3.990577270334718e-25,0.01983222564845778,4.58522437089897e-45,2.105344717680341e-43
39,2.0107615931258e-34,1.1911388595910763e-12,2.759200853163017e-37,6.187020355864047e-34,2.742122073900114e-29,8.2471426159492e-26,0.02114512698024376,1.2346492178199064e-21,7.718182036838863e-21
40,2.4889305085641738e-34,1.4743974907561028e-12,5.754550043074801e-46,1.4961509138240614e-42,3.3942120792735287e-29,7.185659488240706e-27,0.021457341321339207,1.5282548244965916e-21,9.553603374867616e-21
41,2.4889305085641738e-34,1.4743974907561028e-12,5.754550043074801e-46,1.4961509138240614e-42,3.3942120792735287e-29,7.185659488240706e-27,0.021457341321339207,1.5282548244965916e-21,9.553603374867616e-21
42,2.4889305085641738e-34,1.4743974907561028e-12,5.754550043074801e-46,1.4961509138240614e-42,3.3942120792735287e-29,7.185659488240706e-27,0.021457341321339207,1.5282548244965916e-21,9.553603374867616e-21
43,1.944224980215378e-22,1.4042520890178196e-13,5.510180526016474e-47,1.4265329676216747e-43,3.232582932641456e-30,6.843485226895911e-28,0.01814122617182531,1.455480785234849e-22,9.098669880826302e-22
44,2.148880241290419e-22,7.073969748190395e-18,3.2778430781575755e-49,1.7986338723128123e-46,3.664612690272523e-47,5.321143647246597e-49,0.017792161419244903,6.433700729783756e-42,2.0238242816827542e-44
45,2.148880241290419e-22,7.073969748190395e-18,3.2778430781575755e-49,1.7986338723128123e-46,3.664612690272523e-47,5.321143647246597e-49,0.017792161419244903,6.433700729783756e-42,2.0238242816827542e-44
46,2.148880241290419e-22,7.073969748190395e-18,3.2778430781575755e-49,1.7986338723128123e-46,3.6646126902725223e-47,5.321143647246597e-49,0.017792161419244903,6.433700729783756e-42,2.023824281682754e-44
47,2.1190346823836073e-22,6.975720326527443e-18,1.636744286367973e-42,1.7744519081957006e-46,5.531337678707656e-27,1.3186488608608998e-24,0.017780514841287436,6.361908371035469e-42,1.1103793596436002e-35
