chap_num,G,E,H,A,C,F,D,B
44,0.029999045357040326,2.2393109847909537e-22,6.855856824792022e-25,0.40337769941523255,2.2681125980363756e-27,6.024591767317679e-19,1.3190061803689293e-32,2.214971179512631e-15
45,0.03175064538477726,2.2094543522934114e-22,8.299866130561793e-05,0.40199942798401606,6.215210887081795e-24,5.944263877086777e-19,5.190274919154631e-28,2.1854554416103813e-15
46,0.16136904743731073,6.354747528441428e-27,0.006224899597921344,0.3000073420739935,4.6597297619887995e-22,3.0759550303110316e-36,3.8926085829086255e-26,1.2908368438832002e-18
47,0.2282738847744018,1.4146559419166642e-16,0.04055358169609739,0.17164260513998816,1.521427167501913e-22,1.6903441004792339e-19,3.3822547170710266e-13,6.181452204061031e-18
48,0.30570903663066074,7.204439845460141e-16,0.002970774387105499,0.0940540841794577,2.4870137207193507e-25,1.2395446249639751e-20,4.280758833526598e-19,2.933445685371554e-17
49,0.30570903663066074,7.204439845460141e-16,0.002970774387105499,0.0940540841794577,2.4870137207193507e-25,1.2395446249639751e-20,4.2807588335265974e-19,2.933445685371554e-17
50,0.3431390219826926,1.1510721192836527e-12,0.0006551517659776385,0.020741965332352744,1.1093918128119038e-07,1.0678920003328146e-15,1.8393989852535782e-08,3.182936966995089e-08
51,0.31749012988910613,0.036346583970886026,1.3137737048809524e-26,7.193620422504817e-06,6.095458089588282e-08,7.155684508603669e-12,1.0086991713889036e-08,0.0016537728231984926
52,0.36893393559528564,0.015870225032889314,1.0141966571196023e-16,3.1409932487917638e-06,5.165452110074909e-11,3.2419711400929915e-12,0.014531971875026126,0.0007220890377446929
53,0.3227728246384255,1.8121741277710615e-18,7.33154209965236e-16,7.492214394665079e-19,7.23489006323983e-21,8.515501466513183e-13,0.10505039909598575,6.389040843838988e-23
54,0.331960770681092,1.3608401956534988e-18,5.50580615446597e-16,5.626408005436394e-19,6.930411627078906e-05,6.394659591835005e-13,0.07888690347207987,3.772298973335979e-17
55,0.38249644613060463,5.151810467023724e-27,5.101780800157969e-20,3.813552768077199e-21,0.00014643046287188727,1.257719694004486e-25,1.9944375219150797e-14,7.970360415883938e-17
56,0.38174316465409414,9.31796832764204e-26,2.1639618507361948e-11,1.6506527317028918e-07,1.6172743275470835e-12,0.0162785951929407,0.0018632921931206678,9.990376816985793e-14
57,0.09514732828651988,2.710256942861204e-24,1.173242424991895e-12,1.8644977184820027e-15,1.158363656962305e-25,0.04662221276379749,0.000100654920465311,0.28170978571983124
58,0.310235477444591,4.9997219446390325e-09,7.348878963139477e-14,2.920551132734947e-15,1.1395593537020968e-10,0.05993652088760313,2.3764357480318905e-13,0.01132516638014514
59,0.0574651060799402,9.618418475357942e-10,1.4137694505820825e-14,5.618524935709199e-16,2.192272175091511e-11,0.01046271220233874,4.5717988936129254e-14,0.3639040888135367
60,3.9431145228359384e-16,1.4640664941751591e-16,1.5136989664150055e-28,8.987066466061997e-38,2.4172342162935677e-19,1.3927918422905557e-21,7.758934101594055e-20,0.39649172720052855
61,4.1827494796916316e-15,1.2264843284962479e-23,1.5359297468289516e-13,2.0371393390757106e-33,1.8365604246122895e-24,1.507957243082621e-29,1.3428947204931749e-31,0.4449220724761221
62,2.196359821113895e-06,1.9873710741930027e-18,1.7690999061161116e-14,1.3208896954124273e-23,1.3520225040417066e-13,1.5019356521776562e-16,5.362626143998022e-22,0.44605263646992865
63,0.1457059820051099,3.8208571354006577e-16,0.0030986153564935763,2.6506655555767785e-17,0.011694179433550903,5.223802274046375e-12,2.0858702613767376e-21,0.27060023567023667
64,0.3863023737821264,2.3919470693597553e-16,0.0019392481397903331,1.7210747145975648e-12,0.007318725657487663,3.269116265266654e-12,2.352080048632504e-17,0.028264138460691545
65,0.2922747573485052,1.3177444256793062e-20,0.14235018107100814,2.0138499911476072e-13,8.749108110823857e-25,0.00337990658945153,1.3573664179209937e-05,1.0985826142932458e-12
66,0.2803824480088629,5.518144196327058e-21,0.15485391319210712,7.581610160036937e-28,3.576786707889766e-31,0.003676790276362813,1.4765945492245654e-05,1.191738462575006e-12
67,0.10046290066107676,1.977220157391448e-21,0.29237745385574954,3.9210960428240496e-28,3.571807669294138e-25,0.0013174167114003564,5.2907296552020255e-06,4.270072667206865e-13
68,6.018995487641032e-08,1.9360007199709658e-26,0.39176758777653264,9.941147053704454e-29,8.331242056416989e-23,5.478754647850073e-17,1.2544571864291711e-26,1.2983990356171608e-09
69,6.0123717613060585e-18,4.0057626462771716e-26,0.40382240563798627,3.965754329994327e-29,4.904708734288682e-33,5.996176524098508e-16,1.3729326534626522e-25,7.910812087938379e-23
70,1.8076548904328832e-17,1.3332290466155244e-10,0.401275925963852,2.8813152087563656e-28,2.723764793075808e-29,5.691289351444903e-16,3.4345365511309105e-24,4.747459371457576e-17
71,2.432745222407539e-16,2.6220171250105303e-09,0.3537416387133446,4.9263124356219114e-27,5.355821880752022e-28,6.21285775890167e-21,6.498307788577763e-23,9.336655330350669e-16
72,2.432745222407539e-16,2.6220171250105303e-09,0.3537416387133446,4.9263124356219114e-27,5.355821880752022e-28,6.212857758901669e-21,6.498307788577763e-23,9.336655330350669e-16
73,2.432745222407539e-16,2.6220171250105303e-09,0.3537416387133446,4.9263124356219114e-27,5.355821880752022e-28,6.212857758901669e-21,6.498307788577763e-23,9.336655330350669e-16
74,6.310951168595178e-09,1.7813704131750935e-09,0.37138993147662297,1.804830532365245e-11,2.1644479434886509e-19,2.874486810808776e-15,2.5288934958517783e-13,6.343224584875956e-16
75,1.796924911124159e-08,2.1830161432335715e-10,0.40547935991577705,5.138916851323039e-11,0.0002591480326685331,8.26168502471158e-12,2.5121493375087826e-05,0.0006033088983706544
76,9.366281305927041e-12,1.75553700579031e-09,0.3575607333425485,3.8513535814002334e-17,0.002084015561394266,6.637296547560056e-11,0.00020202191419104425,0.004851686966654508
77,3.1284606105236286e-11,7.336008729648314e-36,0.3265421658628934,1.602976622226522e-21,1.60108790697326e-24,2.2529861576193712e-29,1.7463841627431775e-25,1.206268059006385e-19
