parte,capit,E,C,F,A,B,D
4,7,1.2806808891498476e-16,4.4176278152188255e-26,2.66792973747863e-29,3.394318674693654e-34,7.382900446448616e-26,0.01456140489585134
4,8,1.0567217278219776e-06,8.612457865344905e-27,8.134256310416603e-24,1.987498811479499e-31,1.4389015149555137e-26,0.012824487021799526
4,9,0.012494570035109268,1.1525467433597323e-27,5.89126518237503e-21,1.997759442789325e-25,9.393729771897388e-25,0.0023926147178180987
4,10,0.016395922805354308,2.158426593353768e-27,3.9642298268803425e-05,5.673327859587437e-21,4.9017951627745586e-21,1.32261915657844e-20
4,11,0.012851404003307271,5.449679493268008e-30,0.003698894857794219,6.285523244610562e-31,7.514714042751302e-31,1.482254203848848e-26
5,1,6.727953270908789e-22,4.155265121310515e-33,0.015594445075557269,2.397599708981511e-30,8.302040369725189e-31,5.1892116110241156e-30
5,2,3.086639230005719e-18,1.2578934721513064e-23,0.014676141827905687,4.7879824071481115e-30,1.5754786966497252e-24,1.6239513567281238e-24
5,3,4.9128301359134704e-17,2.000486478972273e-22,0.016944797273735452,7.198810077120397e-29,2.5100846695703967e-23,6.379693394705404e-25
5,4,4.9128301359134704e-17,2.000486478972273e-22,0.016944797273735452,7.198810077120396e-29,2.5100846695703964e-23,6.379693394705404e-25
5,5,4.9128301359134704e-17,2.000486478972273e-22,0.016944797273735452,7.198810077120396e-29,2.5100846695703964e-23,6.379693394705404e-25
5,6,3.6414605029840574e-17,1.4816625717926674e-22,0.016146338030128132,5.376099928726127e-29,7.573082021684047e-21,4.741277242313581e-25
5,7,3.4198189079092716e-18,3.309629690703359e-27,0.015140302887105682,4.2762945445810736e-17,1.3253444318733583e-20,2.810181420588013e-26
5,8,7.486697940443623e-12,2.8627385032693467e-31,0.013317203574978191,3.0973409518019627e-18,4.8977897316002146e-31,1.82944408229718e-27
5,9,4.5649932352784805e-20,1.1972750497157173e-32,0.009806187162847386,7.208563882968394e-29,3.433895103275056e-33,1.4946699506562699e-35
5,10,4.5649932352784805e-20,1.1972750497157173e-32,0.009806187162847386,7.208563882968394e-29,3.433895103275056e-33,1.4946699506562699e-35
5,11,4.5649932352784805e-20,1.1972750497157173e-32,0.009806187162847386,7.208563882968394e-29,3.433895103275056e-33,1.4946699506562699e-35
5,12,,,,,,
5,13,,,,,,
5,14,,,,,,
5,15,,,,,,
