doc_id,A,B,C,D,E,F
48,1.0763183116707529,1.3129709020570393,1.3151199543164909,1.298671963794591,1.2152155720316193,1.1925196876480848
49,1.2311385474552947,1.3372258142183475,1.336061537678125,1.3242160656893038,1.0343951242486094,1.257925672951476
50,1.2913155007089887,1.3238446438629927,1.3188449709575871,1.3315680615056456,1.0946924641972413,1.3078581912709206
51,1.278715346437124,1.3313018974081094,1.289888876382537,1.3098069580392162,1.0645285720811875,1.3267255282430293
52,1.2857206746900836,1.3244794267803088,1.320829967870166,1.3277040605281454,1.0702256929581033,1.306954101248587
53,1.28522917639078,1.3172836607318028,1.312342366604219,1.3098613428180803,1.1721379664653242,1.2854530520628524
54,1.279805697958596,1.3281566463870027,1.3301741082028196,1.3263333705801046,1.075496191661505,1.2741769725998564
55,1.2573979856861492,1.3214017922977783,1.3209749683538745,1.302173890991185,1.0401698944853646,1.2741696008573102
56,1.2375977783796424,1.2952976312603575,1.3096548287997534,1.2685408097843682,1.096033828447857,1.2657639783168029
57,1.2806105924489866,1.3468689703255796,1.3369474648190427,1.3225423080789303,1.1188249977296063,1.2736113736751467
58,1.3026083308128784,1.337381646721658,1.3315683160973983,1.3060911134858408,1.1759618669406309,1.2732011885380372
59,1.2915139935313789,1.346567596859005,1.3287425588379422,1.301876111447015,1.0656144761847717,1.295239015516107
60,1.3025475883957216,1.3417744586171827,1.329124003522736,1.3244880524824398,1.1150188828444574,1.288538748291134
61,1.3239016616698767,1.3169053711314274,1.3024450822022429,1.2974980911356453,1.1778594513150662,1.307108916704359
62,1.3385829053617875,1.3564650149934503,1.339489456554145,1.3363752928001418,1.1330016933349496,1.3403578666321632
63,1.3009850434303678,1.322746142770182,1.309406998296612,1.3171914589360583,1.0944562112029335,1.257270252350859
64,1.28110746651243,1.3254149030360813,1.3084679362032403,1.3045985793872898,1.1034667117119894,1.2693956841260208
65,1.2902558465036589,1.3373012734045764,1.331460082552488,1.3186452072797241,1.1084814895232888,1.2552896117517098
66,1.2680858926712895,1.305004848888729,1.308741849217652,1.3088852582731083,1.0559270984683875,1.267689932873611
67,1.2379616593796627,1.3037302668848614,1.3048425953871308,1.3059574608600855,1.121329869912495,1.2749674367817916
68,1.281441403340994,1.332061106780684,1.3108319329643294,1.3100876098339742,1.1142177985880923,1.1820419641910147
69,1.3004653984840346,1.3311595421700373,1.3211361820228489,1.3083165917284716,1.2656540342384053,1.0236817436675592
70,1.3187425574133016,1.3391037435122906,1.33187404683294,1.343719387771666,1.276370583330992,1.0549907256804807
71,1.3009259227151841,1.3523450059507098,1.3112929280249739,1.327875968704798,1.2753879660364356,0.9713047588812654
72,1.3058332878975913,1.339743293554452,1.3066934673496249,1.3374475098389618,1.28689927575511,0.9650007929410499
73,1.292676670702756,1.3268581040614045,1.3239251471591325,1.3249001573303354,1.2644711208842219,1.0292530788204006
74,1.2806361614982955,1.330149066590869,1.3084654335180737,1.3197165388286634,1.270072272883898,1.0344697740041957
75,1.3013015166451647,1.353900376952169,1.3466812821767524,1.3548893995825848,1.2893951030508428,1.0486444991893706
76,1.2560637906310792,1.3139988225616017,1.3008698503710152,1.3040656480995163,1.266456348192063,1.0535378499083814
77,1.2454237436579758,1.3374481330368244,1.324120538593716,1.3336090227265465,1.2344604422602674,1.028231433295941
78,1.319380356185269,1.3735915153712874,1.347751781526538,1.362294461464094,1.3199424227442074,1.0133201615710004
79,1.3222044864926887,1.349168225480868,1.327253427310599,1.3459900564701803,1.3219469295640898,0.9963926774230981
