term_str,n,gloss
chikuch'aj,1,
chikuk'a'j,1,
chikunaj,2,
chikunaj?,1,
chikuya'o,1,
chila',59,
chilajajik,1,
chilib'lotik,1,
chilik,1,
chilita,1,
chiloq',1,
chimachka'ij,1,
chimala,1,
chimalkan,1,
chimalmat,4,
chimalmatib',1,
chimatzalaj,1,
chimayo,1,
chimeq'oj,2,
chimich',1,
china,3,
chinamit,16,
chinamit;,1,
chinaq,1,
chinawachir,1,
chinb'ij,1,
chineb'owik,1,
chinkanaj,1,
chinkiyow,1,
chinwulij,1,
chinya',1,
chipatanij,1,
chipe,12,
chipetik,2,
chipoq',1,
chipoq'otajik,1,
chiporoj,1,
chipusu,1,
chipusu',1,
chiq'ajaj,1,
chiq'atat,1,
chiq'atatat,2,
chiq'atoj,1,
chiq'osin,1,
chiqab'an,3,
chiqab'ano,1,
chiqab'ano!,1,
chiqab'ano?,1,
chiqab'ij,5,
chiqach'akb'ej,1,
chiqach'ako?,1,
chiqachap,1,
chiqachokonisaj,1,
chiqaj,2,
chiqaj!,1,
chiqajik,1,
chiqak'ux,1,
chiqakamisaj,1,
chiqakanab'ij-,1,
chiqakanaj,1,
chiqakoj,3,
chiqakunaj,1,
chiqariqo,1,
chiqasaj,1,
chiqata,1,
chiqataqej,1,
chiqatij,1,
chiqatix,2,
chiqatoq'ob'aj,1,
chiqatz'onoj,2,
chiqatz'onoj-,1,
chiqatzaq,2,
chiqawik,1,
chiqawinaq-b'itoj,1,
chiqawinaq-tz'aqoj,1,
chiqawiqo,1,
chiqawub'aj,1,
chiqawub'aj-,1,
chiqaxekeb'a,1,
chiqaxib'ij,1,
chiqaya',4,
chiqaya'o,1,
chiqaya'o!,1,
chiqelesaj,1,
chiqil,3,
chiqilo,2,
chiquk'aj,1,
chiraj,2,
chiral,1,
chirayin,2,
chire,2,
chirech,1,
chireqaj,1,
chiri',118,
chiri'!,1,
chiri':,1,
chirilo,1,
chisach,1,
chisachik,1,
chisaqirik,1,
chisepesoj,1,
chisetet,1,
chisilab',1,
chisilab'ik,1,
chisilob'ik,1,
chisipojik,1,
chisolmukuj,1,
chit'isa,1,
chita',1,
chitajin,2,
chitaninik,1,
chitaqen,1,
chitemaj,1,
chiti'onik,1,
chitija,1,
chitija',1,
chitijowoq,1,
chitikar,1,
chitiltotik,1,
chitix,1,
chito',1,
chitoq'ob'aj,4,
chitu'nik,1,
chitu'xik,1,
chitz'apitaj,1,
chitz'aqatajik,1,
chitz'ib'aj,1,
chitz'ininik,1,
chitz'onoj,1,
chitzaq,1,
chitzaqo,1,
chitzayab',1,
chitzijon,1,
chitzijox,1,
chitzijoxik,1,
chitzonob'a,1,
chitzuqun,1,
chiwa'katik,1,
chiwach,1,
chiwachin,2,
chiwachinik,1,
chiwaj?,2,
chiwar,1,
chiwaraj,1,
chiwe!,1,
chiwelesaj,1,
chiwi,1,
chiwil,4,
chiwila,3,
chiwila',1,
chiwinaqir,9,
chiwinaqirik,1,
chiwoyob'ej,1,
chiwulij,1,
chixaj,1,
chixe'on,1,
chixeke,1,
chixib',1,
chixib'in,1,
chixib'inik,1,
chixima',1,
chixkib'an,1,
chixkikot,1,
chiya',13,
chiyekow,1,
chiyojyox,1,
chiyom,1,
chiyuch,1,
chiyulinik,1,
cho,2,
cho-palo,1,
cho[:,1,
chob',4,
chob'il,1,
choj,3,
chojib'al,1,
chojim,3,
chok,12,
chokik,1,
chokoj,10,
chokojib',3,
cholan,1,
cholochik,1,
cholom,1,
cholon,2,
chomi,2,
chopon,5,
choq',6,
choq'ik,2,
choq'ik?,1,
choq'itajik,1,
chowen,24,
chowen-,1,
chowen:,1,
chowen;,1,
christianoil,1,
christowal,1,
chu,28,
chub',2,
chub'an,2,
chub'ano,3,
chub'aq',2,
chub'aqala,1,
chub'ik,1,
chub'inik,7,
chub'uchu,1,
chuch,6,
chucha'xik,19,
chucha'xik;,1,
chuchakuj;,1,
chuchax,6,
chuchaxik,1,
chuchi,1,
chuchi',11,
chujujunal,2,
chuk'axaj,1,
chuk'ayaq;,1,
