doc_id,G,E,H,A,C,F,D,B
28,2.6272779671471643e-08,5.463833669439187e-10,1.192929398643821e-25,1.461600838591338e-24,3.2359660358679566e-09,0.42998706393896785,1.0258986678652432e-11,1.8938076676670414e-18
29,1.7080974672324732e-27,5.374497739844146e-14,1.267803835532396e-34,6.988513089598018e-32,2.876912485415179e-19,0.46394097840318055,1.9325760519394032e-17,3.956705640917709e-30
30,6.6238756140827284e-21,0.29374435250367176,4.706708478876075e-26,5.082474301059176e-27,3.5324148679583e-08,0.10688855945182396,1.5876113858605732e-08,3.0738636493320946e-34
31,5.094501786766634e-27,0.19542422538018278,3.128329324600809e-32,1.2858566308219867e-24,0.10828999931149866,1.1058753768300579e-06,1.0345950159443477e-10,2.8834320165835e-30
32,2.7086418312220585e-22,0.19159005262040363,6.779838157022856e-19,2.9614027552557603e-16,2.391919893669261e-18,0.2747828081968839,1.0911940654526548e-13,1.5604482955193705e-19
33,1.4969201085391473e-30,0.10704793325499011,9.312496106682344e-21,6.8432180320270405e-25,1.8004520670495793e-10,1.2079274052615988e-14,0.17758947604746045,2.4767348797429016e-18
34,2.6400151969756892e-17,0.41564334320563456,1.0708026666726691e-26,1.2934565898346505e-29,1.1165264504415833e-06,2.642477552278185e-26,1.335784880964831e-05,3.3607046673173177e-22
35,1.1215615965611944e-23,0.3395758157081676,2.9513602380226343e-37,8.426310188682011e-20,5.2144975826832e-13,2.7529191581119683e-17,1.6050713221354805e-23,1.5822506281151787e-15
36,2.4825164860408495e-21,0.38130837106973486,1.4011886118883795e-26,4.81850111848261e-27,6.151139006327184e-13,1.5754067583058274e-14,1.8142104822523177e-15,1.154988318464446e-22
37,0.03209764391395723,0.3589416382737439,1.116430359097388e-25,5.196500949326465e-27,4.64869548104504e-14,2.4612213234261805e-14,1.809983266599204e-15,1.3898690928511614e-11
38,7.642070857529173e-08,0.41133186709920005,3.948738448203317e-16,0.016333443962068254,1.6622264662035588e-06,2.030525657153424e-13,2.2370899608617473e-09,1.7088223057308867e-22
39,7.61160801382263e-23,0.38321358463503236,4.249472917616424e-21,6.709638255695301e-22,4.8394211282239146e-20,2.7118232536172556e-15,1.3942889060742013e-18,1.4253714992739898e-14
40,2.9444933753069485e-18,0.45596342087305713,2.6905738689835375e-26,8.978641437908417e-16,1.33078757368242e-08,3.9231560669072356e-13,3.686694368800289e-26,3.9020531587324384e-12
41,7.116798083639164e-20,0.43417730300342167,2.6752534424415417e-09,3.4394185630912034e-18,9.440276850252535e-20,5.670750110271479e-14,1.957336866712968e-18,7.572261480941327e-11
42,2.164856784384291e-17,0.34728971583118723,2.761281678634363e-05,9.38712906168101e-25,5.84595990024455e-16,1.6968026381087776e-18,3.3879693382331463e-13,2.5332793186109238e-11
43,0.2300298300765956,0.1960712312243724,0.011141214286215721,3.400544365147955e-12,5.914687651354317e-07,0.00038894709428284114,3.5154204381936466e-09,0.00017704110662413187
