doc_id,C,F,E,A,B,D
73,8.665016924188366e-17,0.0017921364939112456,3.0980401325430265e-12,1.4704081067598295e-18,1.1036476273144363e-22,0.01480840961854746
74,1.5315623284550745e-13,5.99017978094237e-07,7.861153264061377e-12,5.7710333451960206e-08,1.1386510731139685e-17,0.01578811046353496
75,0.00010853604385954937,0.0195980113068762,7.53635301687034e-10,1.2341625964749356e-10,7.005574182770099e-05,6.884340723971792e-08
76,9.350941162518635e-33,0.01200964853250673,4.318043866431341e-25,9.04144707846442e-37,4.986097506309626e-40,9.250921440281029e-37
77,2.8084994174346307e-13,0.018626232000118304,1.4405680139893523e-07,7.9222730951481e-09,8.506504690776714e-22,4.22796487514944e-11
78,5.268956835124087e-18,0.005629467942426629,9.565311474134135e-05,0.014048257980938528,3.776777775592913e-21,2.5849116361436766e-06
79,1.3215413618569735e-32,0.009131499112317372,0.0011290481771915343,5.837577316257941e-33,2.638542439140665e-20,1.4483732776580033e-18
80,1.8544244631055517e-50,1.808638206756906e-10,1.7453481895961646e-16,1.3133900203285478e-27,9.696138357384487e-40,0.01006796486749532
81,1.0010340167345755e-34,0.009316273958711794,4.705386827064216e-34,7.668654708433398e-39,5.680023887855431e-45,6.7177957832347844e-46
82,5.0197742235291076e-49,0.0017667885236005794,3.0986821908607034e-16,3.655564592388181e-34,2.1545556286306236e-30,0.008308000999178035
83,7.948740078688478e-29,0.00827260274939759,1.989016085557531e-37,9.939126457106145e-42,2.455776578352948e-38,1.4970896867338763e-32
84,1.643288529084178e-43,0.0018091661884791952,1.94531007993447e-09,3.167093276323749e-39,0.005359058070725709,7.109948115439653e-15
85,2.1347997971550664e-45,0.006742931375436253,1.979815746365556e-40,6.259161989418907e-32,2.7095260609666116e-38,1.7621733678655126e-48
86,8.838981258459514e-19,0.010362263336323863,4.2300250413910494e-19,2.165410860909047e-23,5.258323846717023e-21,1.1351453881409379e-26
