chap_num,F,D,G,A,B,E,C
43,7.276300620337999e-18,2.069734948699084e-14,5.921348684724922e-25,0.02502300557532976,2.1665520534837646e-09,1.0882600179848536e-20,5.217624374756522e-21
44,0.0006494149582662256,1.2115521650929174e-14,2.546222092592371e-12,0.024821686831034685,1.2682255922831792e-09,6.3704073210342475e-21,3.0542191462654873e-21
45,0.0015662360758185339,1.858511417253907e-26,6.140888576251353e-12,0.024537472133206346,3.027641827192696e-27,2.5269682583927394e-25,1.6049683091670327e-31
46,0.0015662360758185339,1.858511417253907e-26,6.140888576251353e-12,0.024537472133206346,3.0276418271926965e-27,2.5269682583927394e-25,1.6049683091670327e-31
47,0.009931461448593599,7.509628009052918e-22,0.0005091903400696212,0.016598889772383038,5.730656979665127e-23,2.145805525066887e-24,1.0730241551968577e-08
48,0.014081524619911969,1.123512946871703e-21,0.0007618042216879613,0.01266048801749988,8.573536989291613e-23,3.0849936929716372e-24,1.6053610415299292e-08
49,0.019836571662663186,8.113632465401243e-18,0.0002437773509401681,0.004051356165611418,6.166797735810171e-12,2.851487003054282e-18,5.137155362486986e-09
50,0.02254482909454611,1.1931283737144475e-17,3.011739298064854e-17,1.6848644358831987e-14,9.068820199680493e-12,4.193361788023971e-18,4.3516489242128676e-17
51,0.022526249865680092,0.0005211221351264663,1.8992234635130257e-17,8.570778912596057e-12,5.7188612784001954e-12,2.6443816021172366e-18,3.122003540845289e-17
52,0.023772341005973446,0.0010510102890259375,1.0031273079265541e-22,1.7265526870496114e-11,5.087966655218528e-05,3.6070094017566014e-14,5.374837700264891e-13
53,0.027505546342901636,1.1289964198709918e-22,3.932927026263696e-22,4.8030076948984384e-15,0.00019952810412620847,1.4145134893907964e-13,2.107749607818004e-12
54,0.027505546342901636,1.1289964198709918e-22,3.9329270262636956e-22,4.8030076948984384e-15,0.00019952810412620847,1.4145134893907964e-13,2.107749607818004e-12
55,0.023195779018369292,1.6579671784032886e-23,7.051820434424332e-22,7.054633442674135e-16,2.930132997657607e-05,2.0772575739711857e-14,3.0952966268656003e-13
56,0.02635412429929593,1.5187770816864665e-29,1.1426056248072794e-14,6.787064228467769e-11,5.343701130885763e-24,2.603395931765958e-13,2.4537399873600044e-21
57,0.024012914493360425,5.86964103365977e-16,4.6028072849887905e-14,2.8123482062861767e-19,5.5289860771332744e-17,0.00016344961184518555,5.0134378404110605e-19
58,0.022942193216630987,1.5832869356475942e-15,3.4982393374451067e-22,3.449781930155725e-20,1.4913980582594487e-16,0.00044089175741220685,1.325972565847497e-18
59,0.022199906551108817,1.9975977059369622e-07,1.4745920738189454e-18,1.0589342264865962e-29,6.840786554908413e-06,1.3367464462408354e-12,8.350044787866393e-06
60,0.022126976795031342,1.4943270131496522e-07,9.905818888341254e-16,8.070907979095352e-21,5.1173325778966615e-06,9.999693292735562e-13,6.246351333558969e-06
61,0.021910431519293613,1.8687348606618992e-14,3.9274697084454975e-15,3.20352962548132e-20,2.2805968087224133e-19,3.5120148161806275e-19,6.542221408979693e-22
62,0.024221466219227352,8.089951578064258e-12,2.388453296828847e-12,1.756152301877251e-21,4.122660257897563e-19,9.413479289674657e-19,7.170697303239324e-20
63,0.027035115906121076,1.3474896716664463e-12,1.820677976954301e-10,6.333489347672705e-11,8.415149728681833e-08,1.2191003630690483e-13,1.633182400680311e-14
64,0.025153981400641897,3.2639046036473957e-20,0.0020764866700382083,3.437289582153322e-11,4.567041152881685e-08,1.1862058201435775e-12,3.0320101111399016e-05
65,0.023144627016814166,2.737002576975098e-26,0.0038180559539434202,5.477182678964415e-21,2.6517065293082064e-27,2.059434469152554e-12,5.5749863317565214e-05
66,0.023144627016814166,2.737002576975098e-26,0.0038180559539434207,5.477182678964415e-21,2.6517065293082064e-27,2.059434469152554e-12,5.574986331756522e-05
