parte,capit,E,G,H,A,C,F,B,D
4,5,0.94856184073815,2.323269695933183,1.1308619821399737,1.0753735959792656,0.7943990675014803,0.7702345773423351,1.360754025563645,0.8137798030337227
4,6,0.7391265565825573,2.10142431327697,1.0915645698735237,0.8906099289936135,0.7083082328727349,0.9318824713660246,0.8437855816633708,0.7187221699321653
4,7,0.9460621485386596,2.916423676223189,1.12549105400317,0.8858738064355951,0.7283774423972285,0.9682670773479574,0.7258517432375104,0.7747120807697621
4,8,0.9823646055465078,1.5473610991082831,0.9760747348806583,0.7842116483723385,1.2152894142953923,1.0438608688376012,0.8722959487917673,1.151725491494368
4,9,0.989542673173634,2.079320759813475,1.1007639483840135,0.8186975839579468,1.3183440340502457,0.9340223163314326,0.7883984181881822,0.8258688509655288
4,10,1.0503335774569293,2.486884166624258,1.1786430043255534,1.0141310346651002,0.8237839083250049,0.9006303124533355,0.9681634121224708,0.7997198892394615
4,11,0.7773936574559781,2.334615378390803,1.0531168841859624,1.0027198444308603,0.7074155648398804,0.7050088553957071,0.7280201832339686,0.8371358823475413
5,1,0.9136969602815433,2.131525570309207,1.687318273607413,0.931262639064392,0.7255045756726582,0.7999098484485481,0.9363206093594273,0.7940311490247461
5,2,0.9824148783731765,1.258675610362968,2.532956582194909,0.8612679762926275,0.7712577872381681,0.8542895414486938,0.9101586174102027,0.8790243496731414
5,3,0.7114753986161292,0.5932365947706797,2.9260354234989543,0.6768315564126577,0.5430841502525343,0.790574360112853,0.5483439800616484,0.8753052907752056
5,4,0.4603107637205064,0.6810303537164774,3.8879103402660955,0.55971993683751,0.6386596864657411,0.6419896482532681,0.3608047871589016,0.7056492982288198
5,5,0.9553990646795505,0.7643420757827095,5.405250618045822,0.5405777092945588,0.8270785629869796,0.7338365801961682,0.3410243491703499,0.9592894349284813
5,6,0.9029086458046733,1.1423077914429807,2.75197264649248,0.8274713570886217,0.7854045474048723,0.9853421648061602,0.6531607692804532,0.9798600080854446
5,7,0.7576348999534696,1.0818104748654087,2.292448267708598,0.8378248006886974,0.7940781193125744,0.8388855630284262,0.7827034421563382,0.8907472970780018
5,8,0.7869245378268429,1.2629298560061368,2.145718897490547,1.14302872184567,0.6998871906013383,0.8158237539549121,0.8419790743907124,0.8577706497089191
5,9,0.5272374757858381,1.3453529668373785,2.3737947959098995,0.647883271509209,0.4404424567979548,0.5537316806401845,0.36955898598843634,0.6191585753798762
5,10,0.7864690498585386,0.6955336539935588,3.752634031055852,0.3812095301098325,0.540955332038257,0.837215464917396,0.4586642050782192,1.0988304766940211
5,11,1.5307383967972954,0.9235821464742878,3.7132397336647758,0.7239412400044167,0.6635856938451363,0.8091992887757741,1.3488851694479944,1.6757408347541338
5,12,0.4697159538070004,0.7525201411042123,2.8380182112324603,0.5850467229523565,0.4298975586213944,0.4044440816497604,0.48086447005380734,0.5713487115042284
5,13,1.5999932904357976,0.7042998859204461,3.9940094365676835,0.5115917279313472,0.7529849568678473,0.9130703435916487,1.2868105196726671,1.6615458502840847
5,14,1.2811963074007344,1.0360293120531259,4.7344359141095325,0.8465955162819323,0.9061788198721308,0.810842286111302,0.9112873983354289,1.462522246063853
5,15,0.8838103511434864,1.414452427704961,2.674632106618149,1.1592049185558744,0.9171368793921191,0.8836742712796914,0.7318203574897544,1.235582775873874
