para_id,H,I,A,F,B,E,D,G,C
10,8.734970596373259e-24,6.179171421955312e-47,7.005263444777547e-112,7.010335915812564e-86,0.007296023739790313,2.10177466226409e-62,1.670305468708637e-22,1.134775819208431e-54,0.010743312901958953
11,2.194741984337137e-06,1.1909195423157506e-54,1.386429308397451e-107,1.2711326755528022e-55,0.018383093669578295,2.2999922945248294e-28,5.074876613997609e-05,3.630321551417871e-47,4.247040372293744e-22
12,3.792698532203739e-33,1.2283598353362025e-42,1.8802366447689938e-54,8.498685511567674e-72,0.01835737472853917,2.201674817421474e-62,3.885481103892864e-50,1.700291579125134e-56,3.7531570980264556e-25
13,0.001654820719470466,2.978026543576416e-35,1.7024234120603534e-67,3.1078346857618883e-24,0.018421172982994005,1.1966227627849561e-33,1.1171037074406366e-36,2.762194139366918e-41,1.8259195755423779e-40
14,0.0017568385319835767,8.456180882805049e-26,2.6268255121839637e-43,5.328501339705983e-19,0.02336161151901525,0.0018062108187962011,0.0003104192554863374,8.598100028458092e-24,7.581155311169517e-20
15,1.5502847516815014e-19,2.120069914919419e-26,4.802716791112885e-69,3.897017981130338e-47,0.0017821177075952276,8.425796527400053e-43,2.592746140448493e-13,1.5691945294215566e-77,0.01690015154284046
16,8.081772163659756e-63,2.305037405738701e-67,1.6548953271048552e-64,1.4996820255038506e-85,2.9735282339192433e-66,5.357666496439915e-68,0.01499144858561718,2.1200976897875518e-72,1.6408597813844484e-59
17,3.8321550115112703e-19,2.944358724978356e-59,6.139519263705642e-114,3.1758508161975895e-76,1.2451235878707458e-51,1.4436902806301767e-52,0.01801688870425656,8.172783489176382e-80,2.2053727336267044e-41
18,1.5996775447602108e-36,7.102133879076579e-83,2.7641015348717393e-94,2.5052757639039544e-82,6.03635975680316e-89,3.343708532874799e-74,0.013298683272677799,3.6902872116095463e-103,1.2878861985783386e-46
19,6.630663200222066e-07,1.0146405198860025e-34,2.0483706733647165e-28,2.225122789946791e-77,0.005741008162433253,2.360793632270802e-28,0.012621081409034765,9.455452713265258e-20,1.6340364848224012e-62
20,7.187674679618919e-28,2.4427442375744063e-19,0.0004482363214168254,1.7915904361905365e-26,0.0031623754417238023,0.01484549374872612,2.2687598830623226e-42,4.481757825457474e-45,4.622397292051637e-54
21,5.76086555670709e-39,1.7608530624871308e-44,4.5838666744837516e-95,2.2081663096886577e-90,1.2233285796583028e-75,0.011300001118327997,2.5343061025318503e-97,2.6919549219180433e-87,5.214143486874286e-84
22,1.3905772743859918e-15,0.0004527801654315788,6.83125626684166e-12,0.004880313477646136,0.004318473765701668,0.013684015865169888,3.327104930796552e-31,6.979172833355536e-37,2.2960595892992018e-35
23,6.126152677041194e-09,3.6377688147359945e-48,4.231800082114496e-46,0.0031047285055740125,4.871689351544122e-25,0.015738728183756906,0.003224634653697996,1.3701602359524848e-20,3.686584100124319e-12
24,6.317385561662583e-26,9.588101707237184e-57,1.2000497927231339e-46,5.2885868595792445e-56,1.2581514182820386e-74,0.016352236735854234,1.2131778079640567e-27,9.971582440391671e-57,1.4295353971440229e-55
25,1.0607134844880041e-17,1.4648102007760922e-45,1.2311732323763833e-59,3.156955256112491e-63,1.786874778075135e-51,0.019608822827419794,1.5273900133064167e-25,4.441051892057943e-25,1.2279362401116047e-28
26,1.78194430518161e-15,1.6159672113228268e-48,4.198952077724654e-61,2.0591355315837786e-14,1.0277894415660435e-08,0.021002954726322142,6.863989931227559e-26,1.4657066685797078e-54,1.1565372078269082e-30
27,7.100921784737938e-06,5.735933019624321e-47,1.0847607101578158e-82,2.4371783562521277e-50,6.504023651241881e-26,0.01983930519777553,6.471683951427434e-36,1.5355816201246184e-18,1.9473379744912496e-23
28,0.0047947967131242554,2.0643277051243609e-26,1.3211854493871794e-39,1.1593040695253316e-26,2.2895559305414547e-24,0.018896493819561495,2.378723639747883e-10,9.24794651322557e-07,3.8298078880970704e-24
29,0.003903461694937902,1.407108100727777e-24,6.672236955042265e-64,2.245783606122134e-35,8.641671603670878e-24,0.020776276039124485,6.21938488056641e-19,2.2492287728834172e-27,6.037194255556614e-18
30,0.00010657341025553881,3.2709996544606833e-19,1.4329965145981771e-27,0.001053852138745143,0.003913650152388548,0.020938292205231204,4.1469112701362105e-22,1.3459692579690098e-31,2.3292463247815616e-12
31,0.00244882701136871,1.2270215538915518e-26,1.4008606023761949e-61,4.2544042141869825e-07,0.0023712141858252597,0.01608058692546027,7.499983983441137e-14,1.2749084910864468e-15,1.2245216494700765e-11
