doc_id,B,F,E,D,A,C
31,1.032868416598562e-09,1.2471379456813736e-23,2.3265304892100373e-24,4.628790144311247e-12,0.011263341385297812,0.0039714900101541824
32,4.3650753249878514e-32,6.033311138191324e-47,8.240497545534316e-36,0.006492692770553054,4.175190272550532e-37,1.253896509481007e-38
33,3.1397511298661415e-30,7.250040851385132e-32,4.280623284805958e-19,0.010465004044851045,8.173243728824808e-19,3.1329254650752095e-25
34,0.00020910088703487138,8.169558600668857e-20,0.013778205223712179,0.0016781445573676192,0.00021395227502008863,2.522589511810861e-16
35,2.909675747597559e-16,9.035134411342458e-27,0.013390021392977387,1.0545764482926683e-23,2.552441581779729e-32,9.517931176409899e-23
36,1.844654326370555e-32,5.329262657977324e-40,0.007444890723095709,5.4746198290877556e-40,3.786397428695206e-40,1.3733088914741731e-36
37,2.217072549894308e-19,3.106350985409672e-34,0.00026942798675689357,0.010647228656204046,2.07442146891104e-38,1.4532340271471245e-24
38,6.977789575042398e-22,9.264489711014788e-50,3.932357562543767e-30,0.00693530903367963,4.868479211922831e-59,7.2112114749039636e-40
39,1.932864917153853e-07,1.6468988091054061e-22,0.003856833158853207,2.332790638965283e-13,6.092268710162592e-27,0.009713709986046867
40,0.004751010455360838,2.944142661845894e-37,0.00898335506372972,1.698922136941447e-08,2.867950662960441e-25,5.574864087401961e-25
41,9.058297131511101e-24,6.771962745048216e-49,7.611558384050754e-37,0.007096112856333978,2.140473237913358e-40,9.302970090921697e-28
42,0.011930532110891946,1.2565222682304412e-25,3.018692202296152e-18,1.8862895146629818e-16,1.7083522073655006e-28,7.61688501412837e-17
43,0.0009746720816965797,2.4782656240011458e-28,0.014464650549088012,1.2163225208014658e-14,2.5446284498808664e-25,1.2959185871964033e-23
44,5.925030332269722e-19,1.1173376655133873e-40,0.008916785293482254,1.8229734777026013e-33,1.1392018013811215e-57,1.364179426327058e-43
45,0.00786997314335022,3.1870391053153235e-34,3.1839610764449987e-31,6.339517792311737e-22,1.7204125605704443e-33,5.854607902478887e-35
46,1.0517447702101484e-10,2.2895315121678702e-26,0.000294320141960195,0.014305722776399712,1.139544786897024e-33,3.889970003633955e-21
47,2.4430093135761263e-16,6.437151843067691e-40,2.8687277471559346e-14,0.010127572033093843,1.81828404683992e-46,6.948039993230697e-29
48,0.0003827995247036063,3.306808755137175e-33,0.011035964874111187,1.6841226050853406e-17,2.805997736024052e-30,2.419412615714995e-06
49,1.5191408132839726e-11,6.808377316384979e-15,2.884042946630842e-08,0.011584947085426846,2.1869178676099658e-23,4.1544767092665955e-18
