doc_id,A,B,C,D,E,F,G
30,1.200507238360509,1.3347148391491117,1.3353705517794123,1.3209939327014508,0.9281397522808302,1.170524398773764,1.2053547895029697
31,1.333348169627532,1.351166044775973,1.3451847957900314,1.349493176084736,1.0960830623686395,0.8849820768960607,1.2878719443316093
32,1.3348093261811216,1.3479360739623598,1.3241490830171005,1.3456577706737292,1.1267396823329006,0.8877450548009813,1.321132835934279
33,1.299635207718956,1.316720838029362,1.3229537349397327,1.3071421724934575,0.9709763688377565,1.1761868420478816,1.2718611625979943
34,1.3386164397082658,1.3623690045882948,1.3682468734269788,1.3544857079245165,0.9442991279869416,1.1124223860071407,1.2886945320310101
35,1.2897765869697468,1.3375262893469952,1.3459681218047248,1.3184766376653865,0.9609996268768148,1.1896968297218349,1.2727715316837414
36,1.3264341284859626,1.3617788179244612,1.3571174596141835,1.327477522014628,1.1641320531119992,0.9317641193073283,1.2589273906061502
37,1.3421742118706221,1.36228849325985,1.3543058200061642,1.3411718164713358,1.1593923081579791,0.9016562445774537,1.2958158037011505
38,1.3628916901734978,1.344440872565545,1.3343114226532733,1.3462591363411571,1.30088151032967,0.9797521605186527,1.3156427722030253
39,1.356295689885513,1.361365637573249,1.3421317810281406,1.3533281592136106,1.1783175717225975,0.9481945637066073,1.3021979049169343
40,1.3259695439485917,1.3543969462831882,1.336899360661468,1.3343889400799105,0.968261176466177,1.115223845944513,1.2549613217776003
41,1.3059510333077493,1.326045091427947,1.3321663537527388,1.3207188010392443,0.9758842435074421,1.1538265185498935,1.265754100901462
42,1.3166147062626845,1.345290413297044,1.3357681630941505,1.325692421994311,0.9966798854292653,1.2152045128171203,1.213774738294459
43,1.3515892948058872,1.3531095224989886,1.3510325657857871,1.341755571029415,1.223870589171676,1.3034327727798887,0.9538570395228757
44,1.3396169609293875,1.3664991491144718,1.331187976388032,1.344418380271868,1.2572092569683733,1.286180377022751,0.8904117566738915
45,1.3388041835454083,1.3539557308908656,1.3224180948363629,1.3537480261869812,1.271416552773912,1.2865770711927118,0.878698884542338
46,1.3054045349551209,1.3485049069629933,1.3329092108530756,1.3227037253577338,1.2552773422483472,1.3012308123213854,0.9508555260408836
47,1.294594219445111,1.3556725005512646,1.3465307554303185,1.3439651088234268,1.2461277689783565,1.2782882920469882,0.9443695891075714
48,1.2988440530870489,1.3693085099731583,1.346214346435377,1.3565576636239622,1.242018773585457,1.279193417470615,0.9676943034715467
49,1.3497428034235939,1.3775484512802016,1.3474481243370315,1.3655983103674048,1.3005063172996967,1.3436173508076665,0.9216040140297481
