chunk_60_id,D,C,E,F,B,A
35,5.998891115131259e-08,0.0060872625766651275,3.8090986943564825e-06,0.013305890663676446,1.2024456273232288e-07,1.3633453527195618e-11
36,3.4436622525754844e-07,0.0012618827186202896,9.3127198808018e-14,0.018255265309426203,6.81759053919351e-19,2.857321615890148e-13
37,6.606651118576998e-14,2.087531049504747e-23,0.016094223832244778,0.0021925759088403975,1.4387602706808787e-23,3.204229713978709e-14
38,1.9322859073716666e-20,1.4365352903699425e-25,0.01750721627157268,7.101981182297826e-21,6.266687559273661e-18,1.0007908206159963e-28
39,1.0518671784342888e-23,5.1393467180770585e-30,0.01847016286177767,8.785214992864908e-25,4.842108488503423e-25,6.541907140164929e-22
40,0.008113438589073194,7.292043378037926e-10,0.01155579144077201,2.662378633415955e-21,2.046887519549426e-11,2.681142486389348e-19
41,0.020204001301199894,4.765831375088199e-21,9.05291167953959e-23,3.423855729448057e-24,6.117395573617444e-17,1.2157604605662054e-23
42,0.003031490679847105,0.007737628431575975,1.931321460287611e-08,0.00894307711051664,2.1225659262465326e-09,2.2442831890371957e-05
43,5.382605539855442e-07,0.0065078701174053795,3.912661732520871e-11,0.012952535764450266,2.564718792246303e-10,1.279006879717591e-12
44,0.02137965998588605,1.5065554520480598e-24,4.0490655117247266e-22,1.3978569036845817e-10,2.293697664566961e-16,1.6321394740645107e-12
45,1.3224857005729617e-16,9.200504560142188e-30,1.973396553411502e-09,0.020068305247444556,0.0002949606288055093,2.351461168722328e-13
46,1.1151108397973406e-11,1.803860222574037e-30,8.442642015194995e-28,4.247148255458276e-22,0.02100947025453497,2.86611167620412e-25
47,0.01983597843529998,2.8174583145536674e-20,3.1377278668872636e-12,2.422411356684192e-17,2.5166820036295277e-16,7.277436168818914e-24
48,0.02042847272793347,3.921679836826268e-24,1.8774245371401143e-22,8.469291033801933e-21,3.727354860651727e-21,1.4472065493478942e-14
49,0.020758013528541945,6.482462577484406e-13,5.700650950368844e-12,2.5101110921868065e-21,1.1129513214174719e-12,4.14276772549063e-08
50,0.02051135669814941,3.81621770713842e-22,2.0917652596812936e-17,3.1521626553415637e-12,8.889246085765745e-15,0.0004562646808866297
51,0.010672419717124354,0.007003093791330321,0.002932392856008943,8.394970793376967e-12,1.2826686879818003e-08,1.952427746292018e-08
52,3.633388384651467e-14,0.001934157605018435,8.564086316342579e-14,0.018749907500050324,2.1514604353709505e-16,5.19852247423003e-15
53,1.4133789889331127e-11,2.785249311393567e-28,2.913810504697585e-11,0.010685322728249156,6.652654604469286e-23,0.008444930058521769
54,5.4571783923452265e-05,1.597801616380303e-10,3.9100389056345914e-22,0.005664071956984695,1.3527086349094286e-08,0.004580107265278969
55,3.4689653857199734e-23,0.018371594794385344,4.2374917051616185e-25,2.612363638978674e-22,5.266187004552362e-23,1.2115958755839568e-24
56,1.1701624618837295e-10,0.017640322625759278,0.001597708064922561,2.2946217712420006e-06,8.724582407218222e-10,1.561157551090065e-19
57,1.2918122886749654e-19,1.5217129110612335e-28,6.083070253200678e-25,0.020522181019152295,6.920558658801752e-20,6.995402520916858e-28
58,1.418623729379096e-17,1.4024236246286144e-17,1.0519614965683641e-26,0.020065950730517892,1.5210651152200102e-16,1.1891389667208646e-09
59,6.451782591296785e-20,9.598281599073415e-36,4.539041863454231e-25,0.019355293164251126,2.741002779088932e-12,3.887743117045735e-22
60,6.613534127736848e-27,2.4316138385739226e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
