doc_id,A,B,C,D,E,F,G,H
36,1.3232033475530653,1.2634007653808264,1.2369577703118368,1.1243813952731347,1.259456089854859,1.3143220413667418,1.3202554173680006,1.3226214815349115
37,1.309366369856932,1.2996950230710274,1.2794793479092874,1.1632743727568688,1.2641466975678277,1.2501745014185426,1.2989525994478492,1.3178485528521646
38,1.3004095328544618,1.2763719680461898,1.2442393989802079,1.1712524374270754,1.27078419842405,1.314434409688801,1.3227783691942319,1.3420816575263086
39,1.3221193753753595,1.304969232822148,1.2469272348873452,1.1348183445737299,1.2572825531830347,1.3363697141301014,1.3111605441766423,1.3465610713477518
40,1.3075365886420292,1.268888037299104,1.2847224998444116,1.1278356610457603,1.2586053655151523,1.3237870047699314,1.2947151344817316,1.336437019142844
41,1.3107508866210371,1.3036912605949733,1.2637565593717912,1.1440625337879493,1.2688163521875724,1.3203561126909382,1.2947193392565632,1.285785719521826
42,1.317420446896342,1.2914351265664732,1.2116053511854266,1.1339313349033446,1.2738972678323182,1.3224943902829234,1.3139886751101282,1.268149628357286
43,1.2681225215963656,1.2663040197735418,1.231329694568117,1.1184042076517393,1.2381732147252946,1.2714649418405817,1.2598055369370031,1.2572131273251688
44,1.2640426474355282,1.301491958463564,1.3053772379691475,1.2138491834826133,1.246312521860536,1.2966634264642054,1.283996516935781,1.2725170165840451
45,1.1078324551987782,1.3248295619935566,1.3332551065712932,1.3265815774844263,1.3376431552593195,1.325992397899461,1.3377827321300098,1.336292390563681
46,1.0036859001146197,1.3047577704811526,1.325828495910443,1.2990897684004072,1.2826522959574407,1.22642301759132,1.2518792354621573,1.283334598123461
47,1.0517116611507658,1.3077973342701155,1.3285931781397617,1.3157983333125813,1.323983172904559,1.139654164023619,1.2050351386481069,1.2526120170509716
48,1.0763183116707529,1.3129709020570393,1.3206430300257435,1.312520859865078,1.298671963794591,1.1878917234694986,1.2375714481278999,1.1925196876480848
49,1.2311385474552947,1.3372258142183475,1.3499370670840325,1.3295318767812276,1.3242160656893038,0.902511204836886,1.1423001492218379,1.257925672951476
50,1.2913155007089887,1.3238446438629927,1.3318203929619707,1.312738890014348,1.3315680615056456,0.9733525460589794,1.1939705790376374,1.3078581912709206
51,1.278715346437124,1.3313018974081094,1.3190502478822204,1.276165878029745,1.3098069580392162,0.9634979680395548,1.1471899753879777,1.3267255282430293
52,1.2857206746900836,1.3244794267803088,1.3437758774696815,1.3100318927645116,1.3277040605281454,0.9329890873803814,1.1825101884307847,1.306954101248587
53,1.28522917639078,1.3172836607318028,1.327263909846133,1.3053204639021418,1.3098613428180803,1.0625574423261106,1.2617947589428626,1.2854530520628524
54,1.279805697958596,1.3281566463870027,1.3447210059756702,1.32332850925089,1.3263333705801046,0.9469733760984526,1.1806512225767294,1.2741769725998564
55,1.2573979856861492,1.3214017922977783,1.3365579066811502,1.313641820905745,1.302173890991185,0.9027081342302261,1.152638607421387,1.2741696008573102
56,1.2375977783796424,1.2952976312603575,1.3266414989884967,1.3016611016521096,1.2685408097843682,0.9821547227168261,1.1892076422277915,1.2657639783168029
57,1.2806105924489866,1.3468689703255796,1.3416073567025952,1.3347545745209004,1.3225423080789303,0.9804074286296842,1.232075736084088,1.2736113736751467
