term_str,n,gloss
ch'okojib',3,
ch'u'j,1,
ch'uch',1,
ch'uk,2,
ch'umil,12,
ch'umila,1,
ch'umilal,1,
ch'uq,1,
ch'ut,2,
ch'uti,25,
ch'uti',1,
ch'uti'koq,1,
ch'uti'n,4,
ch'uti'noq,1,
cha,10,
cha',17,
cha'j,18,
cha'ja,1,
cha'jel,1,
cha'jib'al,1,
cha'jik,1,
cha'joq,1,
cha'om,3,
chab'ij,4,
chach,1,
chachal,1,
chachi',2,
chaim,3,
chaj,13,
chajal,16,
chajalan,1,
chajalib',1,
chajawaxik,1,
chaje,1,
chajeleb',1,
chajem,1,
chajij,1,
chajin,1,
chajkar,4,
chajuj,1,
chak,4,
chak'aqa',1,
chak'oto',1,
chak'uxu',1,
chakab'al,2,
chakachaxinaq,1,
chakal,1,
chakala,1,
chakij,1,
chakom,1,
chalaxik,1,
chalaxoq,4,
chalik'ib'a',1,
cham,2,
chamal,1,
chamaq'ij,1,
chamox,1,
chan,1,
chanik,1,
chanim,4,
chapa,1,
chapa',3,
chapam,2,
chapik,1,
chapo,2,
chapom,1,
chaponik,1,
chaq',11,
chaq'ab',4,
chaq'an,3,
chaq'anik,1,
chaqi'j,5,
chata,1,
chati',1,
chatin,1,
chatz'akonisaj,1,
chatz'ub'aj,1,
chatziloj,1,
chawach,2,
chawaj,2,
chawaxok,1,
chawaxoq,7,
chawe,2,
chawech,1,
chawecha'j,1,
chawikiq'ab',1,
chawil,1,
chawila',1,
chaxqab'ano,1,
chay,1,
chaya',1,
chaya'taj,2,
chayekuj,1,
che,1,
che',98,
che'el,1,
che'nel,1,
che'xik,1,
chel,7,
chela,2,
chelaj,1,
chelik,1,
cheltaj,1,
chi,747,
chi',48,
chi'umar,1,
chi'umarik,1,
chib'an,2,
chib'ana',2,
chib'anatajik,1,
chib'anik,2,
chib'ano,3,
chib'antajoq,1,
chib'aqir,1,
chib'e,25,
chib'ek,5,
chib'eqnaj,1,
chib'i'n,1,
chib'ij,1,
chib'inik,2,
chib'ochi'j,1,
chich'ak,1,
chich'akatajik,2,
chich'ako'nisaj,1,
chich'aw,2,
chich'awik,2,
chich'ilita,1,
chichajin,2,
chichapo,1,
chichapow,1,
chichaq'uxik,1,
chichaqijik,2,
chichi'j,1,
chichu',2,
chijamataj,1,
chijixitajik,1,
chijok',1,
chijoloman,1,
chijure',1,
chik,341,
chik'am,5,
chik'ama',4,
chik'amowik,1,
chik'arinaq,1,
chik'ase',1,
chik'astaj,3,
chik'at,2,
chik'atat,1,
chik'atik,1,
chik'imal,1,
chik'is,1,
chik'isik,1,
chik'iyarik,1,
chik'oje',2,
chik'olob'a',1,
chik'otox,1,
chik'ow,1,
chik'owik,1,
chik'owinik,1,
chik'oxk'otik,1,
chik'ulwachij,1,
chik'ulwachix,1,
chik'utun,1,
chik'utunisaj,1,
chik'utunoq,1,
chika'yik,1,
chikach'ik,1,
chikaj,3,
chikam,4,
chikamije'ik,1,
chikamik,6,
chikamisaj,1,
chikanaj,2,
chikaqtarin,1,
chikaw,1,
chike,47,
chike'ik,1,
chike'x,1,
chikech,24,
chikecha'j,1,
chiki'kot,2,
chikib'a',1,
chikib'ano,15,
chikib'il,1,
chikich'ab'ej,1,
chikich'ikib'a',1,
chikichajij,1,
chikij,8,
chikijoq'ij,1,
chikijujunal,1,
chikik'am,3,
chikik'amo,1,
chikik'at,2,
chikik'oje'ik,2,
chikik'olob'a',1,
chikik'ulelaj,1,
chikik'ulmaj,1,
chikik'ut,1,
chikikamisaj,1,
chikikikij,1,
chikikiro,1,
chikikiy,1,
chikikosij,1,
chikikuch,1,
chikikuyu,1,
chikil,6,
chikilawachij,1,
chikilo,5,
chikilo'o,1,
chikiluk,1,
chikimaj,2,
chikina'b'aj,1,
chikina'o,1,
chikipach,1,
chikipakab'a',1,
chikipaqab'a',2,
chikipisla,1,
chikipixab'aj,1,
chikipus,2,
chikiq'osij,1,
chikiq'u'j,1,
chikiqaq'axow,1,
chikiqumej,1,
chikira',1,
chikiraquj,2,
chikirayij,1,
chikiriq,1,
chikisachix,1,
chikisik'ijoq,1,
chikisipaj,1,
chikisiqo,1,
chikisolwachij,1,
chikiti',1,
chikitijtob'ela',1,
chikitoq'o,1,
chikitzololej,1,
chikitzukuj,1,
chikiwa'ej,1,
chikiwach,35,
chikiwachib'ej,1,
chikiwej,2,
chikiwub'aj,1,
chikixulela,1,
chikiya',4,
chikiya'o,3,
chikiyuq,1,
chikoj,2,
chikojo',1,
chikop,44,
chikopil,2,
chikoq'eb'ej,1,
chikoq'ib'ej,1,
chikoq'otaj,1,
chikowin,1,
chikoyob'ej,1,
chiku'b'e,1,
chikuch'aj,1,
chikuk'a'j,1,
chikuk'aj,1,
chikul,1,
chikunaj,3,
chikuxlab'ij,1,
chikuya'o,1,
chikuyu',1,
chila',63,
chilajajik,1,
chilib'lotik,1,
chilik,1,
chilolinik,1,
chiloq,1,
chiloq'oj,1,
chilu',1,
chimachka'y,1,
chimala',1,
chimalkan,1,
chimalmat,5,
chimalmatib',1,
chimatat,1,
chimatzalaj,1,
chimayo,1,
chimeq'oj,2,
chimich',1,
chimuq,1,
chimuqun,1,
chinamit,19,
chinamital,2,
chinawachir,1,
chinb'ij,1,
chineb'owik,1,
chinkanaj,1,
chinwulij,1,
chinya',1,
chipatanij,1,
chipe,12,
chipetik,2,
chipitz',1,
chipoq'otajik,1,
chipoq'taj,1,
chiporoj,2,
chipuk'ab'in,1,
chipune',1,
chipus,1,
chipusu',4,
chiq'ajaj,1,
chiq'alajob'oq,1,
chiq'atatat,2,
chiq'atoj,1,
chiq'equ'mar,1,
chiq'ijila',1,
chiq'osin,1,
chiq'upuj,1,
chiq'utu',1,
chiqab'an,4,
chiqab'ano,3,
chiqab'ij,5,
chiqach'akb'ej,1,
chiqach'ako,1,
chiqachap,1,
chiqachokonisaj,1,
chiqaj,3,
chiqajik,1,
chiqajujunal,1,
chiqak'astaj,1,
chiqak'oje'ik,1,
chiqak'otaj,1,
chiqakamisaj,1,
chiqakanab'ij,1,
chiqakanaj,1,
chiqakoj,3,
chiqakunaj,1,
chiqanab'ij,1,
chiqaq'aluj,1,
chiqaq'ijila',1,
chiqariq,1,
chiqariqo,2,
chiqasa',1,
chiqata,1,
chiqataqej,1,
chiqatij,1,
chiqatix,2,
chiqatoq'ob'aj,1,
chiqatz'onoj,3,
chiqatzak,1,
chiqatzaq,1,
chiqawach,1,
chiqawinaq,2,
chiqawiq,1,
chiqawiqo,1,
chiqawub'aj,2,
chiqaxekeb'a',1,
chiqaxib'ij,1,
chiqaxo'l,2,
chiqaya',4,
chiqaya'o,2,
chiqe,12,
chiqech,4,
chiqelesaj,1,
chiqichoj,1,
chiqij,1,
chiqil,3,
chiqilo,2,
chiqit'it,1,
chiqokib'ej,1,
chiqosos,1,
chiquk'aj,1,
chiraj,3,
chirayin,1,
chire,83,
chirech,27,
chirecha'j,2,
chireme'ik,1,
chireqaxik,1,
chiri',120,
chirij,35,
chirikaj,1,
chirilo,1,
chiroyob'exik,1,
chisach,2,
chisachik,1,
chisaqirik,1,
chiselet,1,
chisepesoj,1,
chisik'in,1,
chisilab'ik,1,
chisilob'ik,1,
chisipojik,1,
chisolmuquj,1,
chisonob'a',1,
chit'isa',1,
chita',2,
chitaja',1,
chitajin,2,
chitanenik,1,
chitaninik,1,
chitaqen,1,
chiteleb'a',1,
chiti'k,1,
chiti'onik,1,
chitija',1,
chitijowoq,1,
chitik'oj,1,
chitikar,1,
chitiltotik,1,
chito'o',1,
chitoq'ob'aj,4,
chitu'nik,1,
chitz'apitaj,1,
chitz'aq,1,
chitz'aqatajik,1,
chitz'ib'aj,1,
chitz'ininik,1,
chitz'onoj,1,
chitzaq,1,
chitzaqo,1,
chitzayab'a',1,
chitzijon,1,
chitzijox,1,
chitzijoxik,1,
chitzininik,2,
chiwach,3,
chiwachin,2,
chiwachinik,2,
chiwaj,2,
chiwar,1,
chiwaraj,1,
chiwe,18,
chiwech,5,
chiwecha'j,1,
chiwelesaj,1,
chiwi',6,
chiwij,5,
chiwil,4,
chiwila',5,
chiwinaqir,8,
chiwinaqirik,1,
chiwinaqirtaj,1,
chiwoyob'ej,1,
chiwulij,2,
chixaj,1,
chixeke,1,
chixib'in,1,
chixib'inik,1,
chixima',1,
chixiririk,1,
chixurulaj,1,
chiya',14,
chiyal,1,
chiyekow,1,
chiyipowik,1,
chiyojojik,1,
chiyojomanik,1,
chiyojyox,1,
chiyok'owik,1,
chiyom,1,
chiyuch,1,
chiyulinik,1,
chkik'amo,1,
cho,3,
chob',1,
choj,3,
chojib'al,1,
chojim,3,
chok,10,
chokik,1,
chokonisan,1,
cholan,1,
cholik,1,
cholochik,1,
cholom,1,
cholon,2,
chomi,2,
chopon,6,
choq',8,
choq'e,1,
choq'ik,3,
choq'itajik,1,
chowen,27,
christianoil,1,
christowal,1,
chu,23,
chu'k,1,
chub',6,
chub'an,2,
chub'ano,3,
chub'aq',1,
chub'aqala',1,
chub'aqitila',1,
chub'ik,1,
chub'inik,6,
chub'ixik,1,
chuch,39,
chuchakuj,1,
chuchax,6,
chuchaxik,21,
chuchi',13,
chuchub',1,
chuj,1,
chujujunal,4,
chuk'axaj,1,
chuk'ayaq,1,
chuk'u'x,1,
chuk'ulu,2,
chuka,1,
chukab'ij,1,
chukaj,1,
chukatanaj,1,
chukuyuka',1,
chul,15,
chulimal,2,
chulo,1,
chumayijaj,2,
chun,1,
chupam,2,
chupan,38,
chupaxij,1,
chupel,1,
chupinaq,1,
chupuk'ij,1,
chuq'ab',7,
chuq'anel,1,
chuq'ijila,1,
chuqenel,1,
churaquj,2,
churiqo,2,
chusaqb'isala',1,
chusik'ij,1,
chutijo,2,
chutinij,1,
chutolok',1,
chutukel,1,
chutz'iloj,1,
chutza'm,1,
chutze'j,1,
chutzin,2,
chutzinik,4,
chutzinoq,1,
chutziqa',1,
chutzukuj,1,
chuwa,6,
chuwab'axik,1,
chuwach,105,
chuwe'q,4,
chuwi',95,
chuwinoq,1,
chuxawaj,2,
chuxe',16,
chuxib'ij,1,
chuxik,23,
chuxikin,1,
chuxo'l,2,
chuxoq,26,
chuy,2,
chuyab'ij,1,
cis,1,
cortes,1,
cruz,1,
de,2,
demonium,1,
dios,1,
don,4,
e,275,
e',1,
e'yaj,1,
echa',14,
ek',4,
elajoq,1,
eleb'al,2,
elenaq,2,
eleq'axik,4,
eleq'ay,1,
eleq'ik,1,
eleq'om,1,
elik,3,
eqal,1,
eray,1,
et,1,
eta'mab'al,1,
eta'manel,6,
etal,1,
etz'anem,2,
ewab'al,2,
ewal,2,
ewaxa,1,
i,73,
i'yom,3,
ib',2,
ib'a,1,
ib'ij,1,
ib'oy,3,
ichal,18,
ik,4,
ik',13,
ik'i,41,
ik'il,1,
ik'oq'ij,5,
ik'owen,1,
ik'owik,1,
ikaj,6,
il,3,
ilb'al,5,
ilo,1,
ilokab',21,
ilol,5,
in,40,
is,2,
ismachi',10,
istayub',2,
istayul,6,
itzel,6,
iwachb'il,1,
iwachb'ilan,1,
iwajawal,1,
iwajil,2,
iwal,1,
iwalaxik,1,
iwalk'wal,1,
iwati't,9,
iwatz,2,
iwe,12,
iwech,8,
iwecha',4,
iweta'm,1,
iwi'y,2,
iwib',11,
iwila,1,
iwila',2,
iwochoch,2,
iwonojel,3,
iwub'aj,1,
iwuk',6,
iwuk'a'am,1,
iwuk'a'm,1,
iwumal,7,
ix,65,
ixim,9,
ixoq,12,
ixtaj,1,
iya',3,
ja,186,
ja',25,
ja'il,1,
ja'l,1,
jab',8,
jab'ioq,1,
jach'a,1,
jachon,1,
jachowik,1,
jaib'ab',1,
jak'ama',1,
jal,18,
jala,1,
jalajoj,3,
jalan,4,
jalk'at,1,
jalk'atajinaq,1,
jalwachib'al,2,
jalwachixik,1,
janik',2,
janik'an,2,
jaq,1,
jaq'awitz,45,
jarub',4,
jaruj,1,
jat,1,
je,7,
je',21,
jeb'ejoj,1,
jeb'el,2,
jeb'elik,2,
jereb'aq,2,
ji'a',1,
jiq'onoq,1,
jisab'aj,1,
jix,2,
jo',5,
joj,1,
jok,4,
jok'om,2,
jokam,1,
joko,1,
joli,2,
jolom,45,
jolomax,4,
jom,18,
jowojik,1,
jowol,1,
joxb'al,3,
joxol,3,
ju,91,
juan,2,
juch'il,1,
jucha,1,
jucha'lik,1,
juchalik,1,
jujun,38,
jujunal,11,
juki,2,
jul,23,
julaj,1,
julaju,1,
julajuj,2,
julisnab',1,
julujuj,2,
jumaj,11,
jumeta,1,
jun,301,
juna,2,
junajpu,142,
junal,2,
junam,9,
junamataj,1,
junamatal,1,
junelik,1,
junoq,3,
jupacha,8,
jupacha',2,
jupujuj,1,
jupulik,1,
jupuloq,1,
jupunik,1,
juq'ul,1,
jur,1,
juraqan,18,
jutaq,2,
jutik,1,
juwinaq,7,
juyub,1,
juyub',102,
juyub'al,14,
k'a,35,
k'a'am,16,
k'a'amaq',1,
k'a'amaxik,2,
k'ab'awil,66,
k'ab'awilal,1,
k'aj'b',1,
k'ajb',22,
k'ajb'a,1,
k'ajb'ik,1,
k'ajim,1,
k'ajisab'al,3,
k'ajol,71,
k'ajolab',87,
k'ajolal,1,
k'ajolaxel,2,
k'ajolaxik,1,
k'ajolom,17,
k'am,27,
k'ama,2,
k'ama',14,
k'amb'al,1,
k'amik,5,
k'amo,3,
k'amob',1,
k'amol,9,
k'amoq,1,
k'amowab'al,3,
k'amowanik,1,
k'an,4,
k'arak'oj,1,
k'as,4,
k'asam,3,
k'asb'ol,1,
k'ase'ik,1,
k'aslem,8,
k'aslik,4,
k'at,9,
k'atan,1,
k'atanal,1,
k'atanalaj,1,
k'ate,181,
k'atoj,4,
k'atonik,2,
k'awex,1,
k'ax,6,
k'axaj,3,
k'axk'ol,11,
k'axtok',8,
k'axtok'onel,1,
k'ayala',2,
k'eche',3,
k'eche'laj,18,
k'ejoj,2,
k'ek'e,1,
k'el,1,
k'eletzu,1,
k'enech,1,
k'exel,8,
k'exewach,1,
k'exo,1,
k'exoq,1,
k'exwach,3,
k'i,26,
k'ia,1,
k'iche',52,
k'iche'eb',1,
k'iche'laj,1,
k'im,5,
k'iq'ab',14,
k'irol,1,
k'is,2,
k'isik,2,
k'isisil,1,
k'isoq,1,
k'ix,5,
k'ixb',21,
k'ixik,2,
k'iya,11,
k'iyal,2,
k'o,190,
k'oj,1,
k'ojaj,1,
k'oje',1,
k'oje'ik,38,
k'ojik,1,
k'ok',1,
k'okaib',2,
k'ola,1,
k'olan,1,
k'ole'y,1,
k'oleje',4,
k'olem,2,
k'oli'k,1,
k'olib'al,1,
k'olik,10,
k'oloje',1,
k'olok'a'q,1,
k'olok'ik,2,
k'olol,1,
k'olom,1,
k'olon,1,
k'omajil,1,
k'ot,3,
k'otik,1,
k'otk'ol,1,
k'oto,2,
k'oto',1,
k'otonik,1,
k'ototajik,1,
k'ototajoq,1,
k'oxol,2,
k'oxtum,2,
k'oxtun,3,
k'oy,7,
k'u,455,
k'u',2,
k'u'l,1,
k'u'n,1,
k'u'x,128,
k'u'xlal,3,
k'u'xlan,2,
k'u'xlanel,1,
k'u'xlay,2,
k'ub'ul,1,
k'uch,1,
k'ul,14,
k'ulal,1,
k'ulb'a,1,
k'ulel,2,
k'ulelab'al,1,
k'ulelay,1,
k'ulk'u,1,
k'ulu,1,
k'ulu',1,
k'uluk'uj,1,
k'us,1,
k'ut,836,
k'utajinaq,1,
k'utb'al,5,
k'ute,25,
k'utunisaxik,1,
k'utuxik,1,
k'uwal,6,
k'uxun,1,
ka,15,
ka',3,
ka'anik,1,
ka'ilitaj,1,
ka'l,1,
ka'okeb',1,
ka'y,3,
ka'yal,1,
ka'yel,1,
ka'yij,1,
kab',28,
kab'al,8,
kab'an,4,
kab'ano,1,
kab'antaj,2,
kab'chiyal,1,
kab'chiyanik,1,
kab'e,2,
kab'ek,1,
kab'ij,2,
kab'ijir,1,
kab'iq'ilajik,1,
kab'ix,2,
kab'ixik,3,
kab'lajuj,2,
kab'olowik,1,
kab'raqan,17,
kach'awik,2,
kach'awoq,1,
kacha',20,
kachamamoq,1,
kachamanik,1,
kachapa',1,
kachape,1,
kachb'il,1,
kachb'ilan,2,
kachoko'n,1,
kachuyub',1,
kachuywaj,1,
kaib,1,
kaib',49,
kaj,91,
kajapalu,2,
kajawarem,11,
kajawaxik,1,
kaji,2,
kajib',26,
kajkaj,2,
kajlaju,1,
kajlajuj,1,
kajq'ab',1,
kajuljut,1,
kajurux,1,
kak',1,
kak'iyik,1,
kak'ut,1,
kak'ux,2,
kak'uxixik,1,
kakab',2,
kakaj,1,
kakamik,1,
kakanajik,1,
kakate',2,
kakaw,1,
kaketa'maj,1,
kaki'kot,1,
kakib'an,2,
kakib'ano,5,
kakib'ij,1,
kakich'ij,1,
kakik'astaj,1,
kakik'owisaj,1,
kakik'u'lu,1,
kakilo,1,
kakina',3,
kakina'o,2,
kakinik'wachij,1,
kakinuk',1,
kakirixik,1,
kakita'o,1,
kakitaqchi'j,1,
kakitz'onoj,1,
kakitzukuj,1,
kakixib'ij,1,
kako,1,
kakotz',1,
kakotz'ob'ik,1,
kakoykot,1,
kal,6,
kalab'il,1,
kalaxik,6,
kalk'u'al,3,
kalolinik,1,
kam,1,
kama,4,
kamal,1,
kamaq',1,
kame,72,
kame'l,2,
kamik,20,
kaminaq,5,
kaminaqil,1,
kaminaqoq,1,
kamisab'al,2,
kamisaj,1,
kamisanel,7,
kamisanik,1,
kamisaxik,6,
kamisaxoq,1,
kamisay,3,
kamolob'ik,1,
kamoq,2,
kamoymot,1,
kamul,4,
kamuqunik,1,
kan,3,
kana'ik,1,
kana'ojixik,1,
kanab',4,
kanajik,1,
kanajoq,5,
kanij,2,
kanikow,1,
kanimaroq,1,
kanoq,24,
kanub'ij,1,
kanub'iq'o,1,
kanuch'ij,1,
kanuk'maijoq,1,
kanuna'o,1,
kanurayij,1,
kanuriqo,1,
kanuta'o,4,
kanutaqo,1,
kanutzukuj,1,
kape,1,
kapetik,1,
kapichipoj,1,
kaq,7,
kaq'anik,2,
kaq'atat,1,
kaq'axuwik,1,
kaq'ij,1,
kaq'oxow,1,
kaq'oxowik,1,
kaq'upupik,1,
kaqa,3,
kaqacha'j,1,
kaqacha'kimaj,1,
kaqaj,7,
kaqakojo,1,
kaqamayijaj,1,
kaqan,13,
kaqana'o,2,
kaqarayij,1,
kaqariqo,1,
kaqatoq'ob'aj,1,
kaqaxib'ij,2,
kaqaya',3,
kaqayako,1,
kaqchakachoj,1,
kaqchekeleb',12,
kaqchikeleb',1,
kaqil,1,
kaqilo,2,
kaqix,43,
kaqixa,1,
kaqlujluj,2,
kaqruxruj,1,
kaqulja,18,
kaqurulaj,1,
kaqwachib'al,2,
kar,4,
karaj,5,
karajon,1,
karayij,2,
karchaj,1,
kareta'maj,1,
karil,1,
karilo,1,
kasach,1,
kasaqiroq,1,
kasik'in,2,
kasik'inik,1,
kasik'iyaj,1,
kasik'ow,1,
kasik'owik,1,
kasilanik,1,
kasilob'ik,1,
kasolowik,1,
kata,2,
katajin,2,
katana'ik,1,
katanik,1,
kataq'an,1,
katb'e,4,
katb'ek,2,
katcha'jik,1,
katchokonik,1,
katel,2,
katelik,1,
kati't,30,
katikal,1,
katilo,1,
katilowik,1,
katiltotik,1,
katinik,1,
katk'ix,1,
katk'oje',5,
katkamik,1,
katojo',1,
katok,2,
katolona',1,
katopon,1,
katoponik,1,
katoq',1,
katoq'ik,1,
katpe,2,
kattaqentaj,1,
kattzijonoq,1,
katukuwik,1,
katurur,1,
katwar,1,
katz,7,
katz'apitajik,1,
katz'ininik,1,
katz'ininoq,1,
katz'inonik,1,
katz'onon,1,
katzijon,1,
katzijonoq,1,
katzotzotik,1,
kawa'lijoq,1,
kawachin,1,
kawachinik,1,
kawaj,1,
kawajin,1,
kawakoj,2,
kawatepech,1,
kaweq,4,
kaweqib',13,
kawib',2,
kawilo,4,
kawinal,1,
kawiqib',1,
kawisamaj,2,
kawisimaj,7,
kawistan,1,
kawub'al,4,
kawulij,1,
kawutal,1,
kawutalik,2,
kaxajowilab'ik,1,
kaxaqi',1,
kaxaqin,1,
kaxib'in,1,
kaxkon,1,
kaxojanik,1,
kayelo'n,2,
kayen,1,
kayewal,1,
kayeyoj,1,
kayojik,1,
ke,15,
ke'ab'ix,1,
ke'ajawarik,1,
ke'apon,1,
ke'ati'o,1,
ke'atin,2,
ke'aya',1,
ke'b'al,1,
ke'ek'owik,1,
ke'el,1,
ke'eleqan,1,
ke'etz'eyaj,1,
ke'ik'ow,2,
ke'ilik,2,
ke'iwil,1,
ke'okik,1,
ke'ominik,1,
ke'oponik,3,
ke'oq',1,
ke'uchaxik,11,
ke'ul,4,
ke'ulik,5,
ke'utzin,2,
ke'uxik,2,
keb'anow,1,
keb'anowik,1,
keb'e,6,
keb'ek,1,
keb'in,2,
keb'inik,1,
keb'inowik,1,
keb'iq'ow,1,
keb'olow,1,
keb'uchuwik,2,
keb'ujujik,1,
kech,13,
kech'ajo'nik,2,
kech'akatajik,1,
kech'akix,1,
kech'aw,2,
kech'awik,1,
kech'ititik,1,
kecha',30,
kecha'j,1,
kecha'jik,3,
kechakchot,1,
kechaninik,2,
kechapon,1,
kej,22,
kejalow,2,
kejaslajik,1,
keje',151,
kejikik,1,
kejilowik,1,
kejumin,1,
kejuminik,2,
kek'a'am,1,
kek'ajb'ik,3,
kek'ajolanik,1,
kek'am,1,
kek'aralajik,1,
kek'atonik,2,
kek'iritajik,1,
kek'ix,1,
kek'oje',1,
kek'u',1,
kek'u'lutajik,1,
kek'utunoq,1,
keka'y,1,
kekamik,3,
kekamoq,3,
keki'kot,12,
keki'kotik,7,
kekuchmayijik,1,
kelajajik,1,
kelajik,1,
keleq',1,
kelexlot,1,
kelik,1,
keloq'oxik,1,
keluklutik,1,
kelulutik,1,
keluq'uq'ila',1,
kema,2,
kemalmalijab',1,
kemel,1,
kemewajik,4,
kemi'alanik,1,
kemoch'och'ik,1,
kemuqun,1,
kemuqunik,2,
kena'b'ax,1,
keneb'eb'ik,1,
keniknot,1,
keniknotik,1,
kenumik,1,
keoq'ik,1,
kepaq'aq'ik,1,
kepe,2,
kepetik,2,
kepetoq,6,
kepolow,1,
kepoq'otajik,1,
keq'ab'ar,1,
keq'aq'al,1,
keq'aq'arik,1,
keq'ichowik,1,
keqach'ak,2,
keqachak,1,
keqaj,1,
keqaka'yij,1,
keqakamisaj,2,
keqalem,3,
keqamayijaj,1,
keqapusu,1,
keqasipaj,1,
keqatzukuj,2,
keqokib'ej,1,
kequch'aj,1,
keraj,3,
keropop,1,
kesilaje'ik,1,
kesilob'ik,1,
kesisot,1,
keta'm,7,
keta'mab'al,5,
keta'maj,2,
ketal,2,
ketaxik,1,
ketere,1,
keti'ow,1,
ketik'e,1,
ketz'ab'al,4,
ketz'ako'nik,1,
ketz'elawachixik,1,
ketz'elewachin,1,
ketz'itilajik,1,
ketz'itz'otik,1,
ketz'ononik,2,
ketzaq,1,
keuchaxik,2,
kewa,3,
kewa'ik,3,
kewachinik,3,
kewaj,1,
kewar,1,
kewarik,1,
kewech'elajik,1,
kewojon,1,
kewojonik,1,
kewonk'oyeje'ik,1,
kewub'anik,1,
kexajow,1,
kexajowik,4,
kexuxik,1,
keyakataj,1,
keyake'ik,1,
ki,821,
ki',7,
ki'ib'al,1,
ki'kotem,2,
ki'kotirisay,1,
ki'laj,1,
kib',90,
kib'a,1,
kib'ano,1,
kib'anowik,1,
kib'e,1,
kib'i'j,1,
kib'ij,2,
kib'il,18,
kib'och'il,1,
kich'akatajik,1,
kicha',1,
kiej,9,
kij,2,
kik',57,
kik'ak'alen,1,
kik'el,13,
kik'i,1,
kik'oje',1,
kik'owik,1,
kik'ut,1,
kika'y,1,
kikam,1,
kikamik,1,
kikarilo'on,1,
kikub'a',1,
kikuchun,1,
kil,3,
kila,1,
kila',3,
kilawachin,2,
kilitz,2,
kilo,1,
kilon,1,
kiloq,1,
kina'o,1,
kina'ojinik,1,
