chap_num,E,C,F,A,B,D
23,1.627023581828174e-23,3.174478392074191e-20,2.3849250885419333e-28,0.005787939910281614,4.757605595263536e-18,0.3742113980868629
24,2.2573747829547277e-06,7.333471654019107e-05,4.348123346403366e-21,4.341988739556613e-05,0.0064645478862067115,0.40745476346070414
25,7.00690255313537e-23,0.055488788333131596,1.831916087344239e-26,2.5485115062336284e-26,3.5617449952544264e-11,0.3772965669639644
26,3.983664623943007e-23,0.2466545397579574,5.835845644874363e-26,1.1221396431505548e-23,0.03401033073467764,0.04076617383630696
27,1.5717321075348583e-20,0.20377394439565188,6.469423122211405e-18,3.958494792675068e-15,0.05046338202205322,0.08429664575181035
28,5.032506741755936e-15,0.28874906898776365,2.004436789332761e-18,1.2264857021268086e-15,1.5978125737319198e-09,0.02611776756026754
29,0.025785353345904045,0.3121371350026445,9.533624235459774e-25,9.587402416866241e-24,2.952896779945515e-11,5.952421489734485e-12
30,0.026429987179551643,0.3117751416272682,6.868914973008196e-25,9.820300377617505e-24,1.964581965454446e-12,6.078248045088422e-12
31,0.026429987179551643,0.31177514162726816,6.868914973008196e-25,9.820300377617507e-24,1.964581965454446e-12,6.078248045088422e-12
32,0.007758315732278837,0.3411826600102896,2.9106891387655697e-17,0.009881155109716808,8.540788690874529e-05,1.7862358467389195e-12
33,8.927412719701647e-11,0.3288910226012858,1.0654456678666224e-18,0.000357112295236547,3.0867045381620084e-06,8.45047155236065e-11
34,7.74710369101009e-15,0.3708850791844206,4.400189679903604e-21,2.006817961585775e-12,4.394202196938622e-05,6.114101403380667e-05
35,6.802110739932359e-15,0.38217979112223704,1.9374896157560704e-08,1.6314997601045172e-12,3.554471494295223e-05,4.946180217362247e-05
36,1.2032860378466497e-15,0.3719027069357537,4.3502125334900375e-08,1.838072176198269e-14,4.431842280619185e-17,1.0865747867857553e-08
37,3.66660015750631e-16,0.31989387765889965,8.432546914223899e-08,5.6995398243865135e-15,1.813150904137697e-17,3.2702778694388397e-09
38,0.043940815394371356,0.19302733602647323,0.026363830598146096,0.02224114920069279,9.560020743824413e-06,0.09218378837732646
39,0.0345773326496923,0.09135647984105986,0.03789826249504267,0.10447705799466239,6.632319924988817e-06,0.12326263536690953
40,0.00498510063612328,0.03055396078464815,0.022829653381888682,0.24624093682089832,0.005727124911786943,0.06912459140723494
41,2.080414206271705e-20,5.807711041497996e-10,7.67879985714385e-22,0.38101128783571275,0.015246389899566044,6.200955210377326e-22
42,0.002929760634471713,5.312266497673589e-10,7.053194535037806e-22,0.38048049511598087,0.0139457500029206,3.6765033196226908e-19
43,0.03434330521519619,7.724291585992098e-23,3.4531524801190593e-23,0.3747892176210774,1.2497447612457347e-25,4.303030089359916e-18
44,0.03434330521519619,7.724291585992098e-23,3.4531524801190593e-23,0.3747892176210774,1.2497447612457347e-25,4.303030089359916e-18
45,0.03622116512147646,7.621301578798565e-23,6.662164620957707e-05,0.3733179668249358,5.902436669797622e-23,4.2456563548351175e-18
46,0.17518279818621632,4.104647703109225e-28,0.00499662346571828,0.2644454079104572,4.417579391114998e-21,2.908097917685777e-34
47,0.1840866784657499,3.1491737882859453e-16,0.06496594824883715,0.17835508655342638,3.000033029713968e-21,1.1313754025602742e-19
48,0.29904635796845075,1.6037784590977694e-15,1.7502863168257425e-06,0.09002618586380494,7.93514306446548e-21,5.158036564108186e-19
49,0.29904635796845075,1.6037784590977694e-15,1.7502863168257425e-06,0.09002618586380494,7.93514306446548e-21,5.158036564108186e-19
50,0.3342051282245577,2.1761155879788227e-13,3.859947010490231e-07,0.01985368357463958,3.426843005397201e-08,1.1923411709989775e-16
51,0.29839865029480644,0.028892555904353384,8.101394812793497e-25,0.015649229272670453,1.8791955423555284e-08,3.973970167618206e-10
52,0.3659737807422754,0.012615528442058991,3.7156420871031016e-19,0.006833016007280894,1.6274922400286672e-14,1.7351784793549163e-10
53,0.39796968738733035,7.347817675544174e-17,2.685988663549739e-18,8.579893829812522e-15,4.2814602524928033e-19,2.70594263441126e-19
54,0.3850187777879745,5.517795544323e-17,2.0281958704231847e-18,6.4436314088457915e-15,0.0010970945594816904,2.0354854757299609e-19
55,0.37005887908078683,8.198760738306956e-24,4.210458598076756e-20,1.3374754429499491e-18,0.002318016198798925,7.343790751919314e-22
56,0.3879769894275146,3.7210539770445086e-23,4.130900567771566e-11,7.209808650923567e-07,3.2924979569618477e-11,2.4710124548520064e-07
57,0.17378722415469613,2.9454553715083817e-26,1.473100867833121e-06,1.5893378350687734e-17,1.5580670006183654e-25,0.20877897737406265
58,0.3051623501051118,1.348833575043578e-09,5.463998794528869e-12,5.216112985126589e-14,1.8917553932463893e-11,0.06498912833948453
59,0.06955542317670556,2.5953141294164586e-10,2.187017467620077e-12,1.0034702199736688e-14,3.639338730995827e-12,0.31716426211248117
60,0.07600823415993577,9.20694338912057e-15,2.3629317940003945e-13,1.983018105685316e-27,2.4062611176020107e-22,0.2700353292548161
61,0.21527344098842344,3.7240229426308124e-14,0.013419248698231977,3.1199120438310437e-15,2.4399748609527653e-12,0.15269486588737546
62,0.36913340775326803,3.9076921084938126e-08,0.0007484850701075402,2.0796727004202654e-16,6.239891375288388e-06,0.0042635287029453425
63,0.36825619953853994,7.995418488412011e-13,0.004050997015367809,9.20895760820602e-17,0.01124604145626209,4.347049788218489e-10
64,0.39933537515211925,5.0334083397134475e-18,0.002535268939062829,5.03298806019042e-07,0.007031355901090589,4.813217867642738e-13
65,0.29211520991965295,2.023880969473301e-17,0.138082245322697,5.8892159472201224e-08,2.9599422377248325e-22,0.0004627499717168973
66,0.2812259582638656,2.1843099423118624e-17,0.15021109119562978,4.180476283763145e-25,1.4033920097453823e-28,0.000503396928691285
67,0.1007650013399837,7.82651770867546e-18,0.2924778588244623,1.498120255933711e-25,1.6888706096691981e-25,0.00018037023503596534
