para_id,C,B,A,D
46,1.2950981260333298e-16,0.0008748117288322256,0.0007728596089416229,0.02165158840965984
47,7.994391600492968e-36,2.3325232312648294e-63,1.891074647011481e-43,0.01687687559258154
48,0.0029515372450536572,3.974370448705645e-58,2.3913018464130032e-09,0.01311871057261743
49,0.009344925016814292,1.475582301022364e-06,0.001888350562425061,0.008173445955903113
50,1.8596961591077789e-93,1.950361968887497e-115,0.011198830523927701,1.419153252321674e-18
51,0.011564470501612653,2.9834139926781825e-61,0.0029602163637495577,0.0068174114763506054
52,0.012049926633777429,2.5113786697486224e-25,0.0032771613338730492,3.883178077966467e-35
53,0.002083589835426944,8.484085613060556e-17,0.010754370689637966,0.009408940328756445
54,1.6339569020555877e-23,6.367132149937963e-48,0.00928335725061095,0.003297814825796505
55,0.01478445793340874,4.277500764573891e-25,0.007431192892958435,0.0016999293746474806
56,0.019682347535026835,7.539609397487464e-31,3.250946704803799e-30,0.0032325352144653556
57,0.022604256170108056,1.1484138745087869e-35,0.00012305786544404722,5.214450094068675e-08
58,3.841924148216821e-07,1.1894836231204978e-33,1.459936403187915e-17,0.023184625238039023
59,0.0058121901501639595,7.82131623087451e-46,1.6203055522975477e-65,0.012172978727144708
60,0.018195164319954733,3.2016676773341253e-29,1.9478864705805955e-39,1.1996906513731881e-05
61,9.873314158515208e-28,2.3626540179433944e-35,4.3198353696384626e-66,0.02267957547599945
62,0.006583927530006688,3.0339315688663817e-19,4.875669772346165e-85,0.02169665239357047
63,0.012779433054777065,2.6983763003978234e-36,7.449054498073008e-58,0.012478708196230105
64,0.0025602239251330495,1.8943947878092067e-35,8.690194533929351e-77,0.01916879711760542
65,0.0016504240838772137,8.222687657434634e-24,1.1099348996139878e-23,0.023967149463635727
66,0.02099306746213489,7.58837485967923e-18,1.3226620334066774e-39,4.270579655950196e-05
67,0.017793387243440328,1.2948626511143475e-30,2.9813393647931594e-62,3.7789818088211195e-29
68,0.02268487289128151,0.003280319883502692,4.3779851114520575e-52,4.032774906951159e-19
69,0.01776704402592765,3.4690453949174754e-47,8.903980961478041e-95,2.1415483446678526e-15
70,0.01712576370670445,8.938208454615881e-30,2.103175631476899e-10,0.00434824363022073
71,0.017294786615845,0.00048290719003618376,1.5955471645394079e-65,0.0026184036740149294
72,0.02097578630447751,2.523555796973351e-36,2.2718462717430793e-53,1.65235015203996e-05
73,0.02172542684472923,1.1620046361065957e-30,2.626238680936993e-25,2.7376650114713207e-17
74,0.02407123807357433,3.944900558220432e-31,2.086192504293371e-23,0.003510429248456224
75,0.02758301369041624,3.209351837305556e-29,2.1400075748383143e-55,6.055261053687501e-34
76,0.011513103356652031,2.482581482103956e-22,0.0035564654226678555,0.009923218855715829
77,1.3130869353892543e-07,5.506019122281194e-26,1.940131801614077e-62,0.018887781366471533
78,0.016052095586236232,8.894248343571771e-17,8.151302137134336e-12,0.011144191257283328
79,0.013408625840550798,2.058817785810226e-43,5.565014957478349e-63,0.004051825755601421
80,0.02003719423006992,5.964215796775822e-53,5.2040678177647035e-78,1.0873558859976407e-17
81,0.01872700515616466,3.2618665097919938e-12,3.827644991175233e-44,0.006775853110189288
82,0.017281707057077187,2.036875617341114e-21,2.7235301984322085e-22,4.0612978770423307e-13
83,0.02194498170699485,8.379188410268905e-34,3.147465136390474e-18,4.252701900551725e-08
84,0.006104943815598857,9.026476468041625e-23,3.5835206581583504e-33,0.011136580446696874
