term_str,n,gloss
chuchaxik,10,
chuchi',12,
chuchub',1,
chuje',1,
chujujunal,4,
chujutaq,2,
chuk'oje'ik,1,
chuk'u'x,3,
chuk'ulu,2,
chukab'ij,1,
chukajle'oq,1,
chukajmul,2,
chukamul,1,
chukaq'ij,1,
chukatanaj,1,
chukatz,1,
chukayak,1,
chukuyuka',1,
chul,3,
chulib'ij,1,
chulik'ama',1,
chulimal,2,
chulkika'ij,1,
chulkimolob'a',2,
chulkiya',4,
chulo',1,
chulta'iya',1,
chultakib'ana',1,
chululaq'ab'ej,1,
chumayjaj,2,
chumeske'l,1,
chunik'ajal,4,
chupam,17,
chupan,17,
chupaxij,1,
chupel,1,
chupinaq,1,
chupon,1,
chupuk'ij,1,
chuq'ab',5,
chuq'anal,1,
chuq'ijila',1,
chuqa,1,
churaquj,2,
churiqo,1,
chusaqb'isala',1,
chusik'ij,1,
chuti'o,1,
chutijo,2,
chutolok',2,
chutukel,1,
chutz'iloj,1,
chutza'm,1,
chutzalanem,1,
chutze'j,1,
chutzin,2,
chutzinik,4,
chutzinoq,1,
chutziqa',1,
chutzukuj,2,
chuwa,2,
chuwab'axik,1,
chuwach,100,
chuware,1,
chuwatz'aq,1,
chuwe'q,1,
chuwi,7,
chuwi',78,
chuwila,1,
chuwinoq,1,
chux,1,
chuxawaj,2,
chuxe',13,
chuxib'ij,1,
chuxik,22,
chuxikin,1,
chuxo,1,
chuxo'l,3,
chuxoq,24,
chuxukut,1,
chuyab'ij,1,
chwa,1,
chwe'q,2,
chwi',1,
cortes,1,
cruz,1,
crítica,1,
de,2,
dios,1,
don,4,
donadiu,1,
e,273,
echa',12,
echalamiq'at,1,
ek',4,
elaq'axik,1,
eleb'al,2,
elenaq,2,
eleq'axik,2,
eleq'ay,1,
eleq'ik,1,
eleq'om,1,
elesan,1,
eray,1,
et,2,
eta'manel,1,
etamanel,3,
etz'anem,1,
ewab'al,2,
ewal,2,
ewaxib'al,1,
eyaj,2,
ib',1,
ib'a,1,
ib'ate,1,
ib'i',3,
ib'inib'al,2,
ib'inik,1,
ib'oy,3,
ich'ab'al,1,
ich'aja',1,
ichaj,1,
ichakab'al,1,
ichuch,1,
ijuyub'al,1,
ik,4,
ik',12,
ik'ajol,1,
ik'amowab'al,1,
ik'il,1,
ik'oje'ik,2,
ik'ojey,1,
ik'oq'ij,4,
ik'owen,1,
ik'u'x,1,
ik'uxun,1,
ikab'awil,2,
ikaj,5,
ikamik,1,
ikochib'al,1,
ikolb'al,1,
il,2,
ilb'al,4,
ilo,1,
ilokab',21,
ilol,5,
in,39,
ina'oj,2,
ipachq'ab',1,
ipam,1,
ipatan,2,
ipoy,1,
iq'aq',1,
iq'aq'al,1,
iq'ib'alam,41,
iq'ij,2,
iqajaw,4,
is,1,
isachik,1,
isamajel,1,
isik',1,
isik'ib'al,1,
ismachi',10,
istayul,4,
itanab'al,1,
iti'o'jil,1,
iti'ojil,1,
itinamit,1,
itze',1,
itzel,5,
itzij,1,
itzuqu'n,1,
itzuqub'al,1,
iwach,4,
