chunk_60_id,H,G,I,A,B,C,D,E,F
35,1.453601897039775e-17,3.2975704785566453e-19,7.296128886391605e-29,0.020362114360834176,5.3241362252712217e-08,1.5736302208719913e-46,6.834180720831293e-41,4.450671113200744e-24,1.8744985467333836e-48
36,1.1264275977816878e-07,1.065285459684978e-29,4.851661071597294e-43,0.02143598896742194,3.459937027805579e-39,9.834822835931755e-38,3.401603511405203e-47,1.8957458700490054e-36,7.201420282264276e-29
37,0.009280338458398549,6.670625239539489e-40,0.003557847459642495,0.008567631106181977,4.290448257158147e-33,1.3218509148748538e-29,4.296040461425159e-31,1.3335028360758849e-24,4.960063073622625e-49
38,0.022470716417688958,4.8960997321687775e-22,1.234487802691281e-18,3.2430809793726664e-10,1.9829775672041805e-20,5.650257931467724e-37,2.443247077471223e-22,5.134960632969996e-22,6.892157880749973e-26
39,0.017221218614960582,0.0010469752740203241,5.899598261644617e-54,6.460023801090815e-21,3.5669500953407274e-25,4.7799150705658456e-26,1.5825882679890742e-19,1.8914250927102195e-35,2.074760013340353e-30
40,0.021683701705037667,1.6812363477493328e-22,4.2044196024233936e-44,1.790193283786651e-35,1.3341312188236705e-25,1.6286236726308225e-45,8.55541633186762e-36,4.530542939816239e-23,3.500272760666897e-24
41,0.013990246391676068,7.290278492065061e-38,2.946548328991935e-17,4.48589206203293e-16,2.1528403642751992e-20,5.677370347308769e-26,0.008817580060357228,5.764500259275933e-14,6.731032788015994e-11
42,0.02043077024477544,1.906802599471825e-32,5.596505235513093e-21,1.3068745807682605e-35,5.629848018582385e-48,3.7460461834210624e-36,0.0003036355638637486,1.6282302552253648e-24,1.8260706004738173e-44
43,0.010601040263761827,7.947050773697741e-44,2.492384260416415e-37,1.1236244175113305e-22,1.1043352832816263e-35,1.1811581533023207e-39,9.603391713833323e-43,0.01091411211540486,8.21183773719011e-38
44,0.020154711986284574,1.2295587623044875e-49,4.682424278171434e-32,1.1334813737039027e-22,6.079802638468909e-48,1.6047740008008036e-22,0.0009594038552770556,5.1463634368604054e-23,1.3250000059862853e-06
45,1.6150650469717546e-08,2.2206759913765292e-54,1.4156533474551867e-39,3.737761698511966e-40,1.592189818839916e-50,4.079285912525733e-43,1.6534343253683975e-56,9.466941228331213e-37,0.019569350583961153
46,0.001541125017733247,3.1908667902019715e-33,2.1391509980434872e-24,1.382978712032333e-37,1.3208560628655943e-40,1.7292544102385362e-45,2.4521534900105046e-37,3.516843171800899e-38,0.017411300524617583
47,1.4131933220927187e-31,2.821566226919256e-25,4.875348497260188e-46,5.445445262295725e-53,1.0876819910308169e-37,7.11072433049962e-30,1.3643874781013509e-41,1.4166847267379334e-44,0.01667085351748157
48,2.437845719757457e-10,3.4293404134500585e-33,2.6379916016116475e-25,1.852177383181082e-46,6.066316628739923e-39,3.5307565224077286e-40,2.7193126607153617e-39,7.00672146460255e-41,0.01773257248771637
49,0.02057387026955197,2.1980651050044932e-26,5.892516188707859e-35,4.247662362529907e-42,3.709728445924743e-34,5.419321531094067e-32,3.4022520778363674e-34,1.1567902363472352e-41,1.9106000672083807e-26
50,0.02047127629231113,1.3082145546691612e-28,1.7266097912758335e-29,9.938400137389085e-37,8.504693973826081e-27,9.009054221805336e-27,1.4178503309974928e-34,1.9430383691389123e-39,1.501280795793759e-27
51,0.016945975917198954,6.30557046152377e-31,1.5337506262479193e-17,7.659686779395117e-20,1.1878745378788825e-24,4.5402716202424085e-27,1.0143190576315862e-38,0.006243952951209212,1.2844979040717482e-31
52,0.0058243555040188725,4.2479759534195586e-36,0.0008106843516862117,1.8205724379351606e-45,1.1368586734906991e-43,3.6318855202313075e-36,2.0056149129381462e-35,0.01611553526169907,9.400205548696352e-32
53,1.0926271530883734e-21,1.1016712209102802e-39,0.01913414264086793,4.2330116944987865e-48,2.707907566561981e-42,4.205273517724636e-37,1.1760414944402996e-53,8.874252411092986e-36,7.715338717102215e-39
54,8.28366352908811e-29,5.630706877978447e-35,0.01996597833942256,2.4212351992552007e-39,1.3715568885397346e-35,1.7792272008139436e-36,9.150303309141893e-41,4.2510182085779196e-32,1.210428890046006e-42
55,1.4368841882276344e-36,8.954989283800892e-29,0.016689518266929416,1.0347700503122059e-53,4.993880357632516e-46,1.112057149526101e-43,1.1755589375656165e-40,2.1924800252385368e-45,2.563560105665509e-40
56,8.286053086286043e-17,5.609505083020228e-26,0.02018109417448225,4.114782056144569e-39,8.926112192290265e-30,6.722267528222066e-22,3.176530112244856e-20,3.6688267684384986e-40,1.9660948733592058e-23
57,4.528163083902883e-32,3.0618463204456645e-35,0.016307303572768307,4.645043671719371e-49,5.504055292127551e-13,9.142126957875738e-34,2.9666626793282966e-27,4.030449144522608e-36,4.299765686109641e-50
58,5.6472273108547077e-14,5.5304296838487455e-40,0.019429033738492092,5.485379335455756e-08,6.608011151195706e-32,2.242137147310381e-28,6.725431518550968e-33,9.321982241946625e-33,5.512246034662728e-10
59,0.0004361585643516875,7.640570296802917e-50,0.019271489774314903,8.103017622004024e-42,3.833031200461655e-39,2.463146394702863e-62,3.8466507961504613e-47,1.4629090760310018e-37,1.7183938763311726e-60
60,2.7134716522935413e-15,1.6044109288415306e-56,0.011825007557871284,1.873233265307648e-35,4.2778092390509246e-48,4.31081392383386e-84,2.312304264938946e-47,7.113954617917976e-42,3.1917649998617148e-52
