chap_num,G,E,H,A,C,F,D,B
49,0.20123780928842966,0.03552751454350206,0.07147545239896885,0.04732382516209482,0.03151294484315881,0.03117901677432663,0.030378219117852434,0.09516985976105273
50,0.12890141011285686,0.05150798111300159,0.07451961173016486,0.056251822208986495,0.055067349842634554,0.04558200574814419,0.04368011213413825,0.07488596530180501
51,0.17380183000168378,0.06924148447608819,0.05401288984284472,0.04944869868837342,0.05224284854469229,0.05601492101548446,0.04620324410131289,0.10448569172958229
52,0.15654873990545712,0.06451811248135261,0.053325852169567915,0.051323253181181125,0.05766101504617412,0.05819580590853829,0.041268512394902875,0.08852554384470912
53,0.11376443159657487,0.056300401745329534,0.09487322729446564,0.05784553185852958,0.06457937361200747,0.04686563998377572,0.05802599274310763,0.05502914911677601
54,0.12783200599039005,0.047968674485583236,0.07576297866385784,0.05540854598717184,0.06115460251635242,0.059447143542290706,0.050532855516952656,0.05945543802556441
55,0.16238564436988254,0.05505822641966778,0.07511841141588611,0.05594699106549849,0.05448777621952029,0.06038766768327081,0.042761720932448614,0.08823164012933088
56,0.15204811189526957,0.048491883261776544,0.07677103434714716,0.06541541900742157,0.05331049919867697,0.05878133896866893,0.04425660308181611,0.0761219629345705
57,0.10980254127723756,0.045665902837788104,0.07436486777633983,0.05396202803834361,0.04644810102550558,0.064176782729775,0.037886261592772634,0.1042298229795108
58,0.1513536732312491,0.04569990730833767,0.06890007539763122,0.04653788596333566,0.044220247794032864,0.05443766456368193,0.03578135120850537,0.10351452678897113
59,0.08529100275124414,0.07003625957379363,0.06669222753259313,0.05511379941641084,0.059975587824917555,0.06110384635401917,0.04668346025727068,0.10859562795934012
60,0.11049467179438895,0.06215429647455358,0.06247829642552036,0.0428964011757037,0.04945973432773954,0.05097782907761134,0.03531946228068847,0.13473161534073436
61,0.11184975877492431,0.06425324475724221,0.07094984521748005,0.04490404427330431,0.0525008962959301,0.05174170279659977,0.041550448887205875,0.1255048038326599
62,0.12656771309086964,0.05599807515488801,0.07500207764710208,0.05577945894789037,0.04935409413545615,0.05887144113314193,0.04146422213729831,0.11972587584147439
63,0.13236076640511182,0.05283839084679002,0.07816459802559625,0.05625054819114438,0.0536315101737446,0.0584085120506735,0.03796984102739405,0.11043420537833563
64,0.13675426164770238,0.05088169364215642,0.07826801337480291,0.06804133489496422,0.06264467892995201,0.052741318773886416,0.04915430488444639,0.07984070471312257
65,0.13426146872338537,0.05297858117932124,0.09541844293565381,0.05793819530934942,0.05593048557383978,0.05831171087723026,0.049865438630778615,0.07471437637436655
66,0.0815861635057817,0.03879630863495733,0.12850196298976382,0.04945272853263808,0.03201161925026148,0.051198897124526965,0.042268149800359395,0.06240662298036494
67,0.1166715636474157,0.05163871286654479,0.12194328979371052,0.054003520707527466,0.05393276152075637,0.05804739325225121,0.04328416450599342,0.08664670257915384
68,0.07773726130126601,0.0545620434602018,0.15824794891937652,0.04929635286687708,0.04909157986415281,0.051349303897148556,0.043109857154829956,0.060487371185459445
69,0.0705810598022802,0.057115968425880556,0.15815512619029415,0.04667531385921597,0.03861764477905974,0.04705448675306023,0.04458648623881543,0.06037801171430791
70,0.07115873569014605,0.055771108860110545,0.2192005231101174,0.07631972811962544,0.03137798083362028,0.05561129458660664,0.0507049274255005,0.07132864999498335
71,0.04631030675193462,0.05016092011165465,0.2484377645703707,0.03890876201090127,0.03454907346377144,0.035563790205088,0.0379726924155604,0.04221968046874443
