chap_num,D,C,E,A,B
69,1.10771141197993e-11,4.998742999036102e-17,0.4072887634663309,7.85350467167747e-20,1.6550524587294176e-21
70,2.2097875950409984e-11,1.1000917250330643e-11,0.4047204252568809,8.808849794862594e-20,3.4674770744205767e-19
71,2.2781876345514275e-10,2.1635043949114284e-10,0.35677811201381354,2.664195876098489e-19,6.788477267130852e-18
72,2.2781876345514275e-10,2.1635043949114284e-10,0.35677811201381354,2.664195876098489e-19,6.788477267130852e-18
73,2.2781876345514278e-10,2.1635043949114284e-10,0.35677811201381354,2.664195876098489e-19,6.788477267130852e-18
74,3.105138141713689e-08,1.470132128930765e-10,0.3745778486985722,1.9703037731779708e-08,2.599084830806139e-12
75,8.825821077641777e-08,6.184414660963974e-07,0.40914180579007653,5.6102263037370455e-08,0.0006431122066205723
76,1.1374457197563764e-08,4.973379367208474e-06,0.3620935514933719,1.2560386812426174e-11,0.0051717769843615344
77,3.031202669440167e-08,7.940417130003348e-24,0.3293451275153573,7.23927163662669e-14,4.4502524958451395e-15
78,3.210083867128557e-08,3.5024844080544463e-13,0.4150824132949702,1.5137292225577e-07,8.918703048195128e-12
79,0.010463203786681646,1.1866106931044832e-13,0.43781412106602696,1.685625719614825e-07,1.7608544002255192e-11
80,0.009952027475612416,1.637139936633545e-22,0.39441298098442923,1.1154879512970795e-07,1.3874507287695458e-11
81,3.9202659053733294e-07,1.661809616735619e-27,0.29399823440193046,2.865867110868858e-12,2.3743994092537144e-27
82,3.9202659053733294e-07,1.661809616735619e-27,0.29399823440193046,2.865867110868858e-12,2.3743994092537144e-27
83,2.3813203186605253e-07,1.686353932544448e-19,0.2855511859314232,1.7433875059701982e-12,1.7886069935798098e-11
84,2.9498664680097685e-10,4.292537257157901e-19,0.27249665647700294,8.646298399541724e-15,4.552817801839516e-11
85,2.949866468009768e-10,4.292537257157901e-19,0.27249665647700294,8.646298399541724e-15,4.552817801839516e-11
86,2.949866468009768e-10,4.292537257157901e-19,0.27249665647700294,8.646298399541724e-15,4.552817801839516e-11
87,2.9498664680097685e-10,4.292537257157901e-19,0.27249665647700294,8.646298399541724e-15,4.552817801839516e-11
