para_num,C,E,D,A,B
45,4.0286009818560305e-12,1.5268085352033452e-17,3.4040181445819543e-16,0.025765149439580404,2.4457873149650713e-09
46,2.593122477598037e-12,8.459225059212558e-10,2.1910956996414812e-16,0.026566929113186383,1.5742998808970574e-09
47,1.8293273957192094e-20,2.3740405535527895e-09,9.992652239602258e-22,0.028015305297764928,6.129014008103142e-26
48,1.8293273957192094e-20,2.3740405535527895e-09,9.992652239602258e-22,0.028015305297764928,6.129014008103142e-26
49,2.7783196936457686e-20,0.0005012263329654184,9.1731284975013e-06,0.02731721463214831,5.538352323585931e-19
50,6.688167961103191e-20,0.0025662690437358616,4.6966417907206654e-05,0.02444108108980784,2.8356361371606195e-18
51,3.932439091075228e-09,0.008102722347682044,0.0067697345737989575,0.011112629674141757,6.405298040310866e-16
52,1.8342584399393386e-08,0.018389812951819896,5.782797023010235e-08,0.006598512891636945,2.9837094792041196e-15
53,1.8342584399393386e-08,0.018389812951819896,5.782797023010235e-08,0.006598512891636945,2.9837094792041196e-15
54,9.663208187432703e-09,0.021228161741517617,1.0190994753669207e-08,0.0011628526817830534,2.2876809952736095e-12
55,0.0016512673203332156,0.021590864254410962,1.590650436136557e-21,5.28817236743506e-08,1.0073424122550505e-12
56,0.0004467856720610276,0.02413762097632835,3.8596250472893076e-13,1.4363828398379613e-08,1.2781702302874253e-09
57,4.2957391419305865e-12,0.02650403695205461,1.6916012837155476e-12,2.4212123387646783e-10,2.8052023919296667e-16
58,2.3786324213187927e-12,0.024794329377675058,9.367309880292235e-13,1.7223973774019902e-08,1.5883602240074716e-16
59,3.62963908185513e-19,0.02371787655705796,5.816581843619662e-17,1.6790468109294816e-08,3.4451927378961574e-18
60,6.395747923389558e-19,0.024533719135621152,5.371749454333696e-22,2.1807002903363638e-21,4.447169096374549e-30
61,3.359044224222737e-15,0.023351775860796075,2.010620140317917e-12,1.3011635523788802e-13,3.265779337429458e-13
62,2.2332859435775507e-09,0.024239558548290796,2.685794679452926e-13,7.128285460527339e-14,1.9020919732590328e-06
63,6.55404159703013e-08,0.02158136612310428,1.6913338466765362e-14,1.1157048294533689e-13,5.5796127187641054e-05
64,6.55404159703013e-08,0.02158136612310428,1.6913338466765362e-14,1.1157048294533689e-13,5.5796127187641054e-05
65,1.3862516302800772e-09,0.005999396193334741,3.57880126355274e-12,2.3550498349349674e-15,0.019187856580569568
66,2.863249430102546e-11,0.00622464870817496,2.3273630126966423e-18,3.7786342108547453e-23,0.014575858711570478
67,1.0888514621054473e-09,0.007158220811708618,3.3304579748896186e-12,1.4672136305760851e-18,0.018306387095058572
68,5.075917123173525e-09,0.023231533240859085,1.2803492963209542e-12,6.882719597877298e-18,8.631337291286693e-12
69,4.34285905470649e-06,0.024584728223498567,6.79795815649909e-13,3.090354214863089e-14,7.598929751200347e-05
70,3.9914317898559684e-07,0.024032475315449553,0.0010598360761325755,1.9079627178072077e-11,6.984018655666714e-06
71,6.641140860118001e-14,0.020587937993913247,0.004784324158615307,1.089173665652578e-18,1.6394265472314552e-23
72,6.162949080623594e-14,0.019227842262636047,0.006048954069595333,1.0469908224982346e-18,5.561018835000296e-19
73,4.246477266907131e-15,0.002906693487309642,0.021224513001355645,5.407967046461169e-19,7.229127754314717e-18
74,4.1388161257252396e-16,0.00022570915337149513,0.022857564461431175,4.206032161858364e-20,1.1739888775957214e-16
75,2.1500335159896175e-16,2.2987379205545124e-17,0.022342925525859463,1.3948181276118735e-25,1.0987109920295206e-30
76,1.4559771680208511e-28,9.240587758068e-21,0.020064194094293598,1.8135650299081754e-29,2.2695466085150945e-30
77,1.4559771680208511e-28,9.240587758068e-21,0.020064194094293598,1.8135650299081754e-29,2.2695466085150945e-30
78,1.4559771680208511e-28,9.240587758068e-21,0.020064194094293598,1.8135650299081754e-29,2.2695466085150945e-30
79,1.4559771680208511e-28,9.240587758068e-21,0.0200641940942936,1.8135650299081754e-29,2.2695466085150945e-30
80,1.4559771680208511e-28,9.240587758068e-21,0.020064194094293598,1.8135650299081754e-29,2.2695466085150945e-30
81,7.037871262095057e-15,6.359215825168853e-14,0.021742806618926233,9.551212919819272e-25,7.778572273766633e-21
82,1.1984118406992916e-09,3.342337299314012e-11,0.02358946544056526,4.1706083427056696e-14,1.499642909964954e-14
83,1.3897004916079206e-09,3.8694081932720795e-11,0.022803304954543198,4.836339316648868e-14,1.739071400677069e-14
84,5.4131140952928425e-20,1.0913233768984331e-18,0.020823920783928883,1.395811695706469e-21,1.0684418287515989e-18
85,5.294432362815058e-20,3.926791295467318e-11,0.02090940798012008,2.3587811571191623e-18,1.0432105334275345e-18
86,3.889207537333141e-21,1.6623416033064648e-09,0.024442878756022975,9.979737543462201e-17,3.1699336621973908e-22
87,3.1269193558904845e-22,2.1921749305713226e-05,0.02600348888336184,9.569214358361641e-11,2.5599056190732744e-23
88,3.2471374057863717e-29,0.0010248355462242678,0.019798466454848763,1.9720698054244736e-20,4.458283999958021e-24
89,3.2471374057863717e-29,0.0010248355462242678,0.019798466454848763,1.9720698054244733e-20,4.458283999958021e-24
90,3.2471374057863717e-29,0.0010248355462242678,0.019798466454848763,1.9720698054244736e-20,4.458283999958021e-24
91,3.2471374057863717e-29,0.0010248355462242678,0.019798466454848763,1.9720698054244736e-20,4.458283999958021e-24
92,1.943630445827656e-23,4.290755281092733e-22,0.016827454562021983,7.103997847382929e-25,2.8932050865219755e-24
93,1.943630445827656e-23,4.290755281092733e-22,0.016827454562021983,7.103997847382929e-25,2.8932050865219755e-24
94,1.943630445827656e-23,4.290755281092733e-22,0.016827454562021983,7.103997847382929e-25,2.8932050865219755e-24
95,1.943630445827656e-23,4.290755281092733e-22,0.016827454562021983,7.103997847382929e-25,2.8932050865219755e-24
96,1.943630445827656e-23,4.290755281092733e-22,0.016827454562021983,7.103997847382929e-25,2.8932050865219755e-24
97,1.943630445827656e-23,4.290755281092733e-22,0.016827454562021983,7.1039978473829285e-25,2.8932050865219755e-24
98,1.943630445827656e-23,4.290755281092733e-22,0.016827454562021983,7.103997847382929e-25,2.8932050865219755e-24
