para_id,D,B,C,A
59,5.9904439613849225e-22,0.019072607816870472,2.964333900575769e-22,1.1880417873601525e-08
60,6.330809972710122e-22,0.018999755286215225,1.9964550503606415e-22,2.0551709816706316e-16
61,6.330809972710122e-22,0.018999755286215225,1.9964550503606412e-22,2.0551709816706319e-16
62,3.3486472425331764e-14,0.01991491382444966,3.7647534993553245e-23,3.4084589716168556e-15
63,2.692947576526353e-14,0.01973937037861181,7.792680973629877e-29,6.793860370320173e-15
64,1.4015813984099955e-20,0.019010272150778638,2.2826848714084885e-35,1.1753891904670251e-14
65,4.745424863825158e-08,0.019570527442541178,1.4895631203904415e-24,8.556840622779702e-15
66,1.7446414940529918e-07,0.021070034252846804,5.476335001374351e-24,2.6897719702924988e-20
67,1.7446414940529918e-07,0.021070034252846804,5.476335001374352e-24,2.6897719702924988e-20
68,0.0001716616385110665,0.020082353281188167,2.9093030016766556e-24,7.311591634488802e-11
69,0.00036601376945428256,0.018962981513308375,6.868593297804129e-32,1.5598062150527703e-10
70,0.00036601376945428256,0.018962981513308375,6.868593297804129e-32,1.5598062150527703e-10
71,0.00036601376945428256,0.018962981513308375,6.868593297804129e-32,1.5598062150527703e-10
72,8.661394544337984e-05,0.021939447397530613,1.6253936007752e-32,3.691144478370601e-11
73,4.271089705457118e-28,0.022862151821639507,1.694696232190449e-38,1.8992568532332748e-23
74,5.976112153914786e-26,0.018866158993607215,7.481069574044741e-39,2.1409671561791516e-13
75,3.187969546311601e-21,0.018530258760961826,2.9994449636129066e-23,2.2293354415926464e-13
76,3.967373714334372e-21,0.018972429738384994,3.732830720690603e-23,1.4145062522874535e-22
77,2.1068340871983963e-38,0.015191265401166873,1.743831298958485e-42,6.0687051727716394e-30
78,1.8921721470598213e-14,0.017122527436170477,1.226486061433319e-38,6.265827539222203e-18
79,2.9081035011859e-14,0.01815944664959523,1.884908439045895e-38,9.630030244841605e-18
80,2.9081035011859e-14,0.01815944664959523,1.884908439045895e-38,9.630030244841605e-18
81,1.2781330547550037e-14,0.01762065770105236,1.8004124289810167e-27,3.999150015943951e-18
82,1.2061781018813537e-15,0.017238039462232062,3.0789661828816867e-27,4.0898382822533977e-22
83,1.2061781018813537e-15,0.017238039462232062,3.0789661828816864e-27,4.089838282253398e-22
84,0.00035409873817783164,0.019164202269900992,1.830737585262729e-27,7.119885379609227e-19
85,0.0008734435541702157,0.02198924105448209,2.308754925313704e-33,1.755638550688879e-18
86,0.0008734435541702157,0.02198924105448209,2.308754925313704e-33,1.755638550688879e-18
87,0.0008370500727464566,0.021873834862236097,1.0300999347555123e-21,8.153010744078993e-09
88,2.563122671256228e-27,0.019219492440578235,2.47223984340792e-20,1.9567225781751614e-07
89,2.5631226712562284e-27,0.019219492440578235,2.4722398434079196e-20,1.9567225781751614e-07
90,8.543384812706419e-13,0.023498374842703597,9.319009905943479e-22,7.375674308487605e-09
91,4.4422230116619366e-13,0.022456308189337734,1.9425809551925592e-05,1.115291346705982e-17
92,0.0014543452128485703,0.014970015755355585,0.0019208964329317827,0.0021851784067957775
93,0.00276610756021871,0.010018185756849788,0.0035881432890949292,0.004156123636454714
94,0.0015728281243901354,0.004236261405753625,0.001517272029011898,0.014399931726676033
95,0.0006985441813078138,3.6793935765742863e-20,1.6673835442182385e-11,0.021905296070006505
96,0.004476160115246399,6.731740656517674e-21,3.050601471878342e-12,0.019358981627575805
97,0.00532206797775412,2.2119789334487224e-26,4.422722359968939e-25,0.018788794651203283
98,0.00589406914465361,1.8433157792297276e-26,0.0014948005758701579,0.016662921479061336
99,0.011375235653409673,8.886342163871786e-18,0.007331916568023527,0.005078438178733394
100,0.02311585117352636,4.8689749772880836e-17,2.7385785080647074e-08,0.0008003079804435212
101,0.023083905076269718,8.213901984039683e-06,2.7206793021296437e-08,0.0007950772098063256
102,0.018228098293260532,0.0012567270035506708,3.17590488588768e-37,7.295259603984365e-11
103,0.02040652255974457,0.000696499303172661,1.1418424362485538e-25,4.043155925180683e-11
104,0.023114833809967966,8.134039635716766e-21,2.561430329959024e-25,1.8151144113274566e-21
105,0.023921506190720428,3.1211928564162228e-21,2.186646255587895e-17,2.284443332003808e-10
106,0.024423714676791997,3.5439459487356128e-25,3.54798242989052e-17,3.706664861644684e-10
107,0.022614081184553637,7.764825395220425e-26,5.940395770013408e-17,8.121344359783296e-11
108,0.0228659815861696,1.3925048129844883e-32,5.030602079930043e-18,2.004569291720075e-18
109,0.022928540116356092,1.506978850814597e-32,1.1627545623588909e-26,2.169651468685189e-18
110,0.022547464229927754,1.0852249796617877e-33,1.1819965636832831e-27,1.5621490576809798e-19
111,0.021814439825483593,2.6348364910556696e-29,1.6876017145882064e-28,4.696221161559894e-24
112,0.020984446363399065,1.484789150317892e-20,1.3510419559104438e-19,9.73121334724595e-22
113,0.020513894095050347,4.340152891646281e-20,3.949199563430195e-19,2.8279630343554624e-21
114,0.020513894095050347,4.340152891646281e-20,3.9491995634301947e-19,2.827963034355462e-21
115,0.020513894095050347,4.340152891646281e-20,3.9491995634301947e-19,2.827963034355462e-21
116,0.018646100410726802,5.091761774413455e-05,9.940162486823349e-20,9.91592002418322e-22
117,0.0180178425350907,6.804445280352525e-05,4.281260004439987e-27,3.7390356440310225e-22
118,0.018280818325073785,4.6845988709649555e-05,0.00011788165854235047,1.4028586327852055e-21
119,0.019503423812294564,1.2382221793750683e-13,0.00029934502920932676,2.9086975845112667e-21
120,0.021932788481143557,2.1142657796246546e-24,6.035384351376309e-25,8.227326021631081e-27
121,0.02193278848114356,2.1142657796246546e-24,6.035384351376309e-25,8.227326021631081e-27
122,0.021857095511022363,4.720760535636558e-19,3.99590486463206e-16,6.106250115529797e-20
123,0.022142860315978966,6.055650781884931e-19,4.9581302883832184e-11,4.044853577827678e-15
124,0.024689004497428214,9.245331588596547e-29,4.4488709134387646e-10,3.6293658987153324e-14
125,0.024689004497428214,9.245331588596546e-29,4.4488709134387646e-10,3.6293658987153324e-14
126,0.024689004497428214,9.245331588596547e-29,4.4488709134387646e-10,3.6293658987153324e-14
127,0.02349070758571019,2.1027339705945055e-28,0.0010880974604085718,2.28090584148513e-14
128,0.021463801107378645,4.095648109592817e-28,0.0029286019866629908,2.528767635296914e-33
129,0.004556431916113786,8.69494189058506e-29,0.018602621054947515,5.479765979030671e-32
130,2.0985353718919663e-24,7.155878037070973e-32,0.02191726940498849,1.0466641024208685e-31
131,1.7543293306433523e-30,1.583902536982972e-31,0.01957386587679389,4.88201105847583e-43
132,1.7543293306433523e-30,1.5839025369829723e-31,0.01957386587679389,4.88201105847583e-43
133,1.7543293306433523e-30,1.5839025369829723e-31,0.01957386587679389,4.8820110584758294e-43
134,1.7543293306433523e-30,1.583902536982972e-31,0.01957386587679389,4.88201105847583e-43
135,1.7543293306433523e-30,1.5839025369829723e-31,0.01957386587679389,4.8820110584758294e-43
136,9.996573769564879e-16,1.5771744116791067e-20,0.022122558596045915,1.0203903713757908e-29
137,1.602756455616186e-15,2.5286928583850448e-20,0.023660199658073994,1.6359977855115694e-29
