doc_id,E,C,F,A,B,D
42,0.018508031806521812,1.1496650798294709e-30,3.853719083454529e-26,1.3061246767929005e-14,3.696116428469185e-26,3.0257485102586903e-19
43,0.017721296085365087,3.9405939755875345e-34,3.380750065067063e-19,4.893917870350391e-28,1.4873887401172226e-34,1.4966998776310496e-28
44,0.004420717817843256,6.653706459298796e-30,9.276595367376724e-25,3.0904271834421407e-25,8.578949950217903e-33,0.011692017481526052
45,0.016506524457523007,2.398001714695554e-16,1.8579821513561364e-22,1.3010656724023644e-24,1.08357685497516e-14,2.7360083001803723e-10
46,0.0002613470409504391,3.903658519728681e-23,1.1004446174841175e-23,3.8660914682705094e-33,5.96835242037418e-26,0.013848404710589067
47,0.0010587842539766324,3.5961116506068394e-23,9.134567808888713e-12,1.2801886939331167e-26,3.3283131699485307e-21,0.01471758596587409
48,0.01747304327784025,7.667493058226362e-21,4.2538647082839164e-21,8.361331935553327e-26,3.568833924407251e-26,8.799205538872283e-18
49,0.017677486073655872,2.194543434037317e-26,1.726304601038407e-21,4.647152872758851e-27,9.178058706875501e-17,4.213474671928457e-22
50,0.01826356155240751,1.1830184438429437e-25,1.6234409426713825e-11,1.4009866194212083e-18,1.5798473697682437e-24,8.843743974728243e-28
51,0.0007638416401724437,1.3281214290851947e-28,0.01664262021110361,9.463246117223018e-27,8.495691982870306e-27,3.8254594944964864e-17
52,4.026870596214079e-21,2.118398751219866e-37,0.01602753067751343,1.315939510559427e-34,5.232600673993355e-31,1.8615638087196095e-33
53,5.668633192718978e-22,1.161971680151569e-32,0.016848274836751644,5.404337877044879e-32,9.774595522762169e-36,4.292261316155319e-27
54,6.203023181184869e-20,1.3053932274121133e-22,0.01447943994181777,9.794347503370293e-31,2.201608318440936e-32,9.312525304947372e-28
55,3.814224412731836e-15,6.812429738948966e-17,0.016676555843173745,1.4518841229036961e-19,6.048109235676188e-13,3.968726289379621e-17
56,3.085667197066884e-17,3.3544814355534224e-35,0.013542547649278007,9.056369420910807e-28,2.1355775913780934e-30,3.6947414035306346e-35
57,8.453364112611396e-18,5.342292130481641e-28,0.017004956040934643,1.371055687878858e-14,1.3125704476452052e-27,2.241208779356999e-27
58,1.2499608907979927e-10,3.390879734273311e-39,0.015071676628920715,7.479541643964652e-25,1.2944187486052967e-29,4.7040594758341e-44
59,3.0793711027515107e-17,2.3175057927337443e-33,0.010872031106946449,3.391311270617623e-24,1.7537196198760264e-28,1.5720485936117652e-38
