chap_num,0,1,2,3,4,5
49,0.021671300415419745,1.302855965843235e-16,4.239874358932494e-07,0.006021309517855477,2.309751235722798e-22,1.5479122811499174e-22
50,0.024293173375418593,1.0684109158656562e-14,9.350293263045044e-08,0.0013278933537505702,1.6216526531636845e-07,2.5230918736838595e-18
51,0.02122886203444502,0.0027448777455831674,1.421742610546364e-28,0.001046354918834257,8.89273865448765e-08,1.2704216803225275e-14
52,0.026390495114035552,0.0011985122875279844,9.514401306422654e-22,0.00045687616847646763,1.1062716057388516e-16,5.546651391071467e-15
53,0.028920099888458825,4.5408615661799176e-21,6.877872580597298e-21,7.283649444208754e-17,1.1918350293333257e-20,9.448801472004687e-19
54,0.027985084344007653,3.409930020460246e-21,5.229269301084886e-21,5.4696573146945063e-17,7.407652902736717e-05,7.112521175111076e-19
55,0.026905071004202457,6.652541185421735e-29,1.6391840730531413e-22,1.1281522017104616e-21,0.0001565139419863303,3.593166357355542e-21
56,0.02819877646913841,9.978463567562501e-26,1.6413642588782297e-12,6.483820293792961e-08,1.8279237119404316e-12,1.1510248051219025e-07
57,0.013747577972052406,7.40288159725266e-27,6.794731676121727e-06,2.5564248960464253e-16,1.3095435947840952e-26,0.013588771995809953
58,0.022248168174846962,8.337408971361642e-11,1.1328986536200125e-13,1.6849125612984691e-15,3.508859343118193e-12,0.0045510794130520435
59,0.006225353304604282,1.603942466240681e-11,4.5138267778409906e-14,3.2414167088500084e-16,6.750305959789187e-13,0.021090376981516473
60,0.006382928214640763,1.4010452456213455e-18,4.856194633160993e-15,1.760896353709024e-30,5.7894722038725256e-24,0.01814189992628345
61,0.014551044164642793,5.732860017142663e-16,0.0010411252172791918,2.5262325307379872e-15,2.0866680472060907e-13,0.011738258243212493
62,0.026017179998575297,8.959135384738524e-08,7.241143701849398e-05,1.4623179536038783e-16,0.00020277687227418083,0.0009064671111106158
63,0.024769128414815517,5.418363537291922e-12,0.0009244785569418523,1.9940332412999996e-18,0.0011375025899285568,0.0009523717519306534
64,0.028584825494001875,1.795677892524995e-19,0.0005627068158063699,2.598440569962677e-06,0.00048749029183000285,1.4314629019669084e-15
65,0.020840158859198588,5.979622473259231e-21,0.009083430017170978,3.0404955190148746e-07,1.0881584204600877e-23,0.00038816115393785485
66,0.02001605413826683,4.6787460253889966e-21,0.009881298870029968,3.265231072562301e-28,2.298021110811877e-31,0.00042225639043239066
67,0.007171876076484445,1.6764236573776107e-21,0.01904815190562575,1.1701048954423597e-28,6.288057352523885e-28,0.00015129707800509113
68,3.9803138622459273e-13,1.7957909661265913e-30,0.02563647783581974,1.1639079983225946e-29,4.9859162831440137e-26,8.714648644482243e-21
69,2.2340065417965823e-21,1.9299969705872642e-29,0.02642033999690798,4.9833836544171136e-33,3.5037167135581068e-37,9.536177926258406e-20
70,1.1018172759787187e-17,3.09892779596458e-13,0.026254698731245547,8.946899899841285e-33,3.700388149911497e-32,9.063894993255023e-20
71,2.1664902948703445e-16,6.0945579987303394e-12,0.02316272843888014,8.293253648109251e-32,7.277364625447291e-31,2.4794691052519672e-21
72,2.1664902948703448e-16,6.09455799873034e-12,0.023162728438880138,8.293253648109251e-32,7.277364625447291e-31,2.479469105251967e-21
73,2.1664902948703445e-16,6.09455799873034e-12,0.023162728438880138,8.293253648109251e-32,7.277364625447291e-31,2.479469105251967e-21
74,1.5917893096950185e-11,4.140577571656506e-12,0.024310607631119367,6.038326980669461e-12,3.0430966087459044e-20,9.030710287133763e-19
75,4.5322795481311004e-11,6.833145945763421e-10,0.026531646425300207,1.7193003517250438e-11,5.071826378541351e-05,4.914932668233527e-13
76,2.6804241911898395e-12,5.495076438594269e-09,0.023440949742628038,1.3726163634077414e-18,0.0004078659208302581,3.952467850698121e-12
77,8.952980905592787e-12,7.750030728790779e-39,0.02139125491239838,3.201698438374643e-24,2.7082947635304676e-26,1.34599960931543e-34
78,2.1385560707110902e-12,5.364388118716977e-22,0.026920214752575243,3.236260627726912e-11,4.042564024977444e-17,3.70203814127971e-19
79,0.0014787007372693546,1.817407175259406e-22,0.02774427428003468,1.6300891780778005e-11,1.7984881183763058e-17,1.2542177284992699e-19
80,0.0014455775888318112,1.5481914868986313e-36,0.02493872784812316,5.075948833950872e-12,4.079448830514949e-18,1.1190372812926161e-40
81,0.00013207574567873152,1.715828246599223e-40,0.018983274621078967,1.8132826968156828e-18,9.240768263391242e-48,1.5805573132632043e-55
82,0.00013207574567873152,1.7158282465992232e-40,0.018983274621078967,1.8132826968156828e-18,9.240768263391242e-48,1.5805573132632044e-55
83,8.018884624231366e-05,2.7770997236031e-28,0.01848513187762956,1.1009221627058975e-18,1.2942598881261361e-18,9.752473467922963e-39
84,1.6587587836099404e-12,7.068981114623421e-28,0.017715274910480472,1.3372635018730266e-24,3.2944797152301644e-18,2.482447791834936e-38
85,1.6587587836099406e-12,7.068981114623421e-28,0.017715274910480472,1.3372635018730266e-24,3.2944797152301644e-18,2.482447791834936e-38
86,1.6587587836099404e-12,7.068981114623421e-28,0.017715274910480472,1.3372635018730266e-24,3.2944797152301644e-18,2.482447791834936e-38
87,1.6587587836099404e-12,7.06898111462342e-28,0.017715274910480472,1.3372635018730266e-24,3.294479715230164e-18,2.482447791834936e-38
