doc_id,D,C,E,A,B
32,5.832825522359331e-08,0.024864338278396,0.0009472194734653777,2.1098159754063873e-05,1.2112764285494546e-12
33,1.362526573708268e-12,0.0020289893416616444,1.3237278037223787e-11,0.023140290348849686,0.0008490072655636488
34,7.13183596896598e-11,7.319467846838403e-28,7.901581106876338e-21,0.024556324511609183,1.2874691782432324e-27
35,0.0016120818462397437,1.4027412598519642e-27,6.675894475670203e-07,0.025727880340323507,1.0363277754548166e-27
36,0.008016345582387617,1.873932205542712e-27,0.0018499729080441601,0.018045668648891178,1.916985717903888e-31
37,0.02369487394965991,2.1460366318845836e-17,3.7342199244563244e-12,4.110794853462934e-13,3.098907518612058e-10
38,0.01975904754350411,0.0010698157890821367,2.0643184372068846e-34,1.153443338424201e-10,2.7635527748415366e-12
39,0.026854301144847124,6.685113563173119e-23,3.844483281515539e-21,2.3190835982113256e-17,3.657145603982179e-20
40,0.025221834579330204,1.6801651893872487e-22,1.2876345598676395e-19,2.0331387226688273e-12,0.0004129484791603382
41,0.02488025559046235,1.4928874020247771e-28,3.7202160561145247e-22,1.0906342750754735e-18,7.360753796123757e-30
42,0.027436104511311094,1.6392013790317229e-21,4.7231934710015897e-20,2.1463279487709575e-05,1.3920845862769606e-19
43,0.02547594934898265,2.7160707395874247e-32,4.5120705256464457e-10,2.0573601248335654e-20,1.583997017187284e-29
44,0.023989737425012155,5.863580458595784e-16,7.565808645292985e-24,5.989569222182678e-19,2.0769226724048101e-22
45,0.02398988652619756,2.608459771670797e-14,2.958378377977624e-17,7.575790694217109e-17,6.945759680345788e-12
46,0.02155214282914283,2.1069479264588327e-05,1.1088888383326827e-20,1.5033072070993443e-34,4.49634725274579e-11
47,0.023652007282212454,1.467135140514216e-16,1.0890735878796852e-09,2.5132680026466777e-21,2.2106192185403495e-16
48,0.02561614734840765,5.257064676718499e-14,3.148464402989766e-14,1.3203704166404675e-16,7.911989070026933e-19
49,0.025310151128838814,1.9836969358790775e-17,2.1613162160409113e-11,1.1805200475322234e-17,2.3676468173858888e-05
50,0.02658828419568288,3.6077303781799874e-22,2.402826577308188e-06,2.6785522555562075e-07,2.6914337046649427e-19
51,0.008182573803844366,1.9958584097364606e-21,0.01934396413894089,1.985185799871398e-23,1.4309582159036225e-24
52,3.9597179834280827e-16,1.8392248883068755e-34,0.023228483682758046,1.0276562422623397e-30,7.843803666907165e-27
53,1.0256236884123127e-19,6.240486075845157e-29,0.02587230601967274,3.977880417099835e-29,1.0834950172495662e-34
54,4.15737707334367e-17,1.3068161932080298e-20,0.022486965746137257,3.244259566664072e-27,7.89099760583552e-29
55,3.602286404980448e-11,1.4269314328908448e-11,0.02415286417874667,1.6347933619676637e-12,0.00034495752768900833
56,4.043076679978955e-17,9.303526403106039e-38,0.020675030966516173,1.3408027721802958e-25,2.7192686279908436e-26
57,5.754890886393764e-13,3.582211511525572e-24,0.025820893666998742,2.023671015407519e-05,6.720936114537241e-18
58,5.605381448052717e-08,6.1004896743539986e-40,0.023468962551355433,4.589762526043317e-20,2.659385232125238e-29
59,4.173113820982912e-17,1.2091481095916256e-36,0.017064245248112234,1.8030159053431548e-20,1.1816138383676462e-28
