ent_str_norm,n,p,i,h,df,dfidf
SENORDEUNACASAGRANDE,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,1,5.523561956057013
LOSMUCHACHOS,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,2,9.047123912114026
ASIDIJERON,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,2,9.047123912114026
CAYALA,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,1,5.523561956057013
CAQUIXTUCUR,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,1,5.523561956057013
NIMCHOCOH,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,1,5.523561956057013
POCO,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,2,9.047123912114026
OHDIOS,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,2,9.047123912114026
VUCUBZIVAN,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,1,5.523561956057013
ZAQUIRIBALPATOFRI,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
SOLOERANPISADASDEFIERAS,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
LOSTRESTENIANSUINCIENSO,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
YAERANMUCHOSLOSHOMBRES,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
DESPUESNUESTROCORAZON,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
NOESTABANCLARASLASPRIMERASHUELLAS,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
CAVIZTANPOM,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
ASICOMENZOELRAPTODELAGENTECUANDOLOSBRUJOS,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
CAHAUUPOM,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
NOSENTIANANSIEDADENSUPECHOPORLOSDIOSES,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
YSINOOSENTREGAIS,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
YCUANDOOSPREGUNTENDEDONDEVENIS,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
BANODETOHIL,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
REUNIERONSETODOS,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
YDIJERONPREGUNTANDOSELOSUNOSALOSOTROSCOMOHAREMOSPARAVENCERALOSQUICHESDECAVEC,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
MIXTANPOM,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
YLOSCAVEC,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
COMOELLOSTIENENASPECTODEMUCHACHOS,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
ELINCIENSO,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
ESTRELLADELAMANANA,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
PAVILIX,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
DESNUDAOS,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
LOQUEMARONYENSEGUIDA,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
