w0,w1,n
,qocaib,1
,que,229
,quedate,1
,quees,1
,quel,1
,quemad,2
,quemando,2
,quenech,1
,quequmaha,1
,queremos,1
,querian,4
,querida,1
,querran,1
,quibaha,1
,quiche,1
,quiches,3
,quicrixcac,2
,quicxic,2
,quien,12
,quienes,9
,quiere,1
,quieren,1
,quilitz,2
,quisiera,1
,quisieron,1
,quiso,1
,quizas,1
,rahpopachih,1
,rahtzalamachih,1
,raxacaculha,3
,raxananauac,1
,realmente,1
,rebotando,1
,recatandose,1
,recogian,1
,refrenemos,1
,remontaron,1
,repitiendo,1
,replicaron,1
,replico,4
,respetable,2
,respetables,1
,respetuosos,1
,resplandecientes,1
,respondieron,2
,respondio,2
,restos,1
,rey,2
,riendose,1
,sacadlos,1
,sacerdotes,1
,sacrificadlo,1
,sacrificadnos,1
,sacrificaos,1
,sacrifiquemoslos,1
,sal,1
,saldra,1
,saliendo,1
,salio,1
,salud,12
,saludad,1
,sanas,1
,se,61
,sea,1
,secos,1
,seguid,1
,segun,8
,segunda,1
,segundo,1
,sembro,1
,semejantes,1
,senor,9
,senora,2
,senores,2
,sentaos,1
,sentian,1
,sentimos,1
,sera,6
,seran,2
,sereis,2
,seres,1
,serpientes,1
,si,15
,siempre,1
,siendo,1
,siete,3
,sigamos,2
,sigue,1
,silbando,1
,sin,10
,sino,23
,sintiendo,1
,sobre,5
,solamente,12
,solo,20
,soltadme,1
,somos,2
,son,3
,soy,1
,su,14
,subiendo,1
,subiremos,1
,suerte,1
,superficie,1
,sus,32
,suscolas,1
,tabaco,1
,tal,3
,tambien,1
,tampoco,1
,tamub,1
,tanendo,1
,tatam,1
,te,1
,tendiase,1
,tendido,1
,tendidos,1
,tened,8
,tenia,1
,tenian,3
,tepeu,7
,tercer,1
,tercera,1
,tienes,1
,tierra,1
,tigres,2
,tiradores,1
,tirando,1
,tocando,1
,tocaron,1
,toda,1
,todas,3
,todavia,1
,todo,8
,todos,6
,tohil,6
,tomando,1
,tomemos,1
,tomo,2
,tortuga,1
,traed,1
,traedla,1
,traedlo,1
,traedme,2
,traereis,1
,traigo,1
,trajeron,3
,tranquilo,1
,trataron,1
,trayendo,1
,tres,2
,tribus,1
,tronco,1
,tu,16
,tuhalha,1
,tuvieron,2
,tuyo,1
,tzacol,1
,tzite,1
,tzununiha,1
,u,2
,uchabaha,1
,ucliabaha,1
,un,8
,una,29
,unamonos,1
,unios,1
,uno,7
,untada,1
,usaremos,1
,utiu,1
,utzamachih,1
,vacco,2
,vahxalahuh,1
,vamonos,3
,vamos,4
,vasallos,1
,vaya,1
,ved,1
,veian,1
,velad,1
,ven,2
,venado,1
,venga,1
