parte,capit,ent_str_norm,n
1,9,NOCONOZCOVUESTRASCARAS,1
1,9,NOSOMOSMASQUETIRADORESCONCERBATANA,1
1,9,PORQUENOESTABIENQUEHACESOBRELATIERRA,1
1,9,RAXACACULHA,1
1,9,SENOR,1
1,9,SOMOSPOBRES,1
1,9,VUCUBCAQUIX,3
1,9,ZIPACNA,1
2,1,AHALGANA,2
2,1,AHALPUH,2
2,1,AHALTOCOB,1
2,1,ATODOSLOSSENORES,1
2,1,CHIPICACULHA,1
2,1,CHOUEN,1
2,1,CHUGANAL,1
2,1,CUCHUMACUIC,1
2,1,DEELLOSNACIERON,1
2,1,DEJAREMOS,1
2,1,ELOFICIODECADAUNODEESTOSSENORES,1
2,1,ELOFICIODEESTOS,1
2,1,ESTEERAELOFICIODE,1
2,1,ESTOSSONLOSQUECAUSANLOSDERRAMESDESANGREDELOSHOMBRES,1
2,1,HEAQUIELNOMBRE,1
2,1,HEAQUILAHISTORIA,1
2,1,HUNAHPU,3
2,1,HUNBATZ,6
2,1,HUNCAME,2
2,1,HUNCHOUEN,4
2,1,HUNCHOUENAHORA,1
2,1,HUNHUNAHPU,10
2,1,HURACAN,2
2,1,IO,1
2,1,IXBALANQUE,3
2,1,IXBAQUIYALO,1
2,1,IXMUCANE,2
2,1,IXPIACOC,1
2,1,IXPIYACOC,1
2,1,LAMADREDEESTOS,1
2,1,LAOCUPACIONDEESTOSERAENFLAQUECERALOSHOMBRES,1
2,1,LOQUEDESEABANLOSDEXIBALBA,1
2,1,LOSLLAMADOSHUNCAME,1
2,1,OTROS,1
2,1,RAXACACULHA,1
2,1,SENORAHALMEZ,1
2,1,SENORAHALTOCOB,1
2,1,SENORCHAMIAHAC,1
2,1,SENORCHAMIAHOLOM,1
2,1,SENORES,3
2,1,SENORESDEXIBALBA,1
2,1,SOLODIREMOSLAMITAD,1
2,1,TALERAELOFICIODEAHALMEZ,1
2,1,TALERAELOFICIODECHAMIABACYCHAMIAHOLOM,1
2,1,TODASLASARTES,1
2,1,VOC,2
2,1,VUCUBCAME,3
2,1,VUCUBHUNAHPU,6
2,1,XIBALBA,5
2,1,XICYPATAN,2
2,1,XIQUIRIPAT,1
2,1,YELOFICIODEESTOS,1
2,2,AGUARDADNOS,1
2,2,AHALGANA,1
2,2,AHALMEZ,1
2,2,AHALPUH,1
2,2,AHALTOCO,1
2,2,AHORAMORIREIS,1
2,2,AHPOPACHIH,1
2,2,AJUICIODEAQUELLOS,1
2,2,ALENTRARELOCOTE,1
2,2,ASILESDIJERON,1
2,2,BALAMIHA,1
2,2,CAQUIXTUCUR,2
2,2,CASADELASNAVAJAS,1
2,2,CASADELOSMURCIELAGOS,1
2,2,CASAOSCURA,2
2,2,CHABITUCUR,2
2,2,CHAMIABAC,1
2,2,CHAMIAHOLOM,1
2,2,CHAYINHA,1
2,2,CONADMIRACION,1
2,2,CUCHUMAQUIC,1
2,2,CUZIVAN,1
2,2,DEESTOSCUATROCAMINOS,1
2,2,DENTRODEESTACASA,1
2,2,ELFRUTOREDONDOESTABAENTODASPARTES,1
2,2,ELPRIMEROERALACASAOSCURA,1
2,2,ELQUINTOSELLAMABALA,1
2,2,ELSEGUNDOLACASA,1
2,2,ELTERCEROERALACASADELOSTIGRES,1
2,2,HOLOMTUCUR,2
2,2,HOYSERAELFINDEVUESTROSDIAS,1
2,2,HUNBATZ,1
2,2,HUNCAME,9
2,2,HUNCHOUEN,1
2,2,HUNHUNAHPU,15
2,2,HURACANTUCUR,2
2,2,IDOS,1
2,2,IXMUCANE,1
2,2,LLEVADLACABEZA,1
2,2,LOSCASTIGOSDEXIBALBA,1
2,2,LOSCUATROMENSAJEROSTENIANLADIGNIDADDEAHPOPACHIH,1
2,2,LOSDEXIBALBA,1
2,2,LOSJICAROS,1
2,2,LOSLLEVARONPORELCAMINODEXIBALBA,1
2,2,LOSMENSAJEROSDELSENOR,1
2,2,LOSMURCIELAGOSESTABANENCERRADOS,1
2,2,LOSTIGRES,1
2,2,MANANAPREPARADLAMASCARA,1
2,2,NIMXOBCARCHAH,1
2,2,NOHABIAMASQUETINIEBLAS,1
2,2,NOSVAMOS,1
2,2,NUZIVANCUL,1
2,2,PUCBALCHAH,1
2,2,QUEQUMAHA,1
2,2,QUEVENGANAQUIAJUGARALAPELOTACONNOSOTROS,1
2,2,SACRIFIQUEMOSLOS,1
2,2,SENOR,1
2,2,SENORES,11
2,2,SENORESDE,1
2,2,SENORESHUNCAME,1
2,2,SUOCOTE,2
2,2,UNVIENTOFRIOEINSOPORTABLE,1
2,2,VENID,1
2,2,VENIDCONNOSOTROS,1
2,2,VUCUBCAME,10
2,2,VUCUBHUNAHPU,9
2,2,XIBALBA,14
2,2,XIC,1
2,2,XIQUIRIPAT,1
2,2,XUXULIMHA,1
2,2,YAVINISTEIS,1
2,2,YELCAMINONEGRO,1
2,2,YESTOSMENSAJEROSERANBUHOS,1
2,2,YHABIENDOIDOAPONERLACABEZAENELARBOL,1
2,2,YLOSSENORES,1
2,2,ZAQUITOC,1
2,2,ZOTZIHA,1
2,3,ACONTINUACIONSEPUSOENCAMINOELLASOLA,1
2,3,AH,1
2,3,AHORAMICABEZA,1
2,3,AHPOPACHIH,1
2,3,ALINSTANTE,1
2,3,ALLAENLATIERRASEREISAMADOSYTENDREISLOQUEOS,1
2,3,AQUIESTAELCORAZON,1
2,3,ARBOLDELASANGRE,1
2,3,ASIDIJOLACABEZADE,1
2,3,ASIESLACABEZADELOSGRANDESPRINCIPES,1
2,3,ASIESTAMBIENLANATURALEZADELOSHIJOS,1
2,3,ATIZAD,1
2,3,BIEN,1
2,3,CHIPICACULHA,1
2,3,CONFIAENMIPALABRA,1
2,3,CUCHUMAQUIC,5
2,3,DESPUES,1
2,3,ELJUGOROJOBROTODELARBOL,1
2,3,ELNOMBREDELPADRE,1
2,3,HUNAHPU,1
2,3,HUNCAME,4
2,3,HUNHUNAHPU,3
2,3,HURACAN,1
2,3,IXBALANQUE,1
2,3,IXQUIC,1
2,3,LLAMABASEARBOLROJODEGRANA,1
2,3,LLEGARON,1
2,3,LLEVADLA,1
2,3,LOSCUATROMENSAJEROSTOMARONLAJICARA,1
2,3,MIHIJAESTAPRENADA,1
2,3,MIROSE,1
2,3,OBLIGALA,1
2,3,PORLADONCELLA,1
2,3,PUCBALCHAH,2
2,3,RAXACACULHA,1
2,3,RECOGEDELPRODUCTODEESTEARBOL,1
2,3,REUNIERONSE,1
2,3,SENOR,4
2,3,SENORES,9
2,3,SENORESHUNCAME,1
2,3,SUBE,1
2,3,TRAEDME,1
2,3,VOLVIOSE,1
2,3,VUCUBCAME,2
2,3,VUCUBHUNAHPU,1
2,3,XIBALBA,1
2,3,YCOGIENDOLOCONLOSDEDOS,1
2,3,YCUANDOMUERENESPANTANSELOSHOMBRESACAUSADELOSHUESOS,1
2,4,ALLLEGARLAMUJERANTELAANCIANA,1
2,4,CHAHAL,2
2,4,ELCAMINO,1
2,4,HUNAHPU,1
2,4,HUNBAIZ,1
2,4,HUNBATZ,5
2,4,HUNCHOUEN,6
2,4,HUNHUNAHPU,2
2,4,IRE,1
2,4,IXBALANQUE,1
2,4,IXCACAU,1
2,4,IXCANIL,1
2,4,IXQUIC,2
2,4,LAVIEJA,1
2,4,LUEGOAGREGOLAABUELA,1
2,4,VERE,1
2,4,VOLVIOSE,1
2,4,VUCUBHUNAHPU,1
2,4,XIBALBA,1
2,5,ALLAENELMONTE,1
2,5,ASIIBANDICIENDOENTREELLOSMIENTRAS,1
2,5,ASILESDIJERONSUSHERMANOSMENORES,1
2,5,CANTEIBAN,1
2,5,CONSULTARON,1
2,5,DEESTAMANERASUFRIERONSUSCORAZONES,1
2,5,DESATADVUESTROSCALZONES,1
2,5,DESEABANLO,1
2,5,DESGRACIADOSDENOSOTROS,1
2,5,GRANDESSABIOS,1
2,5,HUNAHPU,12
2,5,HUNAHPUQOY,1
2,5,HUNAPHUQOY,1
2,5,HUNBATZ,13
2,5,HUNBATZHUNCHOUEN,2
2,5,HUNCHOUEN,13
2,5,INVOCABANLOS,1
2,5,IXBALANQUE,12
2,5,IXQUIC,1
2,5,LAABUELACONTUVOLARISA,1
2,5,LASOLAOCUPACIONDE,1
2,5,LOSMUCHACHOS,1
2,5,LUEGOLOSQUITARONDEESELUGAR,1
2,5,NOERAPOSIBLECONTARLOSPAJAROS,1
2,5,NOHAGAISSEMEJANTECOSAAVUESTROSHERMANOS,1
2,5,NOLESDABANDECOMER,1
2,5,NUESTROSPAJAROS,1
2,5,PERONOOSAFLIJAIS,1
2,5,PORFIN,1
2,5,TRAIAN,1
2,5,VOLVEREIS,1
2,5,VOLVIERONSE,1
2,5,XIBALBA,1
2,6,ALINSTANTELOTAPARONYJUNTOS,1
2,6,ALSALIRDESUCASA,1
2,6,ALVERESTOENSUCHILMOL,1
2,6,ASILOHALLAMOSCUANDOLLEGAMOSHACEUNRATOABUELA,1
2,6,CHILE,2
2,6,DELAMISMAMANERACLAVABANELHACHAENELTRONCODELOSARBOLES,1
2,6,ELGATODEMONTE,1
2,6,ESTABIENCONTESTO,1
2,6,ESTABIENNIETOSMIOS,1
2,6,HUNAHPU,7
2,6,HUNHUNAHPU,1
2,6,IXBALANQUE,7
2,6,IXMUCUR,2
2,6,LACOLADELVENADO,1
2,6,LEVANTAOSARBOLESLEVANTAOSBEJUCOS,1
2,6,LOPRIMEROQUEHARIAN,1
2,6,LOQUEHABIAARRANCADOELAZADON,1
2,6,LOSABESCONCERTEZA,1
2,6,MAGNIFICO,1
2,6,MIRAD,1
2,6,NOSCANSAMOS,1
2,6,NOSEPODIACONTARLASZARZASNILASESPINAS,1
2,6,NUESTRO,1
2,6,PUSIERONSE,1
2,6,QUIEN,1
2,6,REUNIERONSE,1
2,6,SABREIS,1
2,6,SINDUDA,1
2,6,SINEMBARGOVUESTRAABUELA,1
2,6,SOLTADME,1
2,6,TODOSLOSANIMALES,1
2,6,TUYO,1
2,6,VUCUBHUNAHPU,1
2,6,XAN,2
2,6,XIBALBA,1
2,6,YACONTINUACION,1
2,6,YALHUNDIRELAZADONENLATIERRA,1
2,6,YALPUNTO,1
2,6,YSUSCORAZONES,1
2,6,YVUESTROOFICIO,1
2,7,ALLLEGARELGAVILAN,1
2,7,COMIENDO,1
2,7,CURADME,1
2,7,ELPIOJOESTABAPEGADOALOSDIENTESDELSAPO,1
2,7,ERESUNMENTIROSO,1
2,7,HABLATU,1
2,7,HIJO,1
2,7,HUNAHPU,2
2,7,HUNCAME,2
2,7,HUNHUNAHPU,1
2,7,IBA,1
2,7,IXBALANQUE,2
2,7,IXMUCANE,1
2,7,LOCOGIOY,1
2,7,LOSMUCHACHOS,1
2,7,LOTZQUIC,1
2,7,MUERTOSSON,1
2,7,NOLLEGAREYOMASPRONTO,1
2,7,PEROAHIQUEDALASENAL,1
2,7,PORESOHEVENIDOYO,1
2,7,PORQUEDEVERDAD,1
2,7,PROBODENUEVO,1
2,7,QUIENES,1
2,7,SENORES,6
2,7,TAMAZUL,3
2,7,TRAIGO,1
2,7,VAC,1
2,7,VEOQUENOCAMINASAPRISA,1
2,7,VUCUBCAME,2
2,7,VUCUBHUNAHPU,1
2,7,XIBALBA,7
2,7,YALLLEGARELGAVILAN,1
2,7,YELSAPO,1
2,7,YESTOSVINIERONENTONCESPORELCAMINOANCHODELOSMUCHACHOS,1
