parte,capit,ord,ent_str,ent_str_norm
1,4,3,Vucub-Caquix,VUCUBCAQUIX
1,4,4,Yo soy el sol,YOSOYELSOL
1,4,6,Por mí caminarán,PORMICAMINARAN
1,4,7,Porque de plata,PORQUEDEPLATA
1,4,8,Mi nariz brilla de lejos como la luna,MINARIZBRILLADELEJOSCOMOLALUNA
1,4,9,la tierra,LATIERRA
1,4,10,Así será porque mí vista,ASISERAPORQUEMIVISTA
1,4,12,Vucub-Caquix,VUCUBCAQUIX
1,4,13,Vucub-Caquix,VUCUBCAQUIX
1,4,14,Aún no se le veía la cara al sol,AUNNOSELEVEIALACARAALSOL
1,4,15,Vucub-Caquix,VUCUBCAQUIX
1,4,17,Vucub-Caquix,VUCUBCAQUIX
1,4,18,Creador,CREADOR
1,5,0,Vucub-Caquix,VUCUBCAQUIX
1,5,1,Hunahpú,HUNAHPU
1,5,2,Ixbalanqué,IXBALANQUE
1,5,3,Como veían el mal,COMOVEIANELMAL
1,5,4,Corazón del Cielo,CORAZONDELCIELO
1,5,6,Vucub-Caquix,VUCUBCAQUIX
1,5,7,Zipacná,ZIPACNA
1,5,8,Cabracán,CABRACAN
1,5,9,Chimalmat,CHIMALMAT
1,5,10,Vucub-Caquix,VUCUBCAQUIX
1,5,11,Zipacná,ZIPACNA
1,5,12,Chigag,CHIGAG
1,5,13,Hunahpú,HUNAHPU
1,5,14,Pecul,PECUL
1,5,15,Yaxcanul,YAXCANUL
1,5,16,Macamob,MACAMOB
1,5,17,Huliznab .,HULIZNAB
1,5,18,Zipacná,ZIPACNA
1,5,19,Cabracán,CABRACAN
1,5,21,Vucub-Caquix,VUCUBCAQUIX
1,5,22,Vucub-Caquix,VUCUBCAQUIX
1,5,23,Zipacná,ZIPACNA
1,5,24,Cabracán,CABRACAN
1,5,25,Vucub- Caquix,VUCUBCAQUIX
1,5,26,Aún no había sido,AUNNOHABIASIDO
1,5,27,Por tanto,PORTANTO
1,5,28,Vucub-Caquix,VUCUBCAQUIX
1,6,0,Vucub- Caquix,VUCUBCAQUIX
1,6,1,Vucub-Caquix,VUCUBCAQUIX
1,6,2,Vucub-Caquix,VUCUBCAQUIX
1,6,3,Este,ESTE
1,6,4,nance,NANCE
1,6,5,Hunahpú,HUNAHPU
1,6,6,Ixbalanqué,IXBALANQUE
1,6,7,Vucub-Caquix,VUCUBCAQUIX
1,6,8,Vucub-Caquix,VUCUBCAQUIX
1,6,9,Hun-Hunahpú,HUNHUNAHPU
1,6,10,Hun- Hunahpú,HUNHUNAHPU
1,6,11,Vucub-Caquix,VUCUBCAQUIX
1,6,12,Hun-Hunahpú,HUNHUNAHPU
1,6,13,Así le arrancó ( el brazo,ASILEARRANCOELBRAZO
1,6,14,Vucub-Caquix,VUCUBCAQUIX
1,6,15,Hun-Hunahpú,HUNHUNAHPU
1,6,16,Vucub-Caquix,VUCUBCAQUIX
1,6,17,Llevando el brazo de,LLEVANDOELBRAZODE
1,6,18,Hun-Hunahpú,HUNHUNAHPU
1,6,19,Vucub-Caquix,VUCUBCAQUIX
1,6,20,Señor,SENOR
1,6,21,Chimalmat,CHIMALMAT
1,6,22,Vucub-Caquix,VUCUBCAQUIX
1,6,23,Vucub-Caquix,VUCUBCAQUIX
1,6,24,Hun-Hunahpú,HUNHUNAHPU
1,6,25,Hun-Hunahpú,HUNHUNAHPU
1,6,26,Llamábase el viejo,LLAMABASEELVIEJO
1,6,27,Zaqui-Nim-Ac,ZAQUINIMAC
1,6,28,Zaqui-Nimá-Tziís,ZAQUINIMATZIIS
1,6,29,Acompañadnos,ACOMPANADNOS
1,6,30,Vucub-Caquix,VUCUBCAQUIX
1,6,32,Así les diréis,ASILESDIREIS
1,6,33,Vucub-Caquix,VUCUBCAQUIX
1,6,35,Vucub-Caquix,VUCUBCAQUIX
1,6,36,Caminaban la vieja,CAMINABANLAVIEJA
1,6,37,Así llegaron al pie de la casa del Señor,ASILLEGARONALPIEDELACASADELSENOR
1,6,38,Al ver Vucub-Caquix,ALVERVUCUBCAQUIX
1,6,39,Señor,SENOR
1,6,40,Señor,SENOR
1,6,41,Señor ! Son nuestros nietos,SENORSONNUESTROSNIETOS
1,6,42,Señor,SENOR
1,6,43,Señor,SENOR
1,6,44,Yo os,YOOS
1,6,45,Señor,SENOR
1,6,46,Curadme,CURADME
1,6,47,Todo esto se debe a que dos demonios me,TODOESTOSEDEBEAQUEDOSDEMONIOSME
1,6,48,Señor,SENOR
1,6,49,Un gusano,UNGUSANO
1,6,50,Señor,SENOR
1,6,52,socorredme,SOCORREDME
1,6,53,Sacáronle,SACARONLE
1,6,54,Vucub-Caquix,VUCUBCAQUIX
1,6,55,Al instante decayeron sus facciones,ALINSTANTEDECAYERONSUSFACCIONES
1,6,56,Señor,SENOR
1,6,57,Vucub-Caquix,VUCUBCAQUIX
1,6,59,Hunahpú,HUNAHPU
1,6,60,Ixbalanqué,IXBALANQUE
1,6,61,Vucub-Caquix,VUCUBCAQUIX
1,6,62,Hunahpú,HUNAHPU
1,6,63,Chimalmat,CHIMALMAT
1,6,64,Vucub-Caquix,VUCUBCAQUIX
1,6,66,Vucub-Caquix,VUCUBCAQUIX
1,6,67,El médico,ELMEDICO
1,6,68,La vieja y el viejo,LAVIEJAYELVIEJO
1,6,69,Vucub-Caquix,VUCUBCAQUIX
1,6,70,Corazón del Cielo,CORAZONDELCIELO
1,7,0,Zipacná,ZIPACNA
1,7,1,Vucub-Caquix,VUCUBCAQUIX
1,7,2,Zipacná,ZIPACNA
1,7,3,Zipacná,ZIPACNA
1,7,4,Los cuatrocientos caminaban después de haber cortado un gran árbol para viga madre de su casa,LOSCUATROCIENTOSCAMINABANDESPUESDEHABERCORTADOUNGRANARBOLPARAVIGAMADREDESUCASA
1,7,5,Zipacná,ZIPACNA
1,7,7,Entonces te ocuparemos mañana,ENTONCESTEOCUPAREMOSMANANA
1,7,8,Los cuatrocientos muchachos,LOSCUATROCIENTOSMUCHACHOS
1,7,9,Baja,BAJA
1,7,10,Así dijeron los cuatrocientos muchachos,ASIDIJERONLOSCUATROCIENTOSMUCHACHOS
1,7,11,Zipacná,ZIPACNA
1,7,13,El sabía que lo querían matar,ELSABIAQUELOQUERIANMATAR
1,7,14,Hasta dónde vas ?,HASTADONDEVAS
1,7,15,Zipacná,ZIPACNA
1,7,16,Por último los,PORULTIMOLOS
1,7,17,Zipacná,ZIPACNA
1,7,18,Zipacná,ZIPACNA
1,7,19,Entonces los muchachos,ENTONCESLOSMUCHACHOS
1,7,20,Zipacná,ZIPACNA
