term_str,n,p,i,h,n_chars,df,dfidf,z,dp,di,dh,stop,tfidf_mean
espinas,4,0.00011176618514068569,13.127228612736653,0.0014671802635152313,7,2,9.047123912114026,0.09949153607349615,0.043478260869565216,4.523561956057013,0.19667660678508753,False,0.002638025602114024
espinosos,1,2.7941546285171422e-05,15.127228612736653,0.00042267815844915067,9,1,5.523561956057013,-0.6042473745073142,0.021739130434782608,5.523561956057013,0.12007743382732637,False,
esplendor,2,5.5883092570342844e-05,14.127228612736653,0.0007894732243279585,9,2,9.047123912114026,0.09949153607349615,0.043478260869565216,4.523561956057013,0.19667660678508753,False,0.0038345289074012074
esposas,3,8.382463885551427e-05,13.542266112015497,0.0011351755661249683,7,2,9.047123912114026,0.09949153607349615,0.043478260869565216,4.523561956057013,0.19667660678508753,False,0.0037762360580862768
esquina,2,5.5883092570342844e-05,14.127228612736653,0.0007894732243279585,7,1,5.523561956057013,-0.6042473745073142,0.021739130434782608,5.523561956057013,0.12007743382732637,False,0.001656674933601284
esta,169,0.00472212132219397,7.726349176454469,0.03648475818885147,4,42,5.512270397686614,-0.6065025665787022,0.9130434782608695,0.13124453327825272,0.1198319651671003,True,
estaan,1,2.7941546285171422e-05,15.127228612736653,0.00042267815844915067,6,1,5.523561956057013,-0.6042473745073142,0.021739130434782608,5.523561956057013,0.12007743382732637,False,0.001291128496204672
estaba,55,0.0015367850456844282,9.345868899211993,0.014362591563236179,6,29,19.301847866953786,2.1476031782940717,0.6304347826086957,0.6655809609294406,0.4196053884120387,False,
estabamos,3,8.382463885551427e-05,13.542266112015497,0.0011351755661249683,9,2,9.047123912114026,0.09949153607349615,0.043478260869565216,4.523561956057013,0.19667660678508753,False,
estaban,95,0.002654446897091285,8.557373004405706,0.02271509221879745,7,33,15.812538611052465,1.4507053444965379,0.717391304347826,0.47916783669855956,0.3437508393707058,False,
estableceos,1,2.7941546285171422e-05,15.127228612736653,0.00042267815844915067,11,1,5.523561956057013,-0.6042473745073142,0.021739130434782608,5.523561956057013,0.12007743382732637,False,0.0018487826907642784
establecer,1,2.7941546285171422e-05,15.127228612736653,0.00042267815844915067,10,1,5.523561956057013,-0.6042473745073142,0.021739130434782608,5.523561956057013,0.12007743382732637,False,0.0022243852104105125
establecerse,1,2.7941546285171422e-05,15.127228612736653,0.00042267815844915067,12,1,5.523561956057013,-0.6042473745073142,0.021739130434782608,5.523561956057013,0.12007743382732637,False,0.0016886978831847413
establecieron,3,8.382463885551427e-05,13.542266112015497,0.0011351755661249683,13,3,11.81579836600757,0.6524615045982772,0.06521739130434782,3.9385994553358565,0.2568651818697298,False,0.0036546877709285053
estado,5,0.00013970773142585712,12.805300517849291,0.0017889994855750779,6,5,16.008169305848252,1.4897774351107225,0.10869565217391304,3.201633861169651,0.34800368056191855,False,
estais,5,0.00013970773142585712,12.805300517849291,0.0017889994855750779,6,3,11.81579836600757,0.6524615045982772,0.06521739130434782,3.9385994553358565,0.2568651818697298,False,0.0013301461035780046
estamos,9,0.00025147391656654277,11.957303611294341,0.0030069499707074537,7,4,14.094247824228052,1.1075219120888318,0.08695652173913043,3.523561956057013,0.3063966918310446,False,
estan,17,0.00047500628684791417,11.039765771486314,0.005243958146784413,5,13,23.70058909290697,3.0261361505773903,0.2826086956521739,1.8231222379159209,0.5152301976718906,False,0.0026431084909640527
