term_str,token_str,stop,vnorm
sal,sal,False,44.33995
edificio,Edificio,False,25.672184
atribuciones,atribuciones,False,29.29973
aquellos,Aquellos,True,25.011578
comenzará,Comenzará,False,23.362896
bruces,bruces,False,20.926346
oído,oído,False,39.77193
preparad,Preparad,False,16.60701
sembraremos,sembraremos,False,22.635118
ambición,ambición,False,27.08546
podía,podía,False,45.30756
uñas,uñas,False,42.03275
pirámide,pirámide,False,21.803707
presentéis,presentéis,False,18.12713
llevadla,Llevadla,False,0.0
reúnanse,Reúnanse,False,12.222243
reflexionaron,reflexionaron,False,20.985615
hizo,hizo,True,47.698704
desarrollaron,desarrollaron,False,25.395622
tela,tela,False,38.102776
tocar,tocar,False,33.267467
tiranos,tiranos,False,23.692469
cubrió,cubrió,False,27.691355
sólo,sólo,True,31.29673
propagan,propagan,False,24.710392
fangosa,fangosa,False,16.914825
discurrieron,discurrieron,False,22.156763
robarnos,robarnos,False,27.285355
multiplicaron,multiplicaron,False,21.290302
verás,verás,False,27.782867
creador,creador,False,24.700577
nuevamente,Nuevamente,False,17.200026
todo,todo,True,35.53878
cúmplase,cúmplase,False,12.251595
salud,salud,False,42.48956
comience,comience,False,20.992586
abierto,abierto,False,26.4443
cantaban,cantaban,False,32.845215
aturdidos,aturdidos,False,19.213287
cuhá,Cuhá,False,0.0
nacer,nacer,False,29.40778
juegues,juegues,False,20.75172
sentir,sentir,False,33.91035
huellas,huellas,False,28.97936
menores,menores,False,30.3094
tienen,tienen,True,37.045444
parte,parte,True,32.34406
cabeza,cabeza,False,26.894943
habéis,Habéis,False,22.14211
reiros,reiros,False,17.590334
cubierto,cubierto,False,23.107336
pavüix,Pavüix,False,0.0
hacavhz,Hacavhz,False,0.0
formadora,formadora,False,24.109547
suyo,suyo,True,25.536781
me,Me,True,104.97486
reventándole,reventándole,False,0.0
afiladas,afiladas,False,25.859043
mismo,mismo,True,27.80932
trague,trague,False,19.422533
picó,picó,False,25.477198
satisfecho,satisfecho,False,20.685438
azadón,azadón,False,17.559656
contentos,contentos,False,23.052126
recado,recado,False,21.91502
ixbaquiyalo,Ixbaquiyalo,False,0.0
dejaremos,dejaremos,False,28.727129
dónde,Dónde,True,24.128529
podréis,podréis,False,31.876099
vivas,Vivas,False,27.66453
riñas,riñas,False,25.851496
sumergida,sumergida,False,18.17842
buscarlo,buscarlo,False,24.14108
talladores,talladores,False,23.170969
plumas,plumas,False,27.705587
obras,obras,False,49.397144
apoderó,apoderó,False,22.375366
matáis,matáis,False,18.762686
charon,charon,False,0.0
alabados,alabados,False,23.98854
vamos,vamos,True,41.52511
decidles,decidles,False,16.647978
beber,beber,False,30.900438
hijas,hijas,False,33.629852
llenaba,llenaba,False,27.138794
dominaréis,dominaréis,False,0.0
llegando,llegando,False,28.075766
será,será,True,45.64047
adonde,adonde,False,21.7217
menester,menester,False,16.236263
ordenado,ordenado,False,23.827295
vela,vela,False,33.86587
echaré,echaré,False,26.388271
infortunio,infortunio,False,17.18162
j,j,False,51.319534
tohü,Tohü,False,0.0
cornisa,cornisa,False,22.598883
ea,Ea,False,31.470165
tabaco,tabaco,False,25.110273
conocían,conocían,False,25.460323
dehacerlo,dehacerlo,False,0.0
htayub,htayub,False,0.0
cían,cían,False,25.649231
corral,corral,False,22.37996
hunchouén,Hunchouén,False,0.0
uchabahá,Uchabahá,False,0.0
deseas,deseas,False,30.604738
fecundaron,fecundaron,False,21.549332
barbas,barbas,False,23.93099
costura,costura,False,26.8458
prenda,prenda,False,27.731562
acabó,acabó,False,31.270607
reinado,reinado,False,29.778526
invisible,invisible,False,19.948437
elcamino,elcamino,False,0.0
enorgullecía,enorgullecía,False,15.505307
míranos,Míranos,False,16.86274
señorío,señorío,False,27.6366
xibalbá,Xibalbá,False,13.491147
rasgaron,rasgaron,False,27.340853
incitaban,Incitaban,False,0.0
dejo,dejo,False,36.971035
caoque,Caoque,False,0.0
bajaron,Bajaron,False,29.44343
cogiendo,cogiendo,False,24.301237
humanidad,humanidad,False,28.078753
imaginaban,imaginaban,False,23.681974
veinte,veinte,False,24.906956
mostraba,mostraba,False,26.913944
despedazaban,despedazaban,False,21.755772
pronto,pronto,True,25.713848
vestidos,vestidos,False,27.850067
paseaba,paseaba,False,26.575647
encerrados,encerrados,False,23.287987
engrandecerse,engrandecerse,False,15.801026
cavec,Cavec,False,0.0
perdida,perdida,False,24.12208
intención,intención,False,29.494284
pie,pie,False,48.90956
juntas,juntas,False,27.875963
juntó,juntó,False,23.669308
muestra,muestra,False,26.331114
tres,Tres,True,38.480156
vuestras,vuestras,True,30.179039
xiquíripat,Xiquíripat,False,0.0
una,una,True,51.641262
adornadas,adornadas,False,26.918718
levantando,levantando,False,23.0706
llevó,llevó,False,41.24227
también,también,True,19.812662
es,Es,True,94.35978
originaron,originaron,False,25.136986
batalla,batalla,False,29.138243
tzotzihá,Tzotzihá,False,0.0
sobaco,sobaco,False,16.83124
aparición,aparición,False,27.153278
meditado,meditado,False,22.156776
subieron,subieron,False,30.564646
cakchiqueles,cakchiqueles,False,12.736346
buscaron,Buscaron,False,25.456364
perdición,perdición,False,21.959713
humilde,humilde,False,20.665157
sabes,sabes,True,27.480776
parando,parando,False,27.271227
vencierona,vencierona,False,0.0
metieron,metieron,False,27.977184
mostrando,mostrando,False,26.330437
humillar,humillar,False,20.407667
fríoy,fríoy,False,0.0
bodocazo,bodocazo,False,0.0
cierra,cierra,False,23.651955
despertaron,despertaron,False,24.25969
chotacabra,chotacabra,False,0.0
ensancharon,ensancharon,False,20.123072
envolvieron,envolvieron,False,23.118835
pagar,pagar,False,41.586735
motivo,motivo,False,26.591105
pedir,pedir,False,36.0605
ejecutado,ejecutado,False,23.869162
palo,Palo,False,34.56583
camine,camine,False,26.398176
apagado,apagado,False,23.356487
tragado,tragado,False,23.135887
esperar,esperar,False,28.798004
desgracia,desgracia,False,17.423151
contestando,contestando,False,20.798962
saludar,saludar,False,22.465687
danos,danos,False,29.168169
tubo,tubo,False,36.511242
cuerpo,cuerpo,False,31.812126
rencor,rencor,False,23.376968
pecado,pecado,False,31.648602
matarlo,matarlo,False,31.90221
dominó,dominó,False,24.128408
ser,ser,True,71.79475
centro,centro,False,33.70227
celos,celos,False,30.271904
pahom,Pahom,False,0.0
vayáis,vayáis,False,22.01514
conocidos,conocidos,False,25.33216
vamonos,Vamonos,False,14.373307
fueran,Fueran,False,25.613123
gruñían,gruñían,False,13.583452
veamos,veamos,False,27.51581
exclamaron,exclamaron,False,21.465582
nos,Nos,True,64.09811
brilla,brilla,False,24.732975
garras,garras,False,27.642712
ésta,ésta,True,28.113575
somos,somos,True,39.509907
producto,producto,False,26.200157
i,I,False,78.120125
héroes,héroes,False,29.691813
hablad,Hablad,False,19.219114
brotar,brotar,False,27.738054
deseamos,deseamos,False,29.12885
agarraban,agarraban,False,26.175373
cerraban,cerraban,False,28.073101
adoraban,adoraban,False,29.59052
vegas,vegas,False,24.56827
inmediatamente,Inmediatamente,False,18.33061
causaremos,causaremos,False,0.0
costado,costado,False,25.359426
chuganal,Chuganal,False,0.0
extenuados,extenuados,False,21.079975
propagaron,propagaron,False,25.578331
trece,Trece,False,22.779442
sacarle,sacarle,False,31.707533
gloria,gloria,False,25.89462
cargando,cargando,False,26.314837
admiraban,admiraban,False,27.78595
haber,haber,True,49.925854
sacrificarme,sacrificarme,False,19.259941
trajeron,trajeron,False,23.990921
dales,Dales,False,30.40206
vos,vos,False,40.910595
gritar,gritar,False,27.834627
secó,secó,False,25.57661
desgraciadamente,desgraciadamente,False,17.0255
quedado,quedado,False,32.703167
estrella,estrella,False,22.074383
usaremos,usaremos,False,29.540216
engaño,engaño,False,24.277126
trae,trae,False,40.98952
seguida,seguida,False,18.6656
amanezca,amanezca,False,18.101212
arrancarles,arrancarles,False,17.36692
variedad,variedad,False,29.278402
divirtamos,divirtamos,False,20.538736
llamada,llamada,False,23.203413
riqueza,riqueza,False,29.328785
cambiaron,cambiaron,False,26.459503
varones,varones,False,24.662394
piedra,piedra,False,28.764526
enciendan,enciendan,False,21.343876
cigarros,cigarros,False,19.99667
toltecat,Toltecat,False,0.0
permanecieron,permanecieron,False,25.890049
quieren,Quieren,False,23.373499
quedaos,Quedaos,False,16.9448
hierbas,hierbas,False,25.988235
suplicantes,suplicantes,False,18.566996
comenzaba,comenzaba,False,24.921936
hicieron,Hicieron,True,25.512175
tranquilos,tranquilos,False,18.583227
costumbres,costumbres,False,25.269003
pintados,pintados,False,29.232624
lamaq,Lamaq,False,0.0
hilera,hilera,False,22.728704
muecas,muecas,False,22.0839
trabajaron,trabajaron,False,27.33824
popol,Popol,False,26.874084
llevarse,llevarse,False,31.391953
zompopos,zompopos,False,0.0
presentaron,presentaron,False,28.082573
iremos,iremos,False,37.90139
pintad,pintad,False,0.0
fortificar,fortificar,False,24.76689
pudieron,pudieron,False,36.00727
subidos,subidos,False,27.179781
quicxic,Quicxic,False,0.0
están,están,True,50.580338
hablará,hablará,False,25.101475
comíais,comíais,False,0.0
tardanza,tardanza,False,18.837908
iba,Iba,False,33.859135
quícab,Quícab,False,0.0
bastiones,bastiones,False,25.067965
guerra,guerra,False,38.241802
entraran,entraran,False,26.764061
escudo,escudo,False,31.35726
experiencia,experiencia,False,26.849932
despoblaron,despoblaron,False,25.323809
oculto,oculto,False,23.953777
calzones,calzones,False,20.582825
podemos,podemos,True,38.642212
ixmucur,Ixmucur,False,0.0
declarad,declarad,False,0.0
quemaban,quemaban,False,29.107533
pensando,pensando,False,25.137926
vez,vez,True,50.603153
formado,formado,False,31.823505
muchacho,muchacho,False,19.482939
espadaña,espadaña,False,22.048376
perderás,perderás,False,22.173155
establecerse,establecerse,False,24.479677
brillaban,brillaban,False,26.149405
