term_str,n,p,i,h,dh
achlab'eq!,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
achuch,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
aj,34,0.0012549830208179536,9.638116439169261,0.012095672483823818,2.9183861953134445
aj;,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
ajache',2,7.382253063635022e-05,13.7255792804196,0.0010132569969304298,1.0
ajal,18,0.0006644027757271519,10.555654278977288,0.007013206002568699,1.5304930567574824
ajam,13,0.0004798464491362764,11.025139562278508,0.005290374070191222,2.3458519893382603
ajaw,123,0.0045400856341355385,7.78306477508036,0.03533578057488869,3.8774772564417757
ajaw!,2,7.382253063635022e-05,13.7255792804196,0.0010132569969304298,1.0
ajaw-,7,0.00025837885722722575,11.918224358361996,0.0030794171898912586,2.128085278891394
ajaw:,4,0.00014764506127270044,12.7255792804196,0.0018788689325881592,1.5
ajaw;,3,0.00011073379595452532,13.140616779698444,0.0014551103771997392,1.5849625007211559
ajawab',113,0.004170972980953787,7.905400318004412,0.03297321113001988,4.07692805224215
ajawab'-,4,0.00014764506127270044,12.7255792804196,0.0018788689325881592,2.0
ajawab':,5,0.00018455632659087555,12.403651185532238,0.0022891722991163883,1.5219280948873624
ajawab';,2,7.382253063635022e-05,13.7255792804196,0.0010132569969304298,1.0
ajawab'?,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
ajawal,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
ajawarem,16,0.0005905802450908018,10.7255792804196,0.0063343152401710325,2.4834585933443494
ajawarem:,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
ajb'atena;,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
ajb'is,2,7.382253063635022e-05,13.7255792804196,0.0010132569969304298,1.0
ajb'it,8,0.0002952901225454009,11.7255792804196,0.0034624477426309173,1.9056390622295662
ajb'it:,2,7.382253063635022e-05,13.7255792804196,0.0010132569969304298,0.0
ajb'ix,4,0.00014764506127270044,12.7255792804196,0.0018788689325881592,1.5
ajb'ix;,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
ajch'ut,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
ajchoq',1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
ajchoq'e,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
aji!,3,0.00011073379595452532,13.140616779698444,0.0014551103771997392,0.0
ajilam,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
ajilan,13,0.0004798464491362764,11.025139562278508,0.005290374070191222,3.5465935642949384
ajilatal,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
ajk'aj,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
ajk'ajb',14,0.0005167577144544515,10.918224358361996,0.005642076665328065,3.1820058147602133
ajk'ajb'-,1,3.691126531817511e-05,14.7255792804196,0.0005435397637833899,0.0
ajk'ajb';,3,0.00011073379595452532,13.140616779698444,0.0014551103771997392,1.5849625007211559
