"Imagen principal","Tipo","Nombre","Nombre analítico","Ximenez spelling","Analytical name",""
"","animal","Tukur","TUKUR","tucur","TUKUR","edit"
"","lugar","Jom","JOM","hom","JOM","edit"
"","animal","Wuch'","WUCH'","vuch","WUCH'","edit"
"","objeto","Jolom Okox","JOLOM_OKOX","holom ocox","JOLOM_OKOX","edit"
"","objeto","Puch iya","PUCH_IYA","puch yia, yia","PUCH_IYA","edit"
"","objeto","Noj","NOJ","noh","NOJ","edit"
"","objeto","Q'ol","Q'OL","eol, col, ꜫol","Q'OL","edit"
"","persona","Don Cristóbal (gen. 12)","DON_CRISTÓBAL_NJDOCE","Don chrístoual","DON_CRISTÓBAL_NJDOCE","edit"
"","oficio","Ajaw Q'alel K'amja","AJAW_Q'ALEL_K'AMJA","Ahau ꜫalel camha","AJAW_Q'ALEL_K'AMJA","edit"
"","oficio","Nima Ch'okoj","NIMA_CH'OKOJ","nim chocoh","NIMA_CH'OKOJ","edit"
"","topónimo","Siyaja","SIYAJA","ah ziyaha","SIYAJA","edit"
"","topónimo","Xayab'aj","XAYAB'AJ","ah xayabah","XAYAB'AJ","edit"
"","topónimo","Maq'a","MAQ'A","ah maca","MAQ'A","edit"
"","topónimo","Wajxalajuj","WAJXALAJUJ","vahxalahuh","WAJXALAJUJ","edit"
"","topónimo","Saqi Ya","SAQI_YA","zaquía","SAQI_YA","edit"
"","topónimo","Chi Junajpu","CHI_JUNAJPU","chihunahpu","CHI_JUNAJPU","edit"
"","linaje","Aj Kab'raqan","AJ_KAB'RAQAN","ah cabracan","AJ_KAB'RAQAN","edit"
"","oficio","Q'alel","Q'ALEL","ꜫalel","Q'ALEL","edit"
"","objeto","Pom","POM","pom","POM","edit"
"","animal","Sanik","SANIK","zanic","SANIK","edit"
"","animal","K'oy","K'OY","qoy, coy","K'OY","edit"
"","objeto","Q'ojom","Q'OJOM","cohom, chamcham","Q'OJOM","edit"
"","topónimo","Chi Ismachi'","CHI_ISMACHI'","Chiizmachi","CHI_ISMACHI'","edit"
"","persona","Ajtzik Winaq Ajaw","AJTZIK_WINAQ_AJAW","Ah ꜩic vinac ahau","AJTZIK_WINAQ_AJAW","edit"
"","animal","Kar","KAR","car","KAR","edit"
"","topónimo","Chuwi' Meq'ena'","CHUWI'_MEQ'ENA'","chuvi míquína, ahmiquina","CHUWI'_MEQ'ENA'","edit"
"","animal","Sita'l","SITA'L","zital","SITA'L","edit"
"","animal","Wonon","WONON","vonon","WONON","edit"
"","animal","K'otal","K'OTAL","cotal","K'OTAL","edit"
"","animal","Xik","XIK","xiic","XIK","edit"
"","animal","Tap","TAP","tap","TAP","edit"
"","lugar","Puj Ya'","PUJ_YA'","puhia","PUJ_YA'","edit"
"","lugar","Kik' Ya'","KIK'_YA","quiquia","KIK'_YA","edit"
"","animal","Molay","MOLAY","molai","MOLAY","edit"
"","animal","Uk'","UK'","uk","UK'","edit"
"","animal","Ch'o","CH'O","cho","CH'O","edit"
"","animal","Us","US","uz","US","edit"
"","animal","Xa'n","XA'N","xan","XA'N","edit"
"","animal","Xmukur","XMUKUR","xmucur","XMUKUR","edit"
"","animal","Umul","UMUL","vmul","UMUL","edit"
"","animal","Sochoj","SOCHOJ","zochoh","SOCHOJ","edit"
"","animal","B'alam","B'ALAM","balam","B'ALAM","edit"
"","animal","Kumatz","KUMATZ","cumaꜩ","KUMATZ","edit"
"","animal","Koj","KOJ","coh","KOJ","edit"
"","animal","K'eletzu","K'ELETZU","queleꜩu","K'ELETZU","edit"
"","animal","Kej","KEJ","queh, quieh","KEJ","edit"
"","animal","K'anti'","K'ANTI'","canti","K'ANTI'","edit"
"","animal","Sis","SIS","ziz","SIS","edit"
"","animal","Aq","AQ","aꜫ, ae","AQ","edit"
"","animal","Joj","JOJ","hoh","JOJ","edit"
"","animal","K'el","K'EL","quel","K'EL","edit"
"","animal","Utiw","UTIW","vtiu","UTIW","edit"
"","animal","Yak","YAK","yac","YAK","edit"
"","danza","Ch'itik","CH'ITIK","chitic","CH'ITIK","edit"
"","danza","Xtzul","XTZUL","xꜩul","XTZUL","edit"
"","danza","Ib'oy","IB'OY","xquixah yboy","IB'OY","edit"
"","danza","Xajoj Kux","XAJOJ_KUX","xahoh cux","XAJOJ_KUX","edit"
"","danza","Xajoj Pujuy","XAJOJ_PUJUY","xahoh puhuy","XAJOJ_PUJUY","edit"
"","linaje","Yaki","YAKI","yaqui","YAKI","edit"
"","deidad","Raxa Nanawak","RAXA_NANAWAK","raxa nana vac","RAXA_NANAWAK","edit"
"","deidad","Ch'ipi Nanawak","CH'IPI_NANAWAK","chipina navac","CH'IPI_NANAWAK","edit"
"","lugar","Utz'utz'il jom","UTZUTZIL_JOM","v zuꜩil hom","UTZUTZIL_JOM","edit"
"","animal","Saqikas","SAQIKAS","zaquicaz","SAQIKAS","edit"
"","oficio","Nim Ch'okoj","NIM_CH'OKOJ","Nim chocoh","NIM_CH'OKOJ","edit"
"","objeto","Popol Wuj","POPOL_WUJ","popo vvh, popol vvh","POPOL_WUJ","edit"
"","deidad","Xik","AJAW_XIK","xic","AJAW_XIK","edit"
"","lugar","Ja chi q'aq'","JA_CHI_Q'AQ'","ha chiꜫaꜫ","JA_CHI_Q'AQ'","edit"
"","animal","Tamasul","TAMASUL","tamazul","TAMASUL","edit"
"","persona","B'elejeb' Kej","B'ELEJEB'_KEJ","Beleheb quíh","B'ELEJEB'_KEJ","edit"
"","persona","Tekum","TEKUM","Tecum","TEKUM","edit"
"","persona","K'otuja (gen. 4)","K'OTUJA_KQCUATRO","cotuha","K'OTUJA_KQCUATRO","edit"
"","persona","Kikab' (gen. 7)","KIKAB'_KQSIETE","eꜫaꜫ quicab, qui cab, quieab","KIKAB'_KQSIETE","edit"
"","persona","Istayul","ISTAYUL","ztayul","ISTAYUL","edit"
"","topónimo","Chulimal","CHULIMAL","ah chulimal","CHULIMAL","edit"
"","persona","B'alam Ki'tze'","B'ALAM_KI'TZE'"," Balam qui tze","B'ALAM_KI'TZE'","edit"
"","linaje","Ixoq ajawab'","IXOQ_AJAWAB'","xoccahaub","IXOQ_AJAWAB'","edit"
"","persona","Ajpatan","AJPATAN","ahpatan","AJPATAN","edit"
"","topónimo","Xelajuj","XELAJUJ","xelahu","XELAJUJ","edit"
"","topónimo","Saqulewab'","SAQULEWAB'","vtinamit chicut zaculeuab","SAQULEWAB'","edit"
"","persona","Tepepul","TEPEPUL","tepepul","TEPEPUL","edit"
"","topónimo","Pa Mak'a'","PA_MAK'A'","pamaca ","PA_MAK'A'","edit"
"","topónimo","Wila'","WILA'","ah vvila","WILA'","edit"
"","persona","Ajaw Q'alel (gen. 12)","AJAW_Q'ALEL_NJDOCE","Don Pedro de robles ahau ꜫalel","AJAW_Q'ALEL_NJDOCE","edit"
"","persona","K'otuja (gen. 5)","K'OTUJA_NJCINCO","Cotuha","K'OTUJA_NJCINCO","edit"
"","persona","K'otz'ib'aja (gen. 3)","K'OTZ'IB'AJA_NJTRES","coꜩibaha","K'OTZ'IB'AJA_NJTRES","edit"
"","persona","K'ochajuj (gen. 3)","K'OCHAJUJ_NJTRES","cochahuh","K'OCHAJUJ_NJTRES","edit"
"","persona","K'o'akul (gen. 2)","K'O'AKUL_NJDOS","Coacul","K'O'AKUL_NJDOS","edit"
"","persona","Don Juan Cortes (gen. 14)","DON_JUAN_CORTES_KQCATORCE","Don Juo cortes","DON_JUAN_CORTES_KQCATORCE","edit"
"","persona","Don Juan de Rojas (gen. 14)","DON_JUAN_DE_ROJAS_KQCATORCE","Don Juo de Rojas","DON_JUAN_DE_ROJAS_KQCATORCE","edit"
"","persona","Tepepul (gen. 13)","TEPEPUL_KQTRECE","tepepul","TEPEPUL_KQTRECE","edit"
"","persona","Tekum (gen. 13)","TEKUM_KQTRECE","Tecum","TEKUM_KQTRECE","edit"
"","persona","Belejeb Tz'i' (gen. 12)","B'ELEJEB'_TZI_KQDOCE","beleheb ꜩi","B'ELEJEB'_TZI_KQDOCE","edit"
"","persona","Oxib' Kej (gen. 12)","OXIB'_KEJ_KQDOCE","Oxib quieh","OXIB'_KEJ_KQDOCE","edit"
"","persona","Kikab' (gen. 10)","KIKAB'_KQDIEZ","quícab","KIKAB'_KQDIEZ","edit"
"","persona","Tepepul (gen. 9)","TEPEPUL_KQNUEVE","Tepepul","TEPEPUL_KQNUEVE","edit"
