term|gloss
SAQIYA'|"Agua blanca", nombre de lugar que, conforme a Edmonson (1971: 238), queda cerca de Chichicastenango.  
SAQKABAJA|San Andrés Sajcabajá.  
SAQULEWAB|Los de "tierra blanca"; es Zaculeu, Huehuetenango.  
SIPAKNA|Primer hijo de Wuqub Kak'ix y quien mató a los 400 muchachos. Su nombre viene del náhuatl *cipactli*, "caimán" o "lagarto".  
SIYAJA|La antigua Santa Catarina Ixtahuacán, Sololá.  
SUYWA|Nombre mitológico junto con Tulán, donde los padres primigenios recibieron a sus dioses y los de la segunda generación la parafernalia del poder. En el primer caso se le asocia a Copán y en el segundo a Chichén Itzá.  
TAMUB|Linaje aliado a los k'iche'.  
TEKUM|Señor principal de la novena generación. También es el nombre del nieto (umam) de K'ikab que enfrentó a Pedro de Alvarado. Son dos personajes distintos. Su otro nombre, conforme al *Tesoro de las lenguas Cakchiquel, Quiché y Zutuhil...* de Francisco Ximénez, hace referencia a "ciertas cigarras" y conforme al vocabulario de Fermín Tirado (1787) quiere decir "mariposa negra".  
TEPEPUL|Señor principal cuyo nombre se repite en distintas generaciones.  
TEPEW OLOMAN|Pudo haber sido uno de los pueblos de origen náhuatl que habitaron parte del valle de Motagua.  
TEPEW Q'UKUMATZ|"Majestuosa serpiente emplumada".  
TOJIL|Nombre de la deidad recibida por Balam Ki'tze'.  
TUJAL JA|Nombre de una de las 13 ramas de pueblos y casas reales. Significa "Baños de vapor", identificados como el actual pueblo de Sacapulas.  
TULÁN|Nombre mitológico junto con Suywa, donde los padres primigenios recibieron a sus dioses y los de la segunda generación la parafernalia del poder. En el primer caso se le asocia a Copán y en el segundo a Chichén Itzá.  
TZ'AQOL, BITOL|"Constructor, Creador".  
TZ'OLOJ CHE'|Santa María Chiquimula, Totonicapán.  
TZ'UNUNIJA'|Esposa de Majuk'utaj. Significa "Colibrí de agua".  
TZ'UTUJA|"Casa de la flor de maíz". Del linaje Saqik que sustituye al de I'kibalam que conforme al *Título de Totonicapán*, murió siendo joven.  
UCH'ABA JA|Nombre de una de las 13 ramas de pueblos y casas reales.  Significa "Los de la casa de los arcos y flechas", cuyos descendientes han de ser los de apellido Chavajay.  
UCHUCH K'AMJA|Asesora o consejera de cancillería. Autoridad frente a los Nija'ib.  
UK'U'X KAJ|"Corazón del Cielo".  
UK'U'X ULEW|"Corazón de la Tierra".  
UTZA'M ACHIJ|Guerreros encargados de los puntos de avanzada. Este puesto fue otorgado cuando varios personajes fueron ascendidos en rango.  
WAJXALAJUJ|"Dieciocho", lugar aún no localizado.  
WAJXAQIB K'AM|Señor principal de la décima generación.  
WILA|Chichicastenango, es el mismo Chuwila que literalmente quiere decir "en el lugar de los chichicastes".  
WOK, JUNAJPU|Deidades en el panteón k'iche'. Wok era el mensajero de Jurakan que llegaba a presenciar el juego de pelota de Jun Junajpu y Wuqub Junajpu. Estos hermanos son sacrificados en Xibalba y sus hijos, los héroes gemelos, establecen el día Junajpu como nombre en el calendario maya para ser invocados.  
WUQUB JUNAJPU|Hermano de Jun Junajpu, sacrificados en Xibalba.  
WUQUB KAK'IX|Ser mitológico y vanidoso que asumía ser el Sol y la Luna. En una de sus manifestaciones es la Osa Mayor. Su nombre quiere decir "7 guacamaya".  
WUQUB KAME|Literalmente: "7 muerte", que junto con "1 Muerte" eran los jueces supremos de Xibalba.  
WUQUB NO'J|Señor principal de la undécima generación.  
XAJBAKYEJ|"Lugar de la danza del venado". Queda cerca de Chichicastenango. Algunos lo asocian al actual caserío Xalbaquiej.  
XAN|Especie de mosquito.  
XAYABAJ|Actual pueblo de Joyabaj.  
XBALAMKE|Hermano de Junajpu, quienes son los héroes gemelos.  
XE' BALAX|Lugar ubicado cerca de lo que hoy se conoce como San Sebastián Lemoa.  
XE' K'AMAQ'|Lugar ubicado cerca de lo que hoy se conoce como San Sebastián Lemoa.  
XELAJUJ|Quetzaltenango.  
XIBALBA|Literalmente "Lugar de miedo". No es el infierno porque aunque hay casas de tormento también hay un jardín, campo para jugar pelota, árboles, etcétera.  
XIK|Señor de Xibalba, quien, junto con Patan, provocaba la muerte súbita de la gente en los caminos.  
XIKIRIPAT|Señor de Xibalba, quien, junto con Kuchuma Kik', enfermaba la sangre de la gente.  
XPIYAKOK|Nombre de origen náhuatl. Junto con Ixmukane, son los padres de Jun Junajpu y Wuqub Junajpu.  
XULU|El otro adivino que, junto con Pak'am, recibe instrucciones de los héroes gemelos en Xibalba antes de inmolarse y luego volver a la vida para acabar con los Señores de la Muerte.  
YA'XKANUL|"Volcán en el agua" y por eso puede ser uno de los volcanes del lago de Atitlán.  
YAKOLATAM UTZA'M POP SAQLATOL|Título de uno de los Señores principales frente a los Nija'ib. Probablemente se refiera al encargado de los puntos de avanzada.  
