folio|side|para_num|lb|lb_str|lb_str_plain
1|2|4|15|"es ruído, en el cielo. ní avía cosa <choice><abbr>q’</abbr><expan instant=""false"">que</expan></choice> estuví<pc> –</pc>"|es ruído, en el cielo. ní avía cosa q’que estuví–
1|2|4|16|"ese, ní <choice><abbr>q’</abbr><expan instant=""false"">que</expan></choice>estuviese parada empie; solo el"|ese, ní q’queestuviese parada empie; solo el
1|2|4|17|"agua represada, solo <rs ana=""PALO"">la mar</rs> sosegada, so"|agua represada, solo la mar sosegada, so
1|2|4|18|"lo ella represada, nícosa alguna avía <choice><abbr>q’</abbr><expan instant=""false"">que</expan></choice>es<pc> –</pc>"|lo ella represada, nícosa alguna avía q’quees–
1|2|4|19|tuviese; solo estaba en sílencio, y sosiego, en la|tuviese; solo estaba en sílencio, y sosiego, en la
1|2|4|20|"obscuridad, y la noche; solo estaba el <rs ana=""TZ'AQOL"">críador</rs>"|obscuridad, y la noche; solo estaba el críador
1|2|4|21|"y <rs ana=""B'ITOL"">formador</rs>, <rs ana=""TEPEW_Q'UKUMATZ""><choice><abbr>S<hi rend=""superscript"">or.</hi></abbr><expan instant=""false"">Señor</expan></choice> culebra fuerte</rs>, <rs ana=""ALOM"">las madres</rs>, y"|y formador, Sor.Señor culebra fuerte, las madres, y
1|2|4|22|"<rs ana=""K'AJOLOM""><choice><abbr>P<hi rend=""superscript"">es.</hi></abbr><expan instant=""false"">Padres</expan></choice></rs> estan en el agua, en una claridad abierta"|Pes.Padres estan en el agua, en una claridad abierta
1|2|4|23|y estaban cubiertos en plumas verdes, por|y estaban cubiertos en plumas verdes, por
1|2|4|24|"eso se llama <rs ana=""Q'UKUMATZ"">gucumaꜩ</rs> grandes sabíos, y"|eso se llama gucumatz grandes sabíos, y
1|2|4|25|de grandes entendimientos su ser. y así por<pc> –</pc>|de grandes entendimientos su ser. y así por–
1|2|4|26|"eso esta el zielo, y ay tambien su <rs ana=""UK'U'X_KAJ"">corazon"|eso esta el zielo, y ay tambien su corazon
