lang,folio,side,para_num,lb,lb_str,lb_str_plain
quc,2,2,7,39,"chi hutac molahil, xevqhaxic","chi hutac molahil, xevqhaxic"
quc,2,2,7,40,"ri <rs ana=""KEJ"">queh</rs> <rs ana=""TZ'IKIN"">ꜩiquin</rs> <rs ana=""KOJ"">qoh</rs>, <rs ana=""B'ALAM"">balam</rs>","ri queh tziquin qoh, balam"
quc,2,2,7,41,"<rs ana=""KUMATZ"">cumaꜩ</rs>, chibÿhnacut ri ca bi","cumatz, chibihnacut ri ca bi"
quc,2,2,7,42,"cohicaharizah, oh <rs ana=""ALOM"">ichuch</rs>, oh","cohicaharizah, oh ichuch, oh"
quc,2,2,7,43,"<rs ana=""K'AJOLOM"">icahau</rs> quiqha va na cut, <rs ana=""JUN_RAQAN"">hu<pc> –</pc>","icahau quiqha va na cut, hu–"
quc,2,2,7,44,"racan</rs>, <rs ana=""CH'IPI_KAQULJA"">chipi caculha</rs>, <rs ana=""RAXA_KAQULJA"">raxa","racan, chipi caculha, raxa"
quc,2,2,7,45,"caculha</rs>, <rs ana=""UK'U'X_KAJ"">vqux cah</rs>, <rs ana=""UK'U'X_ULEW"">vquxvle<pc> –</pc>","caculha, vqux cah, vquxvle–"
quc,2,2,7,46,"uh</rs>, <rs ana=""TZ'AQOL"">ꜩacol</rs>, <rs ana=""B'ITOL"">bitol</rs>, <rs ana=""ALOM"">alom</rs> <rs ana=""K'AJOLOM"">qaholõ</rs>","uh, tzacol, bitol, alom qaholõ"
quc,3,1,7,1,"quixqhaoc cohiziquih, cohiqui<pc> –</pc>","quixqhaoc cohiziquih, cohiqui–"
quc,3,1,7,2,"hila, xevqhaxic. macu xuꜩinic","hila, xevqhaxic. macu xutzinic"
quc,3,1,7,3,"xeqhauic, queheta ri vinac, xa","xeqhauic, queheta ri vinac, xa"
quc,3,1,7,4,"quevachelahic, xa quecaralahic","quevachelahic, xa quecaralahic"
quc,3,1,7,5,xa quevohonic; mavi xvachinic,xa quevohonic; mavi xvachinic
quc,3,1,7,6,"v vach qui qhabal, halahoh xco<pc> –</pc>","v vach qui qhabal, halahoh xco–"
quc,3,1,7,7,quibeh chi qui huhunal. ta xqui,quibeh chi qui huhunal. ta xqui
quc,3,1,7,8,"ta ri <rs ana=""TZ'AQOL"">ꜩacol</rs> <rs ana=""B'ITOL"">bitol</rs> maui mi xu<pc> –</pc>",ta ri tzacol bitol maui mi xu–
quc,3,1,7,9,"ꜩinic, mi xeqhauic, xeqha chic","tzinic, mi xeqhauic, xeqha chic"
quc,3,1,7,10,qui bil quib maui mixuꜩin v,qui bil quib maui mixutzin v
quc,3,1,7,11,bixic cabi rumal oh cah ꜩac,bixic cabi rumal oh cah tzac
quc,3,1,7,12,oh pu cah bit mavi vꜩ xqha,oh pu cah bit mavi vtz xqha
quc,3,1,7,13,"chic chiquibil quib ri <rs ana=""ALOM"">alom</rs> <rs ana=""K'AJOLOM"">qa<pc> –</pc>",chic chiquibil quib ri alom qa–
quc,3,1,7,14,"holom</rs>, xevqhax cut xa","holom, xevqhax cut xa"
quc,3,1,7,15,quixhalatahic rumal maui,quixhalatahic rumal maui
quc,3,1,7,16,mi xuꜩinic maui mi xixqha<pc> –</pc>,mi xutzinic maui mi xixqha–
quc,3,1,7,17,"vic, mi cu xcahal caꜩih iv<pc> –</pc>","vic, mi cu xcahal catzih iv–"
quc,3,1,7,18,"echa i cuxun, ivarabal i ia<pc> –</pc>","echa i cuxun, ivarabal i ia–"
quc,3,1,7,19,calibal xivech vi mixeuxic,calibal xivech vi mixeuxic
quc,3,1,7,20,zivan quechelah rumal ma<pc> –</pc>,zivan quechelah rumal ma–
quc,3,1,7,21,vi xuꜩin caquihiloxic mavi,vi xutzin caquihiloxic mavi
quc,3,1,7,22,ix ziquÿ que ca qo couilo qui<pc> –</pc>,ix ziqui que ca qo couilo qui–
quc,3,1,7,23,hilonel nimanel chi caban chic,hilonel nimanel chi caban chic
quc,3,1,7,24,"xa chicam i patan <add instant=""false"" status=""unremarkable"">y</add> xa i tiohil",xa chicam i patan y xa i tiohil
quc,3,1,7,25,chica chic ta chuxoc. <!--editor's note: Ajtz'ib'ab' adds a paragraph. Corresponds to paragraph 14 in Ajtz'ib'ab' --> are cut,chica chic ta chuxoc.  are cut
quc,3,1,7,26,"chipatanih, xevqhaxic ta xe","chipatanih, xevqhaxic ta xe"
quc,3,1,7,27,pixabaxic chuti chicop nima,pixabaxic chuti chicop nima
quc,3,1,7,28,chicop qo chuvach vleu. ta,chicop qo chuvach vleu. ta
quc,3,1,7,29,xrah cu quitih chic qui quih,xrah cu quitih chic qui quih
quc,3,1,7,30,"xrah quitihtobeh chic, xrah","xrah quitihtobeh chic, xrah"
quc,3,1,7,31,pu quinuc chic quihilabal,pu quinuc chic quihilabal
quc,3,1,7,32,xma xquita vi qui qhabal,xma xquita vi qui qhabal
quc,3,1,7,33,chiquibil quib. xma xnaua<pc> –</pc>,chiquibil quib. xma xnaua–
quc,3,1,7,34,"chir vi cut, xma xbanatahvi","chir vi cut, xma xbanatahvi"
quc,3,1,7,35,"puch, quehe cut xechacatah","puch, quehe cut xechacatah"
quc,3,1,7,36,"vi quitiohil, xquipatanih xe","vi quitiohil, xquipatanih xe"
quc,3,1,7,37,"tÿc, xecamizaxic, ri chicop qo","tic, xecamizaxic, ri chicop qo"
quc,3,1,7,38,"varal chuvach vleuh, que","varal chuvach vleuh, que"
quc,3,1,7,39,he cut v tihtobexic chic vinac,he cut v tihtobexic chic vinac
quc,3,1,7,40,"ꜩac vinac bit cumal <rs ana=""TZ'AQOL"">ꜩacol</rs>",tzac vinac bit cumal tzacol
quc,3,1,7,41,"<rs ana=""B'ITOL"">bitol</rs> <rs ana=""ALOM"">alom</rs>, <rs ana=""K'AJOLOM"">qaholom</rs> xa ca","bitol alom, qaholom xa ca"
quc,3,1,7,42,"tiha chic, mi xyopih ravaxic","tiha chic, mi xyopih ravaxic"
quc,3,1,7,43,v zaquiric cabana ꜩucul que,v zaquiric cabana tzucul que
quc,3,1,7,44,cool que hupacha ta coh,cool que hupacha ta coh
quc,3,1,7,45,"ziquixoc, ta cohnabax puch","ziquixoc, ta cohnabax puch"
quc,3,1,7,46,chuvach vleuh. mi xcatiho,chuvach vleuh. mi xcatiho
