folio|side|para_num|lb|ana_num|ana_id
11|2|15|32|1|TZ'IKIN
11|2|15|34|1|KAB'RAQAN
11|2|15|38|1|TZ'IKIN
11|2|15|41|1|TZ'IKIN
11|2|15|42|1|KAB'RAQAN
11|2|15|43|1|TZ'IKIN
11|2|15|46|1|KAB'RAQAN
12|1|15|1|1|TZ'IKIN
12|1|15|5|1|KA'IB'_K'AJOLAB'
12|1|15|6|1|KA'IB'_K'AJOLAB'
12|1|15|10|1|KAB'RAQAN
12|1|15|11|1|JUNAJPU
12|1|15|11|2|XB'ALAMQ'E
12|1|15|14|1|JUNAJPU
12|1|15|14|2|XB'ALAMQ'E
12|1|15|16|1|WUQUB'_KAQIX
12|1|15|17|1|SIPAKNA
12|1|15|17|2|KAB'RAQAN
12|1|16|20|1|JUNAJPU
12|1|16|20|2|XB'ALAMQ'E
12|1|16|23|1|JUNAJPU
12|1|16|23|2|XB'ALAMQ'E
12|1|16|25|1|JUN_JUNAJPU
12|1|17|27|1|JUN_JUNAJPU
12|1|17|28|1|XPIYAKOK
12|1|17|28|2|IXMUKANE
12|1|17|30|1|JUN_JUNAJPU
12|1|17|30|2|WUQUB'_JUNAJPU
12|1|17|31|1|XPIYAKOK
12|1|17|31|2|IXMUKANE
12|1|17|32|1|JUN_JUNAJPU
12|1|17|32|2|KA'IB'_K'AJOLAB'
12|1|17|33|1|KA'IB'_K'AJOLAB'
12|1|17|34|1|JUN_B'ATZ
12|1|17|34|2|JUN_CHOWEN
12|1|17|36|1|IXB'AQIYALO
12|1|17|37|1|IXB'AQIYALO
12|1|17|37|2|JUN_JUNAJPU
12|1|17|38|1|WUQUB'_JUNAJPU
12|1|17|45|1|JUN_B'ATZ
12|1|17|45|2|JUN_CHOWEN
12|1|17|46|1|JUN_JUNAJPU
12|1|17|46|2|SU'
12|2|17|2|1|JUN_B'ATZ
12|2|17|2|2|JUN_CHOWEN
12|2|17|3|1|JUN_JUNAJPU
12|2|17|3|2|WUQUB'_JUNAJPU
12|2|17|4|1|CHAAJ
12|2|17|7|1|JOM
12|2|17|8|1|WOK
12|2|17|8|2|JUN_RAQAN
12|2|17|9|1|CH'IPI_KAQULJA
12|2|17|9|2|RAXA_KAQULJA
12|2|17|10|1|WOK
12|2|17|11|1|XIB'ALB'A
12|2|17|13|1|JUN_RAQAN
12|2|17|15|1|IXB'AQIYALO
12|2|17|15|2|JUN_B'ATZ
12|2|17|15|3|JUN_CHOWEN
12|2|17|16|1|XIB'ALB'A
12|2|17|17|1|CHAAJ
12|2|17|17|2|JUN_KAME'
12|2|17|18|1|WUQUB'_KAME'
12|2|17|18|2|RAJAWAL_XIB'ALB'A
12|2|17|22|1|CHAAJ
12|2|17|26|1|RAJAWAL_XIB'ALB'A
12|2|17|27|1|RAJAWAL_XIB'ALB'A
12|2|17|28|1|JUN_KAME'
12|2|17|28|2|WUQUB'_KAME'
12|2|17|29|1|RAJAWAL_XIB'ALB'A
12|2|17|31|1|RAJAWAL_XIB'ALB'A
12|2|17|32|1|JUN_KAME'
12|2|17|32|2|WUQUB'_KAME'
12|2|17|33|1|XIKIRIPAT
12|2|17|33|2|KUCHUMA_KIK'
12|2|17|35|1|AJAL_PUJ
12|2|17|36|1|AJAL_Q'ANA
12|2|17|36|2|RAJAWAL_XIB'ALB'A
12|2|17|39|1|CHUQ'ANAL
12|2|17|41|1|AJAL_PUJ
12|2|17|41|2|AJAL_Q'ANA
12|2|17|42|1|CH'AMIYA_BAQ
12|2|17|42|2|CH'AMIYA_JOLOM
12|2|17|43|1|XIB'ALB'A
12|2|17|47|1|CH'AMIYA_BAQ
13|1|17|1|1|CH'AMIYA_JOLOM
13|1|17|2|1|AJAL_MES
13|1|17|2|2|AJAL_TOQ'OB
13|1|17|3|1|PATAN
13|1|17|8|1|AJAL_MES
13|1|17|8|2|AJAL_TOQ'OB
13|1|17|10|1|AJAW_XIK
13|1|17|10|2|PATAN
13|1|17|14|1|PATAN
13|1|17|18|1|AJAW_XIK
13|1|17|18|2|PATAN
13|1|17|21|1|JUN_JUNAJPU
13|1|17|21|2|WUQUB'_JUNAJPU
13|1|17|22|1|XIB'ALB'A
13|1|17|23|1|JUN_JUNAJPU
13|1|17|24|1|WUQUB'_JUNAJPU
13|1|17|24|2|TZ'UM
13|1|17|25|1|B'ATE
13|1|17|25|2|PACH_Q'AB'
13|1|17|25|3|YACHWACH
13|1|17|26|1|WACH_SOT
13|1|17|26|2|WUB
13|1|17|27|1|JUN_JUNAJPU
13|1|17|27|2|WUQUB'_JUNAJPU
13|1|17|29|1|XIB'ALB'A
13|1|17|30|1|JUN_B'ATZ
13|1|17|30|2|JUN_CHOWEN
13|1|17|31|1|JUN_JUNAJPU
13|1|17|33|1|JUN_B'ATZ
13|1|17|33|2|JUN_CHOWEN
13|1|17|34|1|JUNAJPU
13|1|17|34|2|XB'ALAMQ'E
13|1|18|36|1|USAMAJEL_XIB'ALB'A
13|1|18|37|1|JUN_KAME'
13|1|18|37|2|WUQUB'_KAME'
13|1|18|38|1|RAJPOP
13|1|18|39|1|JUN_JUNAJPU
13|1|18|39|2|WUQUB'_JUNAJPU
13|1|18|41|1|RAJAWAL_XIB'ALB'A
13|1|18|42|1|CHAAJ
13|1|18|45|1|RAJAWAL_XIB'ALB'A
13|1|18|47|1|B'ATE
13|1|18|47|2|PACHQ'AB'
13|2|18|1|1|KIK'
13|2|18|2|1|RAJAWAL_XIB'ALB'A
13|2|18|3|1|USAMAJEL_XIB'ALB'A
13|2|18|4|1|USAMAJEL_XIB'ALB'A
13|2|18|4|2|TUKUR
13|2|18|4|3|CH'ABI'_TUKUR
13|2|18|5|1|JURAQAN_TUKUR
13|2|18|5|2|KAQIX_TUKUR
13|2|18|5|3|JOLOM_TUKUR
13|2|18|6|1|USAMAJEL_XIB'ALB'A
13|2|18|7|1|CH'ABI'_TUKUR
13|2|18|8|1|JURAQAN_TUKUR
13|2|18|9|1|JUN_RAQAN
13|2|18|10|1|KAQIX_TUKUR
13|2|18|12|1|JOLOM_TUKUR
13|2|18|14|1|USAMAJEL_XIB'ALB'A
13|2|18|14|2|RAJPOP
13|2|18|16|1|XIB'ALB'A
13|2|18|17|1|JOM
13|2|18|17|2|CHAAJ
13|2|18|18|1|JUN_JUNAJPU
13|2|18|18|2|WUQUB'_JUNAJPU
13|2|18|19|1|JOM
13|2|18|19|2|NIM_XOB'_KARCHAJ
13|2|18|20|1|TUKUR
13|2|18|21|1|JOM
13|2|18|22|1|JUN_KAME'
13|2|18|22|2|WUQUB'_KAME'
13|2|18|23|1|AJAL_PUJ
13|2|18|23|2|AJAL_Q'ANA
13|2|18|24|1|CH'AMIYA_BAQ
13|2|18|24|2|CH'AMIYA_JOLOM
13|2|18|24|3|XIKIRI_PAT
13|2|18|25|1|KUCHUMA_KIK'
13|2|18|25|2|AJAL_MES
13|2|18|26|1|AJAL_TOQ'OB
13|2|18|26|2|AJAW_XIK
13|2|18|26|3|PATAN
13|2|18|27|1|RAJAWAL_XIB'ALB'A
13|2|18|28|1|TUKUR
13|2|18|29|1|JUN_KAME'
13|2|18|29|2|WUQUB'_KAME'
13|2|18|32|1|RAJAWAL_XIB'ALB'A
13|2|18|34|1|IXKIK'
13|2|18|36|1|IXKIK'
13|2|18|37|1|JUN_JUNAJPU
13|2|18|37|2|IXKIK'
13|2|18|38|1|USAMAJEL_XIB'ALB'A
13|2|18|41|1|KIK'
13|2|18|44|1|SU'
14|1|18|1|1|IXMUKANE
14|1|18|1|2|JUN_B'ATZ
14|1|18|2|1|JUN_CHOWEN
14|1|18|3|1|IXKIK'
14|1|18|3|2|IXMUKANE
14|1|18|5|1|JUN_JUNAJPU
14|1|18|6|1|WUQUB'_JUNAJPU
14|1|19|7|1|JUN_JUNAJPU
14|1|19|8|1|WUQUB'_JUNAJPU
14|1|19|9|1|USAMAJEL_XIB'ALB'A
14|1|19|10|1|XIB'ALB'A
14|1|19|13|1|NU'_SIWAN
14|1|19|13|2|K'ULKU_SIWAN
14|1|19|15|1|JA'_SIMAJ
14|1|19|18|1|KIK'_YA'
14|1|19|19|1|PUJ_CHI_JA'
14|1|19|24|1|KAQA_B'E
14|1|19|24|2|Q'EQA_B'E
14|1|19|25|1|SAQI_B'E
14|1|19|25|2|Q'ANA_B'E
14|1|19|27|1|Q'EQA_B'E
14|1|19|28|1|RAJAWAL_XIB'ALB'A
14|1|19|30|1|Q'EQA_B'E
14|1|19|30|2|XIB'ALB'A
14|1|19|31|1|RAJAWAL_XIB'ALB'A
14|1|19|34|1|XIB'ALB'A
14|1|19|36|1|JUN_KAME'
14|1|19|37|1|WUQUB'_KAME'
14|1|19|40|1|RAJAWAL_XIB'ALB'A
14|1|19|41|1|RAJAWAL_XIB'ALB'A
14|1|19|43|1|JUN_JUNAJPU
14|1|19|44|1|WUQUB'_JUNAJPU
14|1|19|45|1|JUN_KAME'
14|1|19|46|1|WUQUB'_KAME'
14|2|19|1|1|B'ATE
14|2|19|1|2|PACHQ'AB'
14|2|19|9|1|XIB'ALB'A
14|2|19|13|1|RAJAWAL_XIB'ALB'A
14|2|19|16|1|Q'EQUMA_JA
14|2|19|18|1|XIB'ALB'A
14|2|19|21|1|CHAAJ
14|2|19|22|1|XIB'ALB'A
14|2|19|23|1|CHAAJ
