ana_id|quc|spa|label|dh
K'OTUJA_KQCINCO|6|5|K'Otuja Kqcinco|2.321928094887362
K'OTUJA_KQCUATRO|8|6|K'Otuja Kqcuatro|1.5849625007211559
K'OTUJA_NJCINCO|1|1|K'Otuja Njcinco|0.0
K'OTUJA_NJOCHO|1|1|K'Otuja Njocho|0.0
K'OTZ'IB'AJA_NJTRES|1|1|K'Otz'Ib'Aja Njtres|0.0
K'OY|5|6|K'Oy|2.321928094887362
K'OYABAKOJ_AKOCHO|1|1|K'Oyabakoj Akocho|0.0
K'ULB'A|1|1|K'Ulb'A|0.0
K'ULKU_SIWAN|1|1|K'Ulku Siwan|1.5849625007211559
K'US_B'US|1|1|K'Us B'Us|0.0
KA'|2|1|Ka'|1.0
KA'IB'_K'AJOLAB'|97|101|Ka'Ib' K'Ajolab'|4.584962500721156
KA'IB_KAJOLAB'|0|1|Ka'Ib Kajolab'|
KA'MUL_ALOM|1|1|Ka'Mul Alom|1.0
KA'MUL_K'AJOLOM|1|1|Ka'Mul K'Ajolom|1.0
KAB'|1|1|Kab'|1.0
KAB'RAQAN|21|20|Kab'Raqan|2.0
KAJIB'_UNIM_JA|5|2|Kajib' Unim Ja|2.321928094887362
KAK'IXA_JA'|2|2|Kak'Ixa Ja'|2.321928094887362
KAKAW|2|2|Kakaw|2.321928094887362
KAMALOTZ'|1|1|Kamalotz'|1.0
KANCHAJELEB'|1|1|Kanchajeleb'|1.5849625007211559
KAQA_B'E|2|2|Kaqa B'E|3.0
KAQA_PALO_JA'|2|2|Kaqa Palo Ja'|2.321928094887362
KAQCHIKELEB'|13|13|Kaqchikeleb'|3.8073549220576046
KAQIX_TUKUR|2|2|Kaqix Tukur|1.0
KAQUILJA_JUN_RAQAN|1|1|Kaquilja Jun Raqan|1.0
KAR|5|5|Kar|2.0
KAWEQ|20|17|Kaweq|3.8073549220576046
KAWINAL|1|1|Kawinal|0.0
KAWISIMAJ_KQSIETE|9|9|Kawisimaj Kqsiete|2.0
KAWKEB'|1|1|Kawkeb'|0.0
KAXKON|1|1|Kaxkon|0.0
KE'EMA|1|1|Ke'Ema|1.0
KE'EMA_NJDIEZ|1|1|Ke'Ema Njdiez|0.0
KEJ|24|20|Kej|3.3219280948873626
KIK'|42|47|Kik'|4.584962500721156
KIK'_RE|4|4|Kik' Re|2.321928094887362
KIK'_RIXK'AQ|3|3|Kik' Rixk'Aq|2.321928094887362
KIK'_YA'|2|2|Kik' Ya'|3.0
KINAQ'|1|1|Kinaq'|1.5849625007211559
KOAKUTEC|0|1|Koakutec|
KOJ|10|9|Koj|3.169925001442312
KOMAJKUN_AKCINCO|1|1|Komajkun Akcinco|0.0
KOTZ'I'J|21|23|Kotz'I'J|2.321928094887362
KOTZB'ALAM|1|1|Kotzb'Alam|1.0
KUCHUMA_KIK'|16|12|Kuchuma Kik'|3.4594316186372973
KUMATZ|9|6|Kumatz|3.0
KUMATZ_AMAQ'|1|1|Kumatz Amaq'|1.5849625007211559
KUNAB'AL_TOJIL|1|1|Kunab'Al Tojil|1.0
KUWATEPECH_KQONCE|1|1|Kuwatepech Kqonce|0.0
LAMAKIB'|1|1|Lamakib'|1.5849625007211559
LOLMET_KEJNAY|2|2|Lolmet Kejnay|1.5849625007211559
LOTZ_KIK'|1|1|Lotz Kik'|0.0
MAJUK'UTAJ|55|60|Majuk'Utaj|4.3219280948873635
MAKAMOB'|1|1|Makamob'|0.0
MAKUJUTAJ|1|0|Makujutaj|1.0
MAKUTAX|1|1|Makutax|0.0
MAK_EK'|4|4|Mak Ek'|2.584962500721156
MAQ'A'|1|0|Maq'A'|1.0
ME'AWAN|2|2|Me'Awan|1.0
MEXICO|1|1|Mexico|1.5849625007211559
MIXKINA|8|5|Mixkina|1.5849625007211559
MOLAY|1|1|Molay|2.321928094887362
MOTZ|20|21|Motz|2.321928094887362
MU'J|1|1|Mu'J|0.0
NAKXIT|8|4|Nakxit|1.0
NIJA'AIB|0|1|Nija'Aib|
NIJA'IB|16|15|Nija'Ib|3.584962500721156
NIK'AQAJ_TAQ'AJ|0|1|Nik'Aqaj Taq'Aj|
NIKAQA_TAQAJ|1|0|Nikaqa Taqaj|0.0
NIMA'Q_TZ'AQ_TOJIL|1|3|Nima'Q Tz'Aq Tojil|0.0
NIMA_CH'OKOJ|1|1|Nima Ch'Okoj|1.0
NIMA_K'AMJA|3|2|Nima K'Amja|1.0
NIMA_LOLMET_YE'OLTUX|1|1|Nima Lolmet Ye'Oltux|0.0
NIMA_SIS|1|1|Nima Sis|1.0
NIM_AQ|1|1|Nim Aq|1.0
NIM_CH'OKOJ|9|6|Nim Ch'Okoj|0.0
NIM_CH'OKOJ_KAWEQ|2|2|Nim Ch'Okoj Kaweq|1.5849625007211559
