ana_id,n_annotated,surface_form,form_length
JAL,13,q'anahal,1
JAL,13,za quihal,2
JAL,13,zaqui hal,2
JAL,13,zaquihal,1
JAQAWITZ,31,acavitz,1
JAQAWITZ,31,ahau,1
JAQAWITZ,31,chirih ahau,2
JAQAWITZ,31,ha cavitz,2
JAQAWITZ,31,haca vitz,2
JAQAWITZ,31,hacauitz,1
JAQAWITZ,31,hacavitz,1
JAQAWITZ_JUYUB',21,ha cavitz,2
JAQAWITZ_JUYUB',21,hacavitz,1
JAQAWITZ_JUYUB',21,hu yub hacavitz,3
JAQAWITZ_JUYUB',21,huyub,1
JAQAWITZ_JUYUB',21,huyub hacavitz,2
JAQAWITZ_JUYUB',21,pa hacavitz,2
JAQAWITZ_JUYUB',21,ri qui huyub al,4
JA_CHI_Q'AQ'',1,ha chiq'aq',2
JOJ,1,hoh,1
JOLOM,1,holom,1
JOLOM_OKOX,1,holom ocox,2
JOLOM_TUKUR,2,ho lom tucur,3
JOLOM_TUKUR,2,holom tucur,2
JOM,16,ho m,2
JOM,16,hom,1
JOM,16,pa hom,2
JOM,16,pahom,1
JULISNAB',1,huliznab,1
JUMETA_JA,1,hu metaha,2
JUNAJPU,88,cacahau,1
JUNAJPU,88,hu nahpu,2
JUNAJPU,88,huhahpu,1
JUNAJPU,88,huhun ahpu,2
JUNAJPU,88,hun ah pu,3
JUNAJPU,88,hun ahau,2
JUNAJPU,88,hun ahpu,2
JUNAJPU,88,hun hu nahpu,3
JUNAJPU,88,hun hunah pu,3
JUNAJPU,88,hun hunahpu,2
JUNAJPU,88,hun nahpu,2
JUNAJPU,88,hunahpu,1
JUNAJPU,88,hunhunahpu,1
JUNAJPU,88,ixhunahpu,1
JUNAJPU,88,qui cahau,2
JUNAJPU,88,v holom,2
JUNAJPU,88,vholom,1
JUNAJPU,88,x hunahpu,2
JUNAJPU,88,xhun ah pu,3
JUNAJPU,88,xhun ahpu,2
JUNAJPU,88,xhunahpu,1
JUNAJPU_JUYUB',1,hun ahpu,2
JUNAJPU_K'OY,2,hun ahpu coy,3
JUNAJPU_K'OY,2,hun ahpu x coy,4
JUNAJPU_UTIW,3,hun ahpu vtiu,3
JUNAJPU_UTIW,3,hunahpu vtiu,2
JUNAJPU_WUCH',3,hun ah pu vuch,4
JUNAJPU_WUCH',3,hunahpu vuch,2
JUN_B'ATZ,27,hun batz,2
JUN_B'ATZ'_JUN_CHOWEN,11,caib,1
JUN_B'ATZ'_JUN_CHOWEN,11,catz,1
JUN_B'ATZ'_JUN_CHOWEN,11,ivatz,1
JUN_BATZ'_JUN_CHOWEN,1,catz,1
JUN_CHOWEN,27,cho uen,2
JUN_CHOWEN,27,hun chouen,2
JUN_CHOWEN,27,hun choven,2
JUN_JUNAJPU,66,ahvqhan,1
JUN_JUNAJPU,66,bac,1
JUN_JUNAJPU,66,ca hau,2
JUN_JUNAJPU,66,cacahau,1
JUN_JUNAJPU,66,cahau,1
JUN_JUNAJPU,66,hun ahpu,2
JUN_JUNAJPU,66,hun hu nahpu,3
JUN_JUNAJPU,66,hun hun ahpu,3
JUN_JUNAJPU,66,hun hunah pu,3
JUN_JUNAJPU,66,hun hunahpu,2
JUN_JUNAJPU,66,hunhu nahpu,2
JUN_JUNAJPU,66,hunhunah pu,2
JUN_JUNAJPU,66,hunhunahpu,1
JUN_JUNAJPU,66,icahau,1
JUN_JUNAJPU,66,nimaha u,2
JUN_JUNAJPU,66,nu holom,2
JUN_JUNAJPU,66,qui cahau,2
JUN_JUNAJPU,66,quicahau,1
JUN_JUNAJPU,66,uquexel,1
JUN_JUNAJPU,66,vholom,1
JUN_JUNAJPU,66,vvach ahau achih naol,4
JUN_KAME',45,aha u,2
JUN_KAME',45,ahau,1
JUN_KAME',45,hun ca me,3
JUN_KAME',45,hun came,2
JUN_KAME',45,huncame,1
JUN_KAME',45,rihun came,2
JUN_KAME',45,rox culel,2
JUN_KAME'_WUQUB'_KAME,8,ahau,1
JUN_KAME'_WUQUB'_KAME,8,ahau ab,2
JUN_KAME'_WUQUB'_KAME,8,ahauab,1
JUN_KAME'_WUQUB'_KAME,8,at ahau,2
JUN_KAME'_WUQUB'_KAME,8,hun aha u,3
JUN_KAME'_WUQUB'_KAME,8,hun ahau,2
JUN_KAME'_WUQUB'_KAME',6,aha uab,2
JUN_KAME'_WUQUB'_KAME',6,ahau,1
JUN_KAME'_WUQUB'_KAME',6,at ahau,2
JUN_RAQAN,17,athu racan,2
JUN_RAQAN,17,hu racan,2
JUN_RAQAN,17,hu rracan,2
JUN_RAQAN,17,hun racan,2
JUN_RAQAN,17,hura can,2
JUN_RAQAN,17,huracan,1
JUN_RAQAN,17,lal ahau,2
