seq_id|ana_id
809|rajpop
810|rajawal_xib'alb'a
811|tukur
812|ixkik'
813|usamajel_xib'alb'a
814|jun_junajpu
815|pusb'al_chaaj
816|usamajel_xib'alb'a
817|ixkik'
818|kuchuma_kik'
819|rajawal_xib'alb'a
820|usamajel_xib'alb'a
821|ixkik'
822|jun_kame'
823|wuqub'_kame'
824|kik'
825|ixkik'
826|kik'
827|kik'
828|kik'
829|kik'
830|ixkik'
831|kik'
832|kik'
833|tukur
834|ixkik'
835|rajawal_xib'alb'a
836|usamajel_xib'alb'a
837|rajawal_xib'alb'a
838|rajawal_xib'alb'a
839|jun_kame'
840|rajawal_xib'alb'a
841|jun_kame'
842|kik'
843|jun_kame'
844|xib'alb'a
845|rajawal_xib'alb'a
846|kik'
847|tukur
848|ixkik'
849|rajawal_xib'alb'a
850|ixkik'
851|rajawal_xib'alb'a
852|ixmukane
853|jun_b'atz
854|jun_chowen
855|ixkik'
856|ixkik'
857|ixkik'
858|ixmukane
859|jun_b'atz
860|jun_chowen
861|junajpu
862|xb'alamq'e
863|ixkik'
864|ixmukane
865|ixkik'
866|ixmukane
867|ixmukane
868|ixkik'
869|ixkik'
870|ixmukane
871|ixmukane
872|xib'alb'a
873|jun_b'atz'_jun_chowen
874|jun_b'atz
875|jun_chowen
876|ixkik'
877|ixmukane
878|ixkik'
879|jun_junajpu
880|jun_junajpu
881|wuqub'_junajpu
882|ixmukane
883|ixmukane
884|jun_b'atz
885|jun_chowen
886|su'
887|ixmukane
888|ixmukane
889|ixkik'
890|ixmukane
891|ixkik'
892|ixkik'
893|ixkik'
894|ab'ix
895|ab'ix
896|jun_b'atz
897|jun_chowen
898|ixkik'
899|ab'ix
900|ab'ix
901|ixkik'
902|chajal_echa'
903|ixtoj
904|ixq'anil
905|ixkakaw
906|ixtziya'
907|chajal_echa'
908|jun_b'atz
909|jun_chowen
910|ixkik'
911|tzamiy
912|tzamiy
913|jal
914|jal
915|jal
916|ixkik'
917|ixmukane
918|ixmukane
919|ab'ix
920|ixmukane
921|ab'ix
922|ab'ix
923|ixmukane
924|ixkik'
925|ixkik'
926|ixkik'
927|junajpu
928|xb'alamq'e
929|ixkik'
930|ixkik'
931|ixmukane
932|ka'ib'_k'ajolab'
933|junajpu
934|xb'alamq'e
935|ixmukane
936|sanik
937|jun_b'atz
938|jun_chowen
939|sanik
940|jun_b'atz
941|jun_chowen
942|ka'ib'_k'ajolab'
943|su'
944|jun_b'atz
945|jun_chowen
946|su'
947|jun_junajpu
948|jun_junajpu
949|xib'alb'a
950|jun_junajpu
951|jun_b'atz
952|jun_chowen
953|ka'ib'_k'ajolab'
954|junajpu
955|xb'alamq'e
956|wub
957|ixmukane
958|jun_b'atz
959|jun_chowen
960|wa
961|wa
962|jun_b'atz
963|jun_chowen
964|tz'ikin
965|jun_b'atz
966|jun_chowen
967|junajpu
968|xb'alamq'e
969|su'
970|jun_b'atz
971|jun_chowen
972|junajpu
973|xb'alamq'e
974|tz'ikin
975|ixmukane
976|tz'ikin
977|junajpu
978|xb'alamq'e
979|ixmukane
980|tz'ikin
981|ixmukane
982|jun_b'atz'_jun_chowen
983|tz'ikin
984|jun_b'atz'_jun_chowen
985|jun_b'atz
986|jun_chowen
987|jun_b'atz'_jun_chowen
988|wub
989|tz'ikin
990|jun_b'atz'_jun_chowen
991|tz'ikin
992|tz'ikin
993|tz'ikin
994|jun_b'atz'_jun_chowen
995|jun_b'atz
996|jun_chowen
997|ka'ib'_k'ajolab'
998|ka'ib'_k'ajolab'
999|junajpu
1000|xb'alamq'e
1001|ka'ib'_k'ajolab'
1002|k'oy
1003|jun_b'atz
1004|jun_chowen
1005|junajpu
1006|xb'alamq'e
1007|ixmukane
1008|ixkik'
1009|ixmukane
1010|jun_b'atz'_jun_chowen
1011|jun_b'atz'_jun_chowen
1012|jun_b'atz'_jun_chowen
1013|ka'ib'_k'ajolab'
1014|ixmukane
1015|junajpu
1016|xb'alamq'e
1017|ixmukane
1018|ixmukane
1019|jun_b'atz'_jun_chowen
1020|ixmukane
1021|su'
1022|junajpu_k'oy
1023|su'
1024|su'
1025|q'ojom
1026|su'
1027|q'ojom
1028|ixmukane
1029|su'
1030|su'
1031|junajpu_k'oy
1032|su'
1033|jun_b'atz
1034|jun_chowen
1035|ixmukane
1036|ixmukane
1037|ixmukane
1038|ixmukane
1039|su'
1040|junajpu
1041|xb'alamq'e
1042|su'
1043|ixmukane
1044|ixmukane
1045|k'oy
1046|ixmukane
1047|ixmukane
1048|junajpu
1049|xb'alamq'e
1050|su'
1051|ixmukane
1052|ixmukane
1053|ixmukane
1054|ixmukane
1055|su'
1056|ixmukane
1057|ixmukane
1058|ka'ib'_k'ajolab'
1059|ixkik'
1060|ixmukane
1061|jun_b'atz'_jun_chowen
1062|jun_b'atz
1063|jun_chowen
1064|junajpu
1065|xb'alamq'e
1066|su'
1067|k'oy
1068|ka'ib'_k'ajolab'
1069|jun_b'atz
1070|jun_chowen
1071|su'
1072|ixmukane
1073|ixb'aqiyalo
1074|ixmukane
1075|ixb'aqiyalo
1076|ab'ix
1077|ab'ix
1078|ixmukane
1079|ixb'aqiyalo
1080|ka'ib'_k'ajolab'
