folio,side,para_num,lb_n,found_phrase,matched_form,ana_id,score,line_text
4,2,1,40,qui chuch,quichuch,IXKIK',94.11764705882352,qui chuch chuvach puch qui
6,2,0,15,qui cahau,quicahau,JUN_JUNAJPU,94.11764705882352,nimal chirih qui cahau are
6,2,0,15,qui cahau,quicahau,XA_Q'ANA_JAL,94.11764705882352,nimal chirih qui cahau are
7,1,0,39,qui chuch,quichuch,IXB'AQIYALO,94.11764705882352,qui chuch qui cahau quehe
7,1,0,39,qui chuch,quichuch,IXKIK',94.11764705882352,qui chuch qui cahau quehe
7,1,0,39,qui cahau,quicahau,JUN_JUNAJPU,94.11764705882352,qui chuch qui cahau quehe
7,1,0,39,qui cahau,quicahau,XA_Q'ANA_JAL,94.11764705882352,qui chuch qui cahau quehe
12,1,1,20,qui cahau,quicahau,JUN_JUNAJPU,94.11764705882352,bi qui cahau ri hun ahpu xbalan
12,1,1,20,qui cahau,quicahau,XA_Q'ANA_JAL,94.11764705882352,bi qui cahau ri hun ahpu xbalan
12,1,1,25,quicahau,qui cahau,JUNAJPU,94.11764705882352,bixic quicahau
12,1,2,28,qui cahau,quicahau,JUN_JUNAJPU,94.11764705882352,cut qui cahau ri xpiyacoc xmu
12,1,2,28,qui cahau,quicahau,XA_Q'ANA_JAL,94.11764705882352,cut qui cahau ri xpiyacoc xmu
12,1,2,31,hun ahpu,xhun ahpu,JUNAJPU,94.11764705882352,hun ahpu cumal xpiyacoc xmu
12,1,2,36,qui chuch,quichuch,IXB'AQIYALO,94.11764705882352,cut vbi qui chuch va xbaqui
12,1,2,36,qui chuch,quichuch,IXKIK',94.11764705882352,cut vbi qui chuch va xbaqui
12,2,0,15,qui chuch,quichuch,IXKIK',94.11764705882352,ca cut qui chuch ri hun batz hun
12,2,0,30,rahauarem,ahauarem,NAKXIT,94.11764705882352,nohel yaol vpatan rahauarem
12,2,0,37,cahauarem,ahauarem,NAKXIT,94.11764705882352,cut cahauarem ri chizipohic vi
12,2,0,40,rahauarem,ahauarem,NAKXIT,94.11764705882352,chuqhaxic cate cut rahauarem
13,1,0,8,cahauarem,ahauarem,NAKXIT,94.11764705882352,cut cahauarem ahalmez ahal
13,1,0,18,cahauarem,ahauarem,NAKXIT,94.11764705882352,cul are cut cahauarem xic pa
13,1,0,22,hun ahpu,xhun ahpu,JUNAJPU,94.11764705882352,hun ahpu are xquiraih xibal
13,1,0,24,hun ahpu,xhun ahpu,JUNAJPU,94.11764705882352,vvcub hun ahpu ri qui tzuum
13,1,0,25,pach cab,pa ch cab,PACHQ'AB',94.11764705882352,qui bate qui pach cab qui iach
13,1,0,32,qui chuch,quichuch,IXB'AQIYALO,94.11764705882352,minac oc qui chuch cachui chic
13,1,0,32,qui chuch,quichuch,IXKIK',94.11764705882352,minac oc qui chuch cachui chic
13,1,1,39,hun ahpu,xhun ahpu,JUNAJPU,94.11764705882352,hun hunahpu vvcub hun ahpu
13,2,0,18,hun ahpu,xhun ahpu,JUNAJPU,94.11764705882352,hun hunahpu vvcub hun ahpu
13,2,0,36,qui chuch,quichuch,IXB'AQIYALO,94.11764705882352,xeqha cut chire qui chuch xca
13,2,0,37,qui cahau,quicahau,XA_Q'ANA_JAL,94.11764705882352,minac oc qui cahau hona ixca
14,1,0,3,qui chuch,quichuch,IXB'AQIYALO,94.11764705882352,quz cut choc qui chuch ri xmu
14,1,0,6,hun ahpu,xhun ahpu,JUNAJPU,94.11764705882352,nahpu vvcub hun ahpu
14,1,1,8,hun ahpu,xhun ahpu,JUNAJPU,94.11764705882352,ahpu vvcub hun ahpu xcamqui
14,1,1,44,hun ahpu,xhun ahpu,JUNAJPU,94.11764705882352,nahpu vvcub hun ahpu xetzeen
14,2,0,29,hun ahpu,xhun ahpu,JUNAJPU,94.11764705882352,cub hun ahpu chupan ri que
15,2,1,17,hun ahau,hun aha u,JUN_KAME'_WUQUB'_KAME,94.11764705882352,vmeal hun ahau cuchumaquic
15,2,2,20,hun ahau,hun aha u,JUN_KAME'_WUQUB'_KAME,94.11764705882352,al hun ahau cuchumaquic vbi v
15,2,2,37,hun ahpu,xhun ahpu,JUNAJPU,94.11764705882352,xqha ri vholom hun ahpu ta quo modo fiet istud s r luc cap i
18,1,2,38,qui cahau,quicahau,XA_Q'ANA_JAL,94.11764705882352,uquexel qui cahau ri xebe chi
18,1,2,39,qui cahau,quicahau,XA_Q'ANA_JAL,94.11764705882352,xibalba caminac vi qui cahau
18,2,0,16,hun ahau,hun aha u,JUN_KAME'_WUQUB'_KAME,94.11764705882352,ri hun ahau xbalanque mahabi
18,2,0,20,hun ah pu,hun ahpu,JUN_JUNAJPU,94.11764705882352,xevqhax cut ri hun ah pu xbalan
19,1,0,41,hun ahpu,xhun ahpu,JUNAJPU,94.11764705882352,quitiquiba zuanic hun ahpu x coy
20,1,0,13,quichuch,qui chuch,CHIMALMAT,94.11764705882352,ratit rug pu quichuch
20,1,0,13,quichuch,qui chuch,IXKIK',94.11764705882352,ratit rug pu quichuch
20,1,1,16,qui chuch,quichuch,IXKIK',94.11764705882352,vachpu qui chuch nabe xquibano
20,2,0,43,qui chuch,quichuch,IXB'AQIYALO,94.11764705882352,catit chire pu qui chuch xcohbe
21,2,1,30,quichuch,qui chuch,CHIMALMAT,94.11764705882352,xavi quimichbal re catit quichuch pu
21,2,1,30,quichuch,qui chuch,IXB'AQIYALO,94.11764705882352,xavi quimichbal re catit quichuch pu
22,1,0,6,qui chuch,quichuch,IXB'AQIYALO,94.11764705882352,qui chuch tzapi vvach quebal hu
22,1,1,18,quicahau,qui cahau,JUNAJPU,94.11764705882352,tuquel xquimez ri hom quicahau
22,2,0,2,quicahau,qui cahau,JUNAJPU,94.11764705882352,oher taxebe camoc ri quicahau
23,2,1,22,hun nahpu,hun ahpu,JUN_JUNAJPU,94.11764705882352,tic hun nahpu hun chicu xti
24,2,0,22,vquic xic,quic xic,KIK'_RE,94.11764705882352,vquic xic rixcac xeqha taxeopo
30,1,1,28,qui chuch,quichuch,IXB'AQIYALO,94.11764705882352,xtzonox naipuch qui chuch qui
31,1,1,9,xhun ahpu,hun ahpu,JUN_JUNAJPU,94.11764705882352,xahoh xhun ahpu xbalanque
31,2,1,7,xhun ahpu,hun ahpu,JUN_JUNAJPU,94.11764705882352,chive ohva oh xhun ahpu
31,2,1,10,hun ahpu,xhun ahpu,JUNAJPU,94.11764705882352,pu vvcub hun ahpu quibi oh
32,1,0,8,xhun ahpu,hun ahpu,JUN_JUNAJPU,94.11764705882352,xebanou ri xhun ahpu xba
32,1,0,34,quicahau,qui cahau,JUNAJPU,94.11764705882352,quicahau xoheroc quecamoc ri
32,1,0,35,hun ahpu,xhun ahpu,JUNAJPU,94.11764705882352,hun hunahpu vvcub hun ahpu
32,1,0,36,qui cahau,quicahau,XA_Q'ANA_JAL,94.11764705882352,xquil chicut vvachri qui cahau
32,2,0,4,qui cahau,quicahau,XA_Q'ANA_JAL,94.11764705882352,qux qui cahau xaui xcanah chi
32,2,0,11,qui cahau,quicahau,XA_Q'ANA_JAL,94.11764705882352,qha chirech qui cahau ta xqui
33,1,0,5,vquiquel,v quiquel,KIK',94.11764705882352,vquiquel vquiquel vinac xuxic are
33,1,0,24,cucumatz,c ucumatz,Q'UKUMATZ_KQCINCO,94.11764705882352,cucumatz quevqhaxic cate cut
33,1,0,27,zaquihal,za quihal,JAL,94.11764705882352,hal zaquihal vtiohil xa echa ra
33,1,2,38,quichuch,qui chuch,CHIMALMAT,94.11764705882352,mahabi quichuch mahabi qui
33,1,2,38,quichuch,qui chuch,IXB'AQIYALO,94.11764705882352,mahabi quichuch mahabi qui
33,1,2,38,quichuch,qui chuch,IXKIK',94.11764705882352,mahabi quichuch mahabi qui
33,1,2,45,cucumatz,c ucumatz,Q'UKUMATZ_KQCINCO,94.11764705882352,qaholom tepeu cucumatz ta
34,1,1,19,cucumatz,c ucumatz,Q'UKUMATZ_KQCINCO,94.11764705882352,caculha tepeu cucumatz alom
34,2,0,4,qui chuch,quichuch,IXB'AQIYALO,94.11764705882352,cahib ri qui chuch oh quiche vinac
34,2,0,4,qui chuch,quichuch,IXKIK',94.11764705882352,cahib ri qui chuch oh quiche vinac
35,1,0,27,cucumatz,c ucumatz,Q'UKUMATZ_KQCINCO,94.11764705882352,voc hunahpu tepeu cucumatz
35,2,2,35,quicahau,qui cahau,JUNAJPU,94.11764705882352,quimam quicahau ahauab xa
35,2,2,35,quicahau,qui cahau,JUN_JUNAJPU,94.11764705882352,quimam quicahau ahauab xa
35,2,3,45,hacavitz,ha cavitz,JAQAWITZ_JUYUB',94.11764705882352,hil auilix hacavitz ta xoc chicut
37,2,0,34,cahauarem,ahauarem,NAKXIT,94.11764705882352,cam vi qui q'aq'al cahauarem
37,2,0,38,vquiquel,v quiquel,KIK',94.11764705882352,vquiquel vcomahil vtoloc v
38,2,0,23,hacavitz,ha cavitz,JAQAWITZ_JUYUB',94.11764705882352,cucaam ri tohil auilix hacavitz
38,2,1,38,hacavitz,ha cavitz,JAQAWITZ_JUYUB',94.11764705882352,lix hacavitz chiquech ri ba
39,1,0,13,hacavitz,ha cavitz,JAQAWITZ_JUYUB',94.11764705882352,cut hacavitz chuvi hun nima
39,1,0,14,hacavitz,haca vitz,JAQAWITZ,94.11764705882352,caeha hacavitz vbi huyub
39,1,0,17,hacavitz,ha cavitz,JAQAWITZ_JUYUB',94.11764705882352,vil hacavitz vbi xavi xca
39,1,0,21,hacavitz,ha cavitz,JAQAWITZ_JUYUB',94.11764705882352,chelah xqohe vi hacavitz xa
39,1,0,22,hacavitz,ha cavitz,JAQAWITZ_JUYUB',94.11764705882352,zaqui huyub xevax vi hacavitz
39,1,0,37,hacavitz,haca vitz,JAQAWITZ,94.11764705882352,chuvi huyub hacavitz vbi xa
39,2,0,29,hacavitz,ha cavitz,JAQAWITZ_JUYUB',94.11764705882352,tohil avilix hacavitz nim qui
39,2,0,44,hacavitz,haca vitz,JAQAWITZ,94.11764705882352,lix pa hacavitz cuqhaxicva
40,2,0,30,hacavitz,haca vitz,JAQAWITZ,94.11764705882352,vi huyub hacavitz chiri xeza
41,1,0,33,tzotziha,tzotzi ha,SOTZ'I_JA,94.11764705882352,chila tulan zuy va tzotziha chi
