folio_num,side,lb_num,para_num,line_str
3,verso,11,7,"xa hum benac vi v vach, xa cu-"
3,verso,12,7,lu vach maui chimucun chirih
3,verso,13,7,"chichau nabec, mahabi vnaoh"
3,verso,14,7,"xa huzuc chiumar paha, maui"
3,verso,15,7,"qo, xeqha chicuri ah tzac ah bit."
3,verso,16,7,cauach labec ta chuxoc xa
3,verso,17,7,"labe maui chibinic, ma pu chi-"
3,verso,18,7,pocotahic ta chuxoc xa vnaoh
3,verso,19,7,chiri xecha ta xquiyoh cut x-
3,verso,20,7,quiyoc chic ri qui tzac qui bit
3,verso,21,7,xeqha chicut hupacha qui-
3,verso,22,7,chicabano chutzin ta vi chi-
3,verso,23,7,nauachir ta vi quihiloy quech
3,verso,24,7,ziquÿ quech xecha ta xqui-
3,verso,25,7,naohih chic xa cabÿh chique
3,verso,26,7,"xpiyacoc, xmucane, hun ah-"
3,verso,27,7,"pu vuch, hun ahpu vtiu. qui-"
3,verso,28,7,tiha chic vquihixic vbitaxic
3,verso,29,7,xevqhan qui quib ah tzac
3,verso,30,7,ah bit. Ta xquibÿh cut chire
3,verso,31,7,"xpiyacoc, xmucane cate cut"
3,verso,32,7,vbixic ri chiquech ri enic vachi-
3,verso,33,7,"nel, ratit quih ratit zac que"
3,verso,34,7,vqhaxic cumal ri tzacol bitol
3,verso,35,7,"are qui bi ri xpiyacoc, xmuca-"
3,verso,36,7,ne
3,verso,37,8,Xeqha qu ri huracan ruq te-
3,verso,38,8,peu qucumatz ta xquibih chire-
3,verso,39,8,ch ah quih ah bit enic vachi-
3,verso,40,8,"nel xuculu, xa pu churico che-"
3,verso,41,8,"ta chic chi cauinac bitoh, chica"
3,verso,42,8,vinac tzacoh ta chic tzucul cool coh
3,verso,43,8,"ziquixtah, cohnabaxtah puch, ca-"
3,verso,44,8,toc ta cut pa tzih iyom mamom
3,verso,45,8,"catit camam xpiyacoc, xmuca"
3,verso,46,8,"ne chatah ta chavaxoc, ta zaqui-"
3,verso,47,8,"roc ca ziquixic, ca toquexic ca"
4,recto,1,8,"nabaxic rumal vinac tzac, vinac"
4,recto,2,8,"bit, vinac poy, vinac anom cha"
4,recto,3,8,ta chuxoc chicutun ibi hunahpu
4,recto,4,8,"vuch, hunahpu vtiu camul alo-"
4,recto,5,8,"m, camul qaholom nimac nima"
4,recto,6,8,tzÿz ah cuval ah yamanic ah chut
4,recto,7,8,"ah tzalam, ah raxalac, ah raxazel"
4,recto,8,8,"ah εol, ah toltecat ratit quih ra"
4,recto,9,8,titzac quixvqhaxic rumal catzac
4,recto,10,8,"cabit chimala chi ixim, chi tzite"
4,recto,11,8,xa chibanatahic xa pu chel apan
4,recto,12,8,oc chicahah chicacotah puch
4,recto,13,8,vchi vvach che xevqhaxic e
4,recto,14,8,ah quih cate puch vcahic v
4,recto,15,8,quihiloxic ri xmalic chi ixim
4,recto,16,8,chi tzite quih bit xeqha qu ri
4,recto,17,8,hun atit hun mama chiquech
4,recto,18,8,are ri mama are ah tzite xpi-
4,recto,19,8,yacoc vbi. are cu ri atit ahquih
4,recto,20,8,ahbit chi racan xmucane vbi
4,recto,21,8,xeqha cut ta xquitiquiba quih
4,recto,22,8,xa chuculu xa pu churico ch-
4,recto,23,8,"abÿh cata caxiquin, caqha-"
4,recto,24,8,uic catzihontah xa chuculu
4,recto,25,8,ri che chahavaxic chicotox
4,recto,26,8,puch cumal ahtzac ahbit.
4,recto,27,8,ve are tzucul cool ta chavax
4,recto,28,8,oc ta zaquiroc at ixim at tzi-
4,recto,29,8,"te, at quih, at bit. catchoco-"
4,recto,30,8,nic cattaquentah xqha chi-
4,recto,31,8,"re ixim q,ite, quih bit. cat"
4,recto,32,8,quixla vloc at vqux cah
4,recto,33,8,macahizah vchi vvach tepeu
4,recto,34,8,qucumatz xeqha ta xquibih
4,recto,35,8,cut v zuculiquil vtz are chu-
4,recto,36,8,xic ri i poy aham che chiqha-
4,recto,37,8,uic chitzihon bala chuvach
4,recto,38,8,vleu ta chuxoc xeqha cut ta
4,recto,39,8,xquibih huzuc xbanic poy a-
4,recto,40,8,ham che xe vinac vachinic xe
4,recto,41,8,vinac tzihonic puch are vina-
4,recto,42,8,quil vvach vleu xevxic xe
4,recto,43,8,"poquic xemealanic, xeqaho-"
4,recto,44,8,lonic ri poy aham che macu
4,recto,45,8,habi qui qux ma pu habi qui-
4,recto,46,8,naoh maui natal cah tzac
4,recto,47,8,"cah bit xaloc xebinic, xecha-"
4,verso,1,8,canic maui xquinatah chic ri v
4,verso,2,8,qux cah quehe cut xepah chivi
4,verso,3,8,xa vtihtobexic xa pu v vaba-
4,verso,4,8,bexic chi vinac queqhau na-
4,verso,5,8,"bec, xa chaquih qui vach mana"
4,verso,6,8,"zonol cacan, qui εab mahabi"
4,verso,7,8,"qui quiquel, qui comahil, ma"
4,verso,8,8,"habi qui ticoual, qui cabchÿal"
4,verso,9,8,cha quih cotz qoh qui vach. ca
4,verso,10,8,"pichipoh cacan, quicab caie"
4,verso,11,8,ioh quitiohil quehe cut maui
4,verso,12,8,xenau chivi chuvach tzacol bi-
4,verso,13,8,"tol alai quech, quxlaai quech"
4,verso,14,8,enabe tzatz chivinac xevxic
4,verso,15,8,varal chuvach vleu
4,verso,16,9,Cate cut qui quÿzic chic qui
4,verso,17,9,mayxic qui cutuxic puch xe
4,verso,18,9,camizax chic poy aham che
4,verso,19,9,ta xnohix quibutic rumal vqux
4,verso,20,9,cah nima butic xbanic xpe
4,verso,21,9,pa quivi ri e poy e aham che
4,verso,22,9,"q,ite vtiohil ri achih, ta xaha-"
4,verso,23,9,"xic, rumal tzacol bitol, ixoc"
4,verso,24,9,zibac cut vtiohil ixoc. xrah
4,verso,25,9,oquic rumal tzacol bitol maui
4,verso,26,9,"xenauic, ma pu xeqhauic chu"
4,verso,27,9,"vach cah tzac, cah bit banol que"
4,verso,28,9,vinaquirizay quech quehe
4,verso,29,9,cut qui camizaxic xebutic
4,verso,30,9,xpe nima εol chila chicah.
4,verso,31,9,"xe cotcovach vbi, xcotin vloc"
4,verso,32,9,"vbac qui vach, xepe camalotz"
4,verso,33,9,"xcupin vla quiholom, xpe"
4,verso,34,9,"cotzbalam. xtio quitiohil, xpe"
4,verso,35,9,tucumbalam xtucuuic xqui-
4,verso,36,9,"chouic quibaquil, quibochil"
4,verso,37,9,"xcahixic, xmuchulixic qui ba-"
4,verso,38,9,"quil, cahizabal qui vach; ru"
4,verso,39,9,mal maui quinauic chuvach
4,verso,40,9,"qui chuch, chuvach puch qui"
4,verso,41,9,"cahau, ri vqux cah, huracan"
4,verso,42,9,"vbi, cumal xquecumaric v"
4,verso,43,9,"vach vleu, xticaric quecal hab"
4,verso,44,9,"quihil hab, acabal hab xoc vla"
4,verso,45,9,chuti chicop nima chicop xcut
4,verso,46,9,qui vach rumal che abah. x-
4,verso,47,9,qhauic ronohel qui quebal-
5,recto,1,9,"qui xot, qui lac, qui boh, qui tzi"
5,recto,2,9,"qui εaa, haruh pa la ronohel"
5,recto,3,9,xcutu qui vach cax xiban
5,recto,4,9,"chique, xohitio ixchi cut x-"
5,recto,5,9,quixcati chic xqha ri qui tzi
5,recto,6,9,cac chiquech. re cu ri εaa
5,recto,7,9,xohcoconic iuumal hu ta
5,recto,8,9,"quih, hu ta quih, xquec zaqui-"
5,recto,9,9,"ric amaquel holi, holi, hu-"
5,recto,10,9,"qui, huqui ca vach ivumal"
5,recto,11,9,are ta nabe capatan chiva-
5,recto,12,9,"ch, ixtana vinac vaca-"
5,recto,13,9,mic cut xchitih ca chucab
5,recto,14,9,"xchicaqueeh, xchicahoc"
5,recto,15,9,puch i tiohil xqhari qui
5,recto,16,9,εaa chique. are curi qui
5,recto,17,9,"tzi xqha chic ta xqhauic, na"
5,recto,18,9,qui pa rumal maui chi-
5,recto,19,9,"ya cava, xa cohmucunic"
5,recto,20,9,"xa pu cohicuxih vloc, coh"
5,recto,21,9,izac pu vloc yacal vbi ca
5,recto,22,9,cheel ivumal ta quixva-
5,recto,23,9,ic xere cohivuchaah vi
5,recto,24,9,maui cohqhauic mata cu
5,recto,25,9,mi xohcamic chiue hu pa
5,recto,26,9,cha maui mi xixnauic
5,recto,27,9,xixnau ta cut chiuih ta cut
5,recto,28,9,"xohzach vi, vacamic cut x-"
5,recto,29,9,chitih cabac qo pa ca chi x-
5,recto,30,9,quixcatio xeqha ri tzi chi-
5,recto,31,9,que ta xcut qui vach. are
5,recto,32,9,"chicuri qui xot, qui boh x-"
5,recto,33,9,"chau chic chique: cax, va xi"
5,recto,34,9,"ban chique xac ca chi, xac-"
5,recto,35,9,ca vach; amaquel oh tzacal
5,recto,36,9,chuuicac cohicato maui cax
5,recto,37,9,"xcanao, xchitih cut xquix"
5,recto,38,9,caporoh xcha ri qui boh ro
5,recto,39,9,nohel xcutu qui vach. are ri
5,recto,40,9,abah ri quixcub chitaninic
5,recto,41,9,chipe pa εaε taεal chi qui-
5,recto,42,9,"holom, cax xban chique."
5,recto,43,9,anilabic que mal malihab
5,recto,44,9,chic querah acanic chuvi
5,recto,45,9,ha xa chiu vlih ha quetzac
5,recto,46,9,"vloc, querah acan chuvi che"
5,recto,47,9,queqhaquix vloc ruma che
5,verso,1,9,querah oc pa hul xa chiyuch
5,verso,2,9,hul chi qui vach; quehe cut
5,verso,3,9,vcayohic vinac tzac vinac
5,verso,4,9,"bit, etzixel, e tzalatzoxel chi"
5,verso,5,9,"vinac xmayxic, xcutuxic"
5,verso,6,9,"quichi qui vach conohel, xqha"
5,verso,7,9,cut are retal ri qoy qo pa
5,verso,8,9,"quechelah vacamic, are"
5,verso,9,9,xqohe vi retal rumal xache
5,verso,10,9,quitiohil xcohic rumal ah-
5,verso,11,9,"tzac ahbit, are curi qoy que-"
5,verso,12,9,heri vinac chivachinic retal
5,verso,13,9,"hule vinac tzac, vinac bit"
5,verso,14,9,"xa poy, xa pu ahamche."
5,verso,15,10,Are cut xa hubic zac na
5,verso,16,10,tanoh vvachvleu mahabi
5,verso,17,10,quih hun cut cunimarizah
5,verso,18,10,"rib, vvcub caquix vbi, qo"
5,verso,19,10,"nabe cah vleu, xa ca moy-"
5,verso,20,10,mot v vach quih ic caqha
5,verso,21,10,curi: xaui xere vzaquetal
5,verso,22,10,"vinac rÿ, xbutic queheri"
5,verso,23,10,naual vinac vqoheic in
5,verso,24,10,nim quiqohe chic chuvi vi-
5,verso,25,10,nac tzac vinac bit in vquih
5,verso,26,10,in pu vzac in naipu riquil
5,verso,27,10,"ta chuxoc, nim nu zaquil in"
5,verso,28,10,"binibal, in pu chacabal ru-"
5,verso,29,10,mal vinac. rumal puvac
5,verso,30,10,vbac nuvach xa catilto-
5,verso,31,10,tic chi yamanic raxa cuval
5,verso,32,10,naypu ve raxcauacoh chi
5,verso,33,10,abah queheri v va cah are
5,verso,34,10,curi nu tzam zachuluhuh chi-
5,verso,35,10,nah queheri ic puvac cut
