folio|side|para|lb|lb_n|lb_str|lb_str_plain
1|2|4|29|29|naoh chiqui qoheic; quehe|naoh chiqui qoheic; quehe
1|2|4|30|30|cut xax qo vi ri cah qonaipu<pc> –</pc>|cut xax qo vi ri cah qonaipu–
1|2|4|31|31|"ch <rs ana=""UK'U'X_KAJ"">vqux cah</rs> are vbi ri ca<pc> –</pc>"|ch vqux cah are vbi ri ca–
1|2|4|32|32|bauil chuqhaxic.|bauil chuqhaxic.
1|2|5|33|33|"<hi rend=""large"">T</hi>a xpe cut vꜩih varal xul"|Ta xpe cut vtzih varal xul
1|2|5|34|34|"cuq ri <rs ana=""TEPEW_Q'UKUMATZ"">tepeu gucumaꜩ</rs> varal"|cuq ri tepeu gucumatz varal
1|2|5|35|35|chi quecumal chi aꜫabal xqh<pc> –</pc>|chi quecumal chi aq'abal xqh–
1|2|5|36|36|"au ruq ri <rs ana=""TEPEW_Q'UKUMATZ"">tepeu gucumaꜩ</rs>, xe"|au ruq ri tepeu gucumatz, xe
1|2|5|37|37|qha cut, ta xenaohinic, ta xe|qha cut, ta xenaohinic, ta xe
1|2|5|38|38|bizonic, xerico quib, xquicuch|bizonic, xerico quib, xquicuch
1|2|5|39|39|qui ꜩih, qui naoh, ta xcalah|qui tzih, qui naoh, ta xcalah
1|2|5|40|40|"ta xquiquxlaah quib .<unclear reason=""illegible"" instant=""false"">+</unclear> zac ta<add place=""above"" instant=""false"" status=""unremarkable"">xevi</add>"|ta xquiquxlaah quib .+ zac taxevi
1|2|5|41|41|xcalah puch vinac, ta xqui<pc> –</pc>|xcalah puch vinac, ta xqui–
1|2|5|42|42|naohih v ꜩuquic v vinaqui<pc> –</pc>|naohih v tzuquic v vinaqui–
1|2|5|43|43|ric che, caam, v ꜩucuquic pu<pc> –</pc>|ric che, caam, v tzucuquic pu–
1|2|5|44|44|ch qazlem vinaquirem chi|ch qazlem vinaquirem chi
1|2|5|45|45|queꜫumal, chi aꜫabal, rumal|queq'umal, chi aq'abal, rumal
1|2|5|46|46|"ri <rs ana=""UK'U'X_KAJ"">vqux cah</rs> <rs ana=""JUN_RAQAN"">huracan</rs> vbi,"|ri vqux cah huracan vbi,
2|1|5|1|1|"<rs ana=""KAQUILJA_JUN_RAQAN"">caculha huracan</rs> nabe, vcab"|caculha huracan nabe, vcab
2|1|5|2|2|"cut <rs ana=""CH'IPI_KAQULJA"">chipa caculha</rs>, roxchic"|cut chipa caculha, roxchic
2|1|5|3|3|"<rs ana=""RAXA_KAQULJA"">raxa caculha</rs> chi e cu oxib"|raxa caculha chi e cu oxib
2|1|5|4|4|"rÿ <rs ana=""UK'U'X_KAJ"">vqux cah</rs> ta xeul cuq ri"|ri vqux cah ta xeul cuq ri
2|1|5|5|5|"<rs ana=""TEPEW_Q'UKUMATZ"">tepeu gucumaꜩ</rs>, ta xnaohi<pc> –</pc>"|tepeu gucumatz, ta xnaohi–
2|1|5|6|6|xic zac qazlem, hupacha ta cha|xic zac qazlem, hupacha ta cha
2|1|5|7|7|uaxoc ta caquiro puch, apa<pc> –</pc>|uaxoc ta caquiro puch, apa–
2|1|5|8|8|"chinac ꜩucul <rs ana=""K'OOL"">cool</rs> ta chuxoc"|chinac tzucul cool ta chuxoc
2|1|5|9|9|quixnohintah. areri ha chel|quixnohintah. areri ha chel
2|1|5|10|10|tah chihamatah, chivinaquir|tah chihamatah, chivinaquir
2|1|5|11|11|va vleu vlaquel ta curib cha<pc> –</pc>|va vleu vlaquel ta curib cha–
2|1|5|12|12|ta cut, ta chauaxoc ta zaquiroc,|ta cut, ta chauaxoc ta zaquiroc,
2|1|5|13|13|cah vleu, ma ta cut v quihila<pc> –</pc>|cah vleu, ma ta cut v quihila–
2|1|5|14|14|bal vcalaibal rÿ caꜩac ca<pc> –</pc>|bal vcalaibal ri catzac ca–
2|1|5|15|15|bit ta vinaquiroc vinac ꜩac|bit ta vinaquiroc vinac tzac
2|1|5|16|16|vinac bit xeqha cut ta xvi<pc> –</pc>|vinac bit xeqha cut ta xvi–
2|1|5|17|17|naquir cu ri vleu cumal; xa<pc> –</pc>|naquir cu ri vleu cumal; xa–
2|1|5|18|18|quiꜩih xqohe vi v vinaqui<pc> –</pc>|quitzih xqohe vi v vinaqui–
2|1|5|19|19|ric chivinaquir vleu, vleuh|ric chivinaquir vleu, vleuh
2|1|5|20|20|xecha libah chi xvinaquiric;|xecha libah chi xvinaquiric;
2|1|5|21|21|queheri xa ꜩuꜩ xa mayui v|queheri xa tzutz xa mayui v
2|1|5|22|22|vinaquiric chic u pupuheic|vinaquiric chic u pupuheic
2|1|5|23|23|ta xtape pa ha ri huiub hu<pc> –</pc>|ta xtape pa ha ri huiub hu–
2|1|5|24|24|zuc nimac huyub xuxic xa<pc> –</pc>|zuc nimac huyub xuxic xa–
2|1|5|25|25|qui naual xa qui puz xbana<pc> –</pc>|qui naual xa qui puz xbana–
2|1|5|26|26|tah vi vnaohixic huyub ta<pc> –</pc>|tah vi vnaohixic huyub ta–
2|1|5|27|27|cah, huzuc rach vinaquiric|cah, huzuc rach vinaquiric
2|1|5|28|28|v quizizil, v pachahil v vach.|v quizizil, v pachahil v vach.
2|1|5|29|29|"quehe cut xquicot vi ri <rs ana=""Q'UKUMATZ"">qu<pc> –</pc>"|quehe cut xquicot vi ri qu–
2|1|5|30|30|"cumaꜩ</rs>, vꜩ mi xatulic at <rs ana=""UK'U'X_KAJ"">vqux"|cumatz, vtz mi xatulic at vqux
2|1|5|31|31|"cah</rs>, at <rs ana=""JUN_RAQAN"">huracan</rs>, at pu <rs ana=""CH'IPI_KAQULJA"">chipi<pc> –</pc>"|cah, at huracan, at pu chipi–
2|1|5|32|32|"caculha</rs>, <rs ana=""RAXA_KAQULJA"">raxa caculha</rs>, xchu<pc> –</pc>"|caculha, raxa caculha, xchu–
2|1|5|33|33|ꜩinic caꜩac cabit xeqha cut.|tzinic catzac cabit xeqha cut.
2|1|5|34|34|nabe cut xvinaquir vleuh|nabe cut xvinaquir vleuh
2|1|5|35|35|huyub tacah, xchobochox vbe|huyub tacah, xchobochox vbe
2|1|5|36|36|ha xbiniheic colehe racan|ha xbiniheic colehe racan
2|1|5|37|37|xol tac huyub, xa chobol chic|xol tac huyub, xa chobol chic
2|1|5|38|38|xeqohe vi ha, ta xcutunihe<pc> –</pc>|xeqohe vi ha, ta xcutunihe–
2|1|5|39|39|ic nimac huyub. quehe cut|ic nimac huyub. quehe cut
2|1|5|40|40|v vinaquiric vlew ri ta xvi<pc> –</pc>|v vinaquiric vlew ri ta xvi–
2|1|5|41|41|"naquiric cumal ri <rs ana=""UK'U'X_KAJ"">vqu x cah</rs>"|naquiric cumal ri vqu x cah
2|1|5|42|42|"<rs ana=""UK'U'X_ULEW"">vqux vleu</rs> quevchaxic rÿ"|vqux vleu quevchaxic ri
2|1|5|43|43|cute nabe xquinohih xcolo|cute nabe xquinohih xcolo
2|1|5|44|44|vi ri cah, xcolo nai puch v<pc> –</pc>|vi ri cah, xcolo nai puch v–
2|1|5|45|45|leuh chupan ha. quehe cut|leuh chupan ha. quehe cut
2|1|5|46|46|vnaohixic ri ta xquinohih ta|vnaohixic ri ta xquinohih ta
2|1|5|47|47|xquibizoh ruꜩinic vbana|xquibizoh rutzinic vbana
2|2|5|1|1|tahic cumal.|tahic cumal.
2|2|6|2|2|"<hi rend=""large"">T</hi>a xquinohih chic vchicop<pc> –</pc>"|Ta xquinohih chic vchicop–
2|2|6|3|3|il huyub chahal re quichelah|il huyub chahal re quichelah
2|2|6|4|4|ronohel, vvinaquil huyub ri|ronohel, vvinaquil huyub ri
2|2|6|5|5|"<rs ana=""KEJ"">quieh</rs>, <rs ana=""TZ'IKIN"">ꜩiquin</rs>, <rs ana=""KOJ"">qoh</rs>, <rs ana=""B'ALAM"">balam</rs>, <rs ana=""KUMATZ"">cu<pc> –</pc>"|quieh, tziquin, qoh, balam, cu–
2|2|6|6|6|"maꜩ</rs>, <rs ana=""SOCHOJ"">zochoh</rs>, <rs ana=""K'ANTI'"">canti</rs> chahal ca<pc> –</pc>"|matz, zochoh, canti chahal ca–
