entity_id,edition,ohco_path,ngram,ngram_len,match_type,label,type
CHI_ISMACHI',christenson,7017,tinamit.,1,exact,Chi Ismachi',topónimo
YACHWACH,christenson,7025,yachwach,1,exact,Yachwach,objeto
CHE',christenson,7027,che'.,1,exact,Che',objeto
CHI_ISMACHI',christenson,7031,tinamit.,1,exact,Chi Ismachi',topónimo
TOJIL,christenson,7033,Tojil.,1,exact,Tojil,deidad
TOJIL,christenson,7037,Tojil:,1,exact,Tojil,deidad
WA,christenson,7040,wa',1,fuzzy,Wa,objeto
B'ALAM_KI'TZE',christenson,7042,"B'alam Kitze,",2,fuzzy,B'alam Ki'tze',persona
B'ALAM_AQ'AB',christenson,7043,"B'alam Aq'ab',",2,exact,B'alam Aq'ab',persona
MAJUK'UTAJ,christenson,7044,"Majukutaj,",1,fuzzy,Majuk'utaj,persona
B'ALAM,christenson,7045,B'alam.,1,exact,B'alam,animal
WONON,christenson,7046,"wonon,",1,exact,Wonon,animal
SITA'L,christenson,7047,Sita'l.,1,exact,Sita'l,animal
CHI_ISMACHI',christenson,7051,tinamit.,1,exact,Chi Ismachi',topónimo
WONON,christenson,7052,"wonon,",1,exact,Wonon,animal
SITA'L,christenson,7053,Sita'l,1,exact,Sita'l,animal
CHI_ISMACHI',christenson,7058,tinamit,1,exact,Chi Ismachi',topónimo
CHE',christenson,7062,che'.,1,exact,Che',objeto
AJ,christenson,7075,aj,1,exact,Aj,objeto
B'ALAM_KI'TZE',christenson,7078,"B'alam Kitze,",2,fuzzy,B'alam Ki'tze',persona
B'ALAM_AQ'AB',christenson,7079,"B'alam Aq'ab',",2,exact,B'alam Aq'ab',persona
MAJUK'UTAJ,christenson,7080,Majukutaj,1,fuzzy,Majuk'utaj,persona
JAQAWITZ,christenson,7082,Jaq'awitz,1,fuzzy,Jaqawitz,deidad
WA,christenson,7083,wa',1,fuzzy,Wa,objeto
B'ALAM_KI'TZE',christenson,7086,"B'alam Kitze,",2,fuzzy,B'alam Ki'tze',persona
B'ALAM_AQ'AB',christenson,7087,"B'alam Aq'ab',",2,exact,B'alam Aq'ab',persona
MAJUK'UTAJ,christenson,7088,"Majukutaj,",1,fuzzy,Majuk'utaj,persona
B'ALAM,christenson,7089,B'alam.,1,exact,B'alam,animal
AJ,christenson,7093,aj,1,exact,Aj,objeto
KA',christenson,7095,ka,1,fuzzy,Ka',objeto
CHI_ISMACHI',christenson,7098,tinamit.,1,exact,Chi Ismachi',topónimo
CHI_ISMACHI',christenson,7109,tinamit.,1,exact,Chi Ismachi',topónimo
AJ,christenson,7111,aj,1,exact,Aj,objeto
AJ,christenson,7112,Aj,1,exact,Aj,objeto
CHI_ISMACHI',christenson,7121,tinamit.,1,exact,Chi Ismachi',topónimo
CHI_ISMACHI',christenson,7124,tinamit.,1,exact,Chi Ismachi',topónimo
WONON,christenson,7125,"wonon,",1,exact,Wonon,animal
SITA'L,christenson,7126,Sita'l.,1,exact,Sita'l,animal
AJ,christenson,7129,aj,1,exact,Aj,objeto
WONON,christenson,7138,"wonon,",1,exact,Wonon,animal
SITA'L,christenson,7139,"Sita'l,",1,exact,Sita'l,animal
B'AQ,christenson,7140,b'aq',1,fuzzy,B'aq,objeto
WONON,christenson,7144,"wonon,",1,exact,Wonon,animal
SITA'L,christenson,7145,Sita'l.,1,exact,Sita'l,animal
CHE',christenson,7154,che',1,exact,Che',objeto
B'ALAM_KI'TZE',christenson,7156,"B'alam Kitze,",2,fuzzy,B'alam Ki'tze',persona
B'ALAM_AQ'AB',christenson,7157,B'alam Aq'ab'.,2,exact,B'alam Aq'ab',persona
B'ALAM_KI'TZE',christenson,7175,"B'alam Kitze,",2,fuzzy,B'alam Ki'tze',persona
B'ALAM_AQ'AB',christenson,7176,"B'alam Aq'ab',",2,exact,B'alam Aq'ab',persona
MAJUK'UTAJ,christenson,7177,Majukutaj.,1,fuzzy,Majuk'utaj,persona
AJ,christenson,7183,aj,1,exact,Aj,objeto
PATAN,christenson,7183,"patan,",1,exact,Patan,deidad
ALOM,christenson,7188,"chuch,",1,exact,Alom,deidad
JAQAWITZ,christenson,7191,Jaq'awitz,1,fuzzy,Jaqawitz,deidad
JAQAWITZ,christenson,7197,Jaq'awitz.,1,fuzzy,Jaqawitz,deidad
B'ALAM_KI'TZE',christenson,7212,"B'alam Kitze,",2,fuzzy,B'alam Ki'tze',persona
B'ALAM_AQ'AB',christenson,7213,"B'alam Aq'ab',",2,exact,B'alam Aq'ab',persona
MAJUK'UTAJ,christenson,7214,"Majukutaj,",1,fuzzy,Majuk'utaj,persona
B'ALAM,christenson,7215,B'alam,1,exact,B'alam,animal
WA,christenson,7223,"wa',",1,fuzzy,Wa,objeto
B'ALAM_KI'TZE',christenson,7224,B'alam Kitze:,2,fuzzy,B'alam Ki'tze',persona
B'ALAM_KI'TZE',christenson,7228,"B'alam Kitze,",2,fuzzy,B'alam Ki'tze',persona
B'ALAM_AQ'AB',christenson,7231,B'alam Aq'ab'.,2,exact,B'alam Aq'ab',persona
WA,christenson,7232,wa':,1,fuzzy,Wa,objeto
KAB',christenson,7234,kab',1,exact,Kab',objeto
B'ALAM_AQ'AB',christenson,7235,B'alam Aq'ab',2,exact,B'alam Aq'ab',persona
MAJUK'UTAJ,christenson,7237,Majukutaj:,1,fuzzy,Majuk'utaj,persona
B'ALAM,christenson,7240,B'alam.,1,exact,B'alam,animal
AJ,christenson,7241,aj,1,exact,Aj,objeto
AJ,christenson,7242,Aj,1,exact,Aj,objeto
KAJ,christenson,7246,kaj,1,exact,Kaj,objeto
B'IX,christenson,7251,b'ix,1,exact,B'ix,lugar
KA',christenson,7260,K'a,1,fuzzy,Ka',objeto
KA',christenson,7260,ka,1,fuzzy,Ka',objeto
KEJ,christenson,7265,"Kej,",1,exact,Kej,animal
KAJ,christenson,7266,kaj.,1,exact,Kaj,objeto
PATAN,christenson,7269,patan.,1,exact,Patan,deidad
B'ALAM_KI'TZE',christenson,7288,B'alam Kitze.,2,fuzzy,B'alam Ki'tze',persona
WA,christenson,7290,Wa',1,fuzzy,Wa,objeto
PISOM_Q'AQ'AL,christenson,7298,Pisom Q'aq'al,2,exact,Pisom Q'aq'al,objeto
JAQAWITZ,christenson,7309,Jaq'awitz.,1,fuzzy,Jaqawitz,deidad
SU',christenson,7317,su,1,fuzzy,Su',objeto
B'ALAM_KI'TZE',christenson,7323,B'alam Kitze,2,fuzzy,B'alam Ki'tze',persona
KAJ,christenson,7331,kaj,1,exact,Kaj,objeto
JAQAWITZ,christenson,7337,Jaq'awitz.,1,fuzzy,Jaqawitz,deidad
PISOM_Q'AQ'AL,christenson,7350,“Pisom Q'aq'al”,2,exact,Pisom Q'aq'al,objeto
B'ALAM_KI'TZE',christenson,7358,"B'alam Kitze,",2,fuzzy,B'alam Ki'tze',persona
B'ALAM_AQ'AB',christenson,7359,"B'alam Aq'ab',",2,exact,B'alam Aq'ab',persona
MAJUK'UTAJ,christenson,7360,"Majukutaj,",1,fuzzy,Majuk'utaj,persona
B'ALAM,christenson,7361,"B'alam,",1,exact,B'alam,animal
PALO,christenson,7364,palo,1,exact,Palo,lugar
AJ,christenson,7368,aj,1,exact,Aj,objeto
AJ,christenson,7369,Aj,1,exact,Aj,objeto
B'ALAM_KI'TZE',christenson,7388,"B'alam Kitze,",2,fuzzy,B'alam Ki'tze',persona
B'ALAM_AQ'AB',christenson,7392,"B'alam Aq'ab',",2,exact,B'alam Aq'ab',persona
MAJUK'UTAJ,christenson,7396,Majukutaj,1,fuzzy,Majuk'utaj,persona
AJAW_K'ICHE',christenson,7397,Ajaw K'iche'.,2,exact,Ajaw K'iche',linaje
PALO,christenson,7399,palo.,1,exact,Palo,lugar
PALO,christenson,7414,palo,1,exact,Palo,lugar
WA,christenson,7417,"wa',",1,fuzzy,Wa,objeto
AJ,christenson,7419,Aj,1,exact,Aj,objeto
NAKXIT,christenson,7423,Nakxit,1,exact,Nakxit,deidad
AJ,christenson,7428,Aj,1,exact,Aj,objeto
AJ,christenson,7429,Aj,1,exact,Aj,objeto
AJ,christenson,7432,Aj,1,exact,Aj,objeto
AJ,christenson,7433,Aj,1,exact,Aj,objeto
NAKXIT,christenson,7434,Nakxit,1,exact,Nakxit,deidad
WA,christenson,7437,Wa':,1,fuzzy,Wa,objeto
MU'J,christenson,7438,"Muj,",1,fuzzy,Mu'j,objeto
Q'ALIB'AJ,christenson,7439,"Q'alib'aj,",1,exact,Q'alib'aj,objeto
SU',christenson,7440,Su',1,exact,Su',objeto
B'AQ,christenson,7440,"B'aq,",1,exact,B'aq,objeto
TATIL,christenson,7442,"Tatil,",1,exact,Tatil,objeto
TZIKWIL_KOJ,christenson,7444,"Tz'ikwil Koj,",2,fuzzy,Tzikwil Koj,objeto
