entity_id,label,type,lang,form
B'ALAM,B'alam,animal,quc,B'ALAM
B'ALAM,B'alam,animal,eng,JAGUAR
B'ALAM,B'alam,animal,spa,EL TÍGRE
B'ALAM_AQ'AB',B'alam Aq'ab',persona,quc,B'ALAM AQ'AB'
B'ALAM_AQ'AB',B'alam Aq'ab',persona,eng,JAGUAR NIGHT
B'ALAM_AQ'AB',B'alam Aq'ab',persona,eng,MIGHTY JAGUAR
B'ALAM_AQ'AB',B'alam Aq'ab',persona,spa,BALAM ACAB
B'ALAM_JA',B'alam Ja',linaje,quc,B'ALAM JA'
B'ALAM_JA',B'alam Ja',linaje,eng,JAGUAR HOUSE
B'ALAM_JA',B'alam Ja',linaje,spa,BALAMÍJA
B'ALAM_JA',B'alam Ja',lugar,spa,CASA DE LEON TÍGRES
B'ALAM_K'ONACHE'_KQTRES,B'alam K'onache' (gen. 3),persona,quc,B'ALAM K'ONACHE' (GEN. 3)
B'ALAM_K'ONACHE'_KQTRES,B'alam K'onache' (gen. 3),persona,quc,B'ALAM K'ONACHE' KQTRES
B'ALAM_K'ONACHE'_KQTRES,B'alam K'onache' (gen. 3),persona,eng,BALAM CO NACHE
B'ALAM_K'ONACHE'_KQTRES,B'alam K'onache' (gen. 3),persona,spa,"CONACHE, BALAM CONACHE"
B'ALAM_KI'TZE',B'alam Ki'tze',persona,quc,B'ALAM KI'TZE'
B'ALAM_KI'TZE',B'alam Ki'tze',persona,eng,B'ALAM QUITZE
B'ALAM_KI'TZE',B'alam Ki'tze',persona,spa,BALAM QUÍTZE
B'ALAM_KOLOB',B'alam Kolob',linaje,quc,B'ALAM KOLOB'
B'ALAM_KOLOB',B'alam Kolob',linaje,eng,JAGUAR ROPE
B'ALAM_KOLOB',B'alam Kolob',linaje,spa,BALAM COLOB
B'AQ,B'aq,objeto,quc,B'AQ
B'AQ,B'aq,objeto,eng,TWIST DRILL
B'AQ,B'aq,objeto,spa,SACOEL FUEGO
B'AQ_HUESO,B'aq Hueso,objeto,quc,B'AQ HUESO
B'AQ_HUESO,B'aq Hueso,objeto,eng,BONE
B'AQ_HUESO,B'aq Hueso,objeto,spa,HUESO
B'ATE,B'ate,objeto,quc,B'ATE
