chap_num,line_num,eng_str,quc_str
3,179,"Its germination also life,","U tz'ukuxik puch k'aslem,"
3,180,"Creation,","Winaqirem,"
3,181,"At darkness,","Chi q'equ'mal,"
3,182,"At night,","Chi aq'ab'al,"
3,183,"By this, its Heart Sky,","Rumal ri', u K'u'x Kaj,"
3,184,Huracan his name.,Juraqan u b'i'.
3,185,"Thunderbolt Huracan first,","Kaqulja Juraqan nab'e,"
3,186,"Second therefore Youngest Thunderbolt,","U kab' k'ut Ch'i'pi Kaqulja,"
3,187,Third next Sudden Thunderbolt.,Rox chik Raxa Kaqulja.
3,188,"Now they therefore three these,","Chi e k'u oxib' ri',"
3,189,Its Heart Sky.,U K'u'x Kaj.
3,190,Then they arrived with them,Ta xe'ul kuk'
3,191,"The Sovereign,","Ri Tepew,"
3,192,"Quetzal Serpent,","Q'ukumatz,"
3,193,Then were conceived,Ta xna'ojixik
3,194,"Light,","Saq,"
3,195,Life.,"K'aslem,"
3,196,“How then shall it be sown?,“Jupacha ta chawaxoq?
3,197,When shall dawn as well whomsoever?,Ta saqiro puch apachinaq?
3,198,Provider?,Tzuqul?
3,199,Sustainer?,Q'o'l?
3,200,Then be it so.,Ta chuxoq.
3,201,"You are conceived,","Kixno'jintaj,"
3,202,"This the water shall be taken away,","Are' ri ja' cheltaj,"
3,203,"Shall be emptied out,","Chijamataj,"
3,204,"Shall be created,","Chiwinaqir,"
3,205,"This earth,","Wa' ulew,"
3,206,"Its plate,","U laqel,"
3,207,"Then be gathered itself,","Ta k'u' rib',"
3,208,Levelled therefore.,Ch'ata k'ut.
3,209,"Then may it be sown,","Ta chawaxoq,"
3,210,"Then may it dawn,","Ta saqiroq,"
3,211,"Sky,","Kaj,"
3,212,Earth.,Ulew.
3,213,"Not then therefore its worship,","Ma ta k'ut u q'ijilab'al,"
3,214,Its reverence these,U q'ala'ib'al ri'
3,215,"Our framing,","Qa tz'aq,"
3,216,"Our shaping,","Qa b'it,"
3,217,"When may be created people framed,","Ta winaqiroq winaq tz'aq,"
3,218,"People shaped,” they said therefore.","Winaq b'it,” xecha' k'ut."
3,219,Then was created therefore,Ta xwinaqir k'u
3,220,The earth,Ri ulew
3,221,By them.,Kumal.
3,222,Merely their word,Xa ki tzij
3,223,Came to be,Xk'oje' wi
3,224,Its creation.,U winaqirik.
3,225,That it be created,Chiwinaqir
3,226,"Earth,","Ulew,"
3,227,"“Earth,” they said.","“Uleuj,” xecha'."
3,228,Immediately then it was created.,Lib'aj chi xwinaqirik.
3,229,"Like the merely cloud,","Keje' ri xa sutz',"
3,230,"Merely mist,","Xa may wi,"
3,231,"Its creation then,","U winaqirik chik,"
3,232,Its formation.,U pupuje'ik.
3,233,Then was asked to come from water,Ta xta' pe pa ja'
3,234,The mountains.,Ri juyub'.
3,235,Straightaway great mountains,Ju suk' nima'q juyub'
3,236,Came to be.,Xuxik.
3,237,"Merely their spirit essence,","Xa ki nawal,"
3,238,"Merely their miraculous power,","Xa ki pus,"
3,239,Caused to be made its conception,Xb'antaj wi u na'ojixik
3,240,"Mountains,","Juyub',"
3,241,Valleys.,Taq'aj.
3,242,Straightaway together were created,Ju suk' rach winaqirik
3,243,"Its cypress groves,","U k'isisil,"
3,244,Pine forests its face.,U pachajil u wach.
3,245,Thus rejoiced the Quetzal Serpent:,Keje' k'ut xki'kot wi ri Q'ukumatz:
3,246,"“Good you arrived,","“Utz mi xatulik,"
3,247,You its Heart Sky:,At u K'u'x Kaj:
3,248,"You Huracan,","At Juraqan,"
3,249,"You as well Youngest Thunderbolt,","At pu Ch'i'pi Kaqulja,"
3,250,Sudden Thunderbolt.,Raxa Kaqulja.
3,251,"It shall be successful our framing,","Xchutzinik qa tz'aq,"
3,252,"Our shaping,” they said therefore.","Qa b'it,” xecha' k'ut."
3,253,First therefore was created,Nab'e k'ut xwinaqir
3,254,"Earth,","Ulew,"
3,255,"Mountains, valleys,","Juyub', taq'aj,"
3,256,"Divided were its paths water,","Xch'ob'och'ox u b'e ja',"
3,257,Made their way were their branches,Xb'inije'ik k'oleje' raqan
3,258,Among mountains.,Xo'l taq juyub'.
3,259,"Merely divided then existed water,","Xa ch'ob'ol chik xek'oje' wi ja',"
3,260,Then were revealed great mountains.,Ta xk'utunije'ik nima'q juyub'.
3,261,"Thus its creation earth this,","Keje' k'ut u winaqirik ulew ri',"
3,262,Then it was created by them,Ta xwinaqirik kumal
3,263,"The its Heart Sky,","Ri u K'u'x Kaj,"
3,264,"Its Heart Earth, they are called.","U K'u'x Ulew, ke'uchaxik."
3,265,"These therefore,","Ri' k'ut,"
3,266,They first,E nab'e
3,267,They conceived it.,Xkino'jij.
3,268,"It was set apart the sky,","Xk'olo wi ri kaj,"
3,269,"It was set apart also earth within water,","Xk'olo nay puch ulew chupan ja',"
3,270,"Thus its conception this,","Keje' k'ut u no'jixik ri',"
3,271,"When they thought,","Ta xkino'jij,"
3,272,When they pondered,Ta xkib'isoj
3,273,"Its successful completion,","Rutzinik,"
3,274,Its being made by them.,U b'anatajik kumal.
4,275,THEN they conceived again,TA xkino'jij chik
4,276,"Its animals mountain,","U chikopil juyub',"
4,277,"Guardians of forest,","Chajal re k'eche'laj,"
4,278,All its population mountain:,Ronojel u winaqil juyub':
4,279,"The deer,","Ri kiej,"
