line_num,spa_str,quc_str,line_marker
143,Are in water.,K'o pa ja'.,
144,"Luminous they are,",Saqtetoj e k'o wi.,
145,"Covered in quetzal feathers,","E muqutal pa q'uq',",
146,In cotinga feathers.,Pa raxon.,
147,This his having been named,Are' u b'i'nam wi,
148,The Quetzal Serpent.,Ri Q'ukumatz.,
149,"Great sages,","E nima'q eta'manel,",
150,Great knowers in their essence.,E nima'q aj na'oj chi ki k'oje'ik.,150
151,"Thus surely there is the sky,","Keje' k'ut xax k'o wi ri kaj,",
152,There is also its Heart Sky.,K'o nay puch u K'u'x Kaj.,
153,This his name,Are' u b'i',
154,The god as it is said.,Ri k'ab'awil chuchaxik.,
155,"THEN came therefore his word here,","TA xpe k'ut u tzij waral,",
156,He arrived with them,Xul kuk',
157,"The Sovereign,","Ri Tepew,",
158,"Quetzal Serpent,","Q'ukumatz,",
159,"Here in darkness,","Waral chi q'equ'mal,",
160,In night.,Chi aq'ab'al.,160
161,He spoke with,Xch'aw ruk',
162,"The Sovereign,","Ri Tepew,",
163,"Quetzal Serpent,","Q'ukumatz,",
164,"They talked therefore,","Xecha' k'ut,",
165,"Then they thought,","Ta xena'ojinik,",
166,"Then they pondered,","Ta xeb'isonik,",
167,"They found themselves,","Xeriqo kib',",
168,They gathered,Xkikuch,
169,"Their words,","Ki tzij,",
170,Their thoughts.,Ki na'oj.,170
171,"Then they gave birth,","Ta xkalaj,",
172,Then they heartened themselves.,Ta xkik'u'xlaj kib'.,
173,"Beneath light then,","Xe' wi saq ta,",
174,They gave birth to also people.,Xkalaj puch winaq.,
175,"Then they considered its germination,","Ta xkina'ojij u tz'ukik,",
176,Its creation,U winaqirik,
177,"Trees,","Che',",
178,"Bushes,","K'a'am,",
179,"Its germination also life,","U tz'ukuxik puch k'aslem,",
180,"Creation,","Winaqirem,",180
181,"At darkness,","Chi q'equ'mal,",
182,"At night,","Chi aq'ab'al,",
183,"By this, its Heart Sky,","Rumal ri', u K'u'x Kaj,",
184,Huracan his name.,Juraqan u b'i'.,
185,"Thunderbolt Huracan first,","Kaqulja Juraqan nab'e,",
186,"Second therefore Youngest Thunderbolt,","U kab' k'ut Ch'i'pi Kaqulja,",
187,Third next Sudden Thunderbolt.,Rox chik Raxa Kaqulja.,
188,"Now they therefore three these,","Chi e k'u oxib' ri',",
189,Its Heart Sky.,U K'u'x Kaj.,
190,Then they arrived with them,Ta xe'ul kuk',190
191,"The Sovereign,","Ri Tepew,",
192,"Quetzal Serpent,","Q'ukumatz,",
193,Then were conceived,Ta xna'ojixik,
194,"Light,","Saq,",
195,Life.,"K'aslem,",
196,“How then shall it be sown?,“Jupacha ta chawaxoq?,
197,When shall dawn as well whomsoever?,Ta saqiro puch apachinaq?,
198,Provider?,Tzuqul?,
199,Sustainer?,Q'o'l?,
200,Then be it so.,Ta chuxoq.,200
201,"You are conceived,","Kixno'jintaj,",
202,"This the water shall be taken away,","Are' ri ja' cheltaj,",
203,"Shall be emptied out,","Chijamataj,",
204,"Shall be created,","Chiwinaqir,",
205,"This earth,","Wa' ulew,",
206,"Its plate,","U laqel,",
207,"Then be gathered itself,","Ta k'u' rib',",
208,Levelled therefore.,Ch'ata k'ut.,
209,"Then may it be sown,","Ta chawaxoq,",
210,"Then may it dawn,","Ta saqiroq,",210
211,"Sky,","Kaj,",
212,Earth.,Ulew.,
213,"Not then therefore its worship,","Ma ta k'ut u q'ijilab'al,",
214,Its reverence these,U q'ala'ib'al ri',
215,"Our framing,","Qa tz'aq,",
216,"Our shaping,","Qa b'it,",
217,"When may be created people framed,","Ta winaqiroq winaq tz'aq,",
218,"People shaped,” they said therefore.","Winaq b'it,” xecha' k'ut.",
219,Then was created therefore,Ta xwinaqir k'u,
220,The earth,Ri ulew,220
221,By them.,Kumal.,
222,Merely their word,Xa ki tzij,
223,Came to be,Xk'oje' wi,
224,Its creation.,U winaqirik.,
225,That it be created,Chiwinaqir,
226,"Earth,","Ulew,",
227,"“Earth,” they said.","“Uleuj,” xecha'.",
228,Immediately then it was created.,Lib'aj chi xwinaqirik.,
229,"Like the merely cloud,","Keje' ri xa sutz',",
230,"Merely mist,","Xa may wi,",230
231,"Its creation then,","U winaqirik chik,",
232,Its formation.,U pupuje'ik.,
233,Then was asked to come from water,Ta xta' pe pa ja',
234,The mountains.,Ri juyub'.,
235,Straightaway great mountains,Ju suk' nima'q juyub',
236,Came to be.,Xuxik.,
237,"Merely their spirit essence,","Xa ki nawal,",
238,"Merely their miraculous power,","Xa ki pus,",
239,Caused to be made its conception,Xb'antaj wi u na'ojixik,
240,"Mountains,","Juyub',",240
241,Valleys.,Taq'aj.,
242,Straightaway together were created,Ju suk' rach winaqirik,
243,"Its cypress groves,","U k'isisil,",
244,Pine forests its face.,U pachajil u wach.,
245,Thus rejoiced the Quetzal Serpent:,Keje' k'ut xki'kot wi ri Q'ukumatz:,
246,"“Good you arrived,","“Utz mi xatulik,",
247,You its Heart Sky:,At u K'u'x Kaj:,
248,"You Huracan,","At Juraqan,",
249,"You as well Youngest Thunderbolt,","At pu Ch'i'pi Kaqulja,",
250,Sudden Thunderbolt.,Raxa Kaqulja.,250
251,"It shall be successful our framing,","Xchutzinik qa tz'aq,",
252,"Our shaping,” they said therefore.","Qa b'it,” xecha' k'ut.",
253,First therefore was created,Nab'e k'ut xwinaqir,
254,"Earth,","Ulew,",
255,"Mountains, valleys,","Juyub', taq'aj,",
256,"Divided were its paths water,","Xch'ob'och'ox u b'e ja',",
257,Made their way were their branches,Xb'inije'ik k'oleje' raqan,
258,Among mountains.,Xo'l taq juyub'.,
