line_num,spa_str,quc_str,line_marker
997,"By the Hunahpu,","Kumal ri Junajpu,",
998,Xbalanque.,Xb'alanke.,
999,They keep a vigil now therefore,Kik'ak'alen chi k'ut,
1000,Beneath tree the Seven Macaw.,Chuxe' che' ri Wuqub' Kaqix.,1000
1001,They hidden here the two boys,E matzamoj ulo ri kaib' k'ajolab',
1002,In leaves tree.,Pa xaq che'.,
1003,"Then he arrived therefore Seven Macaw,","Ta xopon k'ut Wuqub' Kaqix,",
1004,Perched,Tak'al,
1005,"Over his food,","Chuwi' recha',",
1006,The nance.,Ri tapa'l.,
1007,"Then therefore he was shot by them,","K'ate k'ut ta xub'axik kumal,",
1008,"The Hunahpu, directed straight its pellet blowgun","Ri Junajpu, taqal u b'aq' wub'",
1009,At his jaw.,Chu kakate'.,
1010,He broke open his mouth.,Churaquj u chi'.,1010
1011,Then he came over its top tree,Ta xpe chuwi' che',
1012,Directed straight onto its face earth.,Taqal chuwach ulew.,
1013,"In a hurry therefore the Hunahpu quickly went,","Chimalmat k'ut ri Junajpu anim xb'ek,",
1014,Truly he went to his grasping.,Qitzij wi xb'e u chapa'.,
1015,Then therefore was torn off,K'ate k'ut ta xqupix ula,
1016,His arm the Hunahpu by the Seven Macaw.,U q'ab' ri Junajpu rumal ri Wuqub' Kaqix.,
1017,"Straightaway it was thrown back,","Ju suk' xtzaq uloq,",
1018,It was bent back edge his shoulder.,Xmejo uloq tza'm u teleb'.,
1019,Then he released again therefore Hunahpu,Ta xutzoqopij chi k'ut Junajpu,
1020,The Seven Macaw.,Ri Wuqub' Kaqix.,1020
1021,Merely good they did.,Xa wi utz xkib'ano.,
1022,Not first their defeat by Seven Macaw,Ma nab'e ki ch'akatajik taj rumal Wuqub' Kaqix,
1023,Having taken now therefore his arm the Hunahpu,Uk'a'am chi k'ut u q'ab' ri Junajpu,
1024,By the Seven Macaw.,Rumal ri Wuqub' Kaqix.,
1025,"Then he went to his home,","Ta xb'e chi rochoch,",
1026,Merely now therefore holding in palms his jaw he arrived. Xa chi k'u u lot'em u kakate' xoponik.,,
1027,“What did you get there?”,“Naqi pa mi xk'amow chila'?”,
1028,"Said therefore the Chimalmat,","Xcha' k'u ri Chimalmat,",
1029,His wife Seven Macaw.,Rixoqil Wuqub' Kaqix.,
1030,“What is it?”,“Naqi pa ri'?”,1030
1031,"“The two demons they shot me with a blowgun,","“Ri e kaib' k'axtok' mi xikiwub'aj,",
1032,It was dislocated my jaw by them.,Mi xsilib'ataj nu kakate' rumal.,
1033,"Merely they torment my teeth,","Xa kachuywaj e we',",
1034,They ache now.,Kaq'oxow chik.,
1035,First I brought it here.,Mi nab'e mi xnuk'am uloq.,
1036,Over fire therefore,Chuwi' q'aq' k'ut,
1037,"It will hang,","Chixeke wi,",
1038,It will dangle,Chitzayab'a',
1039,Over fire,Chuwi' q'aq',
1040,When they arrive to take it again.,Ta kul ki k'ama chik.,1040
1041,"True that they demons,” said the Seven Macaw,","Qitzij chi e k'axtok',” xcha' ri Wuqub' Kaqix,",
1042,When he hung his arm the Hunahpu.,Ta xuxekeb'a' u q'ab' ri Junajpu.,
1043,"They plan again,","Kina'ojinik chik,",
1044,"The One Hunahpu,","Ri Ju Junajpu,",
1045,Xbalanque.,Xb'alanke.,
1046,Then they spoke therefore to,Ta xkib'ij k'ut chirech,
1047,One Grandfather.,Jun Mama'.,
1048,Truly white now,Qitzij saq chik,
1049,His hair head now,Rismal wi' chi,
1050,Grandfather.,Mama'.,1050
1051,"One therefore Grandmother,","Jun k'u Ati't,",
1052,Truly humble grandmother now.,Qitzij kemel ati't chik.,
1053,"Merely they walk bent over now,","Xa keluq'uq'ila' chik,",
1054,Now aged people.,Chi ri'jitaq winaq.,
1055,White Great Peccary his name grandfather.,Saqi Nim Aq u b'i' mama'.,
1056,White Great Coati therefore her name grandmother.,Saqi Nima Sis k'ut u b'i' ati't.,
1057,They said therefore,Xecha' k'u,
1058,"The boys to them,","Ri k'ajolab' chike,",
1059,"The grandmother,","Ri ati't,",
1060,Grandfather:,Mama':,1060
1061,“May we accompany you.,“Kixqachb'ilaj taj.,
1062,You will go then to take our arm with Seven Macaw.,Chib'e ta k'ama qa q'ab' ruk' Wuqub' Kaqix.,
1063,Merely we follow,Xa kojtere,
1064,Behind you.,Chiwij.,
1065,‘Endure the our grandsons,‘Q'i' ri qa mam,
1066,That accompany us.,Ri qachb'ilan.,
1067,"Dead their mother,","Kaminaq ki chuch,",
1068,Their father.,Ki qajaw.,
1069,"Thus they follow along,","Keje' k'ut ketere,",
1070,All around behind us.,Kotila' wi chiqij.,1070
1071,"Then it we give them,","Ta la' keqasipaj wi,",
1072,"Because merely removal its worms teeth we do,’ you say. Rumal xa elesan u chikopil e'yaj kaqab'ano,’ kixcha'.",,
1073,Thus therefore the we children,Keje' k'u ri oj ak'alab',
1074,He will see the Seven Macaw.,Chirilo ri Wuqub' Kaqix.,
1075,"Merely us we give your thoughts,”","Xa wi oj kojya'wik i na'oj,”",
1076,They said the they two boys.,Xecha' ri e kaib' k'ajolab'.,
1077,"“Good then that,” they said therefore.","“Utz b'a la',” xecha' k'ut.",
1078,Afterwards therefore then they went.,K'ate k'ut ta xeb'ek.,
1079,On edge is seated the Seven Macaw,Tza'mal ku'bi' ri Wuqub' Kaqix,
1080,Before its face his throne.,Chuwach u q'alib'al.,1080
1081,"Then they passed by the grandmother,","Ta xe'ik'owik ri ati't,",
1082,Grandfather.,Mama'.,
1083,They play therefore,Ke'etz'eyaj k'u,
1084,The two boys behind them.,Ri e kaib' k'ajolab' chikij.,
1085,Then they passed by,Ta xe'ik'ow,
1086,Below his home,Chuxe' rochoch,
1087,Lord.,Ajaw.,
1088,He broke open therefore his mouth,Kuraquj k'u u chi',
1089,The Seven Macaw because of his teeth.,Ri Wuqub' Kaqix rumal re'.,
1090,"Then he saw therefore Seven Macaw the grandfather,","Ta xril k'ut Wuqub' Kaqix ri mama',",1090
1091,Grandmother accompanying each other.,Ati't kachb'ilan kib'.,
1092,“From where do you come our grandparents?”,“Apa kixpe wi qa mam?”,
1093,Said therefore the lord.,Xcha' k'u ri ajaw.,
1094,"“Merely we self-providers thou lord,” they said therefore. “Xa oj tzuqub'ey qib' lal ajaw,” xecha' k'ut.",,
1095,“What your means of providing?,“Naqi pa i tzuqub'al?,
1096,Not your children that accompany you?”,Ma iwalk'wal ri iwachb'ilan?”,
1097,“Not they are thou lord.,“Maja b'i lal ajaw.,
1098,Our grandsons,E qa mam,
1099,These.,Ri'.,
1100,"Only surely theirs,","Xere na re,",1100
1101,We pity their faces.,Kaqatoq'ob'aj ki wach.,
1102,"They receivers a portion,","Ri ya'axel ju pir,",
1103,"Piece we give to them thou lord,”","Ch'aqa'p kaqaya' chikech lal ajaw,”",
1104,"They said therefore the grandmother,","Xecha' k'ut ri ati't,",
1105,Grandfather.,Mama'.,
1106,Finished therefore the lord,Kutzin k'u ri ajaw,
1107,Because of its pain his teeth.,Rumal u q'oxom re'.,
1108,"Merely therefore great this effort now,","Xa k'u nima'q wa' ch'ij chik,",
1109,He says:,Kach'awik:,
1110,"“I then beg to you,","“In ta b'a kanij chiwech,",1110
1111,Take pity then on my face.,Chitoq'ob'aj ta nu wach.,
1112,What medicine would you make?,Naqi pa ki' chib'ano?,
1113,What medicine for your curing?”,Naqi on ki' chikunaj?”,
1114,He said therefore,Xcha' k'ut,
1115,Lord.,Ajaw.,
1116,“Merely their worms teeth we would remove.,“Xa u chikopil e'yaj chiqelesaj.,
1117,Merely therefore eyes we would cure.,Xa k'u u b'aq' u wach chiqakunaj.,
1118,"Merely bones we would set,","Xa b'aq chiqawiqo,",
1119,"Thou lord,”","Lal ajaw,”",
1120,They said therefore.,Xecha' k'ut.,1120
1121,"“Good then that,","“Utz b'a la',",
1122,Cure then my teeth.,Chikunaj ta b'a we'.,
1123,Truly they ache every day.,Qitzij kaq'oxowik ju ta q'ij.,
1124,Not will it be borne.,Mawi choq'itajik.,
1125,"There is not my sleep because of it,","Maja b'i nu waram rumal,",
1126,With its seeds my face.,Ruk' u b'aq' nu wach.,
1127,"Merely they blowgun shot me,","Xa xiki'ub'aj,",
1128,Two demons.,E kaib' k'axtok'.,
1129,Then it began,Ta xtikarik,
1130,Not I eat because of it.,Mawi kinecha'jik rumal.,1130
1131,Thus then take pity on my face.,Keje' ta k'ut chitoq'ob'aj wi nu wach.,
1132,Merely they molest,Xa kachuyub',
1133,"My jaw now,","We je chik,",
1134,The my teeth.”,Ri we'.”,
1135,“Good then that thou lord.,“Utz b'a la' lal ajaw.,
1136,Worm then causes them pain.,Chikop b'a kaq'axuwik.,
1137,"Merely will enter their replacement,","Xa chok u k'exel,",
1138,They will come out the teeth thine.”,Chel ri e' la.”,
1139,"“Not then good perhaps they will come out the my teeth,","“Ma b'a utz lo chel ri we',",
1140,By them only I lord.,Rumal xere in ajaw wi.,1140
1141,"My finery the my teeth,","Nu kawub'al ri we',",
1142,With its seeds my face.”,Ruk' u b'aq' nu wach.”,
1143,“We shall place now first therefore,“Xchiqakoj chik na k'ut,
1144,Their replacement ground bone.”,U k'exel jok'om b'aq.”,
1145,It shall enter again this therefore ground bone,Xchok chik are' k'ut jok'om b'aq,
1146,The mere white grains of maize.,Ri xa saqi ixim.,
1147,"“Good then that, take them out, help here,” he said therefore.","“Utz b'a la', chiwelesaj, chito'o' uloq,” xcha' k'ut.",
1148,Then came out therefore the his teeth Seven Macaw.,Ta xel k'u ri re' Wuqub' Kaqix.,
1149,"Merely white grains of maize their replacement his teeth entered,","Xa saqi ixim u k'exel re' xokik,",
1150,Merely now therefore white shiny now here grains of maize in his mouth.,Xa chi k'u saq julujuj chi ula ixim pu chi'.,1150
1151,"Straightaway therefore fell his face,","Ju su k'u xqaj u wach,",
1152,Not lord now he appeared.,Mawi ajaw chik xwachinik.,
1153,"Completed coming out the his teeth,","Xk'is elik ri re',",
1154,Jewels blue/green brilliant in his mouth.,K'uwal rax kawakoj pu chi'.,
1155,Then were treated now therefore his eyes Seven Macaw.,Ta xkunax chi k'ut u b'aq' u wach Wuqub' Kaqix.,
1156,Then were plucked away his eyes.,Ta xch'olik u b'aq' u wach.,
1157,Completed its coming out,Xk'is elik,
1158,The precious metal.,Ri puwaq.,
1159,"Not surely pain he felt,","Ma na k'ax taj xuna'o,",
1160,Merely only he stares.,Xa wi xere kamuqunik.,1160
1161,Then completed therefore its coming out,Ta xk'is k'u elik,
1162,The his self-aggrandisement.,Ri u nimarisab'al rib'.,
1163,"Merely their plan the Hunahpu,","Xa wi ki na'oj ri Junajpu,",
1164,Xbalanque.,Xb'alanke.,
1165,Then he died therefore the Seven Macaw.,Ta xkam k'ut ri Wuqub' Kaqix.,
1166,Then he took therefore his arm the Hunahpu.,Ta xuk'am k'ut u q'ab' ri Junajpu.,
1167,"She died also Chimalmat,","Xkam nay puch Chimalmat,",
1168,His wife Seven Macaw.,Rixoqil Wuqub' Kaqix.,
1169,Thus its loss his wealth Seven Macaw.,Keje' k'ut u sachik u q'inomal Wuqub' Kaqix.,
1170,The mere healers took it away:,Ri xa aj kun xk'amowik:,1170
1171,"The jewels,","Ri k'uwal,",
1172,Precious stones.,Yamanik.,
1173,They made him proud here,Xupunab'ej waral,
1174,On its face earth.,Chuwach ulew.,
1175,"Enchanted grandmother,","Nawal ati't,",
1176,Enchanted grandfather did it.,Nawal mama' xb'anowik.,
1177,Then they took therefore,Ta xkik'am k'ut,
1178,"Their arm,","Ki q'ab',",
1179,"It was implanted its socket,","Xtikitax u kok,",
1180,Good again it became.,Utz chik xuxik.,1180
1181,"Merely because his death Seven Macaw they desired,","Xa rumal u kamik Wuqub' Kaqix xkaj,",
1182,Thus they did it.,Keje' xkib'ano.,
1183,"Wrong they saw it,","Itzel xkilo,",
1184,Self-aggrandisement.,Nimarisab'al ib'.,
1185,"Then therefore they went again,","K'ate k'ut xeb'e chik,",
1186,They two boys.,E kaib' k'ajolab'.,
1187,"Merely his word the its Heart Sky,","Xa u tzij ri u K'u'x Kaj,",
1188,Then they did it.,Ta xkib'ano.,
1189,"THESE now therefore his deeds now Zipacna,","WA'E chi k'ute u b'anoj chik Sipakna,",
1190,His first son Seven Macaw.,U nab'e k'ajol Wuqub' Kaqix.,1190
1191,"“I maker mountains,”","“In b'anol juyub',”",
1192,Says the Zipacna.,Kacha' ri Sipakna.,
1193,He therefore the Zipacna,Are' k'u ri Sipakna,
1194,Bathes at its mouth river,Katinik chuchi' ja',
1195,When they passed by,Ta xe'ik'owik,
1196,Five eighties boys.,O' much' k'ajolab'.,
1197,"They dragging tree,","E jur wi che',",
1198,Its supporting beam their hut.,Raqan ki kab'al.,
1199,Five eighties,O' much',
1200,Were walking along.,Chub'inik.,1200
1201,"When they cut down therefore a great tree,","Ta xkiq'at k'ut jun nima che',",
1202,Its lintel their hut.,U wapalil ki kab'al.,
1203,"Then therefore went the Zipacna,","K'ate k'ut xb'e ri Sipakna,",
1204,He arrived therefore there with them the five eighties boys. Xopon k'u chila' kuk' ri o' much' k'ajolab'.,,
1205,"“What you do,","“Naqi pa kib'ano,",
1206,You boys?”,Ix k'ajolab'?”,
1207,"“Merely tree,","“Xa che',",
1208,Not we lift it,Mawi kaqayako,
1209,To shoulder it.”,Chiteleb'a'.”,
1210,“I will carry it on my shoulders.,“Xchintelej.,1210
1211,Where does it go?,Apa kopon wi?,
1212,What its use in your hearts?”,Naqi pa u chak chi i k'u'x?”,
1213,“Merely its lintel,“Xa u wapalil,
1214,Our hut.”,Qa kab'al.”,
1215,"“Good then that,”","“Utz b'a la',”",
1216,He says therefore.,Cha' k'ut.,
1217,"Then he dragged it therefore,","Ta xujuruj k'ut,",
1218,He carried it on his shoulders therefore up,Xuteleb'a' k'u aq'anoq,
1219,To its mouth their hut,Chuchi' ki kab'al,
1220,Five eighties boys.,O' much' k'ajolab'.,1220
1221,"“Merely then be with us,","“Xa ta wi katk'oje' quk',",
1222,You boy.,At k'ajol.,
1223,"Is there your mother,","K'o pa a chuch,",
1224,Your father?”,A qajaw?”,
1225,"“There are not,”","“Maja b'i,”",
1226,He said therefore.,Xcha' k'ut.,
1227,“We ask for your help then surely then that.,“Kaqacha'kimaj ta na b'a la'.,
1228,Tomorrow will be raised another,Chuwe'q chuwab'axik chik,
1229,"An our tree,","Jun qa che',",
1230,Its supporting beam our hut.”,Raqan qa kab'al.”,1230
1231,"“Good,”","“Utz,”",
1232,He said again therefore.,Xcha' chi k'ut.,
1233,"Then therefore were gathered their thoughts,","K'ate k'ut xk'am ki na'oj,",
1234,The five eighties boys.,Ri o' much' k'ajolab'.,
1235,"“This the boy, what will we do to him?","“Are' ri ala, jupacha chiqab'an chire?",
1236,"We will kill him,","Chiqakamisaj taj,",
1237,Because not good what he does.,Rumal mawi utz ri kub'ano.,
1238,Merely alone he lifted the tree.,Xa u tukel mi xuyak ri che'.,
1239,"Let us dig a great hole there,","Qa k'oto' jun nima jul chiri',",
1240,Then therefore we shall abandon him down in hole.,Ta k'ut chiqatzaq wi qajoq pa jul.,1240
1241,"‘Go get it,","‘Jak'ama',",
1242,"Bottom earth in hole,’ we say then to him again.","Qaja ulew pa jul,’ kojcha' ta chire chi.",
1243,"While then therefore bent over down in hole,","Are ta k'ut pachal qajoq pa jul,",
1244,Then we hurl down the great tree there.,Ta qatarij qajoq ri nima che' chiri'.,
1245,"Then therefore he will die in hole,”","Ta k'ut chikam wi pa jul,”",
1246,They said therefore five eighties boys.,Xecha' k'ut o' much' k'ajolab'.,
1247,Then they dug therefore a great hole deep it went down.,Ta xkik'ot k'ut jun nima jul najt xqajik.,
1248,Then they summoned therefore the Zipacna:,Ta xkitaq k'ut ri Sipakna:,
1249,"“We entrust to you,","“Oj kanij chawech,",
1250,Go then to dig now earth.,Chib'e ta a k'oto chik ulew.,1250
1251,"Not do we find it,” he was told.","Mawi kaqariqo,” xuchaxik.",
1252,"“Good then that,” he said therefore.","“Utz b'a la',” xcha' k'ut.",
1253,Then therefore he went down in hole.,K'ate k'ut xqaj pa jul.,
1254,“Call hither,“Kasik'in uloq,
1255,"When it shall have been dug up the earth,","Ta k'ototajoq ri ulew,",
1256,"Deep then it will go down because of you,”","Naj ta chiqajik awumal,”",
1257,He was told.,Xuchaxik.,
1258,"“Fine,” he said therefore.","“We',” xcha' k'ut.",
1259,Then he began its digging hole.,Ta xutikib'a' u k'otik jul.,
1260,Merely therefore its hole he dug his means of self-salvation.Xa k'u u jul xuk'oto u kolb'al rib'.,,
1261,He learned of the his being killed.,Xreta'maj ri u kamisaxik.,
1262,Then he dug therefore another head in hole to its side.,Ta xuk'ot k'ut jun wi' chi jul chu tzalanem.,
1263,"Second hole he dug,","U ka jul xuk'oto,",
1264,He was saved.,Xkolotaj wi.,
1265,“To how far down in it?”,“K'a janik'an pa la'?”,
1266,Was said therefore down by five eighties boys.,Xuchax k'u qajoq kumal o' much' k'ajolab'.,
1267,“I hasten its digging.,“Kinan u k'oto.,
1268,"If I shall call you up there,","We xkixnusik'ij aq'anoq,",
1269,"Then it will be successful its being dug,”","Ta chutzinoq u k'ototajik,”",
1270,Said hither Zipacna there in hole.,Xcha' uloq Sipakna chiri' pa jul.,1270
1271,Not therefore he digs its bottom hole,Ma k'u are' kuk'ot u xe' jul,
1272,The his burial.,Ri u muqikil.,
1273,Merely its hole he digs,Xa u jul kuk'oto,
1274,Means of self-salvation.,Kolb'al rib'.,
1275,"Then therefore when he called hither the Zipacna,","K'ate k'ut ta xsik'in uloq ri Sipakna,",
1276,Saved from inside there in hole when he called hither.,Kolon chuka chiri' pa jul ta xsik'in uloq.,
1277,“Come you.,“Kixpetoq.,
1278,Arrive,Chul,
1279,"To take earth,","I k'ama' ulew,",
1280,Its remnants hole.,Rachaq jul.,1280
1281,It was dug.,Mi xk'ototajik.,
1282,Truly deep it went down by me.,Qitzij naj mi xqaj wumal.,
1283,Cannot you hear my call perhaps?,Ma pa kita nu sik'ib'al lo?,
1284,This therefore the your call.,Are' k'u ri i sik'ib'al.,
1285,Merely thither,Xa ub'i,
1286,"It echoes,","Kaxojanik,",
1287,"Like one remove,","Keje' ri' jun eleb'al,",
1288,Two removes you are.,Kaib' eleb'al ix k'o wi.,
1289,"I hear it,”","Kanuta'o,”",
1290,He said hither the Zipacna in his hole.,Xcha' ula ri Sipakna pa u jul.,1290
1291,"There therefore sheltered now hither,","Chiri' k'ut matzal chi wi uloq,",
1292,He calls out now hither in hole.,Kasik'iyaj chi ula pa jul.,
1293,"This therefore is dragged hither the their great tree by boys,","Are' k'ut kajurux uloq ri ki nima che' rumal k'ajolab',",
1294,Then also they hurled down the tree in hole.,K'ate puch xkitarij qajoq ri che' pa jul.,
1295,"“Not he is,","“Ma k'o,",
1296,"Not he speaks,","Ma ch'awik,",
1297,"We will hear when he breaks open his mouth,","Chiqata na ta churaquj u chi',",
1298,"Then he shall be dead,”","Ta kamoq,”",
1299,They said to each other.,Xecha' chi kib'il kib'.,
1300,Merely they whisper.,Xa kejaslajik.,1300
1301,Merely also they would hide their faces,Xa pu chimatzalaj ki wach,
1302,Each one of them.,Chi ki jujunal.,
1303,Then they hurled down the tree.,Ta xkitarij qajoq ri che'.,
1304,When therefore he spoke therefore.,Are k'u xcha' k'ut.,
1305,Then he broke open his mouth.,Ta xuraquj u chi'.,
1306,"Merely one word more he called,","Xa ju paj chik xsik'inik,",
1307,Then was dropped out the tree.,Ta xqaj apanoq ri che'.,
1308,"“Aha, it was successful!","“Oka, mi xutzinik!",
1309,Truly good!,Qi utz!,
1310,We did it to him.,Mi xqab'ano chire.,1310
1311,He died.,Mi xkamik.,
1312,What then omen,Ata lab'e,
1313,Would persist,Chitaqen,
1314,"Would he do it,","Chub'ano,",
1315,Would he work?,Chuchakuj?,
1316,Then he shall become,Ta chuxoq,
1317,First thing.,U nab'e la'.,
1318,"He placed here himself with us,","Xukoj ula rib' quk',",
1319,"Among us as well,","Chiqaxo'l puch,",
1320,"Even us,","La' oj,",1320
1321,Five eighties boys!”,O' much' chi k'ajolab'!”,
1322,They said therefore.,Xecha' k'ut.,
1323,They rejoice now.,Keki'kot chik.,
1324,“There is this its making our sweet drink three days.,“K'o ri' u b'anik qa ki' oxij.,
1325,"They pass three days also,","Ke'ek'owik oxij puch,",
1326,"We will drink to dwelling,","Chiquk'aj laq'ab'eb'al,",
1327,"Our hut,","Qa kab'al,",
1328,"Even us,","La' oj,",
1329,Five eighties boys!” they said.,O' much' chi k'ajolab'!” xecha'.,
1330,“Tomorrow therefore we will see it.,“Chuwe'q k'ut chiqilo.,1330
1331,"Two days also we will see it,","Kab'ij puch chiqilo,",
1332,If not they come ants,Ma pa chipe sanik,
1333,From earth.,Pu ulew.,
1334,"When he shall smell,","Ta chuwinoq,",
1335,When decomposed.,Ta q'eyoq.,
1336,"Then therefore comforted again our hearts,","K'ate k'ut ku'ul chi qa k'u'x,",
1337,"When we drink the our sweet drink,” they said therefore.","Ta quk'aj ri qa ki',” xecha' k'ut.",
1338,He hears therefore hither,Kuta' k'u uloq,
1339,The Zipacna there in hole,Ri Sipakna chiri' pa jul,
1340,When they said the boys this.,Ta xkib'ij k'ajolab' ri'.,1340
1341,"Until on the second day as well,","K'a chukab'ij puch,",
1342,Then assembled ants.,Ta xtub'ukij sanik.,
1343,"They walk about,","Keb'inowik,",
1344,They swarm.,Keb'uchuwik.,
1345,Then they gathered beneath tree.,Ta xek'ulun xe' che'.,
1346,"Everywhere they carry with their teeth hair,","Jumaj ki kayelo'n is,",
1347,They carry with their teeth as well his nails Zipacna.,Ki kayelo'n puch rixk'aq Sipakna.,
1348,Then they saw therefore,Ta xkil k'u,
1349,The boys:,Ri k'ajolab':,
1350,“He was finished the demon.,“Mi pa xutzin ri k'axtok'.,1350
1351,Look at surely ants!,Chiwila' na sanik!,
1352,"They gathered hither,","Mi xek'ulun uloq,",
1353,They assembled hither.,Mi xetub'ukij uloq.,
1354,Everywhere hair they carry with their teeth.,Jumaj is ki kayen.,
1355,There are his nails that can be seen surely.,K'o rixk'aq ri chila' na.,
1356,"We did it at last,”","Mi xqab'ano k'a,”",
1357,They said to each other.,Xecha' chi kib'il kib'.,
1358,He therefore the Zipacna merely alive.,Are' k'u ri Sipakna xa wi k'aslik.,
1359,He cut off its hair his head.,Xuq'at uloq rismal u wi'.,
1360,"Merely as well he gnaws off his nails,","Xa pu kuk'ux uloq rixk'aq,",1360
1361,He gives them away to them the ants.,Chire kuya' ula chikech ri sanik.,
1362,Thus he died,Keje' k'u ri' xkamik,
1363,They thought five eighties boys.,Xkina'o o' much' k'ajolab'.,
1364,Then therefore they began their sweet drink on third day.,K'ate k'ut xtikar ki ki' chi roxij.,
1365,"Then they got drunk also all boys,","Ta xeq'ab'ar puch konojel k'ajolab',",
1366,"They therefore were drunk now all five eighties boys,","E k'u q'ab'arinaq chik konojel o' much' k'ajolab',",
1367,There is not they feel now.,Maja b'i kakina' chik.,
1368,Then also it was collapsed the hut,K'ate puch xulix ri kab'al,
1369,On their heads by the Zipacna.,Pa ki wi' rumal ri Sipakna.,
1370,"They were finished,","Xek'is,",1370
1371,They were stricken all of them.,Ch'ayatajik konojel.,
1372,"There is not even one,","Maja b'i chik jun,",
1373,Two were saved of them the five eighties boys.,Kaib' xkolotaj chikech ri o' much' chi k'ajolab'.,
1374,"They were killed by Zipacna,","Xekamisaxik rumal Sipakna,",
1375,His son the Seven Macaw.,U k'ajol ri Wuqub' Kaqix.,
1376,"Thus their death,","Keje' k'ut ki kamik,",
1377,Five eighties boys these.,O' much' k'ajolab' ri'.,
1378,"It was said then therefore that they entered to constellation, Xcha' chi k'ut are' ri xe'ok chi ch'umilal,",,
1379,The Motz its name by them.,Ri Motz u b'i' kumal.,
1380,If therefore merely whiteness word perhaps.,We k'ut xa saqb'al tzij lo.,1380
1381,This now therefore we will tell,Are' chi k'ut chiqab'ij,
1382,His defeat now Zipacna,U ch'akatajik chik Sipakna,
1383,"By the two boys,","Rumal ri e kaib' k'ajolab',",
1384,"Hunahpu,","Junajpu,",
1385,Xbalanque.,Xb'alanke.,
1386,"THIS now his defeat,","ARE' chik u ch'akatajik,",
1387,"His death Zipacna,","U kamik Sipakna,",
1388,When he was defeated now,Ta xch'ak chik,
1389,"By the two boys,","Kumal ri e kaib' k'ajolab',",
1390,"Hunahpu,","Junajpu,",1390
1391,Xbalanque.,Xb'alanke.,
1392,"This now offends their hearts boys,","Are' chi kuyoq' ki k'u'x k'ajolab',",
1393,The five eighties boys they died because of Zipacna.,Ri o' much' chi k'ajolab' xekamik rumal Sipakna.,
1394,"Merely fish,","Xa kar,",
1395,"Merely crabs,","Xa tap,",
1396,He would search for them in rivers.,Chutzukuj chi taq a'.,
1397,"Only this he would feed upon each day,","Xere chirecha'j ju ta q'ij,",
1398,"By day he would wander when he would search for his food,Pa q'ij chiwa'katik ta chutzukuj recha',",,
1399,By night therefore he would carry on his back mountains. Chaq'ab' k'ut chireqaj juyub'.,,
1400,Then therefore its transformation,K'ate k'ut u jalwachixik,1400
1401,A great crab,Jun nima tap,
1402,"By Hunahpu,","Kumal Junajpu,",
1403,Xbalanque.,Xb'alanke.,
1404,"This therefore they used the its face bromelia flower,","Are' k'ut xkikoj ri u wach ek',",
1405,The picked bromelia flower that is in forests.,Ri mak ek' k'o pa taq k'eche'laj.,
1406,This its claws crab became on opening.,Are' u xul tap xuxik pa jaq.,
1407,Also therefore its shell arms they used.,Chi k'ut u kok q'ab' xkikojo.,
1408,"Hollowed out stone therefore the its backside crab,","Sel ab'aj k'u ri u wa rachaq tap,",
1409,That is placed on the ground.,Ri jowojik.,
1410,"Then therefore they put its shell at its bottom cave,","K'ate k'ut ta xkikoj u kok chuxe' pek,",1410
1411,At its bottom great mountain.,Chuxe' nima juyub'.,
1412,"Meauan its name mountain,","Meawan u b'i' juyub',",
1413,He was defeated.,Xch'akataj wi.,
1414,"Then therefore when they came the boys,","K'ate k'ut ta xepe ri k'ajolab',",
1415,They found the Zipacna at river.,Xkik'u ri Sipakna chi ya'.,
1416,"“Where are you going,","“Apa katb'e wi,",
1417,You boy?”,At k'ajol?”,
1418,Was asked therefore the Zipacna.,Xcha'x k'u ri Sipakna.,
1419,“There is not I go.,“Maja b'i kinb'e wi.,
1420,"Merely my food I search for,","Xa wecha' kanutzukuj,",1420
1421,"You boys,”","Ix k'ajolab',”",
1422,Said therefore the Zipacna.,Xcha' k'u ri Sipakna.,
1423,“What your food?”,“Naqi pa awecha'?”,
1424,"“Only fish,","“Xa kar,",
1425,Only crabs.,Xa tap.,
1426,Not there are now,Xma k'o chi wi,
1427,I find them.,Kanuriqo.,
1428,Two days ago I had to leave off being fed.,Kab'ijir chinkanaj recha'xik.,
1429,"Not do I bear now hunger,”","Mawi kanuch'ij chik waij,”",
1430,"Said Zipacna to Hunahpu,","Xcha' Sipakna chikech Junajpu,",1430
1431,Xbalanque.,Xb'alanke.,
1432,“One this crab is there below canyon.,“Jun are' la' tap k'o ula xe' siwan.,
1433,True that great crab.,Qitzij chi nima tap.,
1434,"Try your luck then,","Kaq'ij ta la',",
1435,You will eat it perhaps.,Chawecha'j lo.,
1436,Merely it bites us.,Xa kojuti'o.,
1437,It wanted to grab us.,Mi xraj qa chapo.,
1438,We are afraid because of it.,Kaqaxib'ij qib' rumal.,
1439,"Not he will go, you grab it,”","Ma chib'e on, kachapa',”",
1440,"Said the Hunahpu,","Xecha' ri Junajpu,",1440
1441,Xbalanque.,Xb'alanke.,
1442,“Take pity on my face.,“Kitoq'ob'a' nu wach.,
1443,"Go then to guide me,","Kib'e ta i wab'a',",
1444,"You boys,”","Ix k'ajolab',”",
1445,Said the Zipacna.,Xcha' ri Sipakna.,
1446,“Not then we would want to.,“Ma b'a chiqaj.,
1447,Merely then you go.,Xa ta katb'ek.,
