doc_id,doc_str
460,Xoq'o'l
461,U tio'jil xkib'ano.
462,Ma k'u utz xkilo.
463,"Xa chiyojomanik,"
464,"Xa tzub'ulik,"
465,"Xa neb'elik,"
466,"Xa lub'anik,"
467,"Xa wulanik,"
468,Xa pu chi'umarik.
469,Mawi chi k'olol u jolom.
470,"Xa jun b'enaq wi u wach,"
471,"Xa k'u'l u wach,"
472,Mawi chimuqun chirij.
473,"Chich'aw nab'ek,"
474,Maja b'i u na'oj.
475,Xa ju suk' chi'umar pa ja'.
476,Mawi ko.
477,"Xecha' chi k'u ri Aj Tz'aq,"
478,Aj B'it:
479,"“Qa wachlab'eq,"
480,Ta chuxoq xa lab'e.
481,"Mawi chib'inik,"
482,Ma pu chipoq'otajik.
483,Ta chuxoq.
484,"Xa u na'oj chi ri',” xecha'."
485,"Ta xkiyoj k'ut,"
486,Xkiyoq' chik
487,"Ri ki tz'aq,"
488,Ki b'it.
489,Xecha' chi k'ut:
490,“Jupacha qi chiqab'ano.
491,"Chutzin ta wi,"
492,"Chinawachir ta wi,"
493,"Q'ijiloy qech,"
494,Sik'iy qech?” xecha'.
495,Ta xkina'ojij chik:
496,“Xa qab'ij chike
497,"Xpiyakok,"
498,"Xmuqane,"
499,"Junajpu Wuch',"
500,Junajpu Utiw:
501,"‘Kitija' chik u q'ijixik,"
502,"U b'itaxik,’”"
503,"Xe'ucha'n ki kib',"
504,"Aj Tz'aq,"
505,Aj B'it.
506,Ta xkib'ij k'ut chire
507,"Xpiyakok,"
508,Xmuqane.
509,"K'ate k'ut u b'ixik ri' chikech,"
510,Ri e nik'wachinel:
511,"“Rati't Q'ij,"
512,"Rati't Saq,”"
513,"Ke'uchaxik kumal ri Tz'aqol,"
514,B'itol.
515,"Are' ki b'i' ri Xpiyakok,"
516,Xmuqane.
517,XECHA' k'u
518,"Ri Juraqan,"
519,"Ruk' Tepew,"
520,Q'ukumatz.
521,"Ta xkib'ij chirech Aj Q'ij,"
522,"Aj B'it, e nik'wachinel:"
523,"“Xa k'ulu',"
524,"Xa pu churiqo,"
525,Che ta chik
526,"Chiqawinaq b'itoj,"
527,"Chiqawinaq tz'aqoj,"
528,"Ta chik,"
529,"Tzuqul,"
530,Q'o'l.
531,"Kojsik'ix taj,"
532,Kojna'b'ax taj puch.
533,Katoq' ta k'ut
534,"Pa tzij,"
535,"I'yom,"
536,"Mamom,"
537,"Qati't,"
538,"Qa mam,"
539,"Xpiyakok,"
540,Xmuqane.
541,"Cha' taj,"
542,Ta chawaxoq.
543,"Ta saqiroq,"
544,"Qa sik'ixik,"
545,"Qa toq'exik,"
546,Qa na'b'axik
547,"Rumal winaq tz'aq,"
548,"Winaq b'it,"
549,"Winaq poy,"
550,Winaq anom.
551,Chata!
552,Chuxoq!
553,Chik'utun i b'i':
554,"Junajpu Wuch',"
555,"Junajpu Utiw,"
556,"Kamul Alom,"
557,"Kamul K'ajolom,"
558,"Nim Aq,"
559,"Nima Sis,"
560,"Aj K'uwal,"
561,"Aj Yamanik,"
562,"Aj Ch'ut,"
563,"Aj Tz'alam,"
564,"Aj Raxa Laq,"
565,"Aj Raxa Sel,"
566,"Aj Q'ol,"
567,"Aj Toltecat,"
568,"Rati't Q'ij,"
569,Rati't Saq.
570,"Kixuchaxik rumal qa tz'aq,"
571,Qa b'it.
572,"Chimala' chi ixim,"
573,"Chi tz'ite,"
574,"Xa chib'anatajik,"
575,"Xa pu chel apanoq,"
576,"Chiq'ajaj,"
577,Chiqak'otaj puch
578,"U chi',"
579,"U wach che',”"
580,"Xe'uchaxik,"
581,E Aj Q'ij.
582,"K'ate puch u qajik,"
583,"U q'ijilo'xik,"
584,"Ri xmalik chi ixim,"
585,"Chi tz'ite,"
586,"Q'ij,"
587,B'it.
588,"Xecha' k'u ri Jun Ati't,"
589,Jun Mama' chikech.
590,"Are' ri mama',"
591,"Are' aj tz'ite,"
592,Xpiyakok u b'i'.
593,"Are' k'u ri ati't,"
594,"Aj Q'ij,"
595,"Aj B'it chi raqan,"
596,Xmuqane u b'i'.
597,"Xecha' k'ut,"
598,Ta xkitikib'a' q'ij:
599,"“Xa chuk'ulu,"
600,Xa pu churiqo.
601,Chab'ij!
602,Kata qa xikin.
603,"Kach'awik,"
604,Katzijon taj.
605,"Xa chuk'ulu ri che' chajawaxik,"
606,Chik'otox puch
607,"Kumal Aj Tz'aq,"
608,Aj B'it.
609,"We are' tzuqul,"
