chunk_id,n_tokens,short_label,long_label,cluster_label,max_cluster,max_cluster_gloss,top_topic_6,max_topic
44,488,[44] 56 57,[44] 56: The Appearance of the First Dawn 57: Offerings Are Made to the Gods,4,4,b'alam,0,amaq'
45,488,[45] 57 58,[45] 57: Offerings Are Made to the Gods 58: The Sacrificial Killings Begin,4,4,b'alam,0,amaq'
46,488,[46] 58 59,[46] 58: The Sacrificial Killings Begin 59: The Nations Plot to Seduce the Gods,4,4,b'alam,0,amaq'
47,488,[47] 59 60 61,[47] 59: The Nations Plot to Seduce the Gods 60: The Seduction of Lady Lust and Lady Wailing 61: The Nations Are Defeated by the Painted Robes,4,4,b'alam,0,amaq'
48,488,[48] 61 62,[48] 61: The Nations Are Defeated by the Painted Robes 62: The Nations Are Humiliated,4,4,b'alam,0,amaq'
49,488,[49] 62,[49] 62: The Nations Are Humiliated,4,4,b'alam,0,amaq'
50,488,[50] 62 63 64,[50] 62: The Nations Are Humiliated 63: The Nations Are Defeated 64: The Deaths of the Four Progenitors,4,4,b'alam,0,amaq'
51,488,[51] 64 65,[51] 64: The Deaths of the Four Progenitors 65: The Sons of the Progenitors Journey to Tulan,4,4,b'alam,0,amaq'
52,488,[52] 65 66 67,[52] 65: The Sons of the Progenitors Journey to Tulan 66: The Sons Receive Authority to Rule 67: The Migrations of the Quichés,4,4,b'alam,2,pop
53,488,[53] 67 68,[53] 67: The Migrations of the Quichés 68: The Foundation of Chi Izmachi,5,5,ajaw,2,pop
54,488,[54] 68 69 70 71,[54] 68: The Foundation of Chi Izmachi 69: The Foundation of Cumarcah 70: The Titles of the Cavec Lords 71: The Titles of the Nihaib Lords,5,5,ajaw,2,pop
55,488,[55] 71 72 73 74,[55] 71: The Titles of the Nihaib Lords 72: The Titles of the Ahau Quiché Lords 73: The Titles of the Zaquic Lords 74: The Glory of the Lords of Cumarcah,5,5,ajaw,2,pop
56,488,[56] 75 76,[56] 75: The Victories of Lord Quicab 76: The Quichés Garrison the Conquered Regions,5,5,ajaw,2,pop
57,488,[57] 76 77 78,[57] 76: The Quichés Garrison the Conquered Regions 77: The Titles Given to Those Who Were Ennobled 78: The Names of the Gods’ Houses,5,5,ajaw,2,pop
58,488,[58] 78 79,[58] 78: The Names of the Gods’ Houses 79: The Prayer of the Lords to their Gods,5,5,ajaw,2,pop
59,488,[59] 79 80 81 82,[59] 79: The Prayer of the Lords to their Gods 80: The Generations of Quiché Lords 81: The Dynasty of Cavec Quiché Lords 82: The Great Houses of the Cavec Lords,5,5,ajaw,2,pop
60,488,[60] 82 83 84 85 86 87,[60] 82: The Great Houses of the Cavec Lords 83: The Dynasty of Nihaib Lords 84: The Great Houses of the Nihaib Lords 85: The Dynasty of Ahau Quiché Lords 86: The Great Houses of the Ahau Quiché Lords 87: The Three Great Stewards as Mothers of the Word,5,5,ajaw,2,pop
