term_str,n,p,i,h,df,idf
apparent,2,4.982809307887787e-05,14.292681111298128,0.0007121770447604827,2,4.044394119358453
appear,3,7.474213961831681e-05,13.707718610576972,0.0010245442182403438,2,4.044394119358453
appearance,5,0.00012457023269719466,12.970753016410766,0.0016157697215121287,5,2.722466024471091
appearances,2,4.982809307887787e-05,14.292681111298128,0.0007121770447604827,2,4.044394119358453
appeared,7,0.00017439832577607255,12.485326189240524,0.0021774199841716993,5,2.722466024471091
approached,2,4.982809307887787e-05,14.292681111298128,0.0007121770447604827,2,4.044394119358453
approaching,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
aquiline,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
are,245,0.006103941402162539,7.356043172295557,0.044900856475469916,33,0.0
arecalled,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
arise,2,4.982809307887787e-05,14.292681111298128,0.0007121770447604827,1,5.044394119358453
arm,12,0.00029896855847326724,11.707718610576972,0.0035002397560148406,6,2.4594316186372973
armadillo,2,4.982809307887787e-05,14.292681111298128,0.0007121770447604827,2,4.044394119358453
armadillos,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
armed,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
arms,14,0.0003487966515521451,11.485326189240524,0.004006043316791254,10,1.722466024471091
aroma,4,9.965618615775574e-05,13.292681111298128,0.0013246979033632097,2,4.044394119358453
arose,2,4.982809307887787e-05,14.292681111298128,0.0007121770447604827,1,5.044394119358453
around,23,0.0005730230704070955,10.769119155241114,0.00617095372391613,13,1.3439544012173612
arranged,2,4.982809307887787e-05,14.292681111298128,0.0007121770447604827,2,4.044394119358453
arrangement,3,7.474213961831681e-05,13.707718610576972,0.0010245442182403438,3,3.4594316186372973
arrangements,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
arrival,2,4.982809307887787e-05,14.292681111298128,0.0007121770447604827,2,4.044394119358453
arrive,7,0.00017439832577607255,12.485326189240524,0.0021774199841716993,5,2.722466024471091
arrived,56,0.0013951866062085804,9.485326189240524,0.013233800054747854,24,0.45943161863729726
arriving,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
arrogant,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
arrow,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
arrowhead,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
arrows,4,9.965618615775574e-05,13.292681111298128,0.0013246979033632097,3,3.4594316186372973
artisan,26,0.0006477652100254123,10.592241393157035,0.006861285470678233,4,3.0443941193584534
as,207,0.00515720763366386,7.599194153798803,0.03919062209966496,33,0.0
ascended,2,4.982809307887787e-05,14.292681111298128,0.0007121770447604827,1,5.044394119358453
ascent,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
ashamed,3,7.474213961831681e-05,13.707718610576972,0.0010245442182403438,3,3.4594316186372973
aside,2,4.982809307887787e-05,14.292681111298128,0.0007121770447604827,2,4.044394119358453
ask,10,0.00024914046539438933,11.970753016410766,0.0029823989776298684,4,3.0443941193584534
asked,37,0.0009218197219592406,10.083227745669179,0.009294918196964463,19,0.796466605914868
asking,3,7.474213961831681e-05,13.707718610576972,0.0010245442182403438,3,3.4594316186372973
asleep,4,9.965618615775574e-05,13.292681111298128,0.0013246979033632097,2,4.044394119358453
assassins,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
assembled,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
assigned,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
assignments,2,4.982809307887787e-05,14.292681111298128,0.0007121770447604827,1,5.044394119358453
assure,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
astray,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
at,143,0.003562708655139768,8.132809774519739,0.028974831774286777,32,0.044394119358453436
ate,4,9.965618615775574e-05,13.292681111298128,0.0013246979033632097,2,4.044394119358453
atole,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
attacks,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
attempt,2,4.982809307887787e-05,14.292681111298128,0.0007121770447604827,2,4.044394119358453
attempted,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
attention,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
auilix,33,0.0008221635358014849,10.248286991939674,0.008425767869201486,9,1.874469117916141
avalanche,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
awake,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
away,47,0.00117096018735363,9.73809225962049,0.011402918336792143,23,0.5208321633014404
awhile,2,4.982809307887787e-05,14.292681111298128,0.0007121770447604827,2,4.044394119358453
axe,5,0.00012457023269719466,12.970753016410766,0.0016157697215121287,3,3.4594316186372973
axes,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
back,84,0.0020927799093128706,8.900363688519368,0.01862650231291113,24,0.45943161863729726
backpack,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
backs,3,7.474213961831681e-05,13.707718610576972,0.0010245442182403438,3,3.4594316186372973
backward,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
