term_str,n,p,i,h,df,idf
avila,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
avilix,3,0.00011156148897400617,13.129873284772277,0.0014647882136892205,3,3.4594316186372973
avion,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
avitzmal,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
avlix,4,0.00014874865196534156,12.714835785493433,0.0018913146830528329,4,3.0443941193584534
avmal,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
avq,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
avvmal,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
aztapulul,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
b,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
ba,12,0.00044624595589602467,11.129873284772277,0.004966660942964832,9,1.874469117916141
bac,21,0.0007809304228180433,10.322518362714673,0.008061168629541786,8,2.0443941193584534
bah,2,7.437432598267078e-05,13.714835785493433,0.0010200316675090873,2,4.044394119358453
bal,5,0.00018593581495667696,12.392907690606071,0.0023042853911357094,5,2.722466024471091
bala,28,0.001041240563757391,9.90748086343583,0.010316070959659486,16,1.0443941193584534
balam,175,0.006507753523483694,7.263624673661105,0.04726987906328115,16,1.0443941193584534
balamacab,2,7.437432598267078e-05,13.714835785493433,0.0010200316675090873,2,4.044394119358453
balami,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
balamiha,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
balamil,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
balamquitze,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
balaxeqha,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
bam,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
ban,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
bano,3,0.00011156148897400617,13.129873284772277,0.0014647882136892205,3,3.4594316186372973
banoh,9,0.00033468446692201854,11.54491078405112,0.0038639023114224124,8,2.0443941193584534
banol,5,0.00018593581495667696,12.392907690606071,0.0023042853911357094,5,2.722466024471091
baquil,4,0.00014874865196534156,12.714835785493433,0.0018913146830528329,3,3.4594316186372973
bare,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
bari,2,7.437432598267078e-05,13.714835785493433,0.0010200316675090873,2,4.044394119358453
bate,6,0.00022312297794801233,12.129873284772277,0.002706453449430429,5,2.722466024471091
batena,1,3.718716299133539e-05,14.714835785493433,0.000547202996745879,1,5.044394119358453
